Taxa	Count
all	1331
"Gordona (sic)" Tsukamura et al. 1970	1
Polaromonas	1
SAR324 cluster bacterium JCVI-SC AAA005	15
Janthinobacterium lividum PAMC 25724	1
taxonomy	1
"Bacillus aeruginosus" (Schroeter 1872) Trevisan 1885	1
"Candidatus Pelagibacter" Rappe et al. 2002	3
Ancona	1
gamma proteobacterium HTCC2207	1
Leptolyngbya PCC7375	1
Vitis vinifera	1
alpha proteobacterium BAL199	2
SAR 116 cluster alpha proteobacterium HIMB100	7
Thermoplasmales	2
Rhodospirillaceae	2
Verrucomicrobia bacterium SCGC AAA168-F10	3
Pseudomonas aeruginosa group	3
'Nitrospiraceae'	1
Rhizobiaceae	2
Clostridiales	1
Acinetobacteraceae	1
"Bacillus solanacearum" Smith 1896	1
Enterobacteraceae	1
Pirellula staleyi ATCC 27377	1
Cupriavidus necator N-1	3
'Phyllobacteriaceae'	1
marine gamma proteobacterium HTCC2080	4
Alteromonadaceae	5
"Cystobacterineae" Reichenbach and Dworkin 1981	1
Verrucomicrobium spinosum ATCC 43997	1
Propionibacterineae	1
'Methanomicrobia'	1
Chroococcus sp. SAG 6.82	1
Bradyrhizobium elkanii 587	1
Gammaproteobacteria	43
"Microspira" Schroeter 1886	2
'Thermoanaerobacterales'	1
Verrucomicrobia bacterium SCGC AAA164-O14	1
Mesorhizobium australicum LMG 24608	1
Cyanobacteria	29
Ruegeria	1
biota	5
Xanthomonadales	1
Xenococcus ATCC29373	1
Bordetella	1
'Betaproteobacteria'	5
"Gonococcus" Lindau 1898	1
Neisseriaceae	1
"Chlorobacterium" Guillebeau 1890, nom. rejic. Opin. 6 (not "Chlorobacterium" Lauterborn 1916)	6
Novosphingobium	1
ATCC BAA-863	1
Mesangiospermae	1
Cupravidus	1
Zavarzinella formosa DSM 19928	2
Bacilli	1
Rubrobacteridae	1
Congregibacter litoralis KT71	1
Pseudomonaceae/Moraxellaceae group	2
Candidatus Puniceispirillum marinum IMCC1322	7
Oceanibaculum indicum P24	1
"Euryarchaeota" Woese et al. 1990	4
Oceanicola sp. S124	1
Acetobacteraceae bacterium AT-5844	1
Bacillales	3
Marinobacter	1
Acidobacteria	1
DSM 9799	1
SAR324 cluster bacterium SCGC AAA001-C10	2
Chloroflexi	1
Idiomarina sp. A28L	1
Haliangium ochraceum DSM 14365	1
Thalassospira profundimaris WP0211	1
"Archaea" Woese et al. 1990	1
alpha proteobacterium HIMB5	1
Marinobacterium stanieri S30	1
'Desulfobacterales'	1
alpha proteobacterium HIMB59	1
Alcaligenaceae	1
Bacillus	1
Flavobacteriaceae	6
Candidatus Pelagibacter sp. HTCC7211	5
Agromonas	3
Cellvibrio sp. BR	2
Photobacterium sp. AK15	1
gamma proteobacterium HIMB30	2
Vibrionaceae	2
Pusillimonas sp. T7-7	1
Salinisphaera shabanensis E1L3A	1
