ID	Function Category Level 3	Gene Count
04144	Endocytosis [PATH:ko04144]	1
04145	Phagosome [PATH:ko04145]	2
04146	Peroxisome [PATH:ko04146]	60
04140	Regulation of autophagy [PATH:ko04140]	0
04142	Lysosome [PATH:ko04142]	6
04540	Gap junction [PATH:ko04540]	0
04510	Focal adhesion [PATH:ko04510]	0
04530	Tight junction [PATH:ko04530]	0
04520	Adherens junction [PATH:ko04520]	0
04812	Cytoskeleton proteins [BR:ko04812]	0
04810	Regulation of actin cytoskeleton [PATH:ko04810]	0
02035	Bacterial motility proteins [BR:ko02035]	0
02030	Bacterial chemotaxis [PATH:ko02030]	30
02040	Flagellar assembly [PATH:ko02040]	29
04115	p53 signaling pathway [PATH:ko04115]	3
04114	Oocyte meiosis [PATH:ko04114]	0
04113	Meiosis - yeast [PATH:ko04113]	4
04112	Cell cycle - Caulobacter [PATH:ko04112]	41
04111	Cell cycle - yeast [PATH:ko04111]	0
04110	Cell cycle [PATH:ko04110]	0
04210	Apoptosis [PATH:ko04210]	0
04930	Type II diabetes mellitus [PATH:ko04930]	0
04950	Maturity onset diabetes of the young [PATH:ko04950]	0
04940	Type I diabetes mellitus [PATH:ko04940]	1
05100	Bacterial invasion of epithelial cells [PATH:ko05100]	0
05120	Epithelial cell signaling in Helicobacter pylori infection [PATH:ko05120]	2
05130	Pathogenic Escherichia coli infection [PATH:ko05130]	0
05131	Shigellosis [PATH:ko05131]	0
05160	Hepatitis C [PATH:ko05160]	0
05162	Measles [PATH:ko05162]	0
05110	Vibrio cholerae infection [PATH:ko05110]	2
05111	Vibrio cholerae pathogenic cycle [PATH:ko05111]	5
05150	Staphylococcus aureus infection [PATH:ko05150]	0
05146	Amoebiasis [PATH:ko05146]	0
05145	Toxoplasmosis [PATH:ko05145]	0
05144	Malaria [PATH:ko05144]	0
05143	African trypanosomiasis [PATH:ko05143]	3
05142	Chagas disease (American trypanosomiasis) [PATH:ko05142]	0
05140	Leishmaniasis [PATH:ko05140]	0
05200	Pathways in cancer [PATH:ko05200]	14
05216	Thyroid cancer [PATH:ko05216]	0
05215	Prostate cancer [PATH:ko05215]	0
05214	Glioma [PATH:ko05214]	0
05213	Endometrial cancer [PATH:ko05213]	0
05212	Pancreatic cancer [PATH:ko05212]	1
05211	Renal cell carcinoma [PATH:ko05211]	13
05210	Colorectal cancer [PATH:ko05210]	0
05320	Autoimmune thyroid disease [PATH:ko05320]	0
05219	Bladder cancer [PATH:ko05219]	0
05218	Melanoma [PATH:ko05218]	0
05217	Basal cell carcinoma [PATH:ko05217]	0
05012	Parkinson's disease [PATH:ko05012]	33
05014	Amyotrophic lateral sclerosis (ALS) [PATH:ko05014]	0
05016	Huntington's disease [PATH:ko05016]	38
05222	Small cell lung cancer [PATH:ko05222]	0
05223	Non-small cell lung cancer [PATH:ko05223]	0
05220	Chronic myeloid leukemia [PATH:ko05220]	0
05221	Acute myeloid leukemia [PATH:ko05221]	0
05330	Allograft rejection [PATH:ko05330]	21
05020	Prion diseases [PATH:ko05020]	1
05414	Dilated cardiomyopathy (DCM) [PATH:ko05414]	0
05416	Viral myocarditis [PATH:ko05416]	0
05410	Hypertrophic cardiomyopathy (HCM) [PATH:ko05410]	0
05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC) [PATH:ko05412]	0
03040	Spliceosome [PATH:ko03040]	1
03000	Transcription factors [BR:ko03000]	0
03022	Basal transcription factors [PATH:ko03022]	8
03020	RNA polymerase [PATH:ko03020]	72
03041	Spliceosome [BR:ko03041]	0
00970	Aminoacyl-tRNA biosynthesis [PATH:ko00970]	171
03008	Ribosome biogenesis in eukaryotes [PATH:ko03008]	9
03009	Ribosome Biogenesis [BR:ko03009]	0
03013	RNA transport [PATH:ko03013]	10
03012	Translation factors [BR:ko03012]	0
03011	Ribosome [BR:ko03011]	0
03010	Ribosome [PATH:ko03010]	134
03015	mRNA surveillance pathway [PATH:ko03015]	1
03400	DNA repair and recombination proteins [BR:ko03400]	0
03450	Non-homologous end-joining [PATH:ko03450]	0
03440	Homologous recombination [PATH:ko03440]	78
03030	DNA replication [PATH:ko03030]	89
03060	Protein export [PATH:ko03060]	55
03051	Proteasome [BR:ko03051]	0
03050	Proteasome [PATH:ko03050]	6
04122	Sulfur relay system [PATH:ko04122]	54
03018	RNA degradation [PATH:ko03018]	64
04131	SNAREs [BR:ko04131]	0
04130	SNARE interactions in vesicular transport [PATH:ko04130]	0
04120	Ubiquitin mediated proteolysis [PATH:ko04120]	0
04121	Ubiquitin system [BR:ko04121]	0
04141	Protein processing in endoplasmic reticulum [PATH:ko04141]	5
03110	Chaperones and folding catalysts [BR:ko03110]	0
03100	Non-coding RNAs	0
04630	Jak-STAT signaling pathway [PATH:ko04630]	0
02020	Two-component system [PATH:ko02020]	132
02022	Two-component system [BR:ko02022]	0
04370	VEGF signaling pathway [PATH:ko04370]	0
04350	TGF-beta signaling pathway [PATH:ko04350]	0
04340	Hedgehog signaling pathway [PATH:ko04340]	0
04310	Wnt signaling pathway [PATH:ko04310]	0
04150	mTOR signaling pathway [PATH:ko04150]	0
04020	Calcium signaling pathway [PATH:ko04020]	0
04075	Plant hormone signal transduction [PATH:ko04075]	0
04012	ErbB signaling pathway [PATH:ko04012]	0
04013	MAPK signaling pathway - fly [PATH:ko04013]	0
04010	MAPK signaling pathway [PATH:ko04010]	0
04011	MAPK signaling pathway - yeast [PATH:ko04011]	0
04070	Phosphatidylinositol signaling system [PATH:ko04070]	0
04330	Notch signaling pathway [PATH:ko04330]	0
02060	Phosphotransferase system (PTS) [PATH:ko02060]	6
02000	Transporters [BR:ko02000]	0
02010	ABC transporters [PATH:ko02010]	249
02044	Secretion system [BR:ko02044]	0
03070	Bacterial secretion system [PATH:ko03070]	66
04030	G protein-coupled receptors [BR:ko04030]	0
04031	GTP-binding proteins [BR:ko04031]	0
04091	Glycan bindng proteins [BR:ko04091]	0
03310	Nuclear receptors [BR:ko03310]	0
04080	Neuroactive ligand-receptor interaction [PATH:ko04080]	0
04090	Cellular antigens [BR:ko04090]	0
04060	Cytokine-cytokine receptor interaction [PATH:ko04060]	0
01020	Enzyme-linked receptors [BR:ko01020]	0
04040	Ion channels [BR:ko04040]	0
04050	Cytokine receptors [BR:ko04050]	0
04512	ECM-receptor interaction [PATH:ko04512]	0
02042	Bacterial toxins [BR:ko02042]	0
04052	Cytokines [BR:ko04052]	0
04516	CAM ligands [BR:ko04516]	0
04515	Cell adhesion molecules (CAMs) [BR:ko04515]	0
04514	Cell adhesion molecules (CAMs) [PATH:ko04514]	0
04320	Dorso-ventral axis formation [PATH:ko04320]	0
04380	Osteoclast differentiation [PATH:ko04380]	0
04360	Axon guidance [PATH:ko04360]	0
04978	Mineral absorption [PATH:ko04978]	0
04975	Fat digestion and absorption [PATH:ko04975]	0
04974	Protein digestion and absorption [PATH:ko04974]	0
04977	Vitamin digestion and absorption [PATH:ko04977]	0
04976	Bile secretion [PATH:ko04976]	3
04971	Gastric acid secretion [PATH:ko04971]	0
04970	Salivary secretion [PATH:ko04970]	0
04973	Carbohydrate digestion and absorption [PATH:ko04973]	5
04972	Pancreatic secretion [PATH:ko04972]	0
03320	PPAR signaling pathway [PATH:ko03320]	57
04614	Renin-angiotensin system [PATH:ko04614]	3
04920	Adipocytokine signaling pathway [PATH:ko04920]	20
04916	Melanogenesis [PATH:ko04916]	0
04914	Progesterone-mediated oocyte maturation [PATH:ko04914]	0
04912	GnRH signaling pathway [PATH:ko04912]	0
04910	Insulin signaling pathway [PATH:ko04910]	8
04966	Collecting duct acid secretion [PATH:ko04966]	2
04964	Proximal tubule bicarbonate reclamation [PATH:ko04964]	3
04962	Vasopressin-regulated water reabsorption [PATH:ko04962]	0
04960	Aldosterone-regulated sodium reabsorption [PATH:ko04960]	0
04961	Endocrine and other factor-regulated calcium reabsorption [PATH:ko04961]	0
04626	Plant-pathogen interaction [PATH:ko04626]	18
04711	Circadian rhythm - fly [PATH:ko04711]	0
04710	Circadian rhythm - mammal [PATH:ko04710]	0
04712	Circadian rhythm - plant [PATH:ko04712]	0
04742	Taste transduction [PATH:ko04742]	0
04740	Olfactory transduction [PATH:ko04740]	0
04744	Phototransduction [PATH:ko04744]	0
04745	Phototransduction - fly [PATH:ko04745]	0
04621	NOD-like receptor signaling pathway [PATH:ko04621]	0
04620	Toll-like receptor signaling pathway [PATH:ko04620]	0
04623	Cytosolic DNA-sensing pathway [PATH:ko04623]	4
