COGID	Function	Gene Count
COG4755	Uncharacterized protein conserved in archaea	0
COG5638	Uncharacterized conserved protein	0
COG3254	Uncharacterized conserved protein	0
COG3266	Uncharacterized protein conserved in bacteria	0
COG3011	Uncharacterized protein conserved in bacteria	2
COG2983	Uncharacterized conserved protein	0
COG3013	Uncharacterized conserved protein	0
COG3014	Uncharacterized protein conserved in bacteria	0
COG3016	Uncharacterized iron-regulated protein	0
COG4920	Predicted membrane protein	0
COG2989	Uncharacterized protein conserved in bacteria	0
COG4199	Uncharacterized protein conserved in bacteria	0
COG4923	Uncharacterized conserved protein	0
COG3159	Uncharacterized protein conserved in bacteria	0
COG5394	Uncharacterized protein conserved in bacteria	0
COG4655	Predicted membrane protein	0
COG5532	Uncharacterized conserved protein	0
COG4652	Uncharacterized protein conserved in bacteria	0
COG4718	Phage-related protein	0
COG4719	Uncharacterized protein conserved in bacteria	0
COG3151	Uncharacterized protein conserved in bacteria	0
COG4717	Uncharacterized conserved protein	0
COG4714	Uncharacterized membrane-anchored protein conserved in bacteria	0
COG3152	Predicted membrane protein	0
COG4712	Uncharacterized protein conserved in bacteria	0
COG4713	Predicted membrane protein	0
COG3157	Hemolysin-coregulated protein (uncharacterized)	0
COG4711	Predicted membrane protein	0
COG4121	Uncharacterized conserved protein	0
COG4329	Predicted membrane protein	0
COG4125	Predicted membrane protein	0
COG1872	Uncharacterized conserved protein	0
COG1873	Uncharacterized conserved protein	0
COG2383	Uncharacterized conserved protein	0
COG5477	Predicted small integral membrane protein	0
COG2380	Uncharacterized protein conserved in bacteria	0
COG3182	Uncharacterized iron-regulated membrane protein	0
COG3900	Predicted periplasmic protein	0
COG3906	Uncharacterized protein conserved in bacteria	0
COG3904	Predicted periplasmic protein	0
COG3908	Uncharacterized protein conserved in bacteria	0
COG3530	Uncharacterized protein conserved in bacteria	0
COG5237	Predicted membrane protein	0
COG5125	Uncharacterized conserved protein	0
COG5457	Uncharacterized conserved small protein	0
COG3394	Uncharacterized protein conserved in bacteria	0
COG4430	Uncharacterized protein conserved in bacteria	1
COG5452	Uncharacterized conserved protein	0
COG5453	Uncharacterized conserved protein	0
COG5451	Predicted secreted protein	0
COG2028	Uncharacterized conserved protein	0
COG2029	Uncharacterized conserved protein	0
COG2187	Uncharacterized protein conserved in bacteria	0
COG4722	Phage-related protein	0
COG5642	Uncharacterized conserved protein	0
COG4424	Uncharacterized protein conserved in bacteria	0
COG3708	Uncharacterized protein conserved in bacteria	0
COG4721	Predicted membrane protein	0
COG4818	Predicted membrane protein	0
COG4720	Predicted membrane protein	0
COG3012	Uncharacterized protein conserved in bacteria	0
COG4904	Uncharacterized protein conserved in archaea	0
COG3538	Uncharacterized conserved protein	0
COG3367	Uncharacterized conserved protein	1
COG5465	Uncharacterized conserved protein	0
COG4873	Uncharacterized protein conserved in bacteria	0
