ID	Function Category Level 3	Gene Count
04144	Endocytosis [PATH:ko04144]	1
04145	Phagosome [PATH:ko04145]	3
04146	Peroxisome [PATH:ko04146]	76
04140	Regulation of autophagy [PATH:ko04140]	0
04142	Lysosome [PATH:ko04142]	1
04540	Gap junction [PATH:ko04540]	0
04510	Focal adhesion [PATH:ko04510]	1
04530	Tight junction [PATH:ko04530]	0
04520	Adherens junction [PATH:ko04520]	0
04812	Cytoskeleton proteins [BR:ko04812]	0
04810	Regulation of actin cytoskeleton [PATH:ko04810]	0
02035	Bacterial motility proteins [BR:ko02035]	0
02030	Bacterial chemotaxis [PATH:ko02030]	33
02040	Flagellar assembly [PATH:ko02040]	67
04115	p53 signaling pathway [PATH:ko04115]	0
04114	Oocyte meiosis [PATH:ko04114]	0
04113	Meiosis - yeast [PATH:ko04113]	9
04112	Cell cycle - Caulobacter [PATH:ko04112]	98
04111	Cell cycle - yeast [PATH:ko04111]	0
04110	Cell cycle [PATH:ko04110]	1
04210	Apoptosis [PATH:ko04210]	0
04930	Type II diabetes mellitus [PATH:ko04930]	0
04950	Maturity onset diabetes of the young [PATH:ko04950]	0
04940	Type I diabetes mellitus [PATH:ko04940]	15
05100	Bacterial invasion of epithelial cells [PATH:ko05100]	0
05120	Epithelial cell signaling in Helicobacter pylori infection [PATH:ko05120]	5
05130	Pathogenic Escherichia coli infection [PATH:ko05130]	0
05131	Shigellosis [PATH:ko05131]	0
05160	Hepatitis C [PATH:ko05160]	2
05162	Measles [PATH:ko05162]	2
05110	Vibrio cholerae infection [PATH:ko05110]	3
05111	Vibrio cholerae pathogenic cycle [PATH:ko05111]	14
05150	Staphylococcus aureus infection [PATH:ko05150]	0
05146	Amoebiasis [PATH:ko05146]	1
05145	Toxoplasmosis [PATH:ko05145]	0
05144	Malaria [PATH:ko05144]	0
05143	African trypanosomiasis [PATH:ko05143]	21
05142	Chagas disease (American trypanosomiasis) [PATH:ko05142]	21
05140	Leishmaniasis [PATH:ko05140]	0
05200	Pathways in cancer [PATH:ko05200]	25
05216	Thyroid cancer [PATH:ko05216]	0
05215	Prostate cancer [PATH:ko05215]	15
05214	Glioma [PATH:ko05214]	0
05213	Endometrial cancer [PATH:ko05213]	3
05212	Pancreatic cancer [PATH:ko05212]	0
05211	Renal cell carcinoma [PATH:ko05211]	0
05210	Colorectal cancer [PATH:ko05210]	10
05320	Autoimmune thyroid disease [PATH:ko05320]	0
