Function Abbr	Functional Category	Gene Count
[S]	Function unknown	237
[R]	General function prediction only	550
[K]	Transcription	305
[L]	Replication, recombination and repair	530
[B]	Chromatin structure and dynamics	0
[A]	RNA processing and modification	0
[J]	Translation, ribosomal structure and biogenesis	954
[E]	Amino acid transport and metabolism	1005
[C]	Energy production and conversion	849
[H]	Coenzyme transport and metabolism	393
[I]	Lipid transport and metabolism	507
[F]	Nucleotide transport and metabolism	379
[G]	Carbohydrate transport and metabolism	316
[P]	Inorganic ion transport and metabolism	312
[Q]	Secondary metabolites biosynthesis, transport and catabolism	44
[D]	Cell cycle control, cell division, chromosome partitioning	98
[N]	Cell motility	19
[O]	Posttranslational modification, protein turnover, chaperones	490
[Y]	Nuclear structure	0
[M]	Cell wall/membrane/envelope biogenesis	233
[V]	Defense mechanisms	118
[W]	Extracellular structures	0
[T]	Signal transduction mechanisms	87
[U]	Intracellular trafficking, secretion, and vesicular transport	116
[Z]	Cytoskeleton	0
