ID	Function Category Level 3	Gene Count
04144	Endocytosis [PATH:ko04144]	1
04145	Phagosome [PATH:ko04145]	9
04146	Peroxisome [PATH:ko04146]	66
04140	Regulation of autophagy [PATH:ko04140]	0
04142	Lysosome [PATH:ko04142]	10
04540	Gap junction [PATH:ko04540]	0
04510	Focal adhesion [PATH:ko04510]	0
04530	Tight junction [PATH:ko04530]	0
04520	Adherens junction [PATH:ko04520]	0
04812	Cytoskeleton proteins [BR:ko04812]	0
04810	Regulation of actin cytoskeleton [PATH:ko04810]	0
02035	Bacterial motility proteins [BR:ko02035]	0
02030	Bacterial chemotaxis [PATH:ko02030]	26
02040	Flagellar assembly [PATH:ko02040]	48
04115	p53 signaling pathway [PATH:ko04115]	5
04114	Oocyte meiosis [PATH:ko04114]	0
04113	Meiosis - yeast [PATH:ko04113]	10
04112	Cell cycle - Caulobacter [PATH:ko04112]	89
04111	Cell cycle - yeast [PATH:ko04111]	0
04110	Cell cycle [PATH:ko04110]	2
04210	Apoptosis [PATH:ko04210]	5
04930	Type II diabetes mellitus [PATH:ko04930]	3
04950	Maturity onset diabetes of the young [PATH:ko04950]	0
04940	Type I diabetes mellitus [PATH:ko04940]	8
05100	Bacterial invasion of epithelial cells [PATH:ko05100]	0
05120	Epithelial cell signaling in Helicobacter pylori infection [PATH:ko05120]	9
05130	Pathogenic Escherichia coli infection [PATH:ko05130]	0
05131	Shigellosis [PATH:ko05131]	0
05160	Hepatitis C [PATH:ko05160]	0
05162	Measles [PATH:ko05162]	0
05110	Vibrio cholerae infection [PATH:ko05110]	9
05111	Vibrio cholerae pathogenic cycle [PATH:ko05111]	17
05150	Staphylococcus aureus infection [PATH:ko05150]	0
05146	Amoebiasis [PATH:ko05146]	3
05145	Toxoplasmosis [PATH:ko05145]	5
05144	Malaria [PATH:ko05144]	0
05143	African trypanosomiasis [PATH:ko05143]	10
05142	Chagas disease (American trypanosomiasis) [PATH:ko05142]	10
05140	Leishmaniasis [PATH:ko05140]	0
05200	Pathways in cancer [PATH:ko05200]	16
05216	Thyroid cancer [PATH:ko05216]	0
05215	Prostate cancer [PATH:ko05215]	3
05214	Glioma [PATH:ko05214]	0
05213	Endometrial cancer [PATH:ko05213]	0
05212	Pancreatic cancer [PATH:ko05212]	0
05211	Renal cell carcinoma [PATH:ko05211]	8
05210	Colorectal cancer [PATH:ko05210]	5
05320	Autoimmune thyroid disease [PATH:ko05320]	0
05219	Bladder cancer [PATH:ko05219]	14
05218	Melanoma [PATH:ko05218]	0
05217	Basal cell carcinoma [PATH:ko05217]	0
05012	Parkinson's disease [PATH:ko05012]	71
05014	Amyotrophic lateral sclerosis (ALS) [PATH:ko05014]	5
05016	Huntington's disease [PATH:ko05016]	81
05222	Small cell lung cancer [PATH:ko05222]	5
05223	Non-small cell lung cancer [PATH:ko05223]	0
05220	Chronic myeloid leukemia [PATH:ko05220]	0
05221	Acute myeloid leukemia [PATH:ko05221]	0
05330	Allograft rejection [PATH:ko05330]	28
05020	Prion diseases [PATH:ko05020]	0
05414	Dilated cardiomyopathy (DCM) [PATH:ko05414]	0
05416	Viral myocarditis [PATH:ko05416]	5
05410	Hypertrophic cardiomyopathy (HCM) [PATH:ko05410]	0
05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC) [PATH:ko05412]	0
03040	Spliceosome [PATH:ko03040]	0
03000	Transcription factors [BR:ko03000]	0
03022	Basal transcription factors [PATH:ko03022]	12
03020	RNA polymerase [PATH:ko03020]	162
03041	Spliceosome [BR:ko03041]	0
00970	Aminoacyl-tRNA biosynthesis [PATH:ko00970]	450
03008	Ribosome biogenesis in eukaryotes [PATH:ko03008]	14
03009	Ribosome Biogenesis [BR:ko03009]	0
03013	RNA transport [PATH:ko03013]	26
03012	Translation factors [BR:ko03012]	0
03011	Ribosome [BR:ko03011]	0
03010	Ribosome [PATH:ko03010]	190
03015	mRNA surveillance pathway [PATH:ko03015]	0
03400	DNA repair and recombination proteins [BR:ko03400]	0
03450	Non-homologous end-joining [PATH:ko03450]	6
03440	Homologous recombination [PATH:ko03440]	177
03030	DNA replication [PATH:ko03030]	132
03060	Protein export [PATH:ko03060]	116
03051	Proteasome [BR:ko03051]	0
03050	Proteasome [PATH:ko03050]	8
04122	Sulfur relay system [PATH:ko04122]	78
03018	RNA degradation [PATH:ko03018]	146
04131	SNAREs [BR:ko04131]	0
04130	SNARE interactions in vesicular transport [PATH:ko04130]	0
04120	Ubiquitin mediated proteolysis [PATH:ko04120]	1
04121	Ubiquitin system [BR:ko04121]	0
04141	Protein processing in endoplasmic reticulum [PATH:ko04141]	4
03110	Chaperones and folding catalysts [BR:ko03110]	0
03100	Non-coding RNAs	0
04630	Jak-STAT signaling pathway [PATH:ko04630]	0
02020	Two-component system [PATH:ko02020]	218
02022	Two-component system [BR:ko02022]	0
04370	VEGF signaling pathway [PATH:ko04370]	0
04350	TGF-beta signaling pathway [PATH:ko04350]	0
04340	Hedgehog signaling pathway [PATH:ko04340]	0
04310	Wnt signaling pathway [PATH:ko04310]	0
04150	mTOR signaling pathway [PATH:ko04150]	0
04020	Calcium signaling pathway [PATH:ko04020]	0
04075	Plant hormone signal transduction [PATH:ko04075]	0
04012	ErbB signaling pathway [PATH:ko04012]	0
04013	MAPK signaling pathway - fly [PATH:ko04013]	0
04010	MAPK signaling pathway [PATH:ko04010]	0
04011	MAPK signaling pathway - yeast [PATH:ko04011]	0
04070	Phosphatidylinositol signaling system [PATH:ko04070]	11
04330	Notch signaling pathway [PATH:ko04330]	0
02060	Phosphotransferase system (PTS) [PATH:ko02060]	9
02000	Transporters [BR:ko02000]	0
02010	ABC transporters [PATH:ko02010]	575
02044	Secretion system [BR:ko02044]	0
03070	Bacterial secretion system [PATH:ko03070]	125
04030	G protein-coupled receptors [BR:ko04030]	0
04031	GTP-binding proteins [BR:ko04031]	0
04091	Glycan bindng proteins [BR:ko04091]	0
03310	Nuclear receptors [BR:ko03310]	0
04080	Neuroactive ligand-receptor interaction [PATH:ko04080]	0
04090	Cellular antigens [BR:ko04090]	0
