KO	Function Category Level 4	Gene Count
K12199	VTA1, LIP5; vacuolar protein sorting-associated protein VTA1	0
K10591	NEDD4, RSP5; E3 ubiquitin-protein ligase NEDD4 [EC:6.3.2.19]	0
K01115	E3.1.4.4, PLD; phospholipase D [EC:3.1.4.4]	0
K12492	ARFGAP1; ADP-ribosylation factor GTPase-activating protein 1	0
K10054	PML, TRIM19; probable transcription factor PML	0
K06751	MHC1; major histocompatibility complex, class I	0
K04645	CLTB, LCB; clathrin light chain B	0
K04644	CLTA, LCA; clathrin light chain A	0
K04646	CLTC; clathrin heavy chain	0
K11981	RNF41, NRDP1; E3 ubiquitin-protein ligase NRDP1 [EC:6.3.2.19]	0
K00889	E2.7.1.68, PIP5K; 1-phosphatidylinositol-4-phosphate 5-kinase [EC:2.7.1.68]	0
K04189	CXCR4; C-X-C chemokine receptor type 4	0
K04500	SMAD2_3; SMAD, mothers against DPP 2/3	0
K04180	CCR5; C-C chemokine receptor type 5	0
K05050	IL8RB, CXCR2; interleukin 8 receptor beta	0
K12490	ARAP; Arf-GAP, Rho-GAP domain, ANK repeat and PH domain-containing protein	0
K00909	E2.7.11.14, GRK1, GRK7; rhodopsin kinase [EC:2.7.11.14]	0
K04175	IL8RA, CXCR1; interleukin 8 receptor alpha	0
K04678	SMURF; E3 ubiquitin ligase SMURF1/2 [EC:6.3.2.19]	0
K04679	MADHIP, SARA; MAD, mothers against decapentaplegic interacting protein	0
K12958	CAV2; caveolin 2	0
K12959	CAV3; caveolin 3	0
K04674	TGFBR1; TGF-beta receptor type-1 [EC:2.7.11.30]	0
K04677	SMAD6_7; SMAD, mothers against DPP 6/7	0
K05084	ERBB3, HER3; receptor tyrosine-protein kinase erbB-3 [EC:2.7.10.1]	0
K02833	HRAS; GTPase HRas	0
K12482	RUFY1, RABIP4; RUN and FYVE domain-containing protein 1	0
K05085	ERBB4, HER4; receptor tyrosine-protein kinase erbB-4 [EC:2.7.10.1]	0
K06278	CAV1; caveolin 1	0
K07904	RAB11A; Ras-related protein Rab-11A	0
K09235	RME1; zinc finger protein RME1	0
K04513	RHOA; Ras homolog gene family, member A	0
K07888	RAB5B; Ras-related protein Rab-5B	0
K07889	RAB5C; Ras-related protein Rab-5C	0
K00910	ADRBK, GRK; beta-adrenergic-receptor kinase [EC:2.7.11.15]	0
K07887	RAB5A; Ras-related protein Rab-5A	0
K06069	APKC; atypical protein kinase C [EC:2.7.11.13]	0
K04357	EGF; epidermal growth factor	0
K13305	NEDD4L; E3 ubiquitin-protein ligase NEDD4-like [EC:6.3.2.19]	0
K12488	ASAP; Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein	0
K12489	ACAP; Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein	0
K12484	RAB11FIP1_2_5; Rab11 family-interacting protein 1/2/5	0
K12485	RAB11FIP3_4; Rab11 family-interacting protein 3/4	0
K12486	SMAP; stromal membrane-associated protein	0
K12487	GIT2; G protein-coupled receptor kinase interactor 2	0
K12480	RABEP1; Rab GTPase-binding effector protein 1	0
K12481	ZFYVE20; rabenosyn-5	0
K07879	RAB4A, RAB4; Ras-related protein Rab-4A	0
K12483	EHD1; EH domain-containing protein 1	1
K12494	PSD; PH and SEC7 domain-containing protein	0
K07891	RAB22A; Ras-related protein Rab-22A	0
K07892	RAB31, RAB22B; Ras-related protein Rab-31	0
K07897	RAB7A; Ras-related protein Rab-7A	0
K12469	EHD2; EH domain-containing protein 2	0
K13649	FOLR; folate receptor	0
K11866	STAMBP, AMSH; STAM-binding protein [EC:3.1.2.15]	0
K07905	RAB11B; Ras-related protein Rab-11B	0
K08291	E2.7.11.16; G protein-coupled receptor kinase [EC:2.7.11.16]	0
K12493	ARFGAP2_3; ADP-ribosylation factor GTPase-activating protein 2/3	0
K06093	PARD6; partitioning defective protein 6	0
K12491	AGAP1_2_3; Arf-GAP, GTPase, ANK repeat and PH domain-containing protein 1/2/3	0
K01528	DNM; dynamin GTPase [EC:3.6.5.5]	0
K03914	F2R, PAR1; coagulation factor II (thrombin) receptor	0
K12495	IQSEC; IQ motif and SEC7 domain-containing protein	0
K03283	HSPA1_8; heat shock 70kDa protein 1/8	0
K04439	ARRB; beta-arrestin	0
K12475	DAB2; disabled homolog 2	0
K12474	LDLRAP1, ARH; low density lipoprotein receptor adapter protein 1	0
K12477	EHD4; EH domain-containing protein 4	0
K12476	EHD3; EH domain-containing protein 3	0
K12471	EPN; epsin	0
K12470	SH3KBP1, CIN85; SH3 domain-containing kinase-binding protein 1	0
K12473	LDLR; low-density lipoprotein receptor	0
K12472	EPS15; epidermal growth factor receptor substrate 15	0
K12479	VPS45; vacuolar protein sorting-associated protein 45	0
K12478	EEA1; early endosome antigen 1	0
K04237	PARD3; partitioning defective protein 3	0
K05737	GIT1; G protein-coupled receptor kinase interactor 1	0
K05633	AIP5, WWP1; atrophin-1 interacting protein 5 (WW domain containing E3 ubiquitin protein ligase 1) [EC:6.3.2.19]	0
K05632	AIP4, ITCH; atrophin-1 interacting protein 4 [EC:6.3.2.19]	0
K03176	NTRK1, TRKA; neurotrophic tyrosine kinase receptor type 1 [EC:2.7.10.1]	0
K03175	TRAF6; TNF receptor-associated factor 6	0
K04388	TGFBR2; TGF-beta receptor type-2 [EC:2.7.11.30]	0
K05126	RET; proto-oncogene tyrosine-protein kinase Ret [EC:2.7.10.1]	0
K06643	MDM2; transformed 3T3 cell double minute 2, p53-binding protein [EC:6.3.2.19]	0
K09526	DNAJC6; DnaJ homolog subfamily C member 6	0
K05087	IGF1R; insulin-like growth factor 1 receptor [EC:2.7.10.1]	0
K07941	ARF6; ADP-ribosylation factor 6	0
K13375	TGFB1; transforming growth factor beta-1	0
K13377	TGFB3; transforming growth factor beta-3	0
K13376	TGFB2; transforming growth factor beta-2	0
K13712	PIP5KL1; phosphatidylinositol-4-phosphate 5-kinase-like protein 1 [EC:2.7.1.68]	0
K11247	SH3GL; endophilin-A	0
K11248	SH3GLB; endophilin-B	0
K05068	IL2RA, CD25; interleukin 2 receptor alpha	0
K05069	IL2RB; interleukin 2 receptor beta	0
K04393	CDC42; cell division control protein 42	0
K06503	TFRC, CD71; transferrin receptor	0
K12192	CHMP2B; charged multivesicular body protein 2B	0
K12193	VPS24, CHMP3; charged multivesicular body protein 3	0
K05099	MET, HGFR; proto-oncogene tyrosine-protein kinase Met [EC:2.7.10.1]	0
K05098	KDR, VEGFR2; kinase insert domain protein receptor [EC:2.7.10.1]	0
K12196	VPS4; vacuolar protein-sorting-associated protein 4	0
K12197	CHMP1, VPS46, DID2; charged multivesicular body protein 1	0
K12194	CHMP4, SNF7, VPS32; charged multivesicular body protein 4	0
K12195	CHMP6, VPS20; charged multivesicular body protein 6	0
K05093	FGFR2; fibroblast growth factor receptor 2 [EC:2.7.10.1]	0
K05091	KIT, SCFR; proto-oncogene tyrosine-protein kinase Kit [EC:2.7.10.1]	0
K05090	CSF1R, FMS; macrophage colony-stimulating factor 1 receptor [EC:2.7.10.1]	0
K05096	FLT1, VEGFR1; FMS-like tyrosine kinase 1 [EC:2.7.10.1]	0
K05095	FGFR4; fibroblast growth factor receptor 4 [EC:2.7.10.1]	0
K05094	FGFR3; fibroblast growth factor receptor 3 [EC:2.7.10.1]	0
K04705	STAM; signal transducing adaptor molecule	0
K12200	PDCD6IP, ALIX, RIM20; programmed cell death 6-interacting protein	0
K04707	CBL; E3 ubiquitin-protein ligase CBL [EC:6.3.2.19]	0
K11839	USP8, UBP5; ubiquitin carboxyl-terminal hydrolase 8 [EC:3.1.2.15]	0
K04142	ADRB2; adrenergic receptor beta-2	0
K04143	ADRB3; adrenergic receptor beta-3	0
K04141	ADRB1; adrenergic receptor beta-1	0
K05070	IL2RG; interleukin 2 receptor gamma	0
K12190	VPS36, EAP45; ESCRT-II complex subunit VPS36	0
K04361	EGFR, ERBB1; epidermal growth factor receptor [EC:2.7.10.1]	0
K12191	CHMP2A; charged multivesicular body protein 2A	0
K04363	PDGFRA; platelet-derived growth factor receptor alpha [EC:2.7.10.1]	0
K12183	TSG101, STP22, VPS23; ESCRT-I complex subunit TSG101	0
K12182	HGS, HRS, VPS27; hepatocyte growth factor-regulated tyrosine kinase substrate	0
K12185	VPS37; ESCRT-I complex subunit VPS37	0
K12184	VPS28; ESCRT-I complex subunit VPS28	0
K12187	MVB12; ESCRT-I complex subunit MVB12	0
K12186	FAM125; ESCRT-I complex subunit MVB12	0
K12189	VPS25, EAP20; ESCRT-II complex subunit VPS25	0
K12188	SNF8, EAP30; ESCRT-II complex subunit VPS22	0
K05704	SRC; proto-oncogene tyrosine-protein kinase Src [EC:2.7.10.2]	0
K11827	AP2S1; AP-2 complex subunit sigma-1	0
K11826	AP2M1; AP-2 complex subunit mu-1	0
K11825	AP2B1; AP-2 complex subunit beta-1	0
K11824	AP2A; AP-2 complex subunit alpha	0
K12198	CHMP5, VPS60; charged multivesicular body protein 5	0
K01368	CTSS; cathepsin S [EC:3.4.22.27]	0
K01365	CTSL; cathepsin L [EC:3.4.22.15]	0
K02155	ATPeVPL, ATP6L; V-type H+-transporting ATPase 16kDa proteolipid subunit [EC:3.6.3.14]	0
K02154	ATPeVI, ATP6N1A; V-type H+-transporting ATPase subunit I [EC:3.6.3.14]	0
K02153	ATPeVH, ATP6H; V-type H+-transporting ATPase subunit H [EC:3.6.3.14]	0
K02152	ATPeVG, ATP6G1; V-type H+-transporting ATPase subunit G [EC:3.6.3.14]	0
