1612_0	1106503	1106620
1893_0	1164362	1164498
1893_1	1164498	1164697
4424_0	544613	544792
560_0	729908	730196
1351_0	747288	747470
4926_0	476921	477025
2016_0	194996	195159
4163_0	927534	927648
4163_1	927648	927732
2297_0	816393	816476
1853_0	1267162	1267226
1853_1	1267226	1267287
2518_0	14696	14865
1090_0	128681	128930
4665_0	488400	488635
520_0	640876	641140
2799_0	873861	873936
1311_0	851167	851352
1592_0	534567	534720
1592_1	534720	534876
4123_0	1022197	1022287
1592_2	534876	534984
4123_1	1022287	1022506
6270_0	526927	527198
2257_0	309164	309361
1813_0	1374578	1374869
3960_0	1214720	1214944
3960_1	1214944	1215027
5069_0	2576	2647
1050_0	1233059	1233241
4625_0	749483	749586
5069_1	2647	2831
4625_1	749586	749818
2759_0	569007	569126
761_0	1077430	1077629
1552_0	839332	839453
6230_0	438165	438446
2217_0	413312	413474
4364_0	575811	576143
3920_0	1113279	1113587
2498_0	486697	486787
2498_1	486787	486870
2498_2	486870	486965
5029_0	1316268	1316456
1010_0	1344792	1344874
5029_1	1316456	1316568
1010_1	1344874	1345030
2719_0	673007	673088
1291_0	371514	371604
721_0	1176600	1176678
721_1	1176678	1176904
1512_0	734600	734808
4324_0	472978	473094
4324_1	473094	473259
2458_0	393786	393845
460_0	955581	955870
1251_0	677564	677695
4826_0	9647	9834
962_0	24869	25060
4063_0	155131	155324
4063_1	155324	155438
2197_0	1115436	1115519
1753_0	1056176	1056314
2197_1	1115519	1115674
2418_0	293691	293821
2418_1	293821	294106
4565_0	672573	672672
420_0	865620	865812
4565_1	672672	672768
2699_0	745658	745792
1211_0	573032	573327
1492_0	260484	260671
922_0	133206	133296
4023_0	43157	43284
922_1	133296	133425
922_2	133425	133498
6170_0	196267	196503
2157_0	1216612	1216760
6170_1	196503	196611
1713_0	961755	961921
3860_0	1402524	1402677
1994_0	37577	37738
4525_0	795509	795581
2659_0	1032647	1032810
661_0	390230	390323
661_1	390323	390428
1452_0	559715	559957
2117_0	1324204	1324539
6130_0	1351698	1351936
6130_1	1351936	1352016
4264_0	805840	805979
3820_0	84224	84292
2398_0	329388	329629
