ID	Function Category Level 3	Gene Count
04144	Endocytosis [PATH:ko04144]	5
04145	Phagosome [PATH:ko04145]	14
04146	Peroxisome [PATH:ko04146]	78
04140	Regulation of autophagy [PATH:ko04140]	0
04142	Lysosome [PATH:ko04142]	11
04540	Gap junction [PATH:ko04540]	0
04510	Focal adhesion [PATH:ko04510]	0
04530	Tight junction [PATH:ko04530]	0
04520	Adherens junction [PATH:ko04520]	0
04812	Cytoskeleton proteins [BR:ko04812]	0
04810	Regulation of actin cytoskeleton [PATH:ko04810]	0
02035	Bacterial motility proteins [BR:ko02035]	0
02030	Bacterial chemotaxis [PATH:ko02030]	32
02040	Flagellar assembly [PATH:ko02040]	49
04115	p53 signaling pathway [PATH:ko04115]	7
04114	Oocyte meiosis [PATH:ko04114]	0
04113	Meiosis - yeast [PATH:ko04113]	8
04112	Cell cycle - Caulobacter [PATH:ko04112]	57
04111	Cell cycle - yeast [PATH:ko04111]	0
04110	Cell cycle [PATH:ko04110]	0
04210	Apoptosis [PATH:ko04210]	2
04930	Type II diabetes mellitus [PATH:ko04930]	23
04950	Maturity onset diabetes of the young [PATH:ko04950]	1
04940	Type I diabetes mellitus [PATH:ko04940]	13
05100	Bacterial invasion of epithelial cells [PATH:ko05100]	0
05120	Epithelial cell signaling in Helicobacter pylori infection [PATH:ko05120]	14
05130	Pathogenic Escherichia coli infection [PATH:ko05130]	0
05131	Shigellosis [PATH:ko05131]	0
05160	Hepatitis C [PATH:ko05160]	1
05162	Measles [PATH:ko05162]	2
05110	Vibrio cholerae infection [PATH:ko05110]	14
05111	Vibrio cholerae pathogenic cycle [PATH:ko05111]	12
05150	Staphylococcus aureus infection [PATH:ko05150]	0
05146	Amoebiasis [PATH:ko05146]	0
05145	Toxoplasmosis [PATH:ko05145]	3
05144	Malaria [PATH:ko05144]	0
05143	African trypanosomiasis [PATH:ko05143]	5
05142	Chagas disease (American trypanosomiasis) [PATH:ko05142]	5
05140	Leishmaniasis [PATH:ko05140]	0
05200	Pathways in cancer [PATH:ko05200]	47
05216	Thyroid cancer [PATH:ko05216]	0
05215	Prostate cancer [PATH:ko05215]	4
05214	Glioma [PATH:ko05214]	0
05213	Endometrial cancer [PATH:ko05213]	5
05212	Pancreatic cancer [PATH:ko05212]	0
05211	Renal cell carcinoma [PATH:ko05211]	32
05210	Colorectal cancer [PATH:ko05210]	11
05320	Autoimmune thyroid disease [PATH:ko05320]	0
05219	Bladder cancer [PATH:ko05219]	9
05218	Melanoma [PATH:ko05218]	0
05217	Basal cell carcinoma [PATH:ko05217]	0
05012	Parkinson's disease [PATH:ko05012]	90
05014	Amyotrophic lateral sclerosis (ALS) [PATH:ko05014]	7
05016	Huntington's disease [PATH:ko05016]	84
05222	Small cell lung cancer [PATH:ko05222]	2
05223	Non-small cell lung cancer [PATH:ko05223]	0
05220	Chronic myeloid leukemia [PATH:ko05220]	0
05221	Acute myeloid leukemia [PATH:ko05221]	0
05330	Allograft rejection [PATH:ko05330]	33
05020	Prion diseases [PATH:ko05020]	0
05414	Dilated cardiomyopathy (DCM) [PATH:ko05414]	0
05416	Viral myocarditis [PATH:ko05416]	3
05410	Hypertrophic cardiomyopathy (HCM) [PATH:ko05410]	0
05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC) [PATH:ko05412]	0
03040	Spliceosome [PATH:ko03040]	14
03000	Transcription factors [BR:ko03000]	0
03022	Basal transcription factors [PATH:ko03022]	5
03020	RNA polymerase [PATH:ko03020]	149
03041	Spliceosome [BR:ko03041]	0
00970	Aminoacyl-tRNA biosynthesis [PATH:ko00970]	379
03008	Ribosome biogenesis in eukaryotes [PATH:ko03008]	8
03009	Ribosome Biogenesis [BR:ko03009]	0
03013	RNA transport [PATH:ko03013]	22
03012	Translation factors [BR:ko03012]	0
03011	Ribosome [BR:ko03011]	0
03010	Ribosome [PATH:ko03010]	332
03015	mRNA surveillance pathway [PATH:ko03015]	3
03400	DNA repair and recombination proteins [BR:ko03400]	0
03450	Non-homologous end-joining [PATH:ko03450]	0
03440	Homologous recombination [PATH:ko03440]	198
03030	DNA replication [PATH:ko03030]	137
03060	Protein export [PATH:ko03060]	111
03051	Proteasome [BR:ko03051]	0
03050	Proteasome [PATH:ko03050]	0
04122	Sulfur relay system [PATH:ko04122]	55
03018	RNA degradation [PATH:ko03018]	71
04131	SNAREs [BR:ko04131]	0
04130	SNARE interactions in vesicular transport [PATH:ko04130]	0
04120	Ubiquitin mediated proteolysis [PATH:ko04120]	0
04121	Ubiquitin system [BR:ko04121]	0
04141	Protein processing in endoplasmic reticulum [PATH:ko04141]	6
