#query	target	q_length	bitscore	bsr	expect	aln_length	identity	ec	product
chlorophyllmax_130m_1915_0	fig|102997.3.peg.5853	319	1396	0.811156304474	0.0	319.0	100.0	4.2.1.3	Aconitate hydratase 2 (EC 4.2.1.3) [Burkholderia ubonensis Bu]
chlorophyllmax_130m_5428_0	fig|1037911.3.peg.1275	294	1387	0.828059701493	0.0	294.0	100.0		hydrolase, putative [Pseudomonas fluorescens A506]
chlorophyllmax_130m_5428_0	fig|1038924.3.peg.1304	294	1371	0.818507462687	0.0	294.0	100.0		hydrolase, putative [Pseudomonas fluorescens SS101]
chlorophyllmax_130m_1915_0	fig|1007105.3.peg.402	321	1360	0.790238233585	0.0	321.0	100.0	4.2.1.3	Aconitate hydratase 2 (EC 4.2.1.3) [Pusillimonas sp. T7-7]
chlorophyllmax_130m_5428_0	fig|1030145.6.peg.1559	294	1358	0.810746268657	0.0	294.0	100.0		hydrolase, putative [Pseudomonas tolaasii PMS117]
chlorophyllmax_130m_1915_0	fig|1036672.3.peg.3212	319	1354	0.786751888437	0.0	319.0	100.0	4.2.1.3	Aconitate hydratase 2 (EC 4.2.1.3) [Tetrathiobacter kashmirensis WT001]
chlorophyllmax_130m_1915_0	fig|1042878.5.peg.522	321	1346	0.782103428239	0.0	321.0	100.0	4.2.1.3	Aconitate hydratase 2 (EC 4.2.1.3) [Cupriavidus necator N-1]
chlorophyllmax_130m_1915_0	fig|1003200.3.peg.578	321	1340	0.778617083091	0.0	321.0	100.0	4.2.1.3	Aconitate hydratase 2 (EC 4.2.1.3) [Achromobacter xylosoxidans AXX-A]
chlorophyllmax_130m_5461_0	fig|102129.3.peg.3558	293	1312	0.86600660066	0.0	293.0	100.0	2.7.7.6	DNA-directed RNA polymerase gamma subunit (EC 2.7.7.6) [Leptolyngbya sp. PCC 7375]
chlorophyllmax_130m_5455_0	fig|102129.3.peg.5031	306	1312	0.806888068881	0.0	306.0	100.0	3.5.1.5	Urease alpha subunit (EC 3.5.1.5) [Leptolyngbya sp. PCC 7375]
chlorophyllmax_130m_5455_0	fig|1003237.3.peg.3296	305	1303	0.80135301353	0.0	305.0	100.0	3.5.1.5	Urease alpha subunit (EC 3.5.1.5) [Azospirillum amazonense Y2]
chlorophyllmax_130m_5461_0	fig|103690.1.peg.1902	293	1298	0.856765676568	0.0	293.0	100.0	2.7.7.6	DNA-directed RNA polymerase gamma subunit (EC 2.7.7.6) [Nostoc sp. PCC 7120]
chlorophyllmax_130m_5461_0	fig|103690.10.peg.2090	293	1298	0.856765676568	0.0	293.0	100.0	2.7.7.6	DNA-directed RNA polymerase gamma subunit (EC 2.7.7.6) [Nostoc sp. PCC 7120]
chlorophyllmax_130m_5455_0	fig|102997.3.peg.2478	306	1293	0.79520295203	0.0	306.0	100.0	3.5.1.5	Urease alpha subunit (EC 3.5.1.5) [Burkholderia ubonensis Bu]
chlorophyllmax_130m_5455_0	fig|102125.3.peg.1227	311	1292	0.794587945879	0.0	311.0	100.0	3.5.1.5	Urease alpha subunit (EC 3.5.1.5) [Xenococcus sp. PCC 7305]
chlorophyllmax_130m_5455_0	fig|1009846.3.peg.2731	306	1290	0.793357933579	0.0	306.0	100.0	3.5.1.5	Urease alpha subunit (EC 3.5.1.5) [Burkholderia cepacia GG4]
chlorophyllmax_130m_5461_0	fig|102125.3.peg.4274	293	1288	0.850165016502	0.0	293.0	100.0	2.7.7.6	DNA-directed RNA polymerase gamma subunit (EC 2.7.7.6) [Xenococcus sp. PCC 7305]
chlorophyllmax_130m_1934_0	fig|1009852.3.peg.2782	264	1266	0.92341356674	0.0	264.0	100.0	5.99.1.3	DNA gyrase subunit A (EC 5.99.1.3) [Comamonas testosteroni ATCC 11996]
chlorophyllmax_130m_5461_0	fig|1041057.3.peg.3561	293	1261	0.832343234323	0.0	293.0	100.0	2.7.7.6	DNA-directed RNA polymerase gamma subunit (EC 2.7.7.6) [Prochloron didemni P2-Fiji]
chlorophyllmax_130m_5212_0	fig|1042378.3.peg.3153	272	1220	0.872675250358	0.0	272.0	100.0		Translation elongation factor LepA [Oceanicola sp. S124]
chlorophyllmax_130m_5428_0	fig|1037915.3.peg.5272	294	1219	0.72776119403	0.0	294.0	100.0		hydrolase, putative [Pseudomonas chlororaphis O6]
chlorophyllmax_130m_5428_0	fig|1038921.4.peg.1024	294	1215	0.725373134328	0.0	294.0	100.0		hydrolase, putative [Pseudomonas chlororaphis subsp. aureofaciens 30-84]
chlorophyllmax_130m_5212_0	fig|1002340.3.peg.1788	277	1200	0.858369098712	0.0	277.0	100.0		Translation elongation factor LepA [Phaeobacter gallaeciensis ANG1]
chlorophyllmax_130m_2056_0	fig|1009852.3.peg.3720	298	1200	0.741198270537	0.0	298.0	100.0	4.1.99.17	Hydroxymethylpyrimidine phosphate synthase ThiC (EC 4.1.99.17) [Comamonas testosteroni ATCC 11996]
chlorophyllmax_130m_5212_0	fig|1051075.5.peg.2975	272	1193	0.853361945637	0.0	272.0	100.0		Translation elongation factor LepA [Paracoccus denitrificans SD1]
chlorophyllmax_130m_4241_0	fig|1051649.3.peg.4209	318	1190	0.709177592372	0.0	318.0	100.0	1.1.1.42	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42); Monomeric isocitrate dehydrogenase [NADP] (EC 1.1.1.42) [Vibrio nigripulchritudo ATCC 27043]
