ORF_ID	ORF_length	start	end	Contig_Name	Contig_length	strand	ec	taxonomy	product
upper_euphotic_70m_1983_0	665	1	666	upper_euphotic_70m_1983	1028	+		all	hypothetical protein
upper_euphotic_70m_1982_0	404	2	406	upper_euphotic_70m_1982	1114	-		Rhodospirillales	mitochondrial translational initiation factor, putative K02519 translation factor IF-2
upper_euphotic_70m_1982_1	176	937	1113	upper_euphotic_70m_1982	1114	+		all	hypothetical protein
upper_euphotic_70m_1981_0	149	546	695	upper_euphotic_70m_1981	696	-		all	hypothetical protein
upper_euphotic_70m_1980_0	293	3	296	upper_euphotic_70m_1980	1071	+		all	hypothetical protein
upper_euphotic_70m_1980_1	215	611	826	upper_euphotic_70m_1980	1071	+		all	hypothetical protein
upper_euphotic_70m_1980_2	128	766	894	upper_euphotic_70m_1980	1071	+		all	hypothetical protein
upper_euphotic_70m_1987_0	428	3	431	upper_euphotic_70m_1987	1048	+		all	hypothetical protein
upper_euphotic_70m_1987_1	293	417	710	upper_euphotic_70m_1987	1048	-		all	hypothetical protein
upper_euphotic_70m_1986_0	149	24	173	upper_euphotic_70m_1986	1034	+		all	hypothetical protein
upper_euphotic_70m_1986_1	512	261	773	upper_euphotic_70m_1986	1034	+		Erythrobacter sp. SD-21	Bll2645 protein
upper_euphotic_70m_1985_0	143	711	854	upper_euphotic_70m_1985	1042	-		all	hypothetical protein
upper_euphotic_70m_1984_0	182	403	585	upper_euphotic_70m_1984	1084	+		all	hypothetical protein
upper_euphotic_70m_1989_0	215	131	346	upper_euphotic_70m_1989	1044	-		all	hypothetical protein
upper_euphotic_70m_1989_1	128	315	443	upper_euphotic_70m_1989	1044	-		all	hypothetical protein
upper_euphotic_70m_1989_2	134	909	1043	upper_euphotic_70m_1989	1044	-		all	hypothetical protein
upper_euphotic_70m_1988_0	533	1	534	upper_euphotic_70m_1988	944	+		all	hypothetical protein
upper_euphotic_70m_1188_0	665	3	668	upper_euphotic_70m_1188	901	+		Proteobacteria	mandelate racemase/muconate lactonizing enzyme
upper_euphotic_70m_1188_1	416	484	900	upper_euphotic_70m_1188	901	-		all	hypothetical protein
upper_euphotic_70m_1183_0	929	1	930	upper_euphotic_70m_1183	931	+		all	hypothetical protein
upper_euphotic_70m_1182_0	194	1	195	upper_euphotic_70m_1182	883	-		all	hypothetical protein
upper_euphotic_70m_1182_1	410	192	602	upper_euphotic_70m_1182	883	-		all	hypothetical protein
upper_euphotic_70m_1181_0	488	1	489	upper_euphotic_70m_1181	888	+	6.1.1.10	Anacystis	metG methionyl-tRNA synthetase (EC:6.1.1.10) K01874
upper_euphotic_70m_1181_1	392	494	886	upper_euphotic_70m_1181	888	+	1.1.1.3	Anacystis	Homoserine dehydrogenase (EC 1.1.1.3)
upper_euphotic_70m_1180_0	116	3	119	upper_euphotic_70m_1180	902	-		all	hypothetical protein
upper_euphotic_70m_1180_1	503	275	778	upper_euphotic_70m_1180	902	+		all	hypothetical protein
upper_euphotic_70m_1187_0	881	2	883	upper_euphotic_70m_1187	898	+		all	hypothetical protein
upper_euphotic_70m_1186_0	110	3	113	upper_euphotic_70m_1186	863	-		all	hypothetical protein
upper_euphotic_70m_1186_1	656	206	862	upper_euphotic_70m_1186	863	-		all	hypothetical protein
upper_euphotic_70m_1185_0	710	56	766	upper_euphotic_70m_1185	929	-		alpha proteobacterium BAL199	Anaerobic dehydrogenases, typically selenocysteine-containing
upper_euphotic_70m_1184_0	926	3	929	upper_euphotic_70m_1184	931	-		all	hypothetical protein
upper_euphotic_70m_4809_0	245	5	250	upper_euphotic_70m_4809	871	-	1.3.8.1	"Alphabacteria" Cavalier-Smith 1992	Acyl-CoA dehydrogenase, short-chain specific (EC 1.3.8.1)
upper_euphotic_70m_4809_1	443	323	766	upper_euphotic_70m_4809	871	-		all	hypothetical protein
upper_euphotic_70m_4808_0	407	2	409	upper_euphotic_70m_4808	756	+		SAR324 cluster bacterium JCVI-SC AAA005	
upper_euphotic_70m_4808_1	317	430	747	upper_euphotic_70m_4808	756	+		SAR324 cluster bacterium JCVI-SC AAA005	
upper_euphotic_70m_4801_0	68	3	71	upper_euphotic_70m_4801	835	-		all	hypothetical protein
upper_euphotic_70m_4801_1	749	84	833	upper_euphotic_70m_4801	835	-		Candidatus Puniceispirillum marinum IMCC1322	ribosomal L11 methyltransferase (EC:2.1.1.-) K02687 protein
upper_euphotic_70m_4800_0	857	2	859	upper_euphotic_70m_4800	860	+	1.14.13.92	Bradyrhizobium elkanii 587	Phenylacetone monooxygenase (EC:1.14.13.92)
upper_euphotic_70m_4803_0	101	65	166	upper_euphotic_70m_4803	892	+		all	hypothetical protein
upper_euphotic_70m_4802_0	368	3	371	upper_euphotic_70m_4802	885	+		all	hypothetical protein
upper_euphotic_70m_4802_1	485	399	884	upper_euphotic_70m_4802	885	-		all	hypothetical protein
upper_euphotic_70m_4805_0	137	75	212	upper_euphotic_70m_4805	212	+		all	hypothetical protein
upper_euphotic_70m_4804_0	233	23	256	upper_euphotic_70m_4804	855	-		all	hypothetical protein
upper_euphotic_70m_4804_1	422	329	751	upper_euphotic_70m_4804	855	-		all	hypothetical protein
