#query	target	q_length	bitscore	bsr	expect	aln_length	identity	ec	product
omz_770m_1379_1	gi|84786545|gb|ABC62727.1|	252	873	0.630780346821	0.0	252.0	100.0		alpha-amylase family protein [Erythrobacter litoralis HTCC2594] (GH:13)
omz_770m_1379_1	gi|87135589|gb|ABD26331.1|	256	845	0.610549132948	0.0	256.0	100.0		alpha amylase, catalytic region [Novosphingobium aromaticivorans DSM 12444] (GH:13)
omz_770m_1379_1	gi|333939595|emb|CCA92953.1|	251	754	0.544797687861	0.0	251.0	100.0		alpha-glucosidase [Novosphingobium sp. PP1Y] (GH:13)
omz_770m_1379_1	gi|98975757|gb|ABF51908.1|	255	732	0.528901734104	0.0	255.0	100.0		alpha amylase, catalytic region [Sphingopyxis alaskensis RB2256] (GH:13)
omz_770m_1379_1	gi|333938556|emb|CCA91914.1|	249	690	0.498554913295	0.0	249.0	100.0		alpha-glucosidase [Novosphingobium sp. PP1Y] (GH:13)
omz_770m_8217_0	gi|167042918|gb|ABZ07633.1|	236	1048	0.755043227666	0.0	236.0	100.0		putative glycosyl transferase [uncultured marine crenarchaeote HF4000_ANIW137N13] (GT:2)
omz_770m_8217_0	gi|167044520|gb|ABZ09194.1|	236	1043	0.75144092219	0.0	236.0	100.0		putative glycosyl transferase, partial [uncultured marine crenarchaeote HF4000_APKG6N3] (GT:2)
omz_770m_8217_0	gi|167045343|gb|ABZ10000.1|	232	973	0.701008645533	0.0	232.0	100.0		putative glycosyl transferase [uncultured marine crenarchaeote HF4000_APKG10D8] (GT:2)
omz_770m_8217_0	gi|167045255|gb|ABZ09914.1|	232	973	0.701008645533	0.0	232.0	100.0		putative glycosyl transferase [uncultured marine crenarchaeote HF4000_APKG9M20] (GT:2)
omz_770m_8217_0	gi|167044443|gb|ABZ09119.1|	233	806	0.580691642651	0.0	233.0	100.0		putative glycosyl transferase [uncultured marine crenarchaeote HF4000_APKG6D9] (GT:2)
omz_770m_2053_0	gi|82944278|dbj|BAE49142.1|	238	741	0.595180722892	0.0	238.0	100.0		Glycosyltransferase [Magnetospirillum magneticum AMB-1] (GT:4)
omz_770m_2053_0	gi|83577619|gb|ABC24170.1|	238	653	0.524497991968	0.0	238.0	100.0		Glycosyl transferase, group 1 [Rhodospirillum rubrum ATCC 11170] (GT:4)
omz_770m_2053_0	gi|346719906|gb|AEO49921.1|	238	653	0.524497991968	0.0	238.0	100.0		glycosyl transferase, group 1 [Rhodospirillum rubrum F11] (GT:4)
omz_770m_2053_0	gi|347589385|gb|AEP08427.1|	238	628	0.504417670683	0.0	238.0	100.0		glycosyl transferases group 1 family protein [Micavibrio aeruginosavorus ARL-13] (GT:4)
omz_770m_2053_0	gi|469926943|gb|AGH96908.1|	238	627	0.503614457831	0.0	238.0	100.0		Glycosyltransferase [Micavibrio aeruginosavorus EPB] (GT:4)
omz_770m_922_0	gi|167044990|gb|ABZ09655.1|	256	1157	0.823487544484	0.0	256.0	100.0		putative glycosyl transferase [uncultured marine crenarchaeote HF4000_APKG8G2] (GT:2)
omz_770m_922_0	gi|167045234|gb|ABZ09894.1|	256	1018	0.724555160142	0.0	256.0	100.0		putative glycosyl transferase [uncultured marine crenarchaeote HF4000_APKG8O8] (GT:2)
omz_770m_922_0	gi|167044518|gb|ABZ09193.1|	227	994	0.707473309609	0.0	227.0	100.0		putative glycosyl transferase [uncultured marine crenarchaeote HF4000_APKG6J21] (GT:2)
omz_770m_922_0	gi|407045589|gb|AFS80342.1|	277	699	0.497508896797	0.0	277.0	100.0		glycosyl transferase family protein [Candidatus Nitrosopumilus koreensis AR1] (GT:2)
omz_770m_922_0	gi|160339253|gb|ABX12340.1|	275	694	0.493950177936	0.0	275.0	100.0		glycosyl transferase family 2 [Nitrosopumilus maritimus SCM1] (GT:2)
omz_770m_6460_0	gi|387857151|gb|AFK05248.1|	211	680	0.519083969466	0.0	211.0	100.0		oxidoreductase domain protein [Emticicia oligotrophica DSM 17448] (GH:109)
omz_770m_6460_0	gi|294982750|gb|ADF53215.1|	243	674	0.514503816794	0.0	243.0	100.0		oxidoreductase, Gfo/Idh/MocA family protein [Zunongwangia profunda SM-A87] (GH:109)
omz_770m_6460_0	gi|256040419|gb|ACU63963.1|	245	662	0.50534351145	0.0	245.0	100.0		oxidoreductase domain protein [Chitinophaga pinensis DSM 2588] (GH:109)
omz_770m_6460_0	gi|311905795|gb|ADQ16236.1|	242	660	0.503816793893	0.0	242.0	100.0		oxidoreductase domain protein [Leadbetterella byssophila DSM 17132] (GH:109)
omz_770m_6460_0	gi|384065428|emb|CCG98638.1|	216	656	0.500763358779	0.0	216.0	100.0		Alpha-N-acetylgalactosaminidase [Fibrella aestuarina BUZ 2] (GH:109)
omz_770m_4735_0	gi|312446562|gb|ADQ82917.1|	231	669	0.52265625	0.0	231.0	100.0		glycosyl transferase group 1 [Riemerella anatipestifer ATCC 11845 = DSM 15868] (GT:4)
omz_770m_4735_0	gi|380461245|gb|AFD56929.1|	231	669	0.52265625	0.0	231.0	100.0		glycosyl transferase group 1 [Riemerella anatipestifer ATCC 11845 = DSM 15868] (GT:4)
omz_770m_4735_0	gi|403311855|gb|AFR34696.1|	231	669	0.52265625	0.0	231.0	100.0		hypothetical protein B739_0088 [Riemerella anatipestifer RA-CH-1] (GT:4)
omz_770m_4735_0	gi|441484440|gb|AGC41126.1|	231	669	0.52265625	0.0	231.0	100.0		hypothetical protein G148_1822 [Riemerella anatipestifer RA-CH-2] (GT:4)
omz_770m_4735_0	gi|325335307|gb|ADZ11581.1|	231	669	0.52265625	0.0	231.0	100.0		Rcc1 [Riemerella anatipestifer RA-GD] (GT:4)
omz_770m_8731_0	gi|219996552|gb|ACL73154.1|	298	1063	0.626768867925	0.0	298.0	100.0		1,4-alpha-glucan branching enzyme [Thioalkalivibrio sulfidophilus HL-EbGr7] (GH:13)
omz_770m_8731_0	gi|349859048|gb|AEQ20556.1|	300	1060	0.625	0.0	300.0	100.0		alpha-1,4-glucan 6-glycosyltransferase [uncultured bacterium CSLD10] (GH:13)
omz_770m_8731_0	gi|239801557|gb|ACS18624.1|	298	1054	0.621462264151	0.0	298.0	100.0		1,4-alpha-glucan branching enzyme [Variovorax paradoxus S110] (GH:13)
