#query	target	q_length	bitscore	bsr	expect	aln_length	identity	ec	product
omz_770m_596_0	mcc:100426400	306	1562	0.957107843137	0.0	306.0	100.0		pyruvate carboxylase-like
omz_770m_3603_0	olu:OSTLU_51414	305	1411	0.771459814106	0.0	305.0	100.0		hypothetical protein; K03253 translation initiation factor 3 subunit B
omz_770m_3603_0	ota:Ot15g01870	304	1360	0.74357572444	0.0	304.0	100.0		Translation initiation factor 3, subunit b (eIF-3b) (ISS); K03253 translation initiation factor 3 subunit B
omz_770m_4688_0	olu:OSTLU_32968	292	1241	0.832327297116	0.0	292.0	100.0		hypothetical protein
omz_770m_4758_0	xtr:100498028	286	1232	0.863349684653	0.0	286.0	100.0		hypothetical protein LOC100498028
omz_770m_8144_0	ppp:PHYPADRAFT_153830	282	1182	0.699408284024	0.0	282.0	100.0		hypothetical protein; K03147 thiamine biosynthesis protein ThiC
omz_770m_8144_0	ppp:PHYPADRAFT_58059	282	1181	0.698816568047	0.0	282.0	100.0		hypothetical protein; K03147 thiamine biosynthesis protein ThiC
omz_770m_8144_0	vvi:100250096	282	1180	0.698224852071	0.0	282.0	100.0		hypothetical protein LOC100250096; K03147 thiamine biosynthesis protein ThiC
omz_770m_4688_0	ota:Ot08g01010	292	1175	0.788061703555	0.0	292.0	100.0		putative Importin 9 (ISS)
omz_770m_8144_0	smo:SELMODRAFT_120890	282	1173	0.694082840237	0.0	282.0	100.0		hypothetical protein
omz_770m_8144_0	smo:SELMODRAFT_152730	282	1173	0.694082840237	0.0	282.0	100.0		hypothetical protein
omz_770m_7218_0	vcn:VOLCADRAFT_81861	294	1146	0.713130056005	0.0	294.0	100.0		sufB; iron-sulfur cluster assembly protein
omz_770m_9161_0	hmg:100197114	292	1144	0.76419505678	0.0	292.0	100.0		similar to Translation elongation factor, mitochondrial
omz_770m_9500_0	nve:NEMVE_v1g110807	321	1139	0.666081871345	0.0	321.0	100.0	1.6.5.3	hypothetical protein ; K03935 NADH dehydrogenase (ubiquinone) Fe-S protein 2 [EC:1.6.5.3 1.6.99.3]
omz_770m_9500_0	vcn:VOLCADRAFT_84552	321	1139	0.666081871345	0.0	321.0	100.0	1.6.5.3	nuo7; NADH:ubiquinone oxidoreductase 49 kDa subunit; K03935 NADH dehydrogenase (ubiquinone) Fe-S protein 2 [EC:1.6.5.3 1.6.99.3]
omz_770m_9161_0	bfo:BRAFLDRAFT_206351	285	1135	0.758183032732	0.0	285.0	100.0		hypothetical protein
omz_770m_9500_0	cre:CHLREDRAFT_185013	321	1135	0.663742690058	0.0	321.0	100.0	1.6.5.3	NUO7; NADH:ubiquinone oxidoreductase 49 kDa ND7 subunit; K03935 NADH dehydrogenase (ubiquinone) Fe-S protein 2 [EC:1.6.5.3 1.6.99.3]
omz_770m_9500_0	ppp:PhpafMp32	321	1132	0.661988304094	0.0	321.0	100.0	1.6.5.3	nad7; NADH dehydrogenase subunit 7; K03935 NADH dehydrogenase (ubiquinone) Fe-S protein 2 [EC:1.6.5.3 1.6.99.3]
omz_770m_9500_0	hmg:100207045	315	1128	0.659649122807	0.0	315.0	100.0	1.6.5.3	similar to NADH dehydrogenase (ubiquinone) Fe-S protein 2; K03935 NADH dehydrogenase (ubiquinone) Fe-S protein 2 [EC:1.6.5.3 1.6.99.3]
omz_770m_9161_0	isc:IscW_ISCW020780	290	1126	0.752171008684	0.0	290.0	100.0	2.7.7.4	translation elongation factor, putative (EC:2.7.7.4)
omz_770m_7218_0	ota:Ot08g00160	294	1125	0.700062227754	0.0	294.0	100.0		ABC transporter subunit (ISS)
omz_770m_7218_0	olu:OSTLU_16322	294	1113	0.692594897324	0.0	294.0	100.0		ABC(membrane) family transporter (Fe-S assembly/SufBCD system)
omz_770m_7368_0	ppp:PHYPADRAFT_108343	265	1106	0.796829971182	0.0	265.0	100.0		hypothetical protein; K03696 ATP-dependent Clp protease ATP-binding subunit ClpC
omz_770m_7368_0	ppp:PHYPADRAFT_118241	265	1105	0.796109510086	0.0	265.0	100.0		hypothetical protein; K03696 ATP-dependent Clp protease ATP-binding subunit ClpC
omz_770m_9161_0	bfo:BRAFLDRAFT_119493	283	1104	0.7374749499	0.0	283.0	100.0		hypothetical protein
omz_770m_7368_0	smo:SELMODRAFT_176012	265	1103	0.794668587896	0.0	265.0	100.0		hypothetical protein
omz_770m_7368_0	smo:SELMODRAFT_439163	265	1103	0.794668587896	0.0	265.0	100.0		hypothetical protein
omz_770m_7368_0	ppp:PHYPADRAFT_106487	265	1103	0.794668587896	0.0	265.0	100.0		hypothetical protein; K03696 ATP-dependent Clp protease ATP-binding subunit ClpC
omz_770m_1847_0	vcn:VOLCADRAFT_61316	282	1096	0.731642189586	0.0	282.0	100.0		pck1; phosphoenolpyruvate carboxykinase
omz_770m_1847_0	vcn:VOLCADRAFT_106350	283	1093	0.729639519359	0.0	283.0	100.0	4.1.1.49	pck4; phosphoenolpyruvate carboxykinase; K01610 phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]
omz_770m_1847_0	vcn:VOLCADRAFT_71551	282	1085	0.724299065421	0.0	282.0	100.0		pck2; phosphoenolpyruvate carboxykinase
omz_770m_1847_0	vcn:VOLCADRAFT_81482	282	1085	0.724299065421	0.0	282.0	100.0	4.1.1.49	pck3; phosphoenolpyruvate carboxykinase; K01610 phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]
omz_770m_9282_0	olu:OSTLU_16322	264	1085	0.787944807553	0.0	264.0	100.0		ABC(membrane) family transporter (Fe-S assembly/SufBCD system)
omz_770m_9282_0	vcn:VOLCADRAFT_81861	264	1083	0.786492374728	0.0	264.0	100.0		sufB; iron-sulfur cluster assembly protein
omz_770m_9161_0	olu:OSTLU_12576	292	1083	0.723446893788	0.0	292.0	100.0		TufM; Translation elongation factor, mitochondrial; K02358 elongation factor Tu
omz_770m_4685_0	olu:OSTLU_42472	283	1082	0.690932311622	0.0	283.0	100.0		hypothetical protein; K08874 transformation/transcription domain-associated protein
omz_770m_1847_0	pop:POPTR_719763	282	1077	0.718958611482	0.0	282.0	100.0	4.1.1.49	phosphoenolpyruvate carboxykinase (ATP) (EC:4.1.1.49); K01610 phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]
omz_770m_9282_0	ota:Ot08g00160	264	1073	0.779230210603	0.0	264.0	100.0		ABC transporter subunit (ISS)
omz_770m_7974_0	dre:553755	253	1069	0.834504293521	0.0	253.0	100.0	3.6.3.14	atp5a1, zgc:154103; ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle; K02132 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14]
omz_770m_9282_0	rcu:RCOM_0905060	263	1061	0.770515613653	0.0	263.0	100.0		Protein sufB, putative
omz_770m_9282_0	smo:SELMODRAFT_173820	264	1061	0.770515613653	0.0	264.0	100.0		hypothetical protein
omz_770m_5216_0	ame:727644	262	1060	0.757684060043	0.0	262.0	100.0		similar to CG9674-PA, isoform A
omz_770m_7974_0	ota:OstapMp17	253	1057	0.825136612022	0.0	253.0	100.0	3.6.3.14	atp1; Atp1; K02132 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14]
omz_770m_7218_0	smo:SELMODRAFT_173820	294	1056	0.657125077785	0.0	294.0	100.0		hypothetical protein
omz_770m_7218_0	smo:SELMODRAFT_170465	294	1056	0.657125077785	0.0	294.0	100.0		SmABCI12; ATP-binding cassette transporter, subfamily I, member 12, SmABCI12
omz_770m_7974_0	bfo:BRAFLDRAFT_85833	253	1053	0.822014051522	0.0	253.0	100.0	3.6.3.14	hypothetical protein; K02132 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14]
omz_770m_5404_0	hmg:100203507	287	1052	0.706040268456	0.0	287.0	100.0		similar to cobalamin-dependent methionine synthase
omz_770m_7974_0	cci:CC1G_09000	253	1047	0.817330210773	0.0	253.0	100.0	3.6.3.14	ATP synthase F1; K02132 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14]
omz_770m_7974_0	mpr:MPER_09856	253	1046	0.816549570648	0.0	253.0	100.0	3.6.3.14	hypothetical protein ; K02132 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14]
omz_770m_5091_0	xtr:100488495	266	1043	0.670739549839	0.0	266.0	100.0		60 kDa chaperonin-like
omz_770m_4078_0	isc:IscW_ISCW020787	279	1036	0.748554913295	0.0	279.0	100.0		chaperonin complex component, TCP-1 eta subunit, putative
omz_770m_8704_0	nve:NEMVE_v1g169502	284	1025	0.637437810945	0.0	284.0	100.0	1.4.1.3	hypothetical protein ; K00261 glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]
omz_770m_604_0	sbi:SORBI_03g025720	299	1017	0.671287128713	0.0	299.0	100.0	6.3.5.5	hypothetical protein; K01955 carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]
omz_770m_604_0	ath:AT1G29900	299	1016	0.670627062706	0.0	299.0	100.0	6.3.4.16	CARB; CARB (CARBAMOYL PHOSPHATE SYNTHETASE B); ATP binding / carbamoyl-phosphate synthase/ catalytic (EC:6.3.4.16); K01955 carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]
omz_770m_604_0	vvi:100262205	299	1015	0.6699669967	0.0	299.0	100.0	6.3.5.5	hypothetical protein LOC100262205; K01955 carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]
omz_770m_8160_0	olu:OSTLU_119573	285	1014	0.655886157827	0.0	285.0	100.0	4.2.1.3	AcnB; aconitate hydratase; K01682 aconitate hydratase 2 [EC:4.2.1.3]
omz_770m_604_0	ppp:PHYPADRAFT_180534	299	1013	0.668646864686	0.0	299.0	100.0	6.3.5.5	hypothetical protein; K01955 carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]
omz_770m_604_0	smo:SELMODRAFT_420859	299	1012	0.66798679868	0.0	299.0	100.0		hypothetical protein
omz_770m_9115_0	aga:AgaP_AGAP012874	294	1010	0.657980456026	0.0	294.0	100.0		AGAP012874-PA
omz_770m_3879_0	pcs:Pc12g13740	305	1009	0.617881200245	0.0	305.0	100.0	1.11.1.6	Pc12g13740; K03782 catalase/peroxidase [EC:1.11.1.6 1.11.1.7]
omz_770m_2823_0	xtr:100492531	286	1004	0.655352480418	0.0	286.0	100.0		(Dimethylallyl)adenosine tRNA methylthiotransferase miaB-like
omz_770m_6499_0	bfo:BRAFLDRAFT_113595	282	1003	0.642125480154	0.0	282.0	100.0	3.3.1.1	hypothetical protein; K01251 adenosylhomocysteinase [EC:3.3.1.1]
omz_770m_1149_0	hmg:100199453	247	1001	0.796974522293	0.0	247.0	100.0		similar to DNA-directed RNA polymerase beta chain
omz_770m_8634_0	cfa:477076	280	999	0.685655456417	0.0	280.0	100.0	6.4.1.3	PCCB; propionyl CoA carboxylase, beta polypeptide; K01966 propionyl-CoA carboxylase beta chain [EC:6.4.1.3]
omz_770m_8680_0	hmg:100214922	265	996	0.736141906874	0.0	265.0	100.0		similar to DNA-directed RNA polymerase beta subunit
omz_770m_8634_0	bta:515902	280	995	0.682910089224	0.0	280.0	100.0	6.4.1.3	PCCB, MGC134255; propionyl CoA carboxylase, beta polypeptide (EC:6.4.1.3); K01966 propionyl-CoA carboxylase beta chain [EC:6.4.1.3]
omz_770m_8634_0	aml:100471039	280	992	0.68085106383	0.0	280.0	100.0	6.4.1.3	PCCB; propionyl CoA carboxylase, beta polypeptide; K01966 propionyl-CoA carboxylase beta chain [EC:6.4.1.3]
omz_770m_4078_0	nve:NEMVE_v1g149214	278	990	0.715317919075	0.0	278.0	100.0		hypothetical protein
omz_770m_8704_0	nve:NEMVE_v1g227888	284	990	0.615671641791	0.0	284.0	100.0		hypothetical protein
omz_770m_8634_0	ssc:100158147	280	988	0.678105696637	0.0	280.0	100.0	6.4.1.3	PCCB; propionyl CoA carboxylase, beta polypeptide (EC:6.4.1.3); K01966 propionyl-CoA carboxylase beta chain [EC:6.4.1.3]
omz_770m_3879_0	ani:AN7388.2	291	988	0.605021432945	0.0	291.0	100.0	1.11.1.6	similar to catalase-peroxidase; K03782 catalase/peroxidase [EC:1.11.1.6 1.11.1.7]
omz_770m_3879_0	uma:UM03399.1	304	988	0.605021432945	0.0	304.0	100.0	1.11.1.6	hypothetical protein; K03782 catalase/peroxidase [EC:1.11.1.6 1.11.1.7]
omz_770m_3001_0	hmg:100203507	299	986	0.641092327698	0.0	299.0	100.0		similar to cobalamin-dependent methionine synthase
omz_770m_8634_0	hsa:5096	280	985	0.676046671242	0.0	280.0	100.0	6.4.1.3	PCCB, DKFZp451E113; propionyl CoA carboxylase, beta polypeptide (EC:6.4.1.3); K01966 propionyl-CoA carboxylase beta chain [EC:6.4.1.3]
omz_770m_2134_0	nve:NEMVE_v1g3328	259	984	0.673050615595	0.0	259.0	100.0		hypothetical protein
omz_770m_11161_0	cme:CMV107C	278	983	0.674211248285	0.0	278.0	100.0		ATP-dependent clp protease ATP-binding subunit; K03696 ATP-dependent Clp protease ATP-binding subunit ClpC
omz_770m_6499_0	rno:29443	282	981	0.628040973111	0.0	282.0	100.0	3.3.1.1	Ahcy; adenosylhomocysteinase (EC:3.3.1.1); K01251 adenosylhomocysteinase [EC:3.3.1.1]
omz_770m_6499_0	dre:387530	283	980	0.627400768246	0.0	283.0	100.0	3.3.1.1	ahcy, D150, cb1079, hm:zeh1173, hm:zeh1364, wu:fj67b02; S-adenosylhomocysteine hydrolase (EC:3.3.1.1); K01251 adenosylhomocysteinase [EC:3.3.1.1]
omz_770m_6499_0	mmu:269378	282	979	0.62676056338	0.0	282.0	100.0	3.3.1.1	Ahcy, AA987153, AL024110, CuBP, MGC102079, MGC118063, MGC19228, SAHH; S-adenosylhomocysteine hydrolase (EC:3.3.1.1); K01251 adenosylhomocysteinase [EC:3.3.1.1]
omz_770m_2823_0	hmg:100208354	282	977	0.63772845953	0.0	282.0	100.0		similar to CDK5 regulatory subunit associated protein 1
omz_770m_6499_0	gga:419146	283	976	0.624839948784	0.0	283.0	100.0	3.3.1.1	AHCY; S-adenosylhomocysteine hydrolase; K01251 adenosylhomocysteinase [EC:3.3.1.1]
omz_770m_2467_0	bfo:BRAFLDRAFT_206351	262	974	0.687367678193	0.0	262.0	100.0		hypothetical protein
omz_770m_9792_0	hmg:100201944	217	974	0.881447963801	0.0	217.0	100.0		similar to ATP synthase beta subunit
omz_770m_1451_0	hmg:100197114	233	966	0.803660565724	0.0	233.0	100.0		similar to Translation elongation factor, mitochondrial
omz_770m_8160_0	ota:Ot02g04780	284	965	0.624191461837	0.0	284.0	100.0	4.2.1.3	acnB; AcnB aconitate hydratase (IC); K01682 aconitate hydratase 2 [EC:4.2.1.3]
omz_770m_2467_0	ota:Ot05g04960	261	962	0.678899082569	0.0	261.0	100.0		elongation factor Tu (ISS); K02358 elongation factor Tu
omz_770m_10658_0	hmg:100214321	321	956	0.56401179941	0.0	321.0	100.0		similar to ADP-forming, carbamate-phosphorylating
omz_770m_11161_0	ppp:PHYPADRAFT_165458	266	952	0.652949245542	0.0	266.0	100.0		hypothetical protein; K03696 ATP-dependent Clp protease ATP-binding subunit ClpC
omz_770m_9039_0	nve:NEMVE_v1g169502	290	951	0.60380952381	0.0	290.0	100.0	1.4.1.3	hypothetical protein ; K00261 glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]
omz_770m_6879_0	xtr:100497044	268	950	0.651130911583	0.0	268.0	100.0		chaperone protein clpB-like
omz_770m_4098_0	xtr:100487599	218	950	0.814053127678	0.0	218.0	100.0		phosphomethylpyrimidine synthase-like
omz_770m_1149_0	cme:CMV217C	245	950	0.756369426752	0.0	245.0	100.0		DNA-directed RNA polymerase beta' chain
omz_770m_9792_0	xtr:100490926	217	949	0.858823529412	0.0	217.0	100.0		ATP synthase subunit beta-like
omz_770m_5404_0	ngr:NAEGRDRAFT_34723	287	949	0.636912751678	0.0	287.0	100.0	2.1.1.13	5-methyltetrahydrofolate-homocysteine methyltransferase; K00548 5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]
omz_770m_5091_0	nve:NEMVE_v1g149214	266	942	0.60578778135	0.0	266.0	100.0		hypothetical protein
omz_770m_5142_0	olu:OSTLU_27367	262	941	0.670227920228	0.0	262.0	100.0	2.5.1.49	CYSD; O-acetylserine sulfhydrylase/homocysteine synthase; K01740 O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49]
omz_770m_5142_0	ota:Ot15g00800	262	941	0.670227920228	0.0	262.0	100.0	2.5.1.49	Cystathionine beta-lyases/cystathionine gamma-synthases (ISS); K01740 O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49]
omz_770m_2467_0	isc:IscW_ISCW020780	256	939	0.662667607622	0.0	256.0	100.0	2.7.7.4	translation elongation factor, putative (EC:2.7.7.4)
omz_770m_5404_0	cbr:CBG20636	290	939	0.630201342282	0.0	290.0	100.0	2.1.1.13	Hypothetical protein CBG20636; K00548 5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]
omz_770m_3001_0	ddi:DDB_G0284699	294	939	0.610533159948	0.0	294.0	100.0	2.1.1.13	mtr; 5-methyltetrahydrofolate:L-homocysteine S-methyltransferase; K00548 5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]
omz_770m_11161_0	ath:AT5G50920	283	936	0.641975308642	0.0	283.0	100.0		CLPC1; CLPC1; ATP binding / ATP-dependent peptidase/ ATPase; K03696 ATP-dependent Clp protease ATP-binding subunit ClpC
omz_770m_11161_0	smo:SELMODRAFT_176012	283	936	0.641975308642	0.0	283.0	100.0		hypothetical protein
omz_770m_11161_0	smo:SELMODRAFT_439163	283	936	0.641975308642	0.0	283.0	100.0		hypothetical protein
omz_770m_7890_0	ppp:PHYPADRAFT_194951	267	936	0.653175157013	0.0	267.0	100.0	4.2.1.33	hypothetical protein; K01703 3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]
omz_770m_3879_0	act:ACLA_044200	314	936	0.573178199633	0.0	314.0	100.0	1.11.1.6	bifunctional catalase-peroxidase Cat2; K03782 catalase/peroxidase [EC:1.11.1.6 1.11.1.7]
omz_770m_5142_0	uma:UM05581.1	258	936	0.666666666667	0.0	258.0	100.0	2.5.1.49	hypothetical protein; K01740 O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49]
omz_770m_2467_0	pop:POPTR_664547	258	934	0.659139026112	0.0	258.0	100.0		hypothetical protein; K02358 elongation factor Tu
omz_770m_7058_0	cci:CC1G_11804	282	934	0.628956228956	0.0	282.0	100.0	6.3.5.3	phosphoribosylformylglycinamidine synthase; K01952 phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]
omz_770m_4078_0	xtr:100488495	277	933	0.674132947977	0.0	277.0	100.0		60 kDa chaperonin-like
omz_770m_4498_0	hmg:100208286	264	933	0.67316017316	0.0	264.0	100.0		similar to aldehyde dehydrogenase 2b
omz_770m_2467_0	smo:SELMODRAFT_153081	258	933	0.658433309809	0.0	258.0	100.0		hypothetical protein
omz_770m_3879_0	pan:PODANSg3830	316	933	0.571341090018	0.0	316.0	100.0	1.11.1.6	hypothetical protein; K03782 catalase/peroxidase [EC:1.11.1.6 1.11.1.7]
omz_770m_7890_0	cme:CMS078C	267	931	0.649685973482	0.0	267.0	100.0	4.2.1.33	3-isopropylmalate dehydratase; K01703 3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]
omz_770m_8704_0	gla:GL50803_21942	288	930	0.578358208955	0.0	288.0	100.0	1.4.1.4	NADP-specific glutamate dehydrogenase (EC:1.4.1.4); K00262 glutamate dehydrogenase (NADP+) [EC:1.4.1.4]
omz_770m_4821_0	isc:IscW_ISCW016714	258	929	0.677113702624	0.0	258.0	100.0	1.17.4.1	ribonucleoside-diphosphate reductase large chain, putative (EC:1.17.4.1)
omz_770m_5404_0	rno:81522	289	928	0.622818791946	0.0	289.0	100.0	2.1.1.13	Mtr, methioninesynthase; 5-methyltetrahydrofolate-homocysteine methyltransferase (EC:2.1.1.13); K00548 5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]
omz_770m_5404_0	cel:R03D7.1	290	928	0.622818791946	0.0	290.0	100.0	2.1.1.13	hypothetical protein; K00548 5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]
omz_770m_7890_0	smo:SELMODRAFT_268577	267	927	0.646894626657	0.0	267.0	100.0		hypothetical protein
omz_770m_8704_0	lif:LinJ28.3060	284	926	0.575870646766	0.0	284.0	100.0	1.4.1.4	glutamate dehydrogenase (EC:1.4.1.4); K00262 glutamate dehydrogenase (NADP+) [EC:1.4.1.4]
omz_770m_5216_0	cre:CHLREDRAFT_140487	276	924	0.660471765547	0.0	276.0	100.0	1.4.7.1	GSF1; ferredoxin-dependent glutamate synthase; K00284 glutamate synthase (ferredoxin) [EC:1.4.7.1]
omz_770m_9039_0	nve:NEMVE_v1g227888	290	923	0.586031746032	0.0	290.0	100.0		hypothetical protein
omz_770m_5216_0	cme:CMV060C	261	921	0.658327376698	0.0	261.0	100.0	1.4.7.1	glutamate synthase; K00284 glutamate synthase (ferredoxin) [EC:1.4.7.1]
omz_770m_3001_0	hmg:100204966	296	919	0.597529258778	0.0	296.0	100.0	2.1.1.13	similar to 5-methyltetrahydrofolate-homocysteine methyltransferase; K00548 5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]
omz_770m_4098_0	sbi:SORBI_01g012050	218	919	0.787489288775	0.0	218.0	100.0		hypothetical protein; K03147 thiamine biosynthesis protein ThiC
omz_770m_4098_0	zma:100285440	218	919	0.787489288775	0.0	218.0	100.0		cl574_1; LOC100285440; K03147 thiamine biosynthesis protein ThiC
omz_770m_6769_0	sbi:SORBI_09g019100	261	917	0.632850241546	0.0	261.0	100.0	3.13.1.1	hypothetical protein; K06118 UDP-sulfoquinovose synthase [EC:3.13.1.1]
omz_770m_7890_0	zma:100284902	268	917	0.639916259595	0.0	268.0	100.0	4.2.1.33	3-isopropylmalate dehydratase large subunit 2; K01703 3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]
omz_770m_7890_0	rcu:RCOM_1217310	267	915	0.638520586183	0.0	267.0	100.0	4.2.1.33	3-isopropylmalate dehydratase, putative (EC:4.2.1.33); K01703 3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]
omz_770m_6769_0	osa:4338660	261	915	0.631469979296	0.0	261.0	100.0	3.13.1.1	Os05g0387200; K06118 UDP-sulfoquinovose synthase [EC:3.13.1.1]
omz_770m_4098_0	smo:SELMODRAFT_120890	218	914	0.783204798629	0.0	218.0	100.0		hypothetical protein
omz_770m_5142_0	tml:GSTUM_00009485001	259	914	0.650997150997	0.0	259.0	100.0	2.5.1.49	hypothetical protein; K01740 O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49]
omz_770m_8704_0	lma:LmjF28.2910	284	914	0.568407960199	0.0	284.0	100.0	1.4.1.4	glutamate dehydrogenase (EC:1.4.1.4); K00262 glutamate dehydrogenase (NADP+) [EC:1.4.1.4]
omz_770m_679_0	vcn:VOLCADRAFT_104718	251	913	0.568493150685	0.0	251.0	100.0	6.3.4.5	ags1; argininosuccinate synthase; K01940 argininosuccinate synthase [EC:6.3.4.5]
omz_770m_5142_0	ure:UREG_04082	257	913	0.650284900285	0.0	257.0	100.0	2.5.1.49	O-acetylhomoserine; K01740 O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49]
omz_770m_10658_0	ppp:PHYPADRAFT_151733	334	911	0.537463126844	0.0	334.0	100.0	6.3.5.5	hypothetical protein; K01955 carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]
omz_770m_6769_0	rcu:RCOM_0797290	260	910	0.628019323671	0.0	260.0	100.0	3.13.1.1	UDP-sulfoquinovose synthase, putative (EC:3.13.1.1); K06118 UDP-sulfoquinovose synthase [EC:3.13.1.1]
omz_770m_4098_0	smo:SELMODRAFT_152730	218	910	0.779777206512	0.0	218.0	100.0		hypothetical protein
omz_770m_596_0	vcn:VOLCADRAFT_77540	305	909	0.556985294118	0.0	305.0	100.0	6.4.1.2	hypothetical protein; K01961 acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]
omz_770m_448_0	xla:503682	250	908	0.675595238095	0.0	250.0	100.0	3.3.1.1	ahcy-b, ahcy, sahh; adenosylhomocysteinase (EC:3.3.1.1); K01251 adenosylhomocysteinase [EC:3.3.1.1]
omz_770m_10658_0	ppp:PHYPADRAFT_180534	334	908	0.535693215339	0.0	334.0	100.0	6.3.5.5	hypothetical protein; K01955 carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]
omz_770m_8680_0	isc:IscW_ISCW016043	264	907	0.670362158167	0.0	264.0	100.0	2.7.7.6	DNA-directed RNA polymerase beta chain, putative (EC:2.7.7.6)
omz_770m_10658_0	olu:OSTLU_42572	334	907	0.535103244838	0.0	334.0	100.0	6.3.5.5	PYR1L; Carbamoyl-phosphate synthase L chain; K01955 carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]
omz_770m_679_0	olu:OSTLU_19853	251	907	0.564757160648	0.0	251.0	100.0	6.3.4.5	hypothetical protein; K01940 argininosuccinate synthase [EC:6.3.4.5]
omz_770m_7866_0	ota:Ot03g05850	239	907	0.689209726444	0.0	239.0	100.0	6.2.1.4	putative succinyl-CoA ligase alpha subunit (ISS); K01899 succinyl-CoA synthetase alpha subunit [EC:6.2.1.4 6.2.1.5]
omz_770m_448_0	dre:387530	256	906	0.674107142857	0.0	256.0	100.0	3.3.1.1	ahcy, D150, cb1079, hm:zeh1173, hm:zeh1364, wu:fj67b02; S-adenosylhomocysteine hydrolase (EC:3.3.1.1); K01251 adenosylhomocysteinase [EC:3.3.1.1]
omz_770m_4078_0	ath:AT3G23990	279	906	0.654624277457	0.0	279.0	100.0		HSP60; HSP60 (HEAT SHOCK PROTEIN 60); ATP binding; K04077 chaperonin GroEL
omz_770m_6769_0	zma:100282424	261	906	0.625258799172	0.0	261.0	100.0	3.13.1.1	UDP-sulfoquinovose synthase; K06118 UDP-sulfoquinovose synthase [EC:3.13.1.1]
omz_770m_6769_0	ppp:PHYPADRAFT_126164	260	903	0.623188405797	0.0	260.0	100.0	3.13.1.1	hypothetical protein; K06118 UDP-sulfoquinovose synthase [EC:3.13.1.1]
omz_770m_679_0	cre:CHLREDRAFT_58140	251	903	0.562266500623	0.0	251.0	100.0	6.3.4.5	AGS1; argininosuccinate synthase (EC:6.3.4.5); K01940 argininosuccinate synthase [EC:6.3.4.5]
