#query	target	q_length	bitscore	bsr	expect	aln_length	identity	ec	product
uppermesopelagic_500m_3141_0	PA2552	291	904	0.565353345841	0.0	291.0	100.0		COG1960 # Func_class: I Lipid transport and metabolism # Function: Acyl-CoA dehydrogenases # Organism: Pseudomonas aeruginosa (Pae)
uppermesopelagic_500m_3141_0	AGl2714	295	854	0.534083802376	0.0	295.0	100.0		COG1960 # Func_class: I Lipid transport and metabolism # Function: Acyl-CoA dehydrogenases # Organism: Agrobacterium tumefaciens strain C58 (Cereon) (Atu)
uppermesopelagic_500m_3141_0	BMEII0818	295	854	0.534083802376	0.0	295.0	100.0		COG1960 # Func_class: I Lipid transport and metabolism # Function: Acyl-CoA dehydrogenases # Organism: Brucella melitensis (Bme)
uppermesopelagic_500m_3141_0	RSc0274	295	792	0.49530956848	0.0	295.0	100.0		COG1960 # Func_class: I Lipid transport and metabolism # Function: Acyl-CoA dehydrogenases # Organism: Ralstonia solanacearum (Rso)
uppermesopelagic_500m_3141_0	RSp0652	295	746	0.466541588493	0.0	295.0	100.0		COG1960 # Func_class: I Lipid transport and metabolism # Function: Acyl-CoA dehydrogenases # Organism: Ralstonia solanacearum (Rso)
uppermesopelagic_500m_6615_0	MT0367	213	572	0.404526166902	0.0	213.0	100.0		COG0484 # Func_class: O Posttranslational modification, protein turnover, chaperones # Function: DnaJ-class molecular chaperone with C-terminal Zn finger domain # Organism: Mycobacterium tuberculosis CDC1551 (MtC)
uppermesopelagic_500m_6615_0	Rv0352	213	572	0.404526166902	0.0	213.0	100.0		COG0484 # Func_class: O Posttranslational modification, protein turnover, chaperones # Function: DnaJ-class molecular chaperone with C-terminal Zn finger domain # Organism: Mycobacterium tuberculosis H37Rv (Mtu)
uppermesopelagic_500m_8609_1	MK0368	230	566	0.43571978445	0.0	230.0	100.0		COG0499 # Func_class: H Coenzyme transport and metabolism # Function: S-adenosylhomocysteine hydrolase # Organism: Methanopyrus kandleri AV19 (Mka)
uppermesopelagic_500m_8609_1	MTH1636	214	536	0.412625096228	0.0	214.0	100.0		COG0499 # Func_class: H Coenzyme transport and metabolism # Function: S-adenosylhomocysteine hydrolase # Organism: Methanothermobacter thermautotrophicus (Mth)
uppermesopelagic_500m_8609_1	MA1275	207	525	0.40415704388	0.0	207.0	100.0		COG0499 # Func_class: H Coenzyme transport and metabolism # Function: S-adenosylhomocysteine hydrolase # Organism: Methanosarcina acetivorans str.C2A (Mac)
uppermesopelagic_500m_8609_1	MJ1388	213	525	0.40415704388	0.0	213.0	100.0		COG0499 # Func_class: H Coenzyme transport and metabolism # Function: S-adenosylhomocysteine hydrolase # Organism: Methanococcus jannaschii (Mja)
uppermesopelagic_500m_8641_0	SMc04122	103	307	0.565377532228	0.0	103.0	100.0		COG0213 # Func_class: F Nucleotide transport and metabolism # Function: Thymidine phosphorylase # Organism: Sinorhizobium meliloti (Sme)
uppermesopelagic_500m_3146_0	PA0298	120	305	0.439481268012	0.0	120.0	100.0		COG0174 # Func_class: E Amino acid transport and metabolism # Function: Glutamine synthetase # Organism: Pseudomonas aeruginosa (Pae)
uppermesopelagic_500m_7032_0	BS_yeeB	103	302	0.446085672083	0.0	103.0	100.0		NULL # Func_class: V Defense mechanisms # Function: Type II restriction enzyme, methylase subunits # Organism: Bacillus subtilis (Bsu)
uppermesopelagic_500m_8641_0	mlr3160	103	298	0.548802946593	0.0	103.0	100.0		COG0213 # Func_class: F Nucleotide transport and metabolism # Function: Thymidine phosphorylase # Organism: Mesorhizobium loti (Mlo)
