#query	target	q_length	bitscore	bsr	expect	aln_length	identity	ec	product
upper_euphotic_10m_5199_0	fig|1002340.3.peg.355	286	1398	0.884810126582	0.0	286.0	100.0		l-arginine:glycine amidinotransferase [Phaeobacter gallaeciensis ANG1]
upper_euphotic_10m_913_0	fig|1042377.3.peg.1536	333	1395	0.778025655326	0.0	333.0	100.0	6.3.1.2	Glutamine synthetase type I (EC 6.3.1.2) [Alteromonas sp. S89]
upper_euphotic_10m_650_0	fig|1001585.3.peg.1671	298	1388	0.898381877023	0.0	298.0	100.0		Transcription-repair coupling factor [Pseudomonas mendocina NK-01]
upper_euphotic_10m_913_0	fig|1026882.3.peg.1874	333	1384	0.771890686001	0.0	333.0	100.0	6.3.1.2	Glutamine synthetase type I (EC 6.3.1.2) [Methylophaga aminisulfidivorans MP]
upper_euphotic_10m_650_0	fig|105519.3.peg.4371	298	1379	0.892556634304	0.0	298.0	100.0		Transcription-repair coupling factor [Pseudomonas syringae Cit 7]
upper_euphotic_10m_650_0	fig|1005395.3.peg.4507	298	1375	0.88996763754	0.0	298.0	100.0		Transcription-repair coupling factor [Pseudomonas putida CSV86]
upper_euphotic_10m_650_0	fig|1048261.3.peg.89	298	1375	0.88996763754	0.0	298.0	100.0		Transcription-repair coupling factor [Pseudomonas putida B001]
upper_euphotic_10m_650_0	fig|1037915.3.peg.5978	298	1374	0.88932038835	0.0	298.0	100.0		Transcription-repair coupling factor [Pseudomonas chlororaphis O6]
upper_euphotic_10m_913_0	fig|1004785.3.peg.3105	334	1370	0.764082543224	0.0	334.0	100.0	6.3.1.2	Glutamine synthetase type I (EC 6.3.1.2) [Alteromonas macleodii str. 'Black Sea 11']
upper_euphotic_10m_913_0	fig|1042375.3.peg.2042	333	1370	0.764082543224	0.0	333.0	100.0	6.3.1.2	Glutamine synthetase type I (EC 6.3.1.2) [Marinobacterium stanieri S30]
upper_euphotic_10m_913_0	fig|1048808.3.peg.290	333	1369	0.76352481874	0.0	333.0	100.0	6.3.1.2	Glutamine synthetase type I (EC 6.3.1.2) [endosymbiont of Riftia pachyptila (vent Ph05)]
upper_euphotic_10m_2180_0	fig|1009420.3.peg.58	299	1354	0.830674846626	0.0	299.0	100.0	2.7.7.6	DNA-directed RNA polymerase subunit A (EC 2.7.7.6) [Verrucomicrobia bacterium SCGC AAA164-O14]
upper_euphotic_10m_6213_0	fig|1002368.3.peg.1277	296	1307	0.869594145043	0.0	296.0	100.0	3.6.3.14	ATP synthase beta chain (EC 3.6.3.14) [Yokenella regensburgei ATCC 43003]
upper_euphotic_10m_2497_0	fig|1034944.4.peg.4137	307	1307	0.835677749361	0.0	307.0	100.0	2.7.7.6	DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6) [Legionella sp. LegM]
upper_euphotic_10m_7658_0	fig|1037911.3.peg.4079	282	1306	0.857518056467	0.0	282.0	100.0		Hemolysin [Pseudomonas fluorescens A506]
upper_euphotic_10m_7658_0	fig|1038924.3.peg.4121	282	1305	0.856861457649	0.0	282.0	100.0		Hemolysin [Pseudomonas fluorescens SS101]
upper_euphotic_10m_6213_0	fig|1002364.3.peg.2806	296	1302	0.86626746507	0.0	296.0	100.0	3.6.3.14	ATP synthase beta chain (EC 3.6.3.14) [Hafnia alvei ATCC 51873]
upper_euphotic_10m_6213_0	fig|1035377.4.peg.1033	296	1297	0.862940785096	0.0	296.0	100.0	3.6.3.14	ATP synthase beta chain (EC 3.6.3.14) [Yersinia pestis A1122]
upper_euphotic_10m_6213_0	fig|1035188.3.peg.1009	296	1296	0.862275449102	0.0	296.0	100.0	3.6.3.14	ATP synthase beta chain (EC 3.6.3.14) [Haemophilus pittmaniae HK 85]
upper_euphotic_10m_6228_0	fig|1051649.3.peg.4370	285	1290	0.839297332466	0.0	285.0	100.0		Translation elongation factor G paralog [Vibrio nigripulchritudo ATCC 27043]
upper_euphotic_10m_6213_0	fig|1034944.4.peg.777	296	1287	0.85628742515	0.0	296.0	100.0	3.6.3.14	ATP synthase beta chain (EC 3.6.3.14) [Legionella sp. LegM]
upper_euphotic_10m_6228_0	fig|1001530.3.peg.1534	283	1286	0.836694860117	0.0	283.0	100.0		Translation elongation factor G paralog [Photobacterium leiognathi subsp. mandapamensis svers.1.1.]
upper_euphotic_10m_6228_0	fig|1004786.3.peg.1637	285	1286	0.836694860117	0.0	285.0	100.0		Translation elongation factor G paralog [Alteromonas macleodii AltDE1]
upper_euphotic_10m_6228_0	fig|1004785.3.peg.1454	285	1278	0.83148991542	0.0	285.0	100.0		Translation elongation factor G paralog [Alteromonas macleodii str. 'Black Sea 11']
upper_euphotic_10m_6228_0	fig|1004788.3.peg.1446	285	1278	0.83148991542	0.0	285.0	100.0		Translation elongation factor G paralog [Alteromonas macleodii str. 'English Channel 673']
upper_euphotic_10m_7617_0	fig|1000565.3.peg.1846	293	1274	0.794264339152	0.0	293.0	100.0		Thiamin biosynthesis protein ThiC [Methyloversatilis universalis FAM5]
upper_euphotic_10m_7617_0	fig|1000565.3.peg.2803	293	1270	0.791770573566	0.0	293.0	100.0		Thiamin biosynthesis protein ThiC [Methyloversatilis universalis FAM5]
upper_euphotic_10m_2497_0	fig|1029823.3.peg.1780	307	1270	0.812020460358	0.0	307.0	100.0	2.7.7.6	DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6) [Acinetobacter sp. P8-3-8]
upper_euphotic_10m_2497_0	fig|1046625.3.peg.1188	307	1270	0.812020460358	0.0	307.0	100.0	2.7.7.6	DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6) [Acinetobacter lwoffii WJ10621]
upper_euphotic_10m_5727_0	fig|1042375.3.peg.287	322	1268	0.741954359274	0.0	322.0	100.0	1.10.2.2	Ubiquinol--cytochrome c reductase, cytochrome B subunit (EC 1.10.2.2) [Marinobacterium stanieri S30]
upper_euphotic_10m_7617_0	fig|102174.3.peg.1307	300	1265	0.788653366584	0.0	300.0	100.0	4.1.99.17	Hydroxymethylpyrimidine phosphate synthase ThiC (EC 4.1.99.17) [Burkholderia pseudomallei 112]
upper_euphotic_10m_7617_0	fig|104717.3.peg.1407	300	1265	0.788653366584	0.0	300.0	100.0	4.1.99.17	Hydroxymethylpyrimidine phosphate synthase ThiC (EC 4.1.99.17) [Burkholderia pseudomallei 91]
upper_euphotic_10m_2497_0	fig|1035839.3.peg.34	307	1263	0.807544757033	0.0	307.0	100.0	2.7.7.6	DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6) [Haemophilus [parainfluenzae] CCUG 13788]
upper_euphotic_10m_2497_0	fig|1035839.4.peg.34	307	1263	0.807544757033	0.0	307.0	100.0	2.7.7.6	DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6) [Haemophilus sputorum CCUG 13788]
upper_euphotic_10m_956_0	fig|1002340.3.peg.633	289	1261	0.82905982906	0.0	289.0	100.0	6.3.4.3	Formate--tetrahydrofolate ligase (EC 6.3.4.3) [Phaeobacter gallaeciensis ANG1]
upper_euphotic_10m_2213_0	fig|1054213.3.peg.825	308	1257	0.730813953488	0.0	308.0	100.0		hypothetical protein [Acetobacteraceae bacterium AT-5844]
