#query	target	q_length	bitscore	bsr	expect	aln_length	identity	ec	product
chlorophyllmax_130m_1934_0	xtr:100495618	264	1274	0.929248723559	0.0	264.0	100.0		DNA gyrase subunit A-like
chlorophyllmax_130m_5455_0	vvi:100263023	307	1180	0.725707257073	0.0	307.0	100.0	3.5.1.5	hypothetical protein LOC100263023; K01427 urease [EC:3.5.1.5]
chlorophyllmax_130m_4241_0	xtr:100494843	318	1177	0.701430274136	0.0	318.0	100.0		isocitrate dehydrogenase [NADP]-like
chlorophyllmax_130m_5455_0	ncr:NCU03127	308	1175	0.722632226322	0.0	308.0	100.0	3.5.1.5	urease; K01427 urease [EC:3.5.1.5]
chlorophyllmax_130m_5455_0	pan:PODANSg5802	308	1173	0.721402214022	0.0	308.0	100.0	3.5.1.5	hypothetical protein; K01427 urease [EC:3.5.1.5]
chlorophyllmax_130m_5455_0	pop:POPTR_874843	307	1172	0.720787207872	0.0	307.0	100.0	3.5.1.5	urease (EC:3.5.1.5); K01427 urease [EC:3.5.1.5]
chlorophyllmax_130m_5455_0	fgr:FG00740.1	308	1168	0.718327183272	0.0	308.0	100.0	3.5.1.5	hypothetical protein; K01427 urease [EC:3.5.1.5]
chlorophyllmax_130m_2056_0	xtr:100487599	276	1126	0.695491043854	0.0	276.0	100.0		phosphomethylpyrimidine synthase-like
chlorophyllmax_130m_2520_0	xtr:100485557	294	1076	0.662969808996	0.0	294.0	100.0		dihydroxy-acid dehydratase-like
chlorophyllmax_130m_1570_0	hmg:100211861	242	1076	0.646634615385	0.0	242.0	100.0		similar to CG1824 CG1824-PA
chlorophyllmax_130m_1776_0	hmg:100208279	242	1062	0.858528698464	0.0	242.0	100.0		similar to C17G1.7
chlorophyllmax_130m_1986_0	xtr:100495005	259	1059	0.756428571429	0.0	259.0	100.0		flagellar biosynthesis protein flhA-like
chlorophyllmax_130m_4303_0	mbr:MONBRDRAFT_37063	263	1042	0.748563218391	0.0	263.0	100.0	4.2.1.2	hypothetical protein ; K01676 fumarate hydratase, class I [EC:4.2.1.2]
chlorophyllmax_130m_4303_0	ngr:NAEGRDRAFT_34693	264	1037	0.744971264368	0.0	264.0	100.0	4.2.1.2	fumarate hydratase class I; K01676 fumarate hydratase, class I [EC:4.2.1.2]
chlorophyllmax_130m_1915_0	ota:Ot02g04780	311	1036	0.601975595584	0.0	311.0	100.0	4.2.1.3	acnB; AcnB aconitate hydratase (IC); K01682 aconitate hydratase 2 [EC:4.2.1.3]
chlorophyllmax_130m_4303_0	ota:Ot04g01220	261	1035	0.743534482759	0.0	261.0	100.0		fumarate hydratase class I (ISS)
chlorophyllmax_130m_1622_0	hmg:100202341	240	1034	0.800309597523	0.0	240.0	100.0		hypothetical protein LOC100202341
chlorophyllmax_130m_4303_0	vcn:VOLCADRAFT_77105	263	1027	0.737787356322	0.0	263.0	100.0	4.2.1.2	fum1; fumarate hydratase; K01676 fumarate hydratase, class I [EC:4.2.1.2]
chlorophyllmax_130m_1915_0	olu:OSTLU_119573	311	1024	0.595002905288	0.0	311.0	100.0	4.2.1.3	AcnB; aconitate hydratase; K01682 aconitate hydratase 2 [EC:4.2.1.3]
chlorophyllmax_130m_5461_0	cme:CMV217C	287	1020	0.673267326733	0.0	287.0	100.0		DNA-directed RNA polymerase beta' chain
chlorophyllmax_130m_4241_0	xtr:100485960	319	1014	0.604290822408	0.0	319.0	100.0		isocitrate dehydrogenase [NADP]-like
chlorophyllmax_130m_4303_0	smm:Smp_126020	261	1012	0.727011494253	0.0	261.0	100.0	4.2.1.2	pol-related ; K01676 fumarate hydratase, class I [EC:4.2.1.2]
chlorophyllmax_130m_2056_0	vvi:100250096	311	1010	0.623841877702	0.0	311.0	100.0		hypothetical protein LOC100250096; K03147 thiamine biosynthesis protein ThiC
chlorophyllmax_130m_2056_0	ath:AT2G29630	290	1005	0.620753551575	0.0	290.0	100.0		THIC; THIC (ThiaminC); ADP-ribose pyrophosphohydrolase/ catalytic/ iron-sulfur cluster binding; K03147 thiamine biosynthesis protein ThiC
chlorophyllmax_130m_2056_0	rcu:RCOM_0611460	290	1003	0.619518221124	0.0	290.0	100.0		catalytic, putative; K03147 thiamine biosynthesis protein ThiC
chlorophyllmax_130m_2056_0	pop:POPTR_172390	290	996	0.615194564546	0.0	290.0	100.0		HMP-P synthase; K03147 thiamine biosynthesis protein ThiC
chlorophyllmax_130m_1885_0	xtr:100488290	270	995	0.690972222222	0.0	270.0	100.0		electron transfer flavoprotein subunit alpha-like
chlorophyllmax_130m_1915_0	rcu:RCOM_0049330	288	971	0.564206856479	0.0	288.0	100.0	4.2.1.3	aconitase, putative (EC:4.2.1.3)
chlorophyllmax_130m_5212_0	isc:IscW_ISCW016732	272	965	0.690271816881	0.0	272.0	100.0		GTP-binding protein lepa, putative
chlorophyllmax_130m_5384_0	isc:IscW_ISCW020780	251	958	0.70286133529	0.0	251.0	100.0	2.7.7.4	translation elongation factor, putative (EC:2.7.7.4)
chlorophyllmax_130m_5517_0	ddi:DDB_G0271960	270	956	0.681883024251	0.0	270.0	100.0	6.4.1.4	mccB; 3-methylcrotonyl-CoA:carbon dioxide ligase beta subunit; K01969 3-methylcrotonyl-CoA carboxylase beta subunit [EC:6.4.1.4]
chlorophyllmax_130m_5517_0	ngr:NAEGRDRAFT_36506	279	954	0.680456490728	0.0	279.0	100.0	6.4.1.4	3-methylcrotonoyl-CoA carboxylase beta subunit; K01969 3-methylcrotonyl-CoA carboxylase beta subunit [EC:6.4.1.4]
chlorophyllmax_130m_5384_0	hmg:100197114	257	952	0.698459280998	0.0	257.0	100.0		similar to Translation elongation factor, mitochondrial
chlorophyllmax_130m_1618_0	xtr:100496764	267	943	0.595328282828	0.0	267.0	100.0		biotin carboxylase-like
chlorophyllmax_130m_1570_0	xtr:100486883	236	943	0.566706730769	0.0	236.0	100.0		lipid A export ATP-binding/permease protein msbA-like
chlorophyllmax_130m_5517_0	tad:TRIADDRAFT_37004	270	942	0.671897289586	0.0	270.0	100.0	6.4.1.4	hypothetical protein ; K01969 3-methylcrotonyl-CoA carboxylase beta subunit [EC:6.4.1.4]
chlorophyllmax_130m_5517_0	nvi:100121033	271	940	0.670470756063	0.0	271.0	100.0	6.4.1.4	NV16940; similar to Methylcrotonoyl-Coenzyme A carboxylase 2 (beta); K01969 3-methylcrotonyl-CoA carboxylase beta subunit [EC:6.4.1.4]
chlorophyllmax_130m_5517_0	tet:TTHERM_00088050	269	940	0.670470756063	0.0	269.0	100.0	6.4.1.3	Carboxyl transferase domain containing protein (EC:6.4.1.3)
chlorophyllmax_130m_6200_0	xtr:100488490	258	938	0.708994708995	0.0	258.0	100.0		high-affinity branched-chain amino acid transport ATP-binding protein livF-like
chlorophyllmax_130m_5384_0	ota:Ot05g04960	257	938	0.688187820983	0.0	257.0	100.0		elongation factor Tu (ISS); K02358 elongation factor Tu
chlorophyllmax_130m_5384_0	bfo:BRAFLDRAFT_206351	253	930	0.68231841526	0.0	253.0	100.0		hypothetical protein
chlorophyllmax_130m_5384_0	olu:OSTLU_12576	257	926	0.679383712399	0.0	257.0	100.0		TufM; Translation elongation factor, mitochondrial; K02358 elongation factor Tu
chlorophyllmax_130m_4556_0	smo:SELMODRAFT_123081	286	904	0.625605536332	0.0	286.0	100.0		hypothetical protein
chlorophyllmax_130m_2062_0	xtr:100485865	238	903	0.654822335025	0.0	238.0	100.0		uvrABC system protein C-like
chlorophyllmax_130m_1996_0	xtr:100495569	204	903	0.876699029126	0.0	204.0	100.0		ribose-phosphate pyrophosphokinase-like
chlorophyllmax_130m_4556_0	ota:Ot08g02180	287	903	0.62491349481	0.0	287.0	100.0		ftsZ1 (ISS); K03531 cell division protein FtsZ
chlorophyllmax_130m_5467_0	isc:IscW_ISCW016038	259	897	0.657624633431	0.0	259.0	100.0	1.3.5.1	succinate dehydrogenase, putative (EC:1.3.5.1)
chlorophyllmax_130m_4556_0	smo:SELMODRAFT_156840	286	897	0.620761245675	0.0	286.0	100.0		hypothetical protein
chlorophyllmax_130m_4556_0	olu:OSTLU_3589	286	894	0.618685121107	0.0	286.0	100.0		hypothetical protein; K03531 cell division protein FtsZ
chlorophyllmax_130m_2027_0	xtr:100485963	255	891	0.58889623265	0.0	255.0	100.0		d-alanine--D-alanine ligase-like
chlorophyllmax_130m_1808_0	xtr:100487829	252	889	0.697802197802	0.0	252.0	100.0		protein tldD-like
chlorophyllmax_130m_4556_0	pop:POPTR_642244	286	881	0.609688581315	0.0	286.0	100.0		hypothetical protein; K03531 cell division protein FtsZ
chlorophyllmax_130m_5467_0	osa:4342350	254	881	0.645894428152	0.0	254.0	100.0	1.3.5.1	Os07g0134800; K00234 succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]
chlorophyllmax_130m_3983_0	nve:NEMVE_v1g231507	274	877	0.602749140893	0.0	274.0	100.0		hypothetical protein ; K02519 translation initiation factor IF-2
chlorophyllmax_130m_5467_0	sce:YKL148C	253	874	0.640762463343	0.0	253.0	100.0	1.3.5.1	SDH1; Flavoprotein subunit of succinate dehydrogenase (Sdh1p, Sdh2p, Sdh3p, Sdh4p), which couples the oxidation of succinate to the transfer of electrons to ubiquinone as part of the TCA cycle and the mitochondrial respiratory chain (EC:1.3.5.1); K00234 succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]
chlorophyllmax_130m_5467_0	zma:100280324	254	873	0.640029325513	0.0	254.0	100.0	1.3.5.1	hypothetical protein LOC100280324; K00234 succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]
chlorophyllmax_130m_5467_0	zma:100279930	254	873	0.640029325513	0.0	254.0	100.0	1.3.5.1	TIDP3457; LOC100279930; K00234 succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]
chlorophyllmax_130m_618_0	hmg:100200023	267	870	0.654135338346	0.0	267.0	100.0		similar to predicted protein
chlorophyllmax_130m_5461_0	hmg:100199453	284	868	0.572937293729	0.0	284.0	100.0		similar to DNA-directed RNA polymerase beta chain
chlorophyllmax_130m_3875_0	nve:NEMVE_v1g229175	329	865	0.510625737898	0.0	329.0	100.0		hypothetical protein ; K10738 minichromosome maintenance protein 9
chlorophyllmax_130m_6037_0	ppp:PHYPADRAFT_157930	277	860	0.507974010632	0.0	277.0	100.0		hypothetical protein
chlorophyllmax_130m_3875_0	mdo:100030189	329	857	0.505903187721	0.0	329.0	100.0		MCM9; minichromosome maintenance complex component 9; K10738 minichromosome maintenance protein 9
chlorophyllmax_130m_4050_0	hmg:100207816	225	857	0.725656223539	0.0	225.0	100.0	6.4.1.4	similar to methylcrotonoyl-Coenzyme A carboxylase 2 (beta); K01969 3-methylcrotonyl-CoA carboxylase beta subunit [EC:6.4.1.4]
chlorophyllmax_130m_6037_0	ota:OstapMp24	277	855	0.505020673361	0.0	277.0	100.0	1.9.3.1	Cox1_1; Cox1_1; K02256 cytochrome c oxidase subunit I [EC:1.9.3.1]
chlorophyllmax_130m_6037_0	ota:OstapMp40	277	855	0.505020673361	0.0	277.0	100.0	1.9.3.1	Cox1_2; Cox1_2; K02256 cytochrome c oxidase subunit I [EC:1.9.3.1]
chlorophyllmax_130m_4050_0	xtr:100491878	225	853	0.722269263336	0.0	225.0	100.0	6.4.1.4	methylcrotonoyl-CoA carboxylase beta chain, mitochondrial-like; K01969 3-methylcrotonyl-CoA carboxylase beta subunit [EC:6.4.1.4]
chlorophyllmax_130m_469_0	hmg:100202405	246	845	0.674920127796	0.0	246.0	100.0	2.5.1.47	similar to C17G1.7; K01738 cysteine synthase A [EC:2.5.1.47]
chlorophyllmax_130m_5887_0	ani:AN7388.2	246	844	0.567204301075	0.0	246.0	100.0	1.11.1.6	similar to catalase-peroxidase; K03782 catalase/peroxidase [EC:1.11.1.6 1.11.1.7]
chlorophyllmax_130m_627_0	tet:TTHERM_00585260	219	841	0.718803418803	0.0	219.0	100.0	3.6.3.14	ATP synthase beta chain, mitochondrial precursor, putative; K02133 F-type H+-transporting ATPase subunit beta [EC:3.6.3.14]
chlorophyllmax_130m_510_1	cme:CMV047C	187	840	0.845921450151	0.0	187.0	100.0		photosystem II Q(b) protein (D1); K02703 photosystem II P680 reaction center D1 protein
chlorophyllmax_130m_627_0	bfo:BRAFLDRAFT_113766	217	839	0.717094017094	0.0	217.0	100.0	3.6.3.14	hypothetical protein; K02133 F-type H+-transporting ATPase subunit beta [EC:3.6.3.14]
chlorophyllmax_130m_2059_0	nve:NEMVE_v1g224259	234	838	0.520820385333	0.0	234.0	100.0		hypothetical protein
chlorophyllmax_130m_3875_0	xla:431809	328	837	0.494096812279	0.0	328.0	100.0		mcm9; minichromosome maintenance complex component 9; K10738 minichromosome maintenance protein 9
chlorophyllmax_130m_755_0	hmg:100202997	228	836	0.649572649573	0.0	228.0	100.0		similar to Probable aconitate hydratase, mitochondrial
chlorophyllmax_130m_1625_0	xtr:100496731	283	835	0.495255041518	0.0	283.0	100.0		uncharacterized protein y4jD-like
chlorophyllmax_130m_1625_0	xtr:100491650	283	834	0.494661921708	0.0	283.0	100.0		uncharacterized protein y4jD-like
chlorophyllmax_130m_627_0	cre:CHLREDRAFT_78348	221	834	0.712820512821	0.0	221.0	100.0	3.6.3.14	ATP2; beta subunit of mitochondrial ATP synthase (EC:3.6.3.14); K02133 F-type H+-transporting ATPase subunit beta [EC:3.6.3.14]
chlorophyllmax_130m_627_0	cme:CMH197C	217	833	0.711965811966	0.0	217.0	100.0	3.6.3.14	mitochondrial F-type ATPase F1 subunit beta, precursor; K02133 F-type H+-transporting ATPase subunit beta [EC:3.6.3.14]
chlorophyllmax_130m_627_0	vvi:100261031	220	832	0.711111111111	0.0	220.0	100.0	3.6.3.14	hypothetical protein LOC100261031; K02133 F-type H+-transporting ATPase subunit beta [EC:3.6.3.14]
chlorophyllmax_130m_6037_0	hmg:100198838	276	831	0.49084465446	0.0	276.0	100.0		similar to Cytochrome c oxidase subunit 1 (Cytochrome c oxidase polypeptide I)
chlorophyllmax_130m_4952_0	hmg:100211773	297	831	0.561486486486	0.0	297.0	100.0		similar to rho
chlorophyllmax_130m_6262_0	ppp:PHYPADRAFT_206687	249	831	0.660572337043	0.0	249.0	100.0		PpSig2; plastid sigma facor SIG2
chlorophyllmax_130m_3875_0	xtr:100490403	328	827	0.488193624557	0.0	328.0	100.0		DNA replication licensing factor MCM9-like; K10738 minichromosome maintenance protein 9
chlorophyllmax_130m_3875_0	vvi:100243188	311	826	0.487603305785	0.0	311.0	100.0		similar to MCM9; ATP binding / DNA binding / DNA-dependent ATPase; K10738 minichromosome maintenance protein 9
chlorophyllmax_130m_999_0	smo:SELMODRAFT_440240	210	826	0.713298791019	0.0	210.0	100.0		hypothetical protein
chlorophyllmax_130m_999_0	smo:SELMODRAFT_234175	210	826	0.713298791019	0.0	210.0	100.0		hypothetical protein
chlorophyllmax_130m_5887_0	uma:UM03399.1	270	826	0.555107526882	0.0	270.0	100.0	1.11.1.6	hypothetical protein; K03782 catalase/peroxidase [EC:1.11.1.6 1.11.1.7]
chlorophyllmax_130m_6037_0	sce:Q0045	277	821	0.484937979917	0.0	277.0	100.0	1.9.3.1	COX1, OXI3; Cox1p (EC:1.9.3.1); K02256 cytochrome c oxidase subunit I [EC:1.9.3.1]
chlorophyllmax_130m_999_0	ota:Ot13g02610	216	819	0.70725388601	0.0	216.0	100.0	3.4.11.2	M1 aminopeptidase (ISS); K01256 aminopeptidase N [EC:3.4.11.2]
chlorophyllmax_130m_6262_0	ppp:PHYPADRAFT_160930	249	818	0.650238473768	0.0	249.0	100.0		hypothetical protein
chlorophyllmax_130m_510_1	ota:OstapCp30	180	818	0.823766364552	0.0	180.0	100.0		psbA; photosystem II protein D1; K02703 photosystem II P680 reaction center D1 protein
chlorophyllmax_130m_510_1	ota:OstapCp61	180	818	0.823766364552	0.0	180.0	100.0		psbA; photosystem II protein D1; K02703 photosystem II P680 reaction center D1 protein
chlorophyllmax_130m_4050_0	mbr:MONBRDRAFT_34022	225	818	0.692633361558	0.0	225.0	100.0	6.4.1.4	hypothetical protein ; K01969 3-methylcrotonyl-CoA carboxylase beta subunit [EC:6.4.1.4]
chlorophyllmax_130m_999_0	rcu:RCOM_1687220	210	817	0.705526770294	0.0	210.0	100.0	3.4.11.2	aminopeptidase, putative (EC:3.4.11.2); K01256 aminopeptidase N [EC:3.4.11.2]
chlorophyllmax_130m_1934_0	vvi:100250492	266	814	0.593727206419	0.0	266.0	100.0	5.99.1.3	similar to DNA gyrase subunit A, chloroplastic/mitochondrial; K02469 DNA gyrase subunit A [EC:5.99.1.3]
chlorophyllmax_130m_1934_0	sbi:SORBI_01g003750	266	814	0.593727206419	0.0	266.0	100.0	5.99.1.3	hypothetical protein; K02469 DNA gyrase subunit A [EC:5.99.1.3]
chlorophyllmax_130m_510_1	smo:SELMODRAFT_236852	176	814	0.81973816717	0.0	176.0	100.0		hypothetical protein
chlorophyllmax_130m_510_1	smo:SemoP_p017	176	814	0.81973816717	0.0	176.0	100.0		psbA; photosystem II protein D1
chlorophyllmax_130m_1934_0	ath:AT3G10690	266	813	0.592997811816	0.0	266.0	100.0	5.99.1.3	DNA gyrase subunit A family protein; K02469 DNA gyrase subunit A [EC:5.99.1.3]
chlorophyllmax_130m_5212_0	hmg:100205947	272	812	0.580829756795	0.0	272.0	100.0		hypothetical protein LOC100205947
chlorophyllmax_130m_1934_0	ppp:PHYPADRAFT_135715	266	812	0.592268417214	0.0	266.0	100.0	5.99.1.3	hypothetical protein; K02469 DNA gyrase subunit A [EC:5.99.1.3]
chlorophyllmax_130m_5887_0	mgr:MGG_09834	254	811	0.54502688172	0.0	254.0	100.0	1.11.1.6	MG09834.4; hypothetical protein; K03782 catalase/peroxidase [EC:1.11.1.6 1.11.1.7]
chlorophyllmax_130m_5212_0	tad:TRIADDRAFT_9195	233	808	0.577968526466	0.0	233.0	100.0		hypothetical protein
chlorophyllmax_130m_5212_0	ppp:PHYPADRAFT_158777	273	808	0.577968526466	0.0	273.0	100.0		hypothetical protein; K03596 GTP-binding protein LepA
chlorophyllmax_130m_5240_0	gga:415353	283	807	0.580158159597	0.0	283.0	100.0		ETFA; electron-transfer-flavoprotein, alpha polypeptide (glutaric aciduria II); K03522 electron transfer flavoprotein alpha subunit
chlorophyllmax_130m_5151_0	xtr:100486262	224	807	0.704188481675	0.0	224.0	100.0		NADP-dependent malic enzyme-like
