orf_id	CAZy_2013-07-13(EC) 	CAZy_2013-07-13(product)	CAZy_2013-07-13(value)	EggNog_v3_2013_08_07(EC) 	EggNog_v3_2013_08_07(product)	EggNog_v3_2013_08_07(value)	RefSeq_complete_nr_v62_dec2013(EC) 	RefSeq_complete_nr_v62_dec2013(product)	RefSeq_complete_nr_v62_dec2013(value)	COG_2013-12-27(EC) 	COG_2013-12-27(product)	COG_2013-12-27(value)	seed-2014-01-30(EC) 	seed-2014-01-30(product)	seed-2014-01-30(value)	metacyc-v5-2011-10-21(EC) 	metacyc-v5-2011-10-21(product)	metacyc-v5-2011-10-21(value)	KEGG_pep_2013(EC) 	KEGG_pep_2013(product)	KEGG_pep_2013(value)
upper_euphotic_10m_4305_0								enoyl-CoA hydratase [Cupriavidus basilensis]	4.0				4.2.1.17	Enoyl-CoA hydratase (EC 4.2.1.17) [Cupriavidus basilensis OR16]	17.0						
upper_euphotic_10m_4306_0								protein-(glutamine-N5) methyltransferase, release factor-specific [SAR116 cluster alpha proteobacterium HIMB100]	9.0					Protein-N(5)-glutamine methyltransferase PrmC, methylates polypeptide chain release factors RF1 RF2 [SAR116 cluster alpha proteobacterium HIMB100]	15.0						
upper_euphotic_10m_4306_1					prfA http://www.ncbi.nlm.nih.gov/protein/86359340 peptide chain release factor 1 recognizes termination signals UAG UAA during protein translation specificity which dependent amino acid residues residing loops L-shaped tRNA-like molecule RF1 this similar to 2	30.0		peptide chain release factor 1, partial [Rhizobium sp. Pop5]	9.0		COG0216 # J Translation, ribosomal structure biogenesis Function: Protein chain release factor A Organism: Agrobacterium tumefaciens strain C58 (Cereon) (Atu)	20.0		Peptide chain release factor 1 [Acetobacter pasteurianus NBRC 101655]	9.0					pco064740 LOC100274396 K02835 peptide chain release factor 1	8.0
upper_euphotic_10m_1774_0					http://www.ncbi.nlm.nih.gov/protein/113867301 GTPase	2.0		GTPase [Cupriavidus sp. UYPR2.512]	4.0					GTP-binding protein RBG1/RBG2 [Singulisphaera acidiphila DSM 18658]	6.0					GTPase (EC:3.6.1.-)	2.0
upper_euphotic_10m_7512_0					RPA0489 http://www.ncbi.nlm.nih.gov/protein/39933566 ferredoxin II observed proteomics Citation: Proteomics from VerBerkmoes et al. (2003) unpublished	14.0		4Fe-4S ferredoxin [alpha proteobacterium HIMB5]	5.0		COG1146 # C Energy production conversion Function: Ferredoxin Organism: Agrobacterium tumefaciens strain C58 (Cereon) (Atu)	15.0		4Fe-4S ferredoxin, iron-sulfur binding [Bradyrhizobium japonicum USDA 6]	8.0					4Fe-4S ferredoxin, iron-sulfur binding protein (EC:1.-.-.-) K05524 ferredoxin	7.0
upper_euphotic_10m_7512_1					http://www.ncbi.nlm.nih.gov/protein/119384562 CarD family transcriptional regulator PFAM: transcription factor CarD KEGG: putative CarD-like regulator	11.0		CarD family transcriptional regulator [alpha proteobacterium SCGC AAA158-B04]	8.0					CarD-like transcriptional regulator [alpha proteobacterium BAL199]	6.0					transcriptional regulator (EC:3.6.1.-) K07736 CarD family	6.0
upper_euphotic_10m_7514_0								cytochrome C class I [Rhizobium grahamii]	6.0		COG3474 # C Energy production conversion Function: Cytochrome c2 Organism: Agrobacterium tumefaciens strain C58 (Cereon) (Atu)	16.0		membrane c-type cytochrome cy [Rhizobium sp. CCGE 510]	8.0				1.9.3.1	cytochrome c (EC:1.9.3.1) K08738	14.0
upper_euphotic_10m_7514_2					http://www.ncbi.nlm.nih.gov/protein/148555349 histidinol-phosphate phosphatase, putative TIGRFAM: PFAM: inositol monophosphatase	8.0		Inositol-1-monophosphatase [alpha proteobacterium JLT2015]	4.0		COG0483 # G Carbohydrate transport metabolism Function: Archaeal fructose-1,6-bisphosphatase related enzymes inositol monophosphatase family Organism: Sinorhizobium meliloti (Sme)	18.0	3.1.3.25	Inositol-1-monophosphatase (EC 3.1.3.25) [Gluconobacter morbifer G707]	16.0				3.1.3.25	IMPL2 IMPL2 (MYO-INOSITOL MONOPHOSPHATASE LIKE 2) 3'(2'),5'-bisphosphate nucleotidase/ L-galactose-1-phosphate phosphatase/ inositol or phosphatidylinositol inositol-1(or 4)-monophosphatase (EC:3.1.3.25)	25.0
upper_euphotic_10m_7515_1					SPO1285 http://www.ncbi.nlm.nih.gov/protein/56696174  identified similarity to GB:CAE25485.1	6.0		putative hydrolase or acyltransferase alpha/beta superfamily [SAR116 cluster alpha proteobacterium HIMB100]	11.0					2-hydroxymuconic semialdehyde hydrolase (EC 3.1.1.-) [Thalassospira xiamenensis M-5 DSM 17429]	10.0					alpha/beta hydrolase fold protein (EC:3.1.1.-)	4.0
upper_euphotic_10m_7517_1					BB0604 http://www.ncbi.nlm.nih.gov/protein/33599594 short chain dehydrogenase	5.0		short chain dehydrogenase [Maritimibacter alkaliphilus]	5.0				1.1.1.100	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100) [Burkholderia glumae LMG 2196]	19.0					short-chain dehydrogenase/reductase SDR	3.0
upper_euphotic_10m_7519_0								translation initiation factor 1A [halophilic archaeon DL31]	7.0											translation initiation factor eIF-1A K03236 1A	6.0
upper_euphotic_10m_877_0		Dolichyl-phosphate-mannose-proteinmannosyltransferase [Prochlorococcus marinus str. MIT 9515] (GT:83)	7.0		arnT http://www.ncbi.nlm.nih.gov/protein/157413595 dolichyl-phosphate-mannose- proteinmannosyltransferase COG1807 4-amino-4-deoxy-L-arabinose transferase related glycosyltransferases PMT family [Cell envelope biogenesis, outer membrane]	16.0		dolichyl-phosphate-mannose-protein mannosyltransferase [Prochlorococcus marinus]	4.0					Dolichyl-phosphate-mannose-protein mannosyltransferase [Prochlorococcus marinus str. MIT 9301]	7.0					dolichyl-phosphate-mannose-protein mannosyltransferase	2.0
upper_euphotic_10m_876_0		proline iminopeptidase putative [Albugo laibachii Nc14] (GT:2)	7.0		http://www.ncbi.nlm.nih.gov/protein/123965631 proline iminopeptidase COG596 Predicted hydrolases or acyltransferases (alpha/beta hydrolase superfamily) [General function prediction only]	15.0		prolyl aminopeptidase [Leptolyngbya sp. PCC 7375]	6.0		COG0596 # R General function prediction only Function: Predicted hydrolases or acyltransferases (alpha/beta hydrolase superfamily) Organism: Nostoc sp. PCC 7120 (Nos)	21.0	3.4.11.5	Proline iminopeptidase (EC 3.4.11.5) [Postia placenta MAD 698]	18.0				3.4.11.5	 LOC100242944 K01259 proline iminopeptidase [EC:3.4.11.5]	15.0
upper_euphotic_10m_875_0								phosphodiesterase/alkaline phosphatase D-like protein [Coraliomargarita akajimensis]	5.0					Phosphodiesterase/alkaline phosphatase D-like protein [Coraliomargarita akajimensis DSM 45221]	7.0				3.1.3.1	phosphodiesterase/alkaline phosphatase D-like protein K01113 alkaline D [EC:3.1.3.1]	17.0
upper_euphotic_10m_872_0					ileS http://www.ncbi.nlm.nih.gov/protein/148556685 isoleucyl-tRNA synthetase IleRS catalyzes formation isoleucyl-tRNA(Ile) from isoleucine tRNA(Ile) since other amino acids such as valine are similar, there additional editing function this enzyme one involved hydrolysis activated valine-AMP deacylation mischarged Val-tRNA(Ile) two active sites, aminoacylation editing class-I aminoacyl-tRNA synthetase family type 1 subfamily some organisms carry different copies enzyme	49.0		isoleucyl-tRNA synthetase [Magnetospirillum sp. SO-1]	5.0		COG0060 # J Translation, ribosomal structure biogenesis Function: Isoleucyl-tRNA synthetase Organism: Agrobacterium tumefaciens strain C58 (Cereon) (Atu)	17.0	6.1.1.5	Isoleucyl-tRNA synthetase (EC 6.1.1.5) [Sphingomonas sp. S17]	17.0	6.1.1.5	Isoleucyl-tRNA synthetase OS Gluconobacter oxydans GN ileS PE 3 SV 1 # UNIPROT Q5FRI6 ISOLEUCINE--TRNA-LIGASE-RXN GOXY290633:GOX1249-MONOMER 6.1.1.5	27.0	6.1.1.5	ileS isoleucyl-tRNA synthetase (EC:6.1.1.5) K01870 [EC:6.1.1.5]	16.0
upper_euphotic_10m_871_0					http://www.ncbi.nlm.nih.gov/protein/150375879 alcohol dehydrogenase PFAM: Alcohol dehydrogenase zinc-binding domain protein GroES KEGG: sme:SMb20388 putative NADPH:quinone oxidoreductase protein	13.0		oxidoreductase, zinc-binding dehydrogenase family [Glaciecola psychrophila]	6.0		COG0604 # CR Function: NADPH:quinone reductase related Zn-dependent oxidoreductases Organism: Sinorhizobium meliloti (Sme)	13.0	1.6.5.5	Quinone oxidoreductase (EC 1.6.5.5) [Bradyrhizobium japonicum USDA 6]	18.0				1.6.5.5	zinc-binding dehydrogenase family oxidoreductase K00344 NADPH2:quinone reductase [EC:1.6.5.5]	18.0
upper_euphotic_10m_871_1					http://www.ncbi.nlm.nih.gov/protein/156934793  COG: COG5631 Predicted transcription regulator, contains HTH domain (MarR family) Psort location: cytoplasmic, score: 23	16.0		Predicted transcription regulator, contains HTH domain (MarR family) [Cronobacter sakazakii]	10.0		COG5631 # K Transcription Function: Predicted transcription regulator, contains HTH domain (MarR family) Organism: Ralstonia solanacearum (Rso)	17.0		Predicted transcription regulator, contains HTH domain (MarR family) [Burkholderia pseudomallei 91]	11.0			
upper_euphotic_10m_870_0					GSU3260 http://www.ncbi.nlm.nih.gov/protein/39998350 phosphoserine aminotransferase, putative Identified match to protein family HMM PF00266	11.0		aminotransferase [Verrucomicrobia bacterium SCGC AAA164-E04]	5.0				2.6.1.52	Phosphoserine aminotransferase (EC 2.6.1.52) [Verrucomicrobium spinosum DSM 4136]	18.0				2.6.1.44	Alanine--glyoxylate transaminase (EC:2.6.1.44)	13.0
upper_euphotic_10m_879_0					http://www.ncbi.nlm.nih.gov/protein/108804571 short-chain dehydrogenase/reductase SDR PFAM: NAD-dependent epimerase/dehydratase KEGG: pae:PA2554 3-hydroxyacyl-CoA dehydrogenase	11.0		KR domain protein [SAR86 cluster bacterium SAR86E]	6.0		COG1028 # IQR Function: Dehydrogenases different specificities (related to short-chain alcohol dehydrogenases) Organism: Sinorhizobium meliloti (Sme)	16.0	1.1.1.100	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100) [Oceanicola sp. S124]	18.0	1.1.1.178	3-hydroxyacyl-CoA dehydrogenase type-2 OS Bos taurus GN HSD17B10 PE 1 SV 3 # UNIPROT O02691 OHACYL-COA-DEHYDROG-RXN CATTLE:281809-MONOMER 1.1.1.178 1.1.1.35	29.0	1.1.1.35	hsd17b10, MGC81276, abad, camr, erab, hadh2, hcd2, hsd10, mhbd, mrpp2, mrx17, mrx31, mrxs10, schad, sdr5c1 hydroxysteroid (17-beta) dehydrogenase 10 K08683 3-hydroxyacyl-CoA / 3-hydroxy-2-methylbutyryl-CoA [EC:1.1.1.35 1.1.1.178]	35.0
upper_euphotic_10m_705_0					metH http://www.ncbi.nlm.nih.gov/protein/92114012 B12-dependent methionine synthase one two synthases Escherichia coli MetH catalyzes methyl transfer reaction from methyltetrahydrofolate to homocysteine create methionine requires zinc activity	23.0		B12-dependent methionine synthase [Methylophaga lonarensis]	5.0		COG1410 # E Amino acid transport metabolism Function: Methionine synthase I, cobalamin-binding domain Organism: Agrobacterium tumefaciens strain C58 (Cereon) (Atu)	20.0	2.1.1.13	5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13) [Alteromonas macleodii str. 'Balearic Sea AD45']	20.0	2.1.1.13	Methionine synthase OS Bos taurus GN MTR PE 2 SV 1 # UNIPROT Q4JIJ3 HOMOCYSMETB12-RXN CATTLE:280869-MONOMER 2.1.1.13	27.0	2.1.1.13	MTR 5-methyltetrahydrofolate-homocysteine methyltransferase (EC:2.1.1.13) K00548 5-methyltetrahydrofolate--homocysteine [EC:2.1.1.13]	17.0
