#query	target	q_length	bitscore	bsr	expect	aln_length	identity	ec	product
upper_euphotic_70m_4666_0	sp|P29363|THRC_PSEAE	281	815	0.548083389375	0.0	281.0	100.0	4.2.3.1	Threonine synthase OS=Pseudomonas aeruginosa GN=thrC PE=3 SV=3 # UNIPROT # P29363 # THRESYN-RXN # PAER208964:PA3735-MONOMER # 4.2.3.1
upper_euphotic_70m_9989_0	sp|Q59106|ODO1_CUPNH	259	835	0.502406738869	0.0	259.0	100.0	1.2.4.2	2-oxoglutarate dehydrogenase E1 component OS=Cupriavidus necator (strain ATCC 17699 / H16 / DSM 428 / Stanier 337) GN=odhA PE=3 SV=2 # UNIPROT # Q59106 # 2OXOGLUTDECARB-RXN # REUT381666:H16_A2325-MONOMER # 1.2.4.2
upper_euphotic_70m_9989_0	sp|P51056|ODO1_COXBU	269	815	0.490373044525	0.0	269.0	100.0	1.2.4.2	2-oxoglutarate dehydrogenase E1 component OS=Coxiella burnetii GN=sucA PE=3 SV=3 # UNIPROT # P51056 # 2OXOGLUTDECARB-RXN # CBUR227377:CBU_1399-MONOMER # 1.2.4.2
upper_euphotic_70m_9989_0	sp|P45303|ODO1_HAEIN	257	780	0.469314079422	0.0	257.0	100.0	1.2.4.2	2-oxoglutarate dehydrogenase E1 component OS=Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd) GN=sucA PE=3 SV=1 # UNIPROT # P45303 # 2OXOGLUTDECARB-RXN # HINF71421:HI_1662-MONOMER # 1.2.4.2
upper_euphotic_70m_8130_0	sp|O66113|ODPB_ZYMMO	244	661	0.551752921536	0.0	244.0	100.0	1.2.4.1	Pyruvate dehydrogenase E1 component subunit beta OS=Zymomonas mobilis GN=pdhB PE=3 SV=2 # UNIPROT # O66113 # RXN0-1134 # ZMOB264203:ZMO1605-MONOMER # 1.2.4.1
upper_euphotic_70m_10301_0	sp|P04772|GLNA2_BRAJA	212	643	0.516051364366	0.0	212.0	100.0	6.3.1.2	Glutamine synthetase 2 OS=Bradyrhizobium japonicum GN=glnII PE=3 SV=2 # UNIPROT # P04772 # GLUTAMINESYN-RXN # BJAP224911:BLR4169-MONOMER # 6.3.1.2
upper_euphotic_70m_8130_0	sp|Q09171|ODPB_SCHPO	154	549	0.458263772955	0.0	154.0	100.0	1.2.4.1	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial OS=Schizosaccharomyces pombe (strain ATCC 38366 / 972) GN=pdb1 PE=2 SV=1 # UNIPROT # Q09171 # RXN0-1134 # SPOM-XXX-01:SPOM-XXX-01-004295-MONOMER # 1.2.4.1
upper_euphotic_70m_8130_0	sp|P26269|ODPB_ASCSU	150	494	0.412353923205	0.0	150.0	100.0	1.2.4.1	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial OS=Ascaris suum PE=1 SV=1 # UNIPROT # P26269 # RXN0-1134 # # 1.2.4.1
upper_euphotic_70m_611_0	sp|A9NA67|PYRC_COXBR	248	748	0.581196581197	0.0	248.0	100.0	3.5.2.3	Dihydroorotase OS=Coxiella burnetii (strain RSA 331 / Henzerling II) GN=pyrC PE=3 SV=1 # UNIPROT # A9NA67 # DIHYDROOROT-RXN # CBUR360115:COXBURSA331_A1891-MONOMER # 3.5.2.3
upper_euphotic_70m_611_0	sp|Q7N5W0|PYRC_PHOLL	247	720	0.559440559441	0.0	247.0	100.0	3.5.2.3	Dihydroorotase OS=Photorhabdus luminescens subsp. laumondii GN=pyrC PE=3 SV=1 # UNIPROT # Q7N5W0 # DIHYDROOROT-RXN # PLUM243265:PLU1819-MONOMER # 3.5.2.3
upper_euphotic_70m_611_0	sp|B9JQV9|PYRC_AGRVS	248	712	0.553224553225	0.0	248.0	100.0	3.5.2.3	Dihydroorotase OS=Agrobacterium vitis (strain S4 / ATCC BAA-846) GN=pyrC PE=3 SV=1 # UNIPROT # B9JQV9 # DIHYDROOROT-RXN # # 3.5.2.3
upper_euphotic_70m_611_0	sp|O04904|PYRC_ARATH	250	711	0.552447552448	0.0	250.0	100.0	3.5.2.3	Dihydroorotase, mitochondrial OS=Arabidopsis thaliana GN=PYR4 PE=2 SV=1 # UNIPROT # O04904 # DIHYDROOROT-RXN # # 3.5.2.3
upper_euphotic_70m_611_0	sp|B8D7M3|PYRC_BUCAT	248	590	0.45843045843	0.0	248.0	100.0	3.5.2.3	Dihydroorotase OS=Buchnera aphidicola subsp. Acyrthosiphon pisum (strain Tuc7) GN=pyrC PE=3 SV=1 # UNIPROT # B8D7M3 # DIHYDROOROT-RXN # # 3.5.2.3
upper_euphotic_70m_613_0	sp|Q7UX42|SYQ_RHOBA	168	378	0.423766816143	0.0	168.0	100.0	6.1.1.18	Glutaminyl-tRNA synthetase OS=Rhodopirellula baltica GN=glnS PE=3 SV=1 # UNIPROT # Q7UX42 # GLUTAMINE--TRNA-LIGASE-RXN # PSP117:RB1578-MONOMER # 6.1.1.18
upper_euphotic_70m_7318_0	sp|Q2QXB3|DOHH1_ORYSJ	114	284	0.487135506003	0.0	114.0	100.0	1.14.99.29	Deoxyhypusine hydroxylase-A OS=Oryza sativa subsp. japonica GN=Os12g0163300 PE=2 SV=1 # UNIPROT # Q2QXB3 # DEOXYHYPUSINE-MONOOXYGENASE-RXN # # 1.14.99.29
upper_euphotic_70m_7318_0	sp|Q556G4|DOHH_DICDI	112	268	0.459691252144	0.0	112.0	100.0	1.14.99.29	Deoxyhypusine hydroxylase OS=Dictyostelium discoideum GN=dohh-1 PE=3 SV=1 # UNIPROT # Q556G4 # DEOXYHYPUSINE-MONOOXYGENASE-RXN # # 1.14.99.29
upper_euphotic_70m_7318_0	sp|Q7ZUX6|DOHH_DANRE	108	268	0.459691252144	0.0	108.0	100.0	1.14.99.29	Deoxyhypusine hydroxylase OS=Danio rerio GN=dohh PE=2 SV=1 # UNIPROT # Q7ZUX6 # DEOXYHYPUSINE-MONOOXYGENASE-RXN # # 1.14.99.29
upper_euphotic_70m_7318_0	sp|Q96WP5|DOHH_LENED	115	265	0.454545454545	0.0	115.0	100.0	1.14.99.29	Deoxyhypusine hydroxylase OS=Lentinula edodes GN=LIA1 PE=2 SV=1 # UNIPROT # Q96WP5 # DEOXYHYPUSINE-MONOOXYGENASE-RXN # # 1.14.99.29
upper_euphotic_70m_7318_0	sp|P47120|DOHH_YEAST	113	262	0.449399656947	0.0	113.0	100.0	1.14.99.29	Deoxyhypusine hydroxylase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LIA1 PE=1 SV=1 # UNIPROT # P47120 # DEOXYHYPUSINE-MONOOXYGENASE-RXN # # 1.14.99.29
upper_euphotic_70m_612_1	sp|Q1GND0|METK_SPHAL	69	222	0.572164948454	0.0	69.0	100.0	2.5.1.6	S-adenosylmethionine synthase OS=Sphingopyxis alaskensis GN=metK PE=3 SV=1 # UNIPROT # Q1GND0 # S-ADENMETSYN-RXN # SALA317655:SALA_3139-MONOMER # 2.5.1.6
upper_euphotic_70m_612_1	sp|C0QXK7|METK_BRAHW	63	169	0.435567010309	0.0	63.0	100.0	2.5.1.6	S-adenosylmethionine synthase OS=Brachyspira hyodysenteriae (strain ATCC 49526 / WA1) GN=metK PE=3 SV=1 # UNIPROT # C0QXK7 # S-ADENMETSYN-RXN # # 2.5.1.6
upper_euphotic_70m_2693_0	sp|Q5FUA2|SYFB_GLUOX	259	744	0.480620155039	0.0	259.0	100.0	6.1.1.20	Phenylalanyl-tRNA synthetase beta chain OS=Gluconobacter oxydans GN=pheT PE=3 SV=1 # UNIPROT # Q5FUA2 # PHENYLALANINE--TRNA-LIGASE-RXN # GOXY290633:GOX0261-MONOMER # 6.1.1.20
upper_euphotic_70m_2693_0	sp|Q3J5M6|SYFB_RHOS4	279	742	0.479328165375	0.0	279.0	100.0	6.1.1.20	Phenylalanyl-tRNA synthetase beta chain OS=Rhodobacter sphaeroides (strain ATCC 17023 / 2.4.1 / NCIB 8253 / DSM 158) GN=pheT PE=3 SV=1 # UNIPROT # Q3J5M6 # PHENYLALANINE--TRNA-LIGASE-RXN # RSPH272943:RSP_1761-MONOMER # 6.1.1.20
upper_euphotic_70m_2894_0	sp|A9IQQ9|ISPH_BART1	245	732	0.55623100304	0.0	245.0	100.0	1.17.1.2	4-hydroxy-3-methylbut-2-enyl diphosphate reductase OS=Bartonella tribocorum (strain CIP 105476 / IBS 506) GN=ispH PE=3 SV=1 # UNIPROT # A9IQQ9 # RXN0-884 # BTRI382640:BT_0655-MONOMER # 1.17.1.2 1.17.1.2
upper_euphotic_70m_2693_0	sp|Q3SWK8|SYFB_NITWN	270	723	0.467054263566	0.0	270.0	100.0	6.1.1.20	Phenylalanyl-tRNA synthetase beta chain OS=Nitrobacter winogradskyi (strain Nb-255 / ATCC 25391) GN=pheT PE=3 SV=1 # UNIPROT # Q3SWK8 # PHENYLALANINE--TRNA-LIGASE-RXN # NWIN323098:NWI_0065-MONOMER # 6.1.1.20
upper_euphotic_70m_2693_0	sp|Q2GAI7|SYFB_NOVAD	264	697	0.450258397933	0.0	264.0	100.0	6.1.1.20	Phenylalanyl-tRNA synthetase beta chain OS=Novosphingobium aromaticivorans (strain DSM 12444) GN=pheT PE=3 SV=1 # UNIPROT # Q2GAI7 # PHENYLALANINE--TRNA-LIGASE-RXN # NARO279238:SARO_0689-MONOMER # 6.1.1.20
upper_euphotic_70m_2894_0	sp|Q5NP61|ISPH_ZYMMO	247	686	0.521276595745	0.0	247.0	100.0	1.17.1.2	4-hydroxy-3-methylbut-2-enyl diphosphate reductase OS=Zymomonas mobilis GN=ispH PE=3 SV=1 # UNIPROT # Q5NP61 # RXN0-884 # ZMOB264203:ZMO0875-MONOMER # 1.17.1.2 1.17.1.2
