orf_id	CAZy_2013-07-13(EC) 	CAZy_2013-07-13(product)	CAZy_2013-07-13(value)	EggNog_v3_2013_08_07(EC) 	EggNog_v3_2013_08_07(product)	EggNog_v3_2013_08_07(value)	RefSeq_complete_nr_v62_dec2013(EC) 	RefSeq_complete_nr_v62_dec2013(product)	RefSeq_complete_nr_v62_dec2013(value)	COG_2013-12-27(EC) 	COG_2013-12-27(product)	COG_2013-12-27(value)	seed-2014-01-30(EC) 	seed-2014-01-30(product)	seed-2014-01-30(value)	metacyc-v5-2011-10-21(EC) 	metacyc-v5-2011-10-21(product)	metacyc-v5-2011-10-21(value)	KEGG_pep_2013(EC) 	KEGG_pep_2013(product)	KEGG_pep_2013(value)
below_euphotic_200m_7274_0					http://www.ncbi.nlm.nih.gov/protein/163845911 ABC transporter related PFAM: SMART: AAA ATPase KEGG: related	9.0		iron ABC transporter ATP-binding protein [Parabacteroides goldsteinii]	6.0		COG1120 # PH Function: ABC-type cobalamin/Fe3+-siderophores transport systems, ATPase components Organism: Nostoc sp. PCC 7120 (Nos)	16.0		iron(III) ABC transporter, ATP-binding protein, putative [Prevotella stercorea DSM 18206]	10.0				3.6.3.25	ABC transporter-like (EC:3.6.3.25) K02013 iron complex transport system ATP-binding protein [EC:3.6.3.34]	20.0
below_euphotic_200m_7276_0					hemC http://www.ncbi.nlm.nih.gov/protein/56461658 porphobilinogen deaminase transformation to hydroxymethylbilane porphyrin biosynthesis	9.0		porphobilinogen deaminase HemC [Desulfotignum phosphitoxidans]	5.0		COG0181 # H Coenzyme transport metabolism Function: Porphobilinogen deaminase Organism: Escherichia coli O157:H7 EDL933 (EcZ)	15.0	2.5.1.61	Porphobilinogen deaminase (EC 2.5.1.61) [Alteromonas macleodii str. 'Black Sea 11']	20.0	2.5.1.61	Porphobilinogen deaminase OS Pelobacter carbinolicus (strain DSM 2380 / Gra Bd 1) GN hemC PE 3 SV 1 # UNIPROT Q3A009 OHMETHYLBILANESYN-RXN 2.5.1.61	33.0	2.5.1.61	hmbsb, PBGD, hmbsl, id:ibd5004, im:7140060, zgc:110690 hydroxymethylbilane synthase, b K01749 synthase [EC:2.5.1.61]	22.0
below_euphotic_200m_7277_0								phytanoyl-CoA dioxygenase [SAR324 cluster bacterium JCVI-SC AAA005]	7.0					 [SAR324 cluster bacterium JCVI-SC AAA005]	5.0						
below_euphotic_200m_7270_0								 [Turneriella parva]	2.0					 [Turneriella parva DSM 21527]	4.0						
below_euphotic_200m_7273_0								 [Schlesneria paludicola]	2.0					 [Schlesneria paludicola DSM 18645]	4.0						
below_euphotic_200m_7279_0								Uncharacterized hydrolase/peptidase y4tM [Mesorhizobium sp. STM 4661]	7.0					Xaa-Pro aminopeptidase [Desulfosporosinus meridiei DSM 13257]	6.0						
below_euphotic_200m_324_0								 [SAR202 cluster bacterium SCGC AAA240-N13]	5.0												
below_euphotic_200m_1999_0								exported  [Nitrospina gracilis]	3.0												
below_euphotic_200m_1998_1					http://www.ncbi.nlm.nih.gov/protein/222056528 single-stranded-DNA-specific exonuclease RecJ TIGRFAM: PFAM: phosphoesterase RecJ domain protein DHHA1 KEGG:	10.0		single-stranded-DNA-specific exonuclease RecJ [SAR324 cluster bacterium JCVI-SC AAA005]	8.0		COG0608 # L Replication, recombination repair Function: Single-stranded DNA-specific exonuclease Organism: Staphylococcus aureus N315 (Sau)	15.0		Single-stranded-DNA-specific exonuclease RecJ (EC 3.1.-.-) [Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1632]	11.0					recJ single-stranded-DNA-specific exonuclease RecJ K07462 [EC:3.1.-.-]	6.0
below_euphotic_200m_1997_0								 [Candidatus Poribacteria sp. WGA-4E]	4.0												
below_euphotic_200m_1996_1					purD http://www.ncbi.nlm.nih.gov/protein/57234407 phosphoribosylamine--glycine ligase catalyzes formation N(1)-(5-phospho-D-ribosyl)glycinamide from 5-phospho-D-ribosylamine glycine purine biosynthesis	12.0		phosphoribosylamine--glycine ligase [Halobacillus sp. BAB-2008]	5.0		COG0151 # F Nucleotide transport metabolism Function: Phosphoribosylamine-glycine ligase Organism: Neisseria meningitidis MC58 (Nme)	14.0	6.3.4.13	Phosphoribosylamine--glycine ligase (EC 6.3.4.13) [Brevibacillus laterosporus LMG 15441]	18.0	6.3.4.13	Phosphoribosylamine--glycine ligase OS Nostoc sp. (strain PCC 7120 / UTEX 2576) GN purD PE 3 SV 1 # UNIPROT Q8YRD8 GLYRIBONUCSYN-RXN NSP103690:ALR3510-MONOMER 6.3.4.13	33.0	6.3.4.13	bifunctional purine biosynthetic protein (phosphoribosylamine-glycine ligase/phosphoribosylformylglycinamidine cyclo-ligase), putative (EC:6.3.4.13) K11788 phosphoribosylamine--glycine ligase / phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.4.13 6.3.3.1]	26.0
below_euphotic_200m_1992_0					http://www.ncbi.nlm.nih.gov/protein/116625203 selenocysteine synthase (seryl-tRNASer selenium transferase)-like protein KEGG: L-seryl-tRNA(ser) transferase protein	9.0		Cys/Met metabolism pyridoxal-phosphate-dependent protein [Terriglobus saanensis]	5.0					L-seryl-tRNA(Sec) selenium transferase-related protein [Acidobacterium sp. MP5ACTX9]	6.0					selenocysteine synthase (seryl-tRNASer selenium transferase)-like protein	5.0
below_euphotic_200m_1991_0					http://www.ncbi.nlm.nih.gov/protein/257055893 NAD(FAD)-dependent dehydrogenase PFAM: Pyridine nucleotide-disulphide oxidoreductase	7.0		FAD-dependent pyridine nucleotide-disulfide oxidoreductase [Amycolatopsis decaplanina]	6.0					Ferredoxin reductase [Gordonia rubripertincta NBRC 101908]	6.0					FAD-dependent pyridine nucleotide-disulphide oxidoreductase	4.0
below_euphotic_200m_1990_0								UDP-N-acetylmuramoylalanyl-D-glutamyl-2, 6-diaminopimelate--D-alanyl-D-alanine ligase [Patulibacter sp. I11]	6.0				6.3.2.10	UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate--D-alanyl-D-alanine ligase (EC 6.3.2.10) [Gordonia rubripertincta NBRC 101908]	18.0						
below_euphotic_200m_3258_0					http://www.ncbi.nlm.nih.gov/protein/118462422 dibenzothiophene desulfurization enzyme A identified match to protein family HMM PF00296	11.0		dibenzothiophene desulfurization enzyme A [Rhodococcus sp. JVH1]	7.0		COG2141 # C Energy production conversion Function: Coenzyme F420-dependent N5,N10-methylene tetrahydromethanopterin reductase related flavin-dependent oxidoreductases Organism: Agrobacterium tumefaciens strain C58 (Cereon) (Atu)	22.0		Nitrilotriacetate monooxygenase component A (EC 1.14.13.-) [Mycobacterium abscessus 5S-0304]	9.0		Dibenzothiophene desulfurization enzyme A OS Rhodococcus sp. (strain IGTS8) GN soxA PE 3 SV 1 # UNIPROT P54995 RXN-623 MetaCyc:MONOMER-265	20.0		nitrilotriacetate monooxygenase component A, putative	5.0
below_euphotic_200m_3259_1					http://www.ncbi.nlm.nih.gov/protein/161528037 translation initiation factor eIF-5A TIGRFAM: PFAM: 5A hypusine (eIF-5A) KEGG: tko:TK0878 eIF-5A	12.0		translation initiation factor IF-5A [Marine Group I thaumarchaeote SCGC AB-629-I23]	10.0					Eukaryotic translation initiation factor 5A [Nitrosopumilus maritimus SCM1]	8.0					translation elongation factor P (EF-P)/translation initiation 5A K03263 5A	8.0
below_euphotic_200m_3256_0					http://www.ncbi.nlm.nih.gov/protein/161528939 TatD-related deoxyribonuclease PFAM: KEGG: bce:BC0234 Sec-independent secretion TatD	9.0		 [Marine Group I thaumarchaeote SCGC AB-629-I23]	6.0					Putative deoxyribonuclease similar to YcfH, type 3 [Nitrosopumilus maritimus SCM1]	10.0					TatD-related deoxyribonuclease K03424 TatD DNase family protein [EC:3.1.21.-]	7.0
