#query	target	q_length	bitscore	bsr	expect	aln_length	identity	ec	product
deepabyss_4000m_65_0	Maqu_3032	295	1474	0.96719160105	0.0	295.0	100.0		Maqu_3032 ncbi.nlm.nih.gov:YP_960293.1|ncbi.nlm.nih.gov:Maqu_3032 http://www.ncbi.nlm.nih.gov/protein/120555942 hypothetical protein; PFAM: protein of unknown function DUF403; protein of unknown function DUF404; protein of unknown function DUF407; KEGG: dar:Daro_3009 protein of unknown function DUF403
deepabyss_4000m_8907_0	MADE_02437	305	1433	0.929312581064	0.0	305.0	100.0		MADE_02437 ncbi.nlm.nih.gov:YP_002126727.1|ncbi.nlm.nih.gov:MADE_02437 http://www.ncbi.nlm.nih.gov/protein/196157238 transcription-repair coupling factor; COG1197, Mfd, Transcription-repair coupling factor (superfamily II helicase) [DNA replication, recombination, and repair / Transcription]
deepabyss_4000m_6209_0	RD1_3924	306	1425	0.876383763838	0.0	306.0	100.0		fabB ncbi.nlm.nih.gov:RD1_3924|ncbi.nlm.nih.gov:YP_684067.1|ncbi.nlm.nih.gov:fabB http://www.ncbi.nlm.nih.gov/protein/110681060 3-oxoacyl-(acyl-carrier-protein) synthase
deepabyss_4000m_8913_0	Csal_3010	322	1422	0.852517985612	0.0	322.0	100.0		Csal_3010 ncbi.nlm.nih.gov:YP_575053.1|ncbi.nlm.nih.gov:Csal_3010 http://www.ncbi.nlm.nih.gov/protein/92115125 homoserine dehydrogenase; catalyzes the formation of L-aspartate 4-semialdehyde from L-homoserine
deepabyss_4000m_7180_0	PST_4020	304	1415	0.90127388535	0.0	304.0	100.0		PST_4020 ncbi.nlm.nih.gov:YP_001174485.1|ncbi.nlm.nih.gov:PST_4020 http://www.ncbi.nlm.nih.gov/protein/146284332 GTPase SAR1
deepabyss_4000m_3358_0	ELI_06930	308	1405	0.847406513872	0.0	308.0	100.0		ELI_06930 ncbi.nlm.nih.gov:YP_458275.1|ncbi.nlm.nih.gov:ELI_06930 http://www.ncbi.nlm.nih.gov/protein/85374213 electrotransfer ubiquinone oxidoreductase; COG0644 Dehydrogenases (flavoproteins)
deepabyss_4000m_8967_0	ELI_09885	323	1403	0.813805104408	0.0	323.0	100.0		ELI_09885 ncbi.nlm.nih.gov:YP_458866.1|ncbi.nlm.nih.gov:ELI_09885 http://www.ncbi.nlm.nih.gov/protein/85374804 phytoene dehydrogenase; COG1233 Phytoene dehydrogenase and related proteins
deepabyss_4000m_3348_0	Hhal_2430	321	1369	0.821235752849	0.0	321.0	100.0		Hhal_2430 ncbi.nlm.nih.gov:YP_001003995.1|ncbi.nlm.nih.gov:Hhal_2430 http://www.ncbi.nlm.nih.gov/protein/121999208 F0F1 ATP synthase subunit beta; Produces ATP from ADP in the presence of a proton gradient across the membrane. The beta chain is a regulatory subunit
deepabyss_4000m_2907_0	Noc_3076	297	1366	0.904037061549	0.0	297.0	100.0		Noc_3076 ncbi.nlm.nih.gov:YP_345047.1|ncbi.nlm.nih.gov:Noc_3076 http://www.ncbi.nlm.nih.gov/protein/77166522 F0F1 ATP synthase subunit alpha; produces ATP from ADP in the presence of a proton gradient across the membrane; the alpha chain is a catalytic subunit
deepabyss_4000m_3348_0	CGSHiEE_00590	319	1362	0.817036592681	0.0	319.0	100.0		CGSHiEE_00590 ncbi.nlm.nih.gov:YP_001289995.1|ncbi.nlm.nih.gov:CGSHiEE_00590 http://www.ncbi.nlm.nih.gov/protein/148825242 F0F1 ATP synthase subunit beta; Produces ATP from ADP in the presence of a proton gradient across the membrane. The beta chain is a regulatory subunit
deepabyss_4000m_3348_0	CGSHiGG_05650	319	1362	0.817036592681	0.0	319.0	100.0		CGSHiGG_05650 ncbi.nlm.nih.gov:YP_001292428.1|ncbi.nlm.nih.gov:CGSHiGG_05650 http://www.ncbi.nlm.nih.gov/protein/148827675 F0F1 ATP synthase subunit beta; Produces ATP from ADP in the presence of a proton gradient across the membrane. The beta chain is a regulatory subunit
deepabyss_4000m_3348_0	NTHI0609	319	1361	0.816436712657	0.0	319.0	100.0		atpD ncbi.nlm.nih.gov:NTHI0609|ncbi.nlm.nih.gov:YP_248193.1|ncbi.nlm.nih.gov:atpD http://www.ncbi.nlm.nih.gov/protein/68249081 F0F1 ATP synthase subunit beta; Produces ATP from ADP in the presence of a proton gradient across the membrane. The beta chain is a regulatory subunit
deepabyss_4000m_3348_0	MADE_04083	319	1356	0.813437312537	0.0	319.0	100.0		MADE_04083 ncbi.nlm.nih.gov:YP_002128367.1|ncbi.nlm.nih.gov:MADE_04083 http://www.ncbi.nlm.nih.gov/protein/196158878 F0F1 ATP synthase subunit beta; Produces ATP from ADP in the presence of a proton gradient across the membrane. The beta chain is a regulatory subunit
deepabyss_4000m_8967_0	Saro_1816	324	1354	0.785382830626	0.0	324.0	100.0		Saro_1816 ncbi.nlm.nih.gov:YP_497090.1|ncbi.nlm.nih.gov:Saro_1816 http://www.ncbi.nlm.nih.gov/protein/87199833 amine oxidase
deepabyss_4000m_6209_0	TM1040_0181	305	1350	0.830258302583	0.0	305.0	100.0		TM1040_0181 ncbi.nlm.nih.gov:YP_612176.1|ncbi.nlm.nih.gov:TM1040_0181 http://www.ncbi.nlm.nih.gov/protein/99080022 3-oxoacyl-[acyl-carrier-protein] synthase I; PFAM: beta-ketoacyl synthase: (1.6e-58); KEGG: sil:SPOA0440 3-oxoacyl-(acyl-carrier-protein) synthase, ev=0.0, 92% identity
deepabyss_4000m_2907_0	MCA0010	297	1348	0.892124420913	0.0	297.0	100.0		atpA-1 ncbi.nlm.nih.gov:MCA0010|ncbi.nlm.nih.gov:YP_112551.1|ncbi.nlm.nih.gov:atpA-1 http://www.ncbi.nlm.nih.gov/protein/53802693 F0F1 ATP synthase subunit alpha; produces ATP from ADP in the presence of a proton gradient across the membrane; the alpha chain is a catalytic subunit
deepabyss_4000m_6209_0	Jann_1656	305	1342	0.825338253383	0.0	305.0	100.0		Jann_1656 ncbi.nlm.nih.gov:YP_509598.1|ncbi.nlm.nih.gov:Jann_1656 http://www.ncbi.nlm.nih.gov/protein/89054147 3-oxoacyl-[acyl-carrier-protein] synthase I
deepabyss_4000m_6209_0	SPOA0440	306	1341	0.824723247232	0.0	306.0	100.0		fabB ncbi.nlm.nih.gov:SPOA0440|ncbi.nlm.nih.gov:YP_165267.1|ncbi.nlm.nih.gov:fabB http://www.ncbi.nlm.nih.gov/protein/56709221 3-oxoacyl-(acyl-carrier-protein) synthase; identified by similarity to SP:P14926; match to protein family HMM PF00109; match to protein family HMM PF02801
deepabyss_4000m_2907_0	Tbd_2799	297	1337	0.884844473858	0.0	297.0	100.0		Tbd_2799 ncbi.nlm.nih.gov:YP_316557.1|ncbi.nlm.nih.gov:Tbd_2799 http://www.ncbi.nlm.nih.gov/protein/74318817 F0F1 ATP synthase subunit alpha; produces ATP from ADP in the presence of a proton gradient across the membrane; the alpha chain is a catalytic subunit
deepabyss_4000m_4608_0	Saro_2235	307	1331	0.811585365854	0.0	307.0	100.0		Saro_2235 ncbi.nlm.nih.gov:YP_497506.1|ncbi.nlm.nih.gov:Saro_2235 http://www.ncbi.nlm.nih.gov/protein/87200249 RNA polymerase sigma factor RpoD; sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released; this is the primary sigma factor of bacteria
deepabyss_4000m_3930_0	PST_2663	268	1331	0.900541271989	0.0	268.0	100.0		PST_2663 ncbi.nlm.nih.gov:YP_001173155.1|ncbi.nlm.nih.gov:PST_2663 http://www.ncbi.nlm.nih.gov/protein/146283002 DEAD-box ATP dependent DNA helicase; Code: R; COG: COG1201
deepabyss_4000m_791_0	PFLU4193	266	1329	0.994016454749	0.0	266.0	100.0		PFLU4193 ncbi.nlm.nih.gov:YP_002873741.1|ncbi.nlm.nih.gov:PFLU4193 http://www.ncbi.nlm.nih.gov/protein/229591622 putative 3-isopropylmalate dehydrogenase
deepabyss_4000m_3143_0	Saro_1361	315	1323	0.832599118943	0.0	315.0	100.0		Saro_1361 ncbi.nlm.nih.gov:YP_496639.1|ncbi.nlm.nih.gov:Saro_1361 http://www.ncbi.nlm.nih.gov/protein/87199382 Lon-A peptidase
deepabyss_4000m_1084_0	Maqu_0564	268	1319	0.829559748428	0.0	268.0	100.0		Maqu_0564 ncbi.nlm.nih.gov:YP_957852.1|ncbi.nlm.nih.gov:Maqu_0564 http://www.ncbi.nlm.nih.gov/protein/120553501 alkaline phosphatase domain-containing protein; PFAM: PglZ domain; KEGG: dvu:DVU2020 hypothetical protein
deepabyss_4000m_2907_0	Sde_3968	297	1316	0.870946393117	0.0	297.0	100.0		Sde_3968 ncbi.nlm.nih.gov:YP_529435.1|ncbi.nlm.nih.gov:Sde_3968 http://www.ncbi.nlm.nih.gov/protein/90023608 Sodium-transporting two-sector ATPase
deepabyss_4000m_9460_0	Maqu_0521	260	1316	0.895238095238	0.0	260.0	100.0		Maqu_0521 ncbi.nlm.nih.gov:YP_957809.1|ncbi.nlm.nih.gov:Maqu_0521 http://www.ncbi.nlm.nih.gov/protein/120553458 spermidine synthase; catalyzes the formation of spermidine from putrescine and S-adenosylmethioninamine
deepabyss_4000m_2907_0	H16_A3639	297	1316	0.870946393117	0.0	297.0	100.0		atpA ncbi.nlm.nih.gov:H16_A3639|ncbi.nlm.nih.gov:YP_728064.1|ncbi.nlm.nih.gov:atpA http://www.ncbi.nlm.nih.gov/protein/113869575 F0F1 ATP synthase subunit alpha; produces ATP from ADP in the presence of a proton gradient across the membrane; the alpha chain is a catalytic subunit
deepabyss_4000m_3358_0	Saro_1781	308	1315	0.79312424608	0.0	308.0	100.0		Saro_1781 ncbi.nlm.nih.gov:YP_497055.1|ncbi.nlm.nih.gov:Saro_1781 http://www.ncbi.nlm.nih.gov/protein/87199798 electron-transferring-flavoprotein dehydrogenase
deepabyss_4000m_3136_0	Maqu_0903	300	1310	0.8402822322	0.0	300.0	100.0		Maqu_0903 ncbi.nlm.nih.gov:YP_958186.1|ncbi.nlm.nih.gov:Maqu_0903 http://www.ncbi.nlm.nih.gov/protein/120553835 cyclic nucleotide-binding protein; PFAM: cyclic nucleotide-binding; CBS domain containing protein; protein of unknown function DUF294, nucleotidyltransferase putative; KEGG: pen:PSEEN5129 nucleotidyltransferase, CBS domain/cAMP binding
deepabyss_4000m_3385_0	SAR11_0668	309	1302	0.748706152961	0.0	309.0	100.0		gcvP ncbi.nlm.nih.gov:SAR11_0668|ncbi.nlm.nih.gov:YP_266091.1|ncbi.nlm.nih.gov:gcvP http://www.ncbi.nlm.nih.gov/protein/71083372 glycine dehydrogenase; acts in conjunction with GvcH to form H-protein-S-aminomethyldihydrolipoyllysine from glycine
deepabyss_4000m_4209_0	Acel_1068	287	1300	0.794135613928	0.0	287.0	100.0		Acel_1068 ncbi.nlm.nih.gov:YP_872826.1|ncbi.nlm.nih.gov:Acel_1068 http://www.ncbi.nlm.nih.gov/protein/117928275 acetyl-coenzyme A synthetase; PFAM: AMP-dependent synthetase and ligase; KEGG: sru:SRU_1684 acetyl-CoA synthase
deepabyss_4000m_791_0	PFL_2066	266	1299	0.97157816006	0.0	266.0	100.0		leuB ncbi.nlm.nih.gov:PFL_2066|ncbi.nlm.nih.gov:YP_259178.1|ncbi.nlm.nih.gov:leuB http://www.ncbi.nlm.nih.gov/protein/70729440 3-isopropylmalate dehydrogenase; catalyzes the oxidation of 3-isopropylmalate to 3-carboxy-4-methyl-2-oxopentanoate in leucine biosynthesis
