#query	target	q_length	bitscore	bsr	expect	aln_length	identity	ec	product
below_euphotic_200m_4511_0	gi|504766404|ref|WP_014953506.1|	324	1576	0.883408071749	0.0	324.0	100.0		(2Fe-2S)-binding protein [alpha proteobacterium HIMB5]
below_euphotic_200m_4511_0	gi|504768236|ref|WP_014955338.1|	321	1423	0.79764573991	0.0	321.0	100.0		(2Fe-2S)-binding protein [alpha proteobacterium HIMB59]
below_euphotic_200m_4060_0	gi|496278029|ref|WP_008990067.1|	297	1372	0.920187793427	0.0	297.0	100.0		F0F1 ATP synthase subunit alpha [Galbibacter sp. ck-I2-15]
below_euphotic_200m_4060_0	gi|496958606|ref|WP_009420063.1|	297	1367	0.91683433937	0.0	297.0	100.0		ATP synthase F1, alpha subunit [Capnocytophaga sp. oral taxon 380]
below_euphotic_200m_4060_0	gi|496945819|ref|WP_009416462.1|	297	1365	0.915492957746	0.0	297.0	100.0		ATP synthase F1, alpha subunit [Capnocytophaga sp. oral taxon 332]
below_euphotic_200m_4060_0	gi|496934784|ref|WP_009413291.1|	297	1359	0.911468812877	0.0	297.0	100.0		ATP synthase F1, alpha subunit [Capnocytophaga sp. oral taxon 326]
below_euphotic_200m_3920_0	gi|497256596|ref|WP_009570813.1|	310	1345	0.833849969002	0.0	310.0	100.0		urease subunit alpha [Celeribacter baekdonensis]
below_euphotic_200m_3920_0	gi|491815875|ref|WP_005615379.1|	310	1344	0.8332300062	0.0	310.0	100.0		urease subunit alpha [Ruegeria mobilis]
below_euphotic_200m_4060_0	gi|497917376|ref|WP_010231532.1|	297	1343	0.900737759893	0.0	297.0	100.0		ATP synthase F1 subunit alpha [Gillisia sp. CBA3202]
below_euphotic_200m_6334_0	gi|496229928|ref|WP_008943963.1|	348	1342	0.744728079911	0.0	348.0	100.0		glutamate synthase [Oceanibaculum indicum]
below_euphotic_200m_2508_0	gi|496229340|ref|WP_008943375.1|	323	1337	0.790656416322	0.0	323.0	100.0		cysteine desulfarase [Oceanibaculum indicum]
below_euphotic_200m_6334_0	gi|504766749|ref|WP_014953851.1|	334	1336	0.741398446171	0.0	334.0	100.0		glutamate synthase [alpha proteobacterium HIMB5]
below_euphotic_200m_6334_0	gi|495891352|ref|WP_008615931.1|	332	1336	0.741398446171	0.0	332.0	100.0		glutamate synthase [NADPH] large chain precursor [Magnetospirillum sp. SO-1]
below_euphotic_200m_2508_0	gi|496225348|ref|WP_008939383.1|	323	1336	0.790065050266	0.0	323.0	100.0		cysteine desulfurase activator complex subunit SufB [Marinobacter santoriniensis]
below_euphotic_200m_6334_0	gi|497224981|ref|WP_009539243.1|	333	1336	0.741398446171	0.0	333.0	100.0		Glutamate synthase [NADPH] large chain [Caenispirillum salinarum]
below_euphotic_200m_2704_0	gi|494521265|ref|WP_007310718.1|	314	1332	0.798082684242	0.0	314.0	100.0		DNA-directed RNA polymerase beta subunit, partial [Crocosphaera watsonii]
below_euphotic_200m_2508_0	gi|495876818|ref|WP_008601397.1|	323	1331	0.787108219988	0.0	323.0	100.0		Iron-sulfur cluster assembly protein SufB [alpha proteobacterium JLT2015]
below_euphotic_200m_2508_0	gi|497268555|ref|WP_009582772.1|	323	1330	0.786516853933	0.0	323.0	100.0		Iron-sulfur cluster assembly protein SufB [Fulvivirga imtechensis]
below_euphotic_200m_2704_0	gi|493563217|ref|WP_006516604.1|	314	1325	0.793888556022	0.0	314.0	100.0		DNA-directed RNA polymerase subunit beta [Leptolyngbya sp. PCC 7375]
below_euphotic_200m_2704_0	gi|495594737|ref|WP_008319316.1|	314	1325	0.793888556022	0.0	314.0	100.0		DNA-directed RNA polymerase, beta subunit [Leptolyngbya sp. PCC 6406]
below_euphotic_200m_2508_0	gi|497412816|ref|WP_009727014.1|	323	1324	0.782968657599	0.0	323.0	100.0		cysteine desulfurase activator complex subunit SufB [Methylophaga lonarensis]
below_euphotic_200m_3102_0	gi|497836653|ref|WP_010150809.1|	274	1324	0.928471248247	0.0	274.0	100.0		dehydrogenase/oxidase [SAR324 cluster bacterium JCVI-SC AAA005]
below_euphotic_200m_2704_0	gi|497454046|ref|WP_009768244.1|	314	1320	0.79089275015	0.0	314.0	100.0		DNA-directed RNA polymerase subunit beta [Oscillatoriales cyanobacterium JSC-12]
below_euphotic_200m_6334_0	gi|494151928|ref|WP_007091672.1|	332	1317	0.730854605993	0.0	332.0	100.0		glutamate synthase [Thalassospira xiamenensis]
below_euphotic_200m_2704_0	gi|497319927|ref|WP_009634140.1|	314	1316	0.788496105452	0.0	314.0	100.0		DNA-directed RNA polymerase, beta subunit [Synechocystis sp. PCC 7509]
below_euphotic_200m_4237_0	gi|490419191|ref|WP_004291499.1|	314	1294	0.788543570993	0.0	314.0	100.0		formate dehydrogenase subunit alpha [Thauera sp. 63]
below_euphotic_200m_4588_0	gi|498000503|ref|WP_010314659.1|	319	1293	0.712004405286	0.0	319.0	100.0		photosystem I P700 chlorophyll a apoprotein A1, partial [Synechococcus sp. CB0205]
below_euphotic_200m_4237_0	gi|497224865|ref|WP_009539127.1|	312	1287	0.784277879342	0.0	312.0	100.0		NAD-dependent formate dehydrogenase alpha subunit [Caenispirillum salinarum]
below_euphotic_200m_6741_0	gi|510927052|ref|WP_016247769.1|	256	1283	0.774758454106	0.0	256.0	100.0		inner membrane transport permease ybhS [Escherichia coli]
below_euphotic_200m_6741_0	gi|485775219|ref|WP_001398819.1|	256	1279	0.772342995169	0.0	256.0	100.0		inner membrane transport permease ybhS [Escherichia coli]
below_euphotic_200m_4237_0	gi|493507988|ref|WP_006462378.1|	314	1278	0.778793418647	0.0	314.0	100.0		formate dehydrogenase subunit alpha [Herbaspirillum frisingense]
below_euphotic_200m_6741_0	gi|485776755|ref|WP_001400134.1|	256	1277	0.7711352657	0.0	256.0	100.0		inner membrane transport permease ybhS [Escherichia coli]
below_euphotic_200m_6741_0	gi|510927857|ref|WP_016248501.1|	256	1277	0.7711352657	0.0	256.0	100.0		inner membrane transport permease ybhS [Escherichia coli]
below_euphotic_200m_6741_0	gi|485790963|ref|WP_001412881.1|	256	1276	0.770531400966	0.0	256.0	100.0		inner membrane transport permease ybhS [Escherichia coli]
below_euphotic_200m_4237_0	gi|493424800|ref|WP_006380534.1|	312	1274	0.776355880561	0.0	312.0	100.0		formate dehydrogenase, alpha subunit [Streptomyces turgidiscabies]
below_euphotic_200m_3920_0	gi|495810022|ref|WP_008534601.1|	311	1273	0.789212647241	0.0	311.0	100.0		urease subunit alpha [Rhizobium sp. Pop5]
below_euphotic_200m_3920_0	gi|493777362|ref|WP_006725816.1|	311	1271	0.787972721637	0.0	311.0	100.0		urease subunit alpha [Agrobacterium albertimagni]
below_euphotic_200m_3920_0	gi|496148448|ref|WP_008872955.1|	311	1270	0.787352758834	0.0	311.0	100.0		Urease alpha subunit (Urea amidohydrolase) [Mesorhizobium metallidurans]
below_euphotic_200m_4237_0	gi|498534012|ref|WP_010832491.1|	314	1264	0.770262035344	0.0	314.0	100.0		assimilatory nitrate reductase (NADH) alpha [Nocardioides sp. CF8]
below_euphotic_200m_3415_0	gi|490373021|ref|WP_004252624.1|	318	1237	0.738948626045	0.0	318.0	100.0		carbamoyl phosphate synthase large subunit [Proteus mirabilis]
below_euphotic_200m_3415_0	gi|490369329|ref|WP_004248980.1|	318	1237	0.738948626045	0.0	318.0	100.0		carbamoyl phosphate synthase large subunit [Proteus mirabilis]
below_euphotic_200m_3415_0	gi|498911073|ref|WP_010846297.1|	318	1235	0.737753882915	0.0	318.0	100.0		Carbamoyl-phosphate synthase large chain [Xenorhabdus nematophila]
below_euphotic_200m_4588_0	gi|493562272|ref|WP_006515676.1|	321	1229	0.676762114537	0.0	321.0	100.0		photosystem I core protein PsaA [Leptolyngbya sp. PCC 7375]
below_euphotic_200m_3415_0	gi|495759864|ref|WP_008484443.1|	318	1223	0.730585424134	0.0	318.0	100.0		carbamoyl phosphate synthase large subunit [Gallaecimonas xiamenensis]
below_euphotic_200m_7887_0	gi|497855695|ref|WP_010169851.1|	253	1219	0.896983075791	0.0	253.0	100.0		ribonuclease BN [Pseudomonas sp. PAMC 25886]
below_euphotic_200m_3415_0	gi|504809080|ref|WP_014996182.1|	318	1214	0.725209080048	0.0	318.0	100.0		carbamoyl phosphate synthase large subunit [Alcanivorax dieselolei]
below_euphotic_200m_7887_0	gi|492251809|ref|WP_005790736.1|	253	1211	0.891096394408	0.0	253.0	100.0		YihY family protein [Pseudomonas synxantha]
below_euphotic_200m_524_0	gi|491152676|ref|WP_005011070.1|	267	1206	0.877729257642	0.0	267.0	100.0		ATP synthase, F1 complex, alpha subunit [Nitrospina gracilis]
below_euphotic_200m_3797_0	gi|498351335|ref|WP_010665491.1|	296	1202	0.71377672209	0.0	296.0	100.0		leucyl-tRNA synthetase [Marinilabilia salmonicolor]
below_euphotic_200m_4588_0	gi|493556813|ref|WP_006510311.1|	318	1200	0.660792951542	0.0	318.0	100.0		photosystem I core protein PsaA [Xenococcus sp. PCC 7305]
below_euphotic_200m_7662_0	gi|495717535|ref|WP_008442114.1|	310	1195	0.671725688589	0.0	310.0	100.0		Methylcrotonoyl-CoA carboxylase beta chain [Thermoplasmatales archaeon SCGC AB-539-N05]
below_euphotic_200m_1972_0	gi|489309971|ref|WP_003217391.1|	286	1194	0.71625674865	0.0	286.0	100.0		urease subunit alpha [Pseudomonas fluorescens]
