#query	target	q_length	bitscore	bsr	expect	aln_length	identity	ec	product
uppermesopelagic_500m_6511_0	gi|494152390|ref|WP_007092133.1|	318	1585	0.922047702152	0.0	318.0	100.0		translocation protein TolB [Thalassospira xiamenensis]
uppermesopelagic_500m_6511_0	gi|496166874|ref|WP_008891381.1|	318	1555	0.904595695172	0.0	318.0	100.0		translocation protein TolB [Thalassospira profundimaris]
uppermesopelagic_500m_6078_0	gi|496163835|ref|WP_008888342.1|	294	1523	0.979421221865	0.0	294.0	100.0		pyruvate carboxylase [Thalassospira profundimaris]
uppermesopelagic_500m_4342_0	gi|494008165|ref|WP_006950619.1|	316	1515	0.880813953488	0.0	316.0	100.0		DNA-directed RNA polymerase beta subunit [Sphingobium japonicum]
uppermesopelagic_500m_6078_0	gi|494151916|ref|WP_007091660.1|	294	1489	0.957556270096	0.0	294.0	100.0		pyruvate carboxylase [Thalassospira xiamenensis]
uppermesopelagic_500m_5145_0	gi|496500897|ref|WP_009209180.1|	307	1486	0.960568842922	0.0	307.0	100.0		possible adenylate cyclase [Aurantimonas manganoxydans]
uppermesopelagic_500m_3825_0	gi|498197471|ref|WP_010511627.1|	301	1467	0.872175980975	0.0	301.0	100.0		hypothetical protein [SAR324 cluster bacterium SCGC AAA001-C10]
uppermesopelagic_500m_5128_0	gi|498197428|ref|WP_010511584.1|	294	1456	0.970666666667	0.0	294.0	100.0		flagellar hook-associated 2 domain-containing protein [SAR324 cluster bacterium SCGC AAA001-C10]
uppermesopelagic_500m_4342_0	gi|495876673|ref|WP_008601252.1|	316	1453	0.84476744186	0.0	316.0	100.0		DNA-directed RNA polymerase beta subunit [alpha proteobacterium JLT2015]
uppermesopelagic_500m_7606_0	gi|494149074|ref|WP_007088819.1|	308	1448	0.885085574572	0.0	308.0	100.0		ATPase AAA [Thalassospira xiamenensis]
uppermesopelagic_500m_6505_0	gi|496166833|ref|WP_008891340.1|	324	1447	0.875907990315	0.0	324.0	100.0		hydroxypyruvate reductase [Thalassospira profundimaris]
uppermesopelagic_500m_2338_0	gi|495766228|ref|WP_008490807.1|	322	1446	0.804674457429	0.0	322.0	100.0		cytochrome c oxidase, subunit I [SAR86 cluster bacterium SAR86E]
uppermesopelagic_500m_6505_0	gi|494151201|ref|WP_007090946.1|	324	1445	0.874697336562	0.0	324.0	100.0		hydroxypyruvate reductase [Thalassospira xiamenensis]
uppermesopelagic_500m_7606_0	gi|496163959|ref|WP_008888466.1|	308	1436	0.877750611247	0.0	308.0	100.0		ATPase AAA [Thalassospira profundimaris]
uppermesopelagic_500m_2338_0	gi|495844597|ref|WP_008569176.1|	324	1413	0.786310517529	0.0	324.0	100.0		cytochrome oxidase subunit I [Pseudomonas sp. Chol1]
uppermesopelagic_500m_5334_0	gi|496121458|ref|WP_008845965.1|	316	1412	0.840476190476	0.0	316.0	100.0		elongation factor G 2 [Glaciecola lipolytica]
uppermesopelagic_500m_3619_0	gi|498193173|ref|WP_010507329.1|	288	1412	0.937583001328	0.0	288.0	100.0		FAD dependent oxidoreductase/aminomethyl transferase, partial [gamma proteobacterium SCGC AAA001-B15]
uppermesopelagic_500m_2094_0	gi|498196312|ref|WP_010510468.1|	299	1410	0.895238095238	0.0	299.0	100.0		hypothetical protein [SAR324 cluster bacterium SCGC AAA001-C10]
uppermesopelagic_500m_2338_0	gi|489212866|ref|WP_003121614.1|	324	1409	0.78408458542	0.0	324.0	100.0		cytochrome oxidase subunit I [Pseudomonas aeruginosa]
uppermesopelagic_500m_5497_0	gi|498198164|ref|WP_010512320.1|	278	1408	0.925706771861	0.0	278.0	100.0		hypothetical protein, partial [SAR324 cluster bacterium SCGC AAA001-C10]
uppermesopelagic_500m_2338_0	gi|496226082|ref|WP_008940117.1|	321	1402	0.780189204229	0.0	321.0	100.0		cytochrome c oxidase subunit I [Marinobacter santoriniensis]
uppermesopelagic_500m_5334_0	gi|504810882|ref|WP_014997984.1|	316	1400	0.833333333333	0.0	316.0	100.0		elongation factor P [Alteromonas macleodii]
uppermesopelagic_500m_2338_0	gi|489312957|ref|WP_003220350.1|	317	1397	0.777406789093	0.0	317.0	100.0		cytochrome oxidase subunit I [Pseudomonas fluorescens]
uppermesopelagic_500m_8108_0	gi|496165351|ref|WP_008889858.1|	286	1397	0.89897039897	0.0	286.0	100.0		L-aspartate oxidase [Thalassospira profundimaris]
uppermesopelagic_500m_7501_0	gi|498195313|ref|WP_010509469.1|	294	1397	0.870404984424	0.0	294.0	100.0		cobyrinic acid a,c-diamide synthase [SAR324 cluster bacterium SCGC AAA001-C10]
uppermesopelagic_500m_5334_0	gi|494080874|ref|WP_007022914.1|	316	1395	0.830357142857	0.0	316.0	100.0		elongation factor EF-2, partial [Neptuniibacter caesariensis]
uppermesopelagic_500m_5334_0	gi|504791795|ref|WP_014978897.1|	316	1389	0.826785714286	0.0	316.0	100.0		elongation factor P [Alteromonas macleodii]
uppermesopelagic_500m_4342_0	gi|496151152|ref|WP_008875659.1|	316	1386	0.805813953488	0.0	316.0	100.0		RNA polymerase, beta subunit [Mesorhizobium metallidurans]
uppermesopelagic_500m_4342_0	gi|493377050|ref|WP_006333338.1|	316	1385	0.80523255814	0.0	316.0	100.0		RNA polymerase, beta subunit [Mesorhizobium sp. STM 4661]
uppermesopelagic_500m_4342_0	gi|497061982|ref|WP_009452851.1|	316	1379	0.801744186047	0.0	316.0	100.0		DNA-directed RNA polymerase subunit beta [Nitratireductor indicus]
uppermesopelagic_500m_5334_0	gi|504861896|ref|WP_015048998.1|	316	1376	0.819047619048	0.0	316.0	100.0		elongation factor P [Simiduia agarivorans]
uppermesopelagic_500m_8105_0	gi|496165304|ref|WP_008889811.1|	270	1356	0.942321056289	0.0	270.0	100.0		isopropylmalate isomerase [Thalassospira profundimaris]
uppermesopelagic_500m_8108_0	gi|494149339|ref|WP_007089084.1|	286	1356	0.872586872587	0.0	286.0	100.0		L-aspartate oxidase [Thalassospira xiamenensis]
uppermesopelagic_500m_5952_0	gi|497258751|ref|WP_009572968.1|	289	1354	0.93058419244	0.0	289.0	100.0		ATP-dependent Clp protease ATP-binding protein [Celeribacter baekdonensis]
uppermesopelagic_500m_8432_0	gi|496167141|ref|WP_008891648.1|	319	1353	0.778929188256	0.0	319.0	100.0		peptidase M23 [Thalassospira profundimaris]
uppermesopelagic_500m_5460_0	gi|498195249|ref|WP_010509405.1|	288	1329	0.869764397906	0.0	288.0	100.0		hypothetical protein [SAR324 cluster bacterium SCGC AAA001-C10]
uppermesopelagic_500m_5990_0	gi|494876028|ref|WP_007602119.1|	290	1328	0.757558471192	0.0	290.0	100.0		Integrase catalytic region, partial [Rhizobium sp. PDO1-076]
uppermesopelagic_500m_2462_0	gi|504809080|ref|WP_014996182.1|	299	1325	0.754126351736	0.0	299.0	100.0		carbamoyl phosphate synthase large subunit [Alcanivorax dieselolei]
uppermesopelagic_500m_2465_0	gi|496209914|ref|WP_008927459.1|	287	1323	0.907407407407	0.0	287.0	100.0		acyl-CoA dehydrogenase [Alcanivorax hongdengensis]
uppermesopelagic_500m_5952_0	gi|494667525|ref|WP_007425468.1|	289	1315	0.903780068729	0.0	289.0	100.0		ATP-dependent Clp protease ATP-binding protein [Oceaniovalibus guishaninsula]
uppermesopelagic_500m_8105_0	gi|494149383|ref|WP_007089128.1|	270	1315	0.91382904795	0.0	270.0	100.0		isopropylmalate isomerase [Thalassospira xiamenensis]
uppermesopelagic_500m_4775_0	gi|498196504|ref|WP_010510660.1|	266	1315	0.88373655914	0.0	266.0	100.0		FAD dependent oxidoreductase [SAR324 cluster bacterium SCGC AAA001-C10]
uppermesopelagic_500m_3498_0	gi|496500919|ref|WP_009209202.1|	254	1314	0.994700984103	0.0	254.0	100.0		hypothetical protein [Aurantimonas manganoxydans]
uppermesopelagic_500m_8541_0	gi|489320348|ref|WP_003227683.1|	306	1312	0.808877928483	0.0	306.0	100.0		molecular chaperone GroEL [Pseudomonas fluorescens]
