#query	target	q_length	bitscore	bsr	expect	aln_length	identity	ec	product
deepabyss_4000m_786_0	sp|Q99MN9|PCCB_MOUSE	296	928	0.608125819135	0.0	296.0	100.0	6.4.1.3	Propionyl-CoA carboxylase beta chain, mitochondrial OS=Mus musculus GN=Pccb PE=1 SV=1 # UNIPROT # Q99MN9 # PROPIONYL-COA-CARBOXY-RXN # # 6.4.1.3
deepabyss_4000m_786_0	sp|P54541|PCCB_BACSU	289	912	0.597640891219	0.0	289.0	100.0	6.4.1.3	Putative propionyl-CoA carboxylase beta chain OS=Bacillus subtilis GN=yqjD PE=3 SV=2 # UNIPROT # P54541 # PROPIONYL-COA-CARBOXY-RXN # BSUB:BSU23920-MONOMER # 6.4.1.3
deepabyss_4000m_786_0	sp|P96885|PCC5_MYCTU	299	886	0.580602883355	0.0	299.0	100.0		Probable propionyl-CoA carboxylase beta chain 5 OS=Mycobacterium tuberculosis GN=accD5 PE=1 SV=1 # UNIPROT # P96885 # RXN1G-4355 # MetaCyc:RV3280-MONOMER #
deepabyss_4000m_786_0	sp|P53002|PCCB_MYCLE	301	857	0.561598951507	0.0	301.0	100.0	6.4.1.3	Probable propionyl-CoA carboxylase beta chain 5 OS=Mycobacterium leprae GN=accD5 PE=3 SV=1 # UNIPROT # P53002 # PROPIONYL-COA-CARBOXY-RXN # MLEP272631:ML0731-MONOMER # 6.4.1.3
deepabyss_4000m_4140_0	tr|O05152|O05152_9CREN	261	817	0.551282051282	0.0	261.0	100.0		Glycogen debranching enzyme OS=Sulfolobus acidocaldarius GN=treX PE=4 SV=1 # UNIPROT # O05152 # RXN-4301 # SACI330779:SACI_1439-MONOMER #
deepabyss_4000m_786_0	tr|O53578|O53578_MYCTU	295	720	0.471821756225	0.0	295.0	100.0		PROBABLE PROPIONYL-CoA CARBOXYLASE BETA CHAIN 4 ACCD4 (PCCASE) (PROPANOYL-COA:CARBON DIOXIDE LIGASE) OS=Mycobacterium tuberculosis GN=accD4 PE=4 SV=2 # UNIPROT # O53578 # RXN1G-4355 # MetaCyc:RV3799C-MONOMER #
deepabyss_4000m_785_0	sp|Q83C10|SYT_COXBU	206	672	0.587926509186	0.0	206.0	100.0	6.1.1.3	Threonyl-tRNA synthetase OS=Coxiella burnetii GN=thrS PE=3 SV=1 # UNIPROT # Q83C10 # THREONINE--TRNA-LIGASE-RXN # CBUR227377:CBU_1326-MONOMER # 6.1.1.3
deepabyss_4000m_4140_0	sp|P15067|GLGX_ECOLI	244	618	0.417004048583	0.0	244.0	100.0		Glycogen debranching enzyme OS=Escherichia coli (strain K12) GN=glgX PE=1 SV=3 # UNIPROT # P15067 # RXN0-5146 # MetaCyc:EG10381-MONOMER #
deepabyss_4000m_785_0	sp|A0L4J6|SYT_MAGSM	209	582	0.509186351706	0.0	209.0	100.0	6.1.1.3	Threonyl-tRNA synthetase OS=Magnetococcus sp. (strain MC-1) GN=thrS PE=3 SV=1 # UNIPROT # A0L4J6 # THREONINE--TRNA-LIGASE-RXN # # 6.1.1.3
deepabyss_4000m_8343_0	sp|P78061|PUUA_ECOLI	243	578	0.4515625	0.0	243.0	100.0	6.3.1.11	Gamma-glutamylputrescine synthetase OS=Escherichia coli (strain K12) GN=puuA PE=3 SV=2 # UNIPROT # P78061 # RXN0-3901 # MetaCyc:G6644-MONOMER # 6.3.1.11
deepabyss_4000m_785_0	sp|Q2GEB1|SYT_NEOSM	178	552	0.482939632546	0.0	178.0	100.0	6.1.1.3	Threonyl-tRNA synthetase OS=Neorickettsia sennetsu (strain Miyayama) GN=thrS PE=3 SV=1 # UNIPROT # Q2GEB1 # THREONINE--TRNA-LIGASE-RXN # NSEN222891:NSE_0294-MONOMER # 6.1.1.3
