#query	target	q_length	bitscore	bsr	expect	aln_length	identity	ec	product
upper_euphotic_10m_705_0	AGc3907_2	297	1029	0.697154471545	0.0	297.0	100.0		COG1410 # Func_class: E Amino acid transport and metabolism # Function: Methionine synthase I, cobalamin-binding domain # Organism: Agrobacterium tumefaciens strain C58 (Cereon) (Atu)
upper_euphotic_10m_705_0	RSc0294	302	1008	0.682926829268	0.0	302.0	100.0		COG1410 # Func_class: E Amino acid transport and metabolism # Function: Methionine synthase I, cobalamin-binding domain # Organism: Ralstonia solanacearum (Rso)
upper_euphotic_10m_705_0	SMc03112_2	299	1004	0.680216802168	0.0	299.0	100.0		COG1410 # Func_class: E Amino acid transport and metabolism # Function: Methionine synthase I, cobalamin-binding domain # Organism: Sinorhizobium meliloti (Sme)
upper_euphotic_10m_705_0	metH_2	293	988	0.669376693767	0.0	293.0	100.0		COG1410 # Func_class: E Amino acid transport and metabolism # Function: Methionine synthase I, cobalamin-binding domain # Organism: Escherichia coli K12 (Eco)
upper_euphotic_10m_705_0	ZmetH_2	293	988	0.669376693767	0.0	293.0	100.0		COG1410 # Func_class: E Amino acid transport and metabolism # Function: Methionine synthase I, cobalamin-binding domain # Organism: Escherichia coli O157:H7 EDL933 (EcZ)
upper_euphotic_10m_872_0	SMc00908	286	897	0.519097222222	0.0	286.0	100.0		COG0060 # Func_class: J Translation, ribosomal structure and biogenesis # Function: Isoleucyl-tRNA synthetase # Organism: Sinorhizobium meliloti (Sme)
upper_euphotic_10m_872_0	AGc1230	286	893	0.516782407407	0.0	286.0	100.0		COG0060 # Func_class: J Translation, ribosomal structure and biogenesis # Function: Isoleucyl-tRNA synthetase # Organism: Agrobacterium tumefaciens strain C58 (Cereon) (Atu)
upper_euphotic_10m_872_0	CC0701	271	888	0.513888888889	0.0	271.0	100.0		COG0060 # Func_class: J Translation, ribosomal structure and biogenesis # Function: Isoleucyl-tRNA synthetase # Organism: Caulobacter vibrioides (Ccr)
upper_euphotic_10m_872_0	mlr8250	285	882	0.510416666667	0.0	285.0	100.0		COG0060 # Func_class: J Translation, ribosomal structure and biogenesis # Function: Isoleucyl-tRNA synthetase # Organism: Mesorhizobium loti (Mlo)
upper_euphotic_10m_872_0	BMEII1043	270	879	0.508680555556	0.0	270.0	100.0		COG0060 # Func_class: J Translation, ribosomal structure and biogenesis # Function: Isoleucyl-tRNA synthetase # Organism: Brucella melitensis (Bme)
upper_euphotic_10m_876_0	alr1270	267	796	0.531375166889	0.0	267.0	100.0		COG0596 # Func_class: R General function prediction only # Function: Predicted hydrolases or acyltransferases (alpha/beta hydrolase superfamily) # Organism: Nostoc sp. PCC 7120 (Nos)
upper_euphotic_10m_5612_0	PA4470	236	751	0.63482671175	0.0	236.0	100.0		COG0114 # Func_class: C Energy production and conversion # Function: Fumarase # Organism: Pseudomonas aeruginosa (Pae)
upper_euphotic_10m_876_0	XF1510	266	718	0.479305740988	0.0	266.0	100.0		COG0596 # Func_class: R General function prediction only # Function: Predicted hydrolases or acyltransferases (alpha/beta hydrolase superfamily) # Organism: Xylella fastidiosa 9a5c (Xfa)
upper_euphotic_10m_5612_0	VC1573	236	702	0.593406593407	0.0	236.0	100.0		COG0114 # Func_class: C Energy production and conversion # Function: Fumarase # Organism: Vibrio cholerae (Vch)
upper_euphotic_10m_876_0	BMEI1608	264	699	0.466622162884	0.0	264.0	100.0		COG0596 # Func_class: R General function prediction only # Function: Predicted hydrolases or acyltransferases (alpha/beta hydrolase superfamily) # Organism: Brucella melitensis (Bme)
upper_euphotic_10m_876_0	CC1227	266	694	0.463284379172	0.0	266.0	100.0		COG0596 # Func_class: R General function prediction only # Function: Predicted hydrolases or acyltransferases (alpha/beta hydrolase superfamily) # Organism: Caulobacter vibrioides (Ccr)
