#query	target	q_length	bitscore	bsr	expect	aln_length	identity	ec	product
below_euphotic_200m_2508_0	vcn:VOLCADRAFT_81861	299	1205	0.712596096984	0.0	299.0	100.0		sufB; iron-sulfur cluster assembly protein
below_euphotic_200m_2508_0	ota:Ot08g00160	299	1181	0.69840331165	0.0	299.0	100.0		ABC transporter subunit (ISS)
below_euphotic_200m_2508_0	olu:OSTLU_16322	299	1180	0.697811945594	0.0	299.0	100.0		ABC(membrane) family transporter (Fe-S assembly/SufBCD system)
below_euphotic_200m_2508_0	rcu:RCOM_0905060	299	1163	0.687758722649	0.0	299.0	100.0		Protein sufB, putative
below_euphotic_200m_2508_0	ath:AT4G04770	299	1160	0.685984624483	0.0	299.0	100.0		ATABC1; ATABC1 (ATP BINDING CASSETTE PROTEIN 1); ATPase, coupled to transmembrane movement of substances / protein binding / transporter; K07033
below_euphotic_200m_4588_0	ppp:PhpapaCp039	303	1144	0.629955947137	0.0	303.0	100.0		psaA; PSI P700 apoprotein A1; K02689 photosystem I P700 chlorophyll a apoprotein A1
below_euphotic_200m_3415_0	hmg:100214321	318	1135	0.678016726404	0.0	318.0	100.0		similar to ADP-forming, carbamate-phosphorylating
below_euphotic_200m_3415_0	vvi:100262205	317	1134	0.677419354839	0.0	317.0	100.0	6.3.5.5	hypothetical protein LOC100262205; K01955 carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]
below_euphotic_200m_4588_0	sbi:SobiCp022	316	1133	0.623898678414	0.0	316.0	100.0		psaA; photosystem I P700 chlorophyll a apoprotein A1; K02689 photosystem I P700 chlorophyll a apoprotein A1
below_euphotic_200m_4588_0	zma:845195	316	1132	0.623348017621	0.0	316.0	100.0		psaA; PSI P700 apoprotein A1; K02689 photosystem I P700 chlorophyll a apoprotein A1
below_euphotic_200m_7662_0	ecb:100073301	310	1131	0.635750421585	0.0	310.0	100.0	6.4.1.4	similar to methylcrotonoyl-Coenzyme A carboxylase 2 (beta); K01969 3-methylcrotonyl-CoA carboxylase beta subunit [EC:6.4.1.4]
below_euphotic_200m_7662_0	bfo:BRAFLDRAFT_266349	310	1131	0.635750421585	0.0	310.0	100.0	6.4.1.4	hypothetical protein; K01969 3-methylcrotonyl-CoA carboxylase beta subunit [EC:6.4.1.4]
below_euphotic_200m_3415_0	smo:SELMODRAFT_440891	317	1131	0.675627240143	0.0	317.0	100.0		hypothetical protein
below_euphotic_200m_4588_0	ath:ArthCp022	303	1130	0.622246696035	0.0	303.0	100.0		psaA; PSI P700 apoprotein A1; K02689 photosystem I P700 chlorophyll a apoprotein A1
below_euphotic_200m_3415_0	smo:SELMODRAFT_420859	317	1129	0.674432497013	0.0	317.0	100.0		hypothetical protein
below_euphotic_200m_7662_0	rno:361884	310	1128	0.634064080944	0.0	310.0	100.0	6.4.1.4	Mccc2; methylcrotonoyl-Coenzyme A carboxylase 2 (beta) (EC:6.4.1.4); K01969 3-methylcrotonyl-CoA carboxylase beta subunit [EC:6.4.1.4]
below_euphotic_200m_4588_0	pop:Poptr_cp022	303	1127	0.620594713656	0.0	303.0	100.0		psaA; photosystem I P700 chlorophyll a apoprotein A1; K02689 photosystem I P700 chlorophyll a apoprotein A1
below_euphotic_200m_7662_0	aml:100466068	310	1125	0.632377740304	0.0	310.0	100.0	6.4.1.4	methylcrotonoyl-CoA carboxylase beta chain, mitochondrial-like; K01969 3-methylcrotonyl-CoA carboxylase beta subunit [EC:6.4.1.4]
below_euphotic_200m_7662_0	xla:100037195	310	1124	0.631815626757	0.0	310.0	100.0	6.4.1.4	mccc2; methylcrotonoyl-CoA carboxylase 2 (beta) (EC:6.4.1.4); K01969 3-methylcrotonyl-CoA carboxylase beta subunit [EC:6.4.1.4]
below_euphotic_200m_3920_0	vvi:100263023	310	1123	0.696218226906	0.0	310.0	100.0	3.5.1.5	hypothetical protein LOC100263023; K01427 urease [EC:3.5.1.5]
below_euphotic_200m_3415_0	rcu:RCOM_1398950	317	1120	0.669056152927	0.0	317.0	100.0	6.3.4.16	ATP binding protein, putative (EC:6.3.4.16); K01955 carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]
below_euphotic_200m_3920_0	zma:100277946	315	1119	0.693738375697	0.0	315.0	100.0	3.5.1.5	pco128913; LOC100277946; K01427 urease [EC:3.5.1.5]
below_euphotic_200m_3920_0	sbi:SORBI_02g001020	315	1112	0.689398636082	0.0	315.0	100.0	3.5.1.5	hypothetical protein; K01427 urease [EC:3.5.1.5]
below_euphotic_200m_1972_0	vvi:100263023	286	1106	0.663467306539	0.0	286.0	100.0	3.5.1.5	hypothetical protein LOC100263023; K01427 urease [EC:3.5.1.5]
below_euphotic_200m_1972_0	pop:POPTR_874843	286	1097	0.658068386323	0.0	286.0	100.0	3.5.1.5	urease (EC:3.5.1.5); K01427 urease [EC:3.5.1.5]
below_euphotic_200m_3920_0	ath:AT1G67550	310	1096	0.679479231246	0.0	310.0	100.0	3.5.1.5	URE; URE (UREASE); urease (EC:3.5.1.5); K01427 urease [EC:3.5.1.5]
below_euphotic_200m_1972_0	ath:AT1G67550	286	1094	0.656268746251	0.0	286.0	100.0	3.5.1.5	URE; URE (UREASE); urease (EC:3.5.1.5); K01427 urease [EC:3.5.1.5]
below_euphotic_200m_3920_0	smo:SELMODRAFT_231690	311	1094	0.678239305642	0.0	311.0	100.0		hypothetical protein
below_euphotic_200m_1972_0	zma:100277946	291	1078	0.646670665867	0.0	291.0	100.0	3.5.1.5	pco128913; LOC100277946; K01427 urease [EC:3.5.1.5]
below_euphotic_200m_1972_0	ota:Ot15g01750	287	1071	0.642471505699	0.0	287.0	100.0	3.5.1.5	UreABC, Ni-dependant urease apoenzyme (IC); K01427 urease [EC:3.5.1.5]
below_euphotic_200m_6334_0	ame:727644	251	1056	0.586015538291	0.0	251.0	100.0		similar to CG9674-PA, isoform A
below_euphotic_200m_4185_0	xtr:100486309	314	1055	0.613372093023	0.0	314.0	100.0		threonyl-tRNA synthetase-like
below_euphotic_200m_1775_0	ddi:DDB_G0287255	300	1045	0.651496259352	0.0	300.0	100.0	1.4.4.2	gcvP; glycine cleavage system P-protein; K00281 glycine dehydrogenase [EC:1.4.4.2]
below_euphotic_200m_6334_0	spo:SPAPB1E7.07	330	1032	0.57269700333	0.0	330.0	100.0	1.4.1.13	glt1; glutamate synthase Glt1 (predicted) (EC:1.4.1.13); K00264 glutamate synthase (NADPH/NADH) [EC:1.4.1.13 1.4.1.14]
below_euphotic_200m_6334_0	hmg:100215464	328	1030	0.571587125416	0.0	328.0	100.0		similar to CG9674 CG9674-PA
below_euphotic_200m_6334_0	yli:YALI0B19998g	330	1030	0.571587125416	0.0	330.0	100.0	1.4.1.13	YALI0B19998p; K00264 glutamate synthase (NADPH/NADH) [EC:1.4.1.13 1.4.1.14]
below_euphotic_200m_1775_0	rcu:RCOM_0797460	307	1028	0.640897755611	0.0	307.0	100.0	1.3.1.74	glycine dehydrogenase, putative (EC:1.3.1.74); K00281 glycine dehydrogenase [EC:1.4.4.2]
below_euphotic_200m_1775_0	vvi:100266280	307	1027	0.640274314214	0.0	307.0	100.0	1.4.4.2	hypothetical protein LOC100266280; K00281 glycine dehydrogenase [EC:1.4.4.2]
below_euphotic_200m_6334_0	zma:542710	350	1025	0.568812430633	0.0	350.0	100.0	1.4.7.1	fgs1, GLSF, glutamate_synthase; ferredoxin-dependent glutamate synthase1 (EC:1.4.7.1); K00284 glutamate synthase (ferredoxin) [EC:1.4.7.1]
below_euphotic_200m_1775_0	aml:100472555	302	1023	0.637780548628	0.0	302.0	100.0	1.4.4.2	glycine dehydrogenase [decarboxylating], mitochondrial-like; K00281 glycine dehydrogenase [EC:1.4.4.2]
below_euphotic_200m_1775_0	ath:AT2G26080	307	1020	0.635910224439	0.0	307.0	100.0	1.4.4.2	AtGLDP2 (Arabidopsis thaliana glycine decarboxylase P-protein 2); ATP binding / glycine dehydrogenase (decarboxylating) (EC:1.4.4.2); K00281 glycine dehydrogenase [EC:1.4.4.2]
below_euphotic_200m_524_0	tgo:TGME49_004400	276	1012	0.7365356623	0.0	276.0	100.0	3.4.21.68	ATP synthase alpha chain, putative (EC:3.4.21.68); K02132 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14]
below_euphotic_200m_524_0	cdu:CD36_04360	275	1005	0.731441048035	0.0	275.0	100.0	3.6.3.14	ATP alpha synthase chain, mitochondrial precursor, putative (EC:3.6.3.14); K02132 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14]
below_euphotic_200m_4060_0	bbo:BBOV_III002130	280	1004	0.673373574782	0.0	280.0	100.0	3.6.3.14	17.m07204; ATP synthase F1, alpha subunit family protein; K02132 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14]
below_euphotic_200m_4060_0	bfu:BC1G_07780	282	995	0.667337357478	0.0	282.0	100.0	3.6.3.14	similar to mitochondrial ATP synthase alpha subunit ; K02132 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14]
below_euphotic_200m_4060_0	hmg:100197511	280	994	0.666666666667	0.0	280.0	100.0	3.6.3.14	atp5a1; ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle; K02132 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14]
below_euphotic_200m_4060_0	tad:TRIADDRAFT_34652	280	992	0.665325285044	0.0	280.0	100.0		hypothetical protein
below_euphotic_200m_4060_0	ptm:GSPATT00039376001	280	991	0.664654594232	0.0	280.0	100.0	3.6.3.14	hypothetical protein ; K02132 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14]
below_euphotic_200m_524_0	tan:TA18615	275	989	0.719796215429	0.0	275.0	100.0	3.6.3.14	ATP synthase alpha chain heart isoform, mitochondrial precursor (EC:3.6.3.14); K02132 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14]
below_euphotic_200m_7313_0	sbi:SORBI_03g031310	324	987	0.540525739321	0.0	324.0	100.0	1.4.1.13	hypothetical protein; K00264 glutamate synthase (NADPH/NADH) [EC:1.4.1.13 1.4.1.14]
below_euphotic_200m_524_0	tpv:TP03_0569	275	987	0.718340611354	0.0	275.0	100.0	3.6.3.14	ATP synthase F1 subunit alpha (EC:3.6.3.14); K02132 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14]
below_euphotic_200m_5653_0	ota:Ot07g04420	273	984	0.707404744788	0.0	273.0	100.0		Elongation factor G, chloroplast precursor (ISS); K02355 elongation factor G
below_euphotic_200m_5653_0	olu:OSTLU_16297	273	982	0.705966930266	0.0	273.0	100.0		hypothetical protein; K02355 elongation factor G
below_euphotic_200m_524_0	cim:CIMG_04309	275	982	0.714701601164	0.0	275.0	100.0	3.6.3.14	similar to ATP synthase alpha chain; K02132 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14]
below_euphotic_200m_6459_0	cre:CHLREDRAFT_136266	326	980	0.576131687243	0.0	326.0	100.0	6.1.1.9	hypothetical protein; K01873 valyl-tRNA synthetase [EC:6.1.1.9]
below_euphotic_200m_7313_0	pop:POPTR_594762	324	978	0.535596933187	0.0	324.0	100.0	1.4.1.13	hypothetical protein; K00264 glutamate synthase (NADPH/NADH) [EC:1.4.1.13 1.4.1.14]
below_euphotic_200m_7313_0	osa:4324398	324	977	0.535049288061	0.0	324.0	100.0	1.4.1.13	Os01g0681900; K00264 glutamate synthase (NADPH/NADH) [EC:1.4.1.13 1.4.1.14]
below_euphotic_200m_5653_0	ppp:PHYPADRAFT_61310	273	976	0.7016534867	0.0	273.0	100.0		hypothetical protein; K02355 elongation factor G
below_euphotic_200m_2021_0	xtr:100488179	337	975	0.560989643268	0.0	337.0	100.0		glycine dehydrogenase [decarboxylating]-like
below_euphotic_200m_4185_0	isc:IscW_ISCW016725	306	969	0.563372093023	0.0	306.0	100.0	6.1.1.11	threonyl-tRNA synthetase, putative (EC:6.1.1.11 6.1.1.7 6.1.1.3)
below_euphotic_200m_5653_0	sbi:SORBI_06g023840	273	967	0.695183321352	0.0	273.0	100.0		hypothetical protein; K02355 elongation factor G
below_euphotic_200m_4384_0	ppp:PHYPADRAFT_224886	307	964	0.599502487562	0.0	307.0	100.0	6.1.1.6	hypothetical protein; K04567 lysyl-tRNA synthetase, class II [EC:6.1.1.6]
below_euphotic_200m_2704_0	cme:CMV216C	318	964	0.577591372079	0.0	318.0	100.0		DNA-directed RNA polymerase beta chain
below_euphotic_200m_5775_0	tet:TTHERM_00030190	314	964	0.586731588558	0.0	314.0	100.0	1.1.1.37	malate dehydrogenase family protein (EC:1.1.1.37); K00025 malate dehydrogenase [EC:1.1.1.37]
below_euphotic_200m_5653_0	pop:POPTR_711780	273	962	0.691588785047	0.0	273.0	100.0		hypothetical protein; K02355 elongation factor G
below_euphotic_200m_4236_0	ame:725665	297	961	0.596153846154	0.0	297.0	100.0	3.5.2.9	similar to 5-oxoprolinase (ATP-hydrolysing); K01469 5-oxoprolinase (ATP-hydrolysing) [EC:3.5.2.9]
below_euphotic_200m_2959_0	ppp:PHYPADRAFT_168583	301	959	0.590881084412	0.0	301.0	100.0	2.2.1.6	hypothetical protein; K01652 acetolactate synthase I/II/III large subunit [EC:2.2.1.6]
below_euphotic_200m_4384_0	osa:4330025	304	958	0.595771144279	0.0	304.0	100.0	6.1.1.6	Os02g0623500; K04567 lysyl-tRNA synthetase, class II [EC:6.1.1.6]
below_euphotic_200m_7313_0	sbi:SORBI_09g027910	324	954	0.522453450164	0.0	324.0	100.0	1.4.1.13	hypothetical protein; K00264 glutamate synthase (NADPH/NADH) [EC:1.4.1.13 1.4.1.14]
below_euphotic_200m_2021_0	rcu:RCOM_0797460	338	952	0.547756041427	0.0	338.0	100.0	1.3.1.74	glycine dehydrogenase, putative (EC:1.3.1.74); K00281 glycine dehydrogenase [EC:1.4.4.2]
below_euphotic_200m_4384_0	vvi:100262063	316	951	0.591417910448	0.0	316.0	100.0	6.1.1.6	hypothetical protein LOC100262063; K04567 lysyl-tRNA synthetase, class II [EC:6.1.1.6]
below_euphotic_200m_2021_0	osa:4325932	339	950	0.546605293441	0.0	339.0	100.0	1.4.4.2	Os01g0711400; K00281 glycine dehydrogenase [EC:1.4.4.2]
below_euphotic_200m_2021_0	vcn:VOLCADRAFT_107448	338	950	0.546605293441	0.0	338.0	100.0	1.4.4.2	hypothetical protein; K00281 glycine dehydrogenase [EC:1.4.4.2]
below_euphotic_200m_4236_0	bfo:BRAFLDRAFT_214348	301	949	0.588709677419	0.0	301.0	100.0	3.5.2.9	hypothetical protein; K01469 5-oxoprolinase (ATP-hydrolysing) [EC:3.5.2.9]
below_euphotic_200m_4236_0	tca:658884	291	948	0.588089330025	0.0	291.0	100.0	3.5.2.9	similar to RE08455p; K01469 5-oxoprolinase (ATP-hydrolysing) [EC:3.5.2.9]
below_euphotic_200m_2021_0	osa:4341516	339	948	0.545454545455	0.0	339.0	100.0		Os06g0611900
