#query	target	q_length	bitscore	bsr	expect	aln_length	identity	ec	product
uppermesopelagic_500m_4085_0	gi|269965254|dbj|BAI50016.1|	172	558	0.479793637145	0.0	172.0	100.0		endoglucanase [Saccharophagus sp. JAM-R001] (GH:5_2)
uppermesopelagic_500m_4085_0	gi|89952479|gb|ABD82494.1|	172	558	0.479793637145	0.0	172.0	100.0		putative endoglucanase [Saccharophagus degradans 2-40] (GH:5_2)
uppermesopelagic_500m_4085_0	gi|390979540|dbj|BAM21527.1|	172	558	0.479793637145	0.0	172.0	100.0		cellulase [Saccharophagus sp. Myt-1] (GH:5_2)
uppermesopelagic_500m_4085_0	gi|89952481|gb|ABD82496.1|	172	553	0.475494411006	0.0	172.0	100.0		putative endoglucanase [Saccharophagus degradans 2-40] (GH:5_2)
uppermesopelagic_500m_4085_0	gi|319424047|gb|ADV51156.1|	173	546	0.469475494411	0.0	173.0	100.0		Cellulase [Cellulophaga algicola DSM 14237] (GH:5_2)
uppermesopelagic_500m_1057_0	gi|105893399|gb|ABF76564.1|	77	206	0.453744493392	0.0	77.0	100.0		diacylglycerol kinase [Burkholderia cenocepacia AU 1054] (GT:4)
uppermesopelagic_500m_1057_0	gi|292665582|gb|ADE40683.1|	84	185	0.407488986784	0.0	84.0	100.0		diacylglycerol kinase [Candidatus Puniceispirillum marinum IMCC1322] (GT:4)
uppermesopelagic_500m_1203_0	gi|147835149|emb|CAN65674.1|	186	612	0.613226452906	0.0	186.0	100.0		hypothetical protein VITISV_002009 [Vitis vinifera] (GH:28)
uppermesopelagic_500m_3982_0	gi|114737386|gb|ABI75511.1|	255	742	0.519607843137	0.0	255.0	100.0		monofunctional biosynthetic peptidoglycan transglycosylase [Hyphomonas neptunium ATCC 15444] (GT:51)
uppermesopelagic_500m_3982_0	gi|303299004|gb|ADM08603.1|	194	613	0.429271708683	0.0	194.0	100.0		monofunctional biosynthetic peptidoglycan transglycosylase [Parvularcula bermudensis HTCC2503] (GT:51)
uppermesopelagic_500m_3988_0	gi|114737576|gb|ABI75701.1|	156	535	0.533932135729	0.0	156.0	100.0		putative membrane protein [Hyphomonas neptunium ATCC 15444] (GT:83)
uppermesopelagic_500m_954_0	gi|356877459|emb|CCC98293.1|	108	344	0.569536423841	0.0	108.0	100.0		putative Glycosyl transferase, group 1 [Azospirillum brasilense Sp245] (GT:4)
