orf_id	CAZy_2013-07-13(EC) 	CAZy_2013-07-13(product)	CAZy_2013-07-13(value)	EggNog_v3_2013_08_07(EC) 	EggNog_v3_2013_08_07(product)	EggNog_v3_2013_08_07(value)	RefSeq_complete_nr_v62_dec2013(EC) 	RefSeq_complete_nr_v62_dec2013(product)	RefSeq_complete_nr_v62_dec2013(value)	COG_2013-12-27(EC) 	COG_2013-12-27(product)	COG_2013-12-27(value)	seed-2014-01-30(EC) 	seed-2014-01-30(product)	seed-2014-01-30(value)	metacyc-v5-2011-10-21(EC) 	metacyc-v5-2011-10-21(product)	metacyc-v5-2011-10-21(value)	KEGG_pep_2013(EC) 	KEGG_pep_2013(product)	KEGG_pep_2013(value)
uppermesopelagic_500m_8603_0					secY http://www.ncbi.nlm.nih.gov/protein/32475077 preprotein translocase subunit SecY forms heterotrimeric complex membrane bacteria consists SecY which channel pore SecE SecG SecG not essential translocation driven via SecA ATPase	24.0		preprotein translocase subunit SecY [Rhodopirellula sp. SWK7]	7.0					Preprotein translocase secY subunit (TC 3.A.5.1.1) [Kuenenia stuttgartiensis enrichment culture clone CH1]	12.0					protein translocase subunit SecY/sec61 alpha K03076 preprotein SecY	7.0
uppermesopelagic_500m_8602_1					http://www.ncbi.nlm.nih.gov/protein/134098987 universal stress protein	3.0		universal stress protein [Saccharopolyspora spinosa]	4.0					Universal stress protein family [Saccharothrix espanaensis DSM 44229]	7.0					UspA domain-containing protein	2.0
uppermesopelagic_500m_4606_0					ThiI http://www.ncbi.nlm.nih.gov/protein/20808089 thiamine biosynthesis protein ThiI Required synthesis thiazole moiety	8.0		thiazole biosynthesis/tRNA modification protein ThiI [Thermus oshimai]	6.0					tRNA S(4)U 4-thiouridine synthase (former ThiI) [Eubacterium siraeum DSM 15702]	10.0					thiamine biosynthesis/tRNA modification protein ThiI K03151 biosynthesis ThiI	6.0
uppermesopelagic_500m_4606_1				3.1.11.2	exoA http://www.ncbi.nlm.nih.gov/protein/18310156 exodeoxyribonuclease III similar to EXODEOXYRIBONUCLEASE (EC 3.1.11.2) from Bacillus subtilis (252 aa) 65.9% identity 249 aa overlap	29.0		putative exodeoxyribonuclease III, partial [Fusobacterium sp. oral taxon 370]	9.0		COG0708 # L Replication, recombination repair Function: Exonuclease III Organism: Helicobacter pylori J99 (jHp)	14.0	3.1.11.2	Exodeoxyribonuclease III (EC 3.1.11.2) [Verrucomicrobia bacterium SCGC AAA164-L15]	18.0				4.2.99.18	apex1, MGC113976, apex1a, hm:zehn1532, wu:fc13d11, zgc:66204 APEX nuclease (multifunctional DNA repair enzyme) 1 (EC:4.2.99.18) K10771 AP endonuclease [EC:4.2.99.18]	28.0
uppermesopelagic_500m_8607_0					http://www.ncbi.nlm.nih.gov/protein/110833941 	1.0		 [Alcanivorax sp. P2S70]	3.0					 [Alcanivorax sp. W11-5]	3.0			
uppermesopelagic_500m_3026_0								laminin G sub domain 2 [Planctomyces brasiliensis]	7.0					Alkaline ceramidase domain protein [Zavarzinella formosa DSM 19928]	7.0					laminin G sub domain 2	5.0
uppermesopelagic_500m_3146_0					PSEEN5297 http://www.ncbi.nlm.nih.gov/protein/104784203 glutamine synthetase Evidence 3 : Function proposed based presence conserved amino acid motif, structural feature or limited homology Product type e enzyme	23.0		glutamine synthetase [Pseudomonas sp. Chol1]	5.0		COG0174 # E Amino acid transport metabolism Function: Glutamine synthetase Organism: Pseudomonas aeruginosa (Pae)	14.0		glutamine synthetase family protein [Pseudomonas syringae pv. actinidiae str. NCPPB 3739]	10.0				6.3.1.2	putative glutamine synthetase, catalytic region K01915 synthetase [EC:6.3.1.2]	18.0
uppermesopelagic_500m_3141_0					http://www.ncbi.nlm.nih.gov/protein/152985560 putative acyl-CoA dehydrogenase Annotation generated automatically transferring annotation from manually curated GenBank accession AE004091 identified match to protein family HMM PF00441 PF02770 PF02771 PF08028	24.0		acyl-CoA dehydrogenase [Pseudomonas sp. Chol1]	5.0		COG1960 # I Lipid transport metabolism Function: Acyl-CoA dehydrogenases Organism: Agrobacterium tumefaciens strain C58 (Cereon) (Atu)	16.0	1.3.99.2	Butyryl-CoA dehydrogenase (EC 1.3.99.2) [Pseudomonas mendocina NK-01]	17.0					acdA putative acyl-CoA dehydrogenase K00257 [EC:1.3.99.-]	6.0
uppermesopelagic_500m_3142_0					acs http://www.ncbi.nlm.nih.gov/protein/240139111 acetyl-CoA synthetase Evidence 2a : Function homologous gene experimentally demonstrated other organism PubMedId 12878029, 14515321, 7751300 Product type e enzyme	22.0		Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase [Magnetospirillum sp. SO-1]	8.0		COG0365 # I Lipid transport metabolism Function: Acyl-coenzyme A synthetases/AMP-(fatty) acid ligases Organism: Agrobacterium tumefaciens strain C58 (Cereon) (Atu)	19.0	6.2.1.1	Acetyl-coenzyme A synthetase (EC 6.2.1.1) [Rhizobium etli CIAT 894]	19.0	6.2.1.1	Acetyl-coenzyme A synthetase 1 OS Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN ACS1 PE SV 2 # UNIPROT Q01574 ACETATE--COA-LIGASE-RXN 6.2.1.1	32.0	6.2.1.1	ACS2 acetyl CoA synthetase (EC:6.2.1.1) K01895 acetyl-CoA [EC:6.2.1.1]	18.0
uppermesopelagic_500m_3142_1					http://www.ncbi.nlm.nih.gov/protein/192288466 nuclease (SNase domain protein) PFAM: KEGG: staphylococcus (SNase-like)	9.0		nuclease [Ahrensia sp. R2A130]	4.0					InterPro IPR006021 COGs COG1525 [Rhodopseudomonas palustris CGA009]	7.0					nuclease (SNase domain protein)	4.0
uppermesopelagic_500m_4037_0					http://www.ncbi.nlm.nih.gov/protein/24373318  identified match to PFAM protein family HMM PF03806	8.0		ABC-type transport system involved multi-copper enzyme maturation, permease component [Cesiribacter andamanensis]	11.0					membrane protein, putative [Janthinobacterium sp. PAMC 25724]	7.0			
uppermesopelagic_500m_4030_0					Q6C2M8 http://www.uniprot.org/uniprot/Q6C2M8 YALI0F06534p	3.0		DNA/RNA helicase, superfamily II [Bradyrhizobium sp. WSM471]	7.0		COG1061 # KL Function: DNA or RNA helicases superfamily II Organism: Schizosaccharomyces pombe (Spo)	14.0	3.1.21.3	Type I restriction-modification system, restriction subunit R (EC 3.1.21.3) [Sulfobacillus acidophilus TPY]	22.0					mitochondrial ATP-dependent DNA helicase Irc3 (predicted)	6.0
uppermesopelagic_500m_8609_1					http://www.ncbi.nlm.nih.gov/protein/116754311 adenosylhomocysteinase KEGG: S-adenosyl-L-homocysteine hydrolase TIGRFAM: PFAM: Acetohydroxy acid isomeroreductase, catalytic domain protein	12.0		S-adenosyl-L-homocysteine hydrolase [Candidatus Nitrososphaera gargensis]	5.0		COG0499 # H Coenzyme transport metabolism Function: S-adenosylhomocysteine hydrolase Organism: Methanosarcina acetivorans str.C2A (Mac)	14.0	3.3.1.1	Adenosylhomocysteinase (EC 3.3.1.1) [Methanothermobacter thermautotrophicus str. Delta H]	18.0	3.3.1.1	Adenosylhomocysteinase OS Methanopyrus kandleri (strain AV19 / DSM 6324 JCM 9639 NBRC 100938) GN ahcY PE 3 SV 1 # UNIPROT P58855 ADENOSYLHOMOCYSTEINASE-RXN MKAN190192:MK0368-MONOMER 3.3.1.1	35.0	3.3.1.1	ahcY S-adenosyl-L-homocysteine hydrolase (EC:3.3.1.1) K01251 adenosylhomocysteinase [EC:3.3.1.1]	17.0
uppermesopelagic_500m_4032_0					nadE http://www.ncbi.nlm.nih.gov/protein/86357986 NAD synthetase NH(3)-dependent catalyzes formation nicotinamide adenine dinucleotide (NAD) from nicotinic acid (NAAD) using either ammonia or glutamine as amide donor ATP ammonia-utilizing enzymes include ones Bacillus Escherichia coli while glutamine-utilizing Mycobacterial one forms homodimers	37.0		NAD synthetase / Glutamine amidotransferase chain [Sphingobium japonicum]	8.0		COG0171 # H Coenzyme transport metabolism Function: NAD synthase Organism: Agrobacterium tumefaciens strain C58 (Cereon) (Atu)	16.0	6.3.1.5	NAD synthetase (EC 6.3.1.5) / Glutamine amidotransferase chain [Phaeobacter gallaeciensis ANG1]	21.0	6.3.5.1	Probable glutamine-dependent NAD(+) synthetase OS Synechocystis sp. (strain ATCC 27184 / PCC 6803 N-1) GN nadE PE 3 SV 1 # UNIPROT P74292 NAD-SYNTH-GLN-RXN SSP1148:SLR1691-MONOMER 6.3.5.1	36.0	6.3.5.1	nadE glutamine-dependent NAD(+) synthetase (EC:6.3.5.1) K01916 NAD+ synthase [EC:6.3.1.5]	19.0
