#query	target	q_length	bitscore	bsr	expect	aln_length	identity	ec	product
deepabyss_4000m_2907_0	xtr:100491262	297	1241	0.82131039047	0.0	297.0	100.0		ATP synthase subunit alpha-like
deepabyss_4000m_3348_0	hmg:100201944	326	1232	0.739052189562	0.0	326.0	100.0		similar to ATP synthase beta subunit
deepabyss_4000m_3348_0	xtr:100490926	326	1220	0.731853629274	0.0	326.0	100.0		ATP synthase subunit beta-like
deepabyss_4000m_3201_0	hmg:100202991	312	1203	0.722956730769	0.0	312.0	100.0		similar to molecular chaperone DnaK
deepabyss_4000m_3201_0	cme:CMV163C	309	1163	0.698918269231	0.0	309.0	100.0		Hsp70-type chaperone
deepabyss_4000m_3201_0	cre:CHLREDRAFT_137452	308	1149	0.690504807692	0.0	308.0	100.0		HSP70C; heat shock protein 70C; K04043 molecular chaperone DnaK
deepabyss_4000m_3348_0	cel:C34E10.6	315	1143	0.685662867427	0.0	315.0	100.0	3.6.3.14	atp-2; ATP synthase subunit family member (atp-2); K02133 F-type H+-transporting ATPase subunit beta [EC:3.6.3.14]
deepabyss_4000m_3201_0	vcn:VOLCADRAFT_77877	310	1143	0.686899038462	0.0	310.0	100.0		hsp70B; heat shock protein 70B
deepabyss_4000m_3348_0	cbr:CBG21173	315	1139	0.683263347331	0.0	315.0	100.0	3.6.3.14	Cbr-atp-2; C. briggsae CBR-ATP-2 protein; K02133 F-type H+-transporting ATPase subunit beta [EC:3.6.3.14]
deepabyss_4000m_3201_0	lbc:LACBIDRAFT_190293	311	1139	0.684495192308	0.0	311.0	100.0		hypothetical protein; K04043 molecular chaperone DnaK
deepabyss_4000m_3348_0	isc:IscW_ISCW012509	326	1138	0.682663467307	0.0	326.0	100.0	3.6.3.14	F0F1-type ATP synthase, beta subunit, putative (EC:3.6.3.14); K02133 F-type H+-transporting ATPase subunit beta [EC:3.6.3.14]
