#query	target	q_length	bitscore	bsr	expect	aln_length	identity	ec	product
upper_euphotic_70m_10435_0	AGc235_2	298	833	0.531589023612	0.0	298.0	100.0		COG0069 # Func_class: E Amino acid transport and metabolism # Function: Glutamate synthase domain 2 # Organism: Agrobacterium tumefaciens strain C58 (Cereon) (Atu)
upper_euphotic_70m_1982_0	BMEI1965	120	389	0.583208395802	0.0	120.0	100.0		COG0532 # Func_class: J Translation, ribosomal structure and biogenesis # Function: Translation initiation factor 2 (IF-2; GTPase) # Organism: Brucella melitensis (Bme)
upper_euphotic_70m_1982_0	SMc02914	120	371	0.556221889055	0.0	120.0	100.0		COG0532 # Func_class: J Translation, ribosomal structure and biogenesis # Function: Translation initiation factor 2 (IF-2; GTPase) # Organism: Sinorhizobium meliloti (Sme)
upper_euphotic_70m_1982_0	mlr5554	120	371	0.556221889055	0.0	120.0	100.0		COG0532 # Func_class: J Translation, ribosomal structure and biogenesis # Function: Translation initiation factor 2 (IF-2; GTPase) # Organism: Mesorhizobium loti (Mlo)
upper_euphotic_70m_1982_0	AGc131	120	360	0.539730134933	0.0	120.0	100.0		COG0532 # Func_class: J Translation, ribosomal structure and biogenesis # Function: Translation initiation factor 2 (IF-2; GTPase) # Organism: Agrobacterium tumefaciens strain C58 (Cereon) (Atu)
upper_euphotic_70m_10433_0	Rv2455c_1	113	353	0.568438003221	0.0	113.0	100.0		COG1014 # Func_class: C Energy production and conversion # Function: Pyruvate:ferredoxin oxidoreductase and related 2-oxoacid:ferredoxin oxidoreductases, gamma subunit # Organism: Mycobacterium tuberculosis H37Rv (Mtu)
upper_euphotic_70m_10433_0	MT2530_1	113	353	0.568438003221	0.0	113.0	100.0		COG1014 # Func_class: C Energy production and conversion # Function: Pyruvate:ferredoxin oxidoreductase and related 2-oxoacid:ferredoxin oxidoreductases, gamma subunit # Organism: Mycobacterium tuberculosis CDC1551 (MtC)
upper_euphotic_70m_1982_0	PM0759	105	276	0.413793103448	0.0	105.0	100.0		COG0532 # Func_class: J Translation, ribosomal structure and biogenesis # Function: Translation initiation factor 2 (IF-2; GTPase) # Organism: Pasteurella multocida (Pmu)
upper_euphotic_70m_4806_1	RSc0017	86	267	0.532934131737	0.0	86.0	100.0		COG1274 # Func_class: C Energy production and conversion # Function: Phosphoenolpyruvate carboxykinase (GTP) # Organism: Ralstonia solanacearum (Rso)
upper_euphotic_70m_4806_1	Cgl2803	83	235	0.469061876248	0.0	83.0	100.0		COG1274 # Func_class: C Energy production and conversion # Function: Phosphoenolpyruvate carboxykinase (GTP) # Organism: Corynebacterium glutamicum (Cgl)
upper_euphotic_70m_4806_1	MT0221	85	229	0.457085828343	0.0	85.0	100.0		COG1274 # Func_class: C Energy production and conversion # Function: Phosphoenolpyruvate carboxykinase (GTP) # Organism: Mycobacterium tuberculosis CDC1551 (MtC)
upper_euphotic_70m_4806_1	Rv0211	85	229	0.457085828343	0.0	85.0	100.0		COG1274 # Func_class: C Energy production and conversion # Function: Phosphoenolpyruvate carboxykinase (GTP) # Organism: Mycobacterium tuberculosis H37Rv (Mtu)
upper_euphotic_70m_6404_0	PA3138	275	1060	0.749116607774	0.0	275.0	100.0		COG0556 # Func_class: L Replication, recombination and repair # Function: Helicase subunit of the DNA excision repair complex # Organism: Pseudomonas aeruginosa (Pae)
upper_euphotic_70m_6404_0	HI1247	261	1004	0.709540636042	0.0	261.0	100.0		COG0556 # Func_class: L Replication, recombination and repair # Function: Helicase subunit of the DNA excision repair complex # Organism: Haemophilus influenzae (Hin)
upper_euphotic_70m_6404_0	PM0429	261	999	0.706007067138	0.0	261.0	100.0		COG0556 # Func_class: L Replication, recombination and repair # Function: Helicase subunit of the DNA excision repair complex # Organism: Pasteurella multocida (Pmu)
upper_euphotic_70m_6404_0	ECs0857	280	997	0.704593639576	0.0	280.0	100.0		COG0556 # Func_class: L Replication, recombination and repair # Function: Helicase subunit of the DNA excision repair complex # Organism: Escherichia coli O157:H7 (Ecs)
upper_euphotic_70m_6404_0	ZuvrB	280	997	0.704593639576	0.0	280.0	100.0		COG0556 # Func_class: L Replication, recombination and repair # Function: Helicase subunit of the DNA excision repair complex # Organism: Escherichia coli O157:H7 EDL933 (EcZ)
upper_euphotic_70m_4666_0	PA3735	281	815	0.548083389375	0.0	281.0	100.0		COG0498 # Func_class: E Amino acid transport and metabolism # Function: Threonine synthase # Organism: Pseudomonas aeruginosa (Pae)
upper_euphotic_70m_4666_0	SMc00077	278	783	0.526563550773	0.0	278.0	100.0		COG0498 # Func_class: E Amino acid transport and metabolism # Function: Threonine synthase # Organism: Sinorhizobium meliloti (Sme)
upper_euphotic_70m_6402_1	PA3019	254	754	0.506040268456	0.0	254.0	100.0		COG0488 # Func_class: R General function prediction only # Function: ATPase components of ABC transporters with duplicated ATPase domains # Organism: Pseudomonas aeruginosa (Pae)
upper_euphotic_70m_4666_0	BMEI1450	283	744	0.500336247478	0.0	283.0	100.0		COG0498 # Func_class: E Amino acid transport and metabolism # Function: Threonine synthase # Organism: Brucella melitensis (Bme)
upper_euphotic_70m_6402_1	VC1486	253	743	0.498657718121	0.0	253.0	100.0		COG0488 # Func_class: R General function prediction only # Function: ATPase components of ABC transporters with duplicated ATPase domains # Organism: Vibrio cholerae (Vch)
upper_euphotic_70m_6402_1	HI1300	253	738	0.495302013423	0.0	253.0	100.0		COG0488 # Func_class: R General function prediction only # Function: ATPase components of ABC transporters with duplicated ATPase domains # Organism: Haemophilus influenzae (Hin)
upper_euphotic_70m_6402_1	PM0877	253	738	0.495302013423	0.0	253.0	100.0		COG0488 # Func_class: R General function prediction only # Function: ATPase components of ABC transporters with duplicated ATPase domains # Organism: Pasteurella multocida (Pmu)
upper_euphotic_70m_6402_1	ECs1033	253	729	0.489261744966	0.0	253.0	100.0		COG0488 # Func_class: R General function prediction only # Function: ATPase components of ABC transporters with duplicated ATPase domains # Organism: Escherichia coli O157:H7 (Ecs)
upper_euphotic_70m_4666_0	AGc1442	278	716	0.481506388702	0.0	278.0	100.0		COG0498 # Func_class: E Amino acid transport and metabolism # Function: Threonine synthase # Organism: Agrobacterium tumefaciens strain C58 (Cereon) (Atu)
upper_euphotic_70m_4666_0	mll7517	283	703	0.47276395427	0.0	283.0	100.0		COG0498 # Func_class: E Amino acid transport and metabolism # Function: Threonine synthase # Organism: Mesorhizobium loti (Mlo)
upper_euphotic_70m_4664_0	AGl1542	171	425	0.480225988701	0.0	171.0	100.0		COG2084 # Func_class: I Lipid transport and metabolism # Function: 3-hydroxyisobutyrate dehydrogenase and related beta-hydroxyacid dehydrogenases # Organism: Agrobacterium tumefaciens strain C58 (Cereon) (Atu)
upper_euphotic_70m_4664_0	SMa0516	170	386	0.43615819209	0.0	170.0	100.0		COG2084 # Func_class: I Lipid transport and metabolism # Function: 3-hydroxyisobutyrate dehydrogenase and related beta-hydroxyacid dehydrogenases # Organism: Sinorhizobium meliloti (Sme)
upper_euphotic_70m_6405_0	BMEI1485	121	342	0.518181818182	0.0	121.0	100.0		COG0305 # Func_class: L Replication, recombination and repair # Function: Replicative DNA helicase # Organism: Brucella melitensis (Bme)
upper_euphotic_70m_6405_0	SMc00561	112	338	0.512121212121	0.0	112.0	100.0		COG0305 # Func_class: L Replication, recombination and repair # Function: Replicative DNA helicase # Organism: Sinorhizobium meliloti (Sme)
upper_euphotic_70m_7863_1	PA3983	128	337	0.512158054711	0.0	128.0	100.0		COG4535 # Func_class: P Inorganic ion transport and metabolism # Function: Putative Mg2+ and Co2+ transporter CorC # Organism: Pseudomonas aeruginosa (Pae)
upper_euphotic_70m_6405_0	mll7836	120	331	0.501515151515	0.0	120.0	100.0		COG0305 # Func_class: L Replication, recombination and repair # Function: Replicative DNA helicase # Organism: Mesorhizobium loti (Mlo)
upper_euphotic_70m_6405_0	AGc2006	112	318	0.481818181818	0.0	112.0	100.0		COG0305 # Func_class: L Replication, recombination and repair # Function: Replicative DNA helicase # Organism: Agrobacterium tumefaciens strain C58 (Cereon) (Atu)
upper_euphotic_70m_6405_0	CC1665	111	317	0.480303030303	0.0	111.0	100.0		COG0305 # Func_class: L Replication, recombination and repair # Function: Replicative DNA helicase # Organism: Caulobacter vibrioides (Ccr)
upper_euphotic_70m_7863_1	YPO2617	131	274	0.41641337386	0.0	131.0	100.0		COG4535 # Func_class: P Inorganic ion transport and metabolism # Function: Putative Mg2+ and Co2+ transporter CorC # Organism: Yersinia pestis (Ype)
upper_euphotic_70m_7863_1	VC0959	117	273	0.414893617021	0.0	117.0	100.0		COG4535 # Func_class: P Inorganic ion transport and metabolism # Function: Putative Mg2+ and Co2+ transporter CorC # Organism: Vibrio cholerae (Vch)
upper_euphotic_70m_7863_0	ybeY	86	219	0.439759036145	0.0	86.0	100.0		COG0319 # Func_class: R General function prediction only # Function: Predicted metal-dependent hydrolase # Organism: Escherichia coli K12 (Eco)
upper_euphotic_70m_7863_0	VC0960	86	217	0.435742971888	0.0	86.0	100.0		COG0319 # Func_class: R General function prediction only # Function: Predicted metal-dependent hydrolase # Organism: Vibrio cholerae (Vch)
