#query	target	q_length	bitscore	bsr	expect	aln_length	identity	ec	product
uppermesopelagic_500m_2338_0	hmg:100198838	311	1174	0.653311074012	0.0	311.0	100.0		similar to Cytochrome c oxidase subunit 1 (Cytochrome c oxidase polypeptide I)
uppermesopelagic_500m_4342_0	hmg:100214922	317	1123	0.652906976744	0.0	317.0	100.0		similar to DNA-directed RNA polymerase beta subunit
uppermesopelagic_500m_4342_0	isc:IscW_ISCW016043	317	1118	0.65	0.0	317.0	100.0	2.7.7.6	DNA-directed RNA polymerase beta chain, putative (EC:2.7.7.6)
uppermesopelagic_500m_3579_0	vcn:VOLCADRAFT_81861	289	1110	0.708812260536	0.0	289.0	100.0		sufB; iron-sulfur cluster assembly protein
uppermesopelagic_500m_3579_0	olu:OSTLU_16322	289	1088	0.694763729246	0.0	289.0	100.0		ABC(membrane) family transporter (Fe-S assembly/SufBCD system)
uppermesopelagic_500m_3579_0	smo:SELMODRAFT_173820	289	1087	0.694125159642	0.0	289.0	100.0		hypothetical protein
uppermesopelagic_500m_3579_0	smo:SELMODRAFT_170465	289	1087	0.694125159642	0.0	289.0	100.0		SmABCI12; ATP-binding cassette transporter, subfamily I, member 12, SmABCI12
uppermesopelagic_500m_8541_0	xtr:100488495	302	1083	0.667694204686	0.0	302.0	100.0		60 kDa chaperonin-like
uppermesopelagic_500m_3579_0	rcu:RCOM_0905060	289	1081	0.690293742018	0.0	289.0	100.0		Protein sufB, putative
uppermesopelagic_500m_1190_0	bta:790851	218	1068	0.807256235828	0.0	218.0	100.0		hypothetical LOC790851
uppermesopelagic_500m_7286_0	bfo:BRAFLDRAFT_78594	261	1044	0.684141546527	0.0	261.0	100.0	2.1.1.5	hypothetical protein; K00544 betaine-homocysteine S-methyltransferase [EC:2.1.1.5]
uppermesopelagic_500m_8696_0	rcu:RCOM_1850940	291	1043	0.683038637852	0.0	291.0	100.0	6.2.1.1	acetyl-CoA synthetase, putative (EC:6.2.1.1)
uppermesopelagic_500m_8696_0	hmg:100198705	284	1022	0.669286182056	0.0	284.0	100.0		similar to acyl-CoA synthetase short-chain family member 3
uppermesopelagic_500m_8105_0	uma:UM06010.1	271	1019	0.708130646282	0.0	271.0	100.0	4.2.1.33	Isopropylmalate isomerase (Alpha-IPM isomerase) (IPMI); K01702 3-isopropylmalate dehydratase [EC:4.2.1.33]
uppermesopelagic_500m_5399_0	smo:SELMODRAFT_165668	252	1018	0.720452937013	0.0	252.0	100.0		hypothetical protein
uppermesopelagic_500m_5399_0	smo:SELMODRAFT_178197	252	1018	0.720452937013	0.0	252.0	100.0		hypothetical protein
uppermesopelagic_500m_5399_0	dre:436914	255	1012	0.716206652512	0.0	255.0	100.0	6.2.1.1	acss2, wu:fa04c03, wu:fj80b06, wu:fj80h04, zgc:92200; acyl-CoA synthetase short-chain family member 2 (EC:6.2.1.1); K01895 acetyl-CoA synthetase [EC:6.2.1.1]
uppermesopelagic_500m_5091_0	nve:NEMVE_v1g235302	308	1012	0.541176470588	0.0	308.0	100.0	1.2.1.3	hypothetical protein ; K00128 aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
uppermesopelagic_500m_5399_0	ppp:PHYPADRAFT_76959	252	1011	0.715498938429	0.0	252.0	100.0	6.2.1.1	hypothetical protein; K01895 acetyl-CoA synthetase [EC:6.2.1.1]
uppermesopelagic_500m_5399_0	mdo:100032395	253	1005	0.711252653928	0.0	253.0	100.0	6.2.1.1	ACSS2; acyl-CoA synthetase short-chain family member 2; K01895 acetyl-CoA synthetase [EC:6.2.1.1]
uppermesopelagic_500m_8113_0	isc:IscW_ISCW016043	301	1005	0.649224806202	0.0	301.0	100.0	2.7.7.6	DNA-directed RNA polymerase beta chain, putative (EC:2.7.7.6)
uppermesopelagic_500m_8696_0	nve:NEMVE_v1g158601	280	1005	0.65815324165	0.0	280.0	100.0	6.2.1.17	hypothetical protein ; K01908 propionyl-CoA synthetase [EC:6.2.1.17]
uppermesopelagic_500m_8208_0	hmg:100207816	269	1005	0.701815642458	0.0	269.0	100.0	6.4.1.4	similar to methylcrotonoyl-Coenzyme A carboxylase 2 (beta); K01969 3-methylcrotonyl-CoA carboxylase beta subunit [EC:6.4.1.4]
uppermesopelagic_500m_5091_0	xla:734715	309	997	0.533155080214	0.0	309.0	100.0	1.2.1.3	aldh16a1, MGC114846; aldehyde dehydrogenase 16 family, member A1; K00128 aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
uppermesopelagic_500m_6206_0	hmg:100197114	243	997	0.798238590873	0.0	243.0	100.0		similar to Translation elongation factor, mitochondrial
uppermesopelagic_500m_6747_0	aor:AOR_1_412134	273	995	0.675492192804	0.0	273.0	100.0		AO090102000231; dihydroxy acid dehydratase
uppermesopelagic_500m_6747_0	afv:AFLA_003530	273	995	0.675492192804	0.0	273.0	100.0	4.2.1.9	dihydroxy acid dehydratase, putative; K01687 dihydroxy-acid dehydratase [EC:4.2.1.9]
uppermesopelagic_500m_5091_0	xtr:733905	322	993	0.531016042781	0.0	322.0	100.0		aldh16a1, MGC145543; aldehyde dehydrogenase 16 family, member A1
uppermesopelagic_500m_7286_0	nve:NEMVE_v1g236455	257	990	0.64875491481	0.0	257.0	100.0	2.1.1.5	hypothetical protein ; K00544 betaine-homocysteine S-methyltransferase [EC:2.1.1.5]
uppermesopelagic_500m_7286_0	hmg:100206048	258	990	0.64875491481	0.0	258.0	100.0	2.1.1.5	similar to predicted protein; K00544 betaine-homocysteine S-methyltransferase [EC:2.1.1.5]
uppermesopelagic_500m_4716_0	rcu:RCOM_1850940	340	990	0.524642289348	0.0	340.0	100.0	6.2.1.1	acetyl-CoA synthetase, putative (EC:6.2.1.1)
uppermesopelagic_500m_2284_0	pcs:Pc21g19560	312	988	0.562642369021	0.0	312.0	100.0		Pc21g19560
