#query	target	q_length	bitscore	bsr	expect	aln_length	identity	ec	product
deepabyss_4000m_4140_0	gi|108764411|gb|ABG03293.1|	261	944	0.63697705803	0.0	261.0	100.0		Glycogen debranching enzyme GlgX [Rubrobacter xylanophilus DSM 9941] (GH:13)
deepabyss_4000m_4140_0	gi|219995062|gb|ACL71664.1|	267	927	0.625506072874	0.0	267.0	100.0		glycogen debranching enzyme GlgX [Thioalkalivibrio sulfidophilus HL-EbGr7] (GH:13)
deepabyss_4000m_4140_0	gi|296093011|gb|ADG88963.1|	258	926	0.624831309042	0.0	258.0	100.0		glycogen debranching enzyme GlgX [Thermobispora bispora DSM 43833] (GH:13)
deepabyss_4000m_4140_0	gi|91201988|emb|CAJ75048.1|	261	922	0.622132253711	0.0	261.0	100.0		similar to isoamylase [Candidatus Kuenenia stuttgartiensis] (GH:13)
deepabyss_4000m_4140_0	gi|296924371|gb|ADH85181.1|	258	916	0.618083670715	0.0	258.0	100.0		glycogen debranching enzyme GlgX [Desulfurivibrio alkaliphilus AHT2] (GH:13)
deepabyss_4000m_1645_2	gi|407047056|gb|AFS81809.1|	87	332	0.693110647182	0.0	87.0	100.0		hypothetical protein NKOR_09820 [Candidatus Nitrosopumilus koreensis AR1] (GT:1)
deepabyss_4000m_202_0	gi|167045622|gb|ABZ10271.1|	143	467	0.591888466413	0.0	143.0	100.0		putative tRNA synthetases class I (C) catalytic domain protein [uncultured marine microorganism HF4000_APKG10K24] (GT:2)
deepabyss_4000m_7534_0	gi|209959913|gb|ACJ00550.1|	123	360	0.48128342246	0.0	123.0	100.0		glycosyl transferase, group 2 family protein [Rhodospirillum centenum SW] (GT:2)
deepabyss_4000m_7534_0	gi|146406975|gb|ABQ35481.1|	123	347	0.463903743316	0.0	123.0	100.0		putative Glycosyl transferase, group 2 family protein [Bradyrhizobium sp. BTAi1] (GT:2)
deepabyss_4000m_7534_0	gi|484581117|gb|AGK57150.1|	123	337	0.450534759358	0.0	123.0	100.0		group 2 family glycosyl transferase [Hyphomicrobium denitrificans 1NES1] (GT:2)
deepabyss_4000m_7534_0	gi|337761525|emb|CCB67360.1|	126	332	0.44385026738	0.0	126.0	100.0		Glycosyl transferase family 2 [Hyphomicrobium sp. MC1] (GT:2)
deepabyss_4000m_7534_0	gi|299526202|gb|ADJ24671.1|	126	319	0.426470588235	0.0	126.0	100.0		glycosyl transferase family 2 [Hyphomicrobium denitrificans ATCC 51888] (GT:2)
deepabyss_4000m_9666_1	gi|257797254|gb|ACV68191.1|	69	272	0.739130434783	0.0	69.0	100.0		glycoside hydrolase 15-related protein [Desulfohalobium retbaense DSM 5692] (GH:15)
deepabyss_4000m_9666_1	gi|299540097|gb|ADJ28414.1|	66	266	0.722826086957	0.0	66.0	100.0		glycoside hydrolase 15-related protein [Nitrosococcus watsonii C-113] (GH:15)
deepabyss_4000m_9666_1	gi|76883411|gb|ABA58092.1|	66	262	0.711956521739	0.0	66.0	100.0		Glycoside hydrolase [Nitrosococcus oceani ATCC 19707] (GH:15)
deepabyss_4000m_9666_1	gi|441484710|gb|AGC41405.1|	67	246	0.66847826087	0.0	67.0	100.0		glycosyl hydrolase [Myxococcus stipitatus DSM 14675] (GH:15)
deepabyss_4000m_9666_1	gi|380727236|gb|AFE03238.1|	67	245	0.665760869565	0.0	67.0	100.0		glucosyl hydrolase [Corallococcus coralloides DSM 2259] (GH:15)
deepabyss_4000m_1464_0	gi|427189007|dbj|BAM69725.1|	138	328	0.40344403444	0.0	138.0	100.0		sensory transduction regulatory protein [Methanothermobacter thermautotrophicus CaT2] (GT:2)
deepabyss_4000m_2131_0	gi|409027703|gb|AFU99987.1|	255	780	0.44167610419	0.0	255.0	100.0		glycosyl transferase family protein [Simiduia agarivorans SA1 = DSM 21679] (GT:4)
deepabyss_4000m_2583_1	gi|431825260|gb|AGA86377.1|	196	750	0.697026022305	0.0	196.0	100.0		exopolysaccharide biosynthesis protein, WecB/TagA/CpsF family [Pseudomonas stutzeri RCH2] (GT:26)
deepabyss_4000m_2583_1	gi|395808325|gb|AFN77730.1|	196	745	0.692379182156	0.0	196.0	100.0		N-acetyl-mannosamine transferase [Pseudomonas stutzeri DSM 10701] (GT:26)
deepabyss_4000m_2583_1	gi|390983893|gb|AFM33886.1|	186	720	0.669144981413	0.0	186.0	100.0		N-acetyl-mannosamine transferase [Pseudomonas stutzeri CCUG 29243] (GT:26)
deepabyss_4000m_2583_1	gi|145571046|gb|ABP80152.1|	196	719	0.668215613383	0.0	196.0	100.0		N-acetyl-mannosamine transferase [Pseudomonas stutzeri A1501] (GT:26)
deepabyss_4000m_2583_1	gi|338801849|gb|AEJ05681.1|	196	717	0.666356877323	0.0	196.0	100.0		N-acetyl-mannosamine transferase [Pseudomonas stutzeri ATCC 17588 = LMG 11199] (GT:26)
deepabyss_4000m_3796_0	gi|398654079|gb|AFO88049.1|	222	939	0.793744716822	0.0	222.0	100.0		choline dehydrogenase BetA [Phaeobacter gallaeciensis 2.10] (AA:3)
deepabyss_4000m_3796_0	gi|398657886|gb|AFO91852.1|	222	939	0.793744716822	0.0	222.0	100.0		choline dehydrogenase BetA [Phaeobacter gallaeciensis DSM 17395 = CIP 105210] (AA:3)
deepabyss_4000m_3796_0	gi|433668220|gb|AGB47296.1|	222	878	0.742180896027	0.0	222.0	100.0		choline dehydrogenase [Mesorhizobium australicum WSM2073] (AA:3)
deepabyss_4000m_3796_0	gi|440037363|gb|AGB70397.1|	222	830	0.701606086221	0.0	222.0	100.0		choline dehydrogenase [Rhizobium tropici CIAT 899] (AA:3)
deepabyss_4000m_3796_0	gi|407318044|emb|CCM66648.1|	222	828	0.699915469146	0.0	222.0	100.0		Choline dehydrogenase [Sinorhizobium meliloti Rm41] (AA:3)
deepabyss_4000m_5933_0	gi|445203431|gb|AGE28640.1|	135	509	0.666230366492	0.0	135.0	100.0		penicillin-binding protein 1A [Pseudomonas poae RE*1-1-14] (GT:51)
deepabyss_4000m_5933_0	gi|426265474|gb|AFY17551.1|	127	509	0.666230366492	0.0	127.0	100.0		penicillin-binding protein 1A [Pseudomonas sp. UW4] (GT:51)
