orf_id	ref dbname	EC	product	value
upper_euphotic_70m_1982_0				
	EggNog_v3_2013_08_07		infB http://www.ncbi.nlm.nih.gov/protein/82700911 translation initiation factor IF-2 Protects formylmethionyl-tRNA from spontaneous hydrolysis promotes its binding to 30S ribosomal subunits during protein synthesis. Also involved GTP formation 70S complex	26.0
	RefSeq_complete_nr_v62_dec2013		translation initiation factor IF-2 [Magnetospirillum sp. SO-1]	7.0
	COG_2013-12-27		COG0532 # J Translation, ribosomal structure biogenesis Function: Translation initiation factor 2 (IF-2 GTPase) Organism: Agrobacterium tumefaciens strain C58 (Cereon) (Atu)	21.0
	seed-2014-01-30		Translation initiation factor 2 [Acetobacter pasteurianus NBRC 101655]	8.0
	KEGG_pep_2013		mitochondrial translational initiation factor, putative K02519 translation factor IF-2	9.0

upper_euphotic_70m_1986_1				
	RefSeq_complete_nr_v62_dec2013		SAM-dependent methyltransferase PhcB [Erythrobacter sp. SD-21]	6.0
	seed-2014-01-30		Bll2645 protein [Erythrobacter sp. SD-21]	4.0

upper_euphotic_70m_1188_0				
	EggNog_v3_2013_08_07		http://www.ncbi.nlm.nih.gov/protein/91790934 mandelate racemase/muconate lactonizing enzyme	5.0
	RefSeq_complete_nr_v62_dec2013		mandelate racemase/muconate lactonizing enzyme [Methylobacterium mesophilicum]	6.0
	seed-2014-01-30		mandelate racemase/muconate lactonizing enzyme [alpha proteobacterium BAL199]	7.0
	KEGG_pep_2013		mandelate racemase/muconate lactonizing enzyme	4.0

upper_euphotic_70m_1181_0				
	EggNog_v3_2013_08_07		metG http://www.ncbi.nlm.nih.gov/protein/124023178 methionyl-tRNA synthetase methionine--tRNA ligase MetRS adds methionine to tRNA(Met) cleavage ATP AMP diphosphate some MetRS enzymes form dimers depending C-terminal domain that also found other proteins such as Trbp111 Aquifex aeolicus cold-shock protein CsaA from Bacillus subtilis while others do not four subfamilies exist based sequence motifs zinc content	49.0
	RefSeq_complete_nr_v62_dec2013		methionyl-tRNA synthetase [Cyanobium sp. PCC 7001]	6.0
	seed-2014-01-30	6.1.1.10	Methionyl-tRNA synthetase (EC 6.1.1.10) [Cyanobium sp. PCC 7001]	18.0
	KEGG_pep_2013	6.1.1.10	metG methionyl-tRNA synthetase (EC:6.1.1.10) K01874 [EC:6.1.1.10]	16.0

upper_euphotic_70m_1181_1				
	EggNog_v3_2013_08_07		SYNW1221 http://www.ncbi.nlm.nih.gov/protein/33865755 	2.0
	RefSeq_complete_nr_v62_dec2013		 [Synechococcus sp. WH 7803]	4.0
	seed-2014-01-30	1.1.1.3	Homoserine dehydrogenase (EC 1.1.1.3) [Synechococcus sp. RS9917]	17.0

upper_euphotic_70m_1185_0				
	RefSeq_complete_nr_v62_dec2013		Molybdopterin oxidoreductase [marine gamma proteobacterium HTCC2143]	6.0
	seed-2014-01-30		Anaerobic dehydrogenases, typically selenocysteine-containing [gamma proteobacterium KT 71]	8.0

upper_euphotic_70m_4809_0				
	EggNog_v3_2013_08_07		RPA1708 http://www.ncbi.nlm.nih.gov/protein/39934778 putative acyl-CoA dehydrogenase observed proteomics Citation: Proteomics from VerBerkmoes et al. (2003) unpublished	15.0
	RefSeq_complete_nr_v62_dec2013		acyl-CoA dehydrogenase [Bradyrhizobium sp. STM 3809]	6.0
	seed-2014-01-30	1.3.8.1	Acyl-CoA dehydrogenase, short-chain specific (EC 1.3.8.1) [Rhodopseudomonas palustris CGA009]	19.0

upper_euphotic_70m_4808_0				
	RefSeq_complete_nr_v62_dec2013		 [SAR324 cluster bacterium SCGC AAA001-C10]	5.0
	seed-2014-01-30		 [SAR324 cluster bacterium SCGC AAA001-C10]	5.0

upper_euphotic_70m_4808_1				
	RefSeq_complete_nr_v62_dec2013		 [SAR324 cluster bacterium JCVI-SC AAA005]	5.0
	seed-2014-01-30		 [SAR324 cluster bacterium JCVI-SC AAA005]	5.0

upper_euphotic_70m_4801_1				
	RefSeq_complete_nr_v62_dec2013		ribosomal protein L11 methylase [SAR116 cluster alpha proteobacterium HIMB100]	8.0
	seed-2014-01-30		Ribosomal protein L11 methyltransferase (EC 2.1.1.-) [SAR116 cluster alpha proteobacterium HIMB100]	10.0
	KEGG_pep_2013		ribosomal L11 methyltransferase (EC:2.1.1.-) K02687 protein [EC:2.1.1.-]	6.0

upper_euphotic_70m_4800_0				
	EggNog_v3_2013_08_07		CADAORAP00007967 ensembl.org:CADAORAP00007967 CADAORAG00008131 annotation not avaliable	6.0
	RefSeq_complete_nr_v62_dec2013		D-alanyl-D-alanine carboxypeptidase [Bradyrhizobium sp. DFCI-1]	5.0
	seed-2014-01-30	1.14.13.22	Cyclohexanone monooxygenase (EC 1.14.13.22) [Nocardia higoensis NBRC 100133]	18.0
	KEGG_pep_2013	1.14.13.92	Phenylacetone monooxygenase (EC:1.14.13.92)	13.0

upper_euphotic_70m_4806_1				
	EggNog_v3_2013_08_07		pepck http://www.ncbi.nlm.nih.gov/protein/113869646 phosphoenolpyruvate carboxykinase catalyzes phosphorylation decarboxylation oxaloacetate to form using GTP	12.0
	RefSeq_complete_nr_v62_dec2013		phosphoenolpyruvate carboxykinase PckG [Janthinobacterium sp. HH01]	6.0
	COG_2013-12-27		COG1274 # C Energy production conversion Function: Phosphoenolpyruvate carboxykinase (GTP) Organism: Mycobacterium tuberculosis H37Rv (Mtu)	15.0
	seed-2014-01-30	4.1.1.32	Phosphoenolpyruvate carboxykinase [GTP] (EC 4.1.1.32) [Azospirillum amazonense Y2]	18.0
	KEGG_pep_2013	4.1.1.32	phosphoenolpyruvate carboxykinase (EC:4.1.1.32) K01596 (GTP) [EC:4.1.1.32]	16.0

upper_euphotic_70m_9663_0				
	RefSeq_complete_nr_v62_dec2013		ABC transporter permease [Nitrococcus mobilis]	5.0
	seed-2014-01-30		L-proline glycine betaine binding ABC transporter protein ProX (TC 3.A.1.12.1) / Osmotic adaptation [Nitrococcus mobilis Nb-231]	15.0

upper_euphotic_70m_9664_0				
	seed-2014-01-30		 [Prochlorococcus marinus bv. HNLC2]	4.0

upper_euphotic_70m_9669_0				
	EggNog_v3_2013_08_07		TTHA0865 http://www.ncbi.nlm.nih.gov/protein/55980834 NAD-dependent aldehyde dehydrogenase similar to GB:AAS80861.1 percent identity 99 515 aa	13.0
	RefSeq_complete_nr_v62_dec2013		NAD-dependent aldehyde dehydrogenase [Thermus oshimai]	5.0
	seed-2014-01-30	1.2.1.22	Aldehyde dehydrogenase B (EC 1.2.1.22) [Saccharothrix espanaensis DSM 44229]	19.0
	KEGG_pep_2013	1.2.1.3	aldehyde dehydrogenase (EC:1.2.1.3) K00128 (NAD+) [EC:1.2.1.3]	16.0

upper_euphotic_70m_1325_0				
	EggNog_v3_2013_08_07		http://www.ncbi.nlm.nih.gov/protein/89056265 monooxygenase, FAD-binding	3.0
	RefSeq_complete_nr_v62_dec2013		FAD binding domain protein [Brevundimonas diminuta]	5.0
	seed-2014-01-30		 [Jannaschia sp. CCS1]	3.0
	KEGG_pep_2013		monooxygenase, FAD-binding	2.0

upper_euphotic_70m_1322_0				
	RefSeq_complete_nr_v62_dec2013		phosphoglycolate phosphatase [Polymorphum gilvum]	4.0
	KEGG_pep_2013	3.1.3.18	phosphoglycolate phosphatase, bacterial K01091 phosphatase [EC:3.1.3.18]	16.0

upper_euphotic_70m_1458_0				
	EggNog_v3_2013_08_07		BF2609 http://www.ncbi.nlm.nih.gov/protein/53713901 GNAT family acetyltransferase similar to [Bacteroides thetaiotaomicron VPI-5482], percent identity 80 165 aa, BLASTP E(): 5e-76	18.0
	RefSeq_complete_nr_v62_dec2013		replicative DNA helicase [Parabacteroides merdae]	5.0
	seed-2014-01-30		Replicative DNA helicase (EC 3.6.1.-) [Prevotella stercorea DSM 18206]	9.0
	KEGG_pep_2013	3.6.4.12	primary replicative DNA helicase (EC:3.6.1.-) K02314 [EC:3.6.4.12]	17.0

upper_euphotic_70m_1458_1				
	EggNog_v3_2013_08_07		http://www.ncbi.nlm.nih.gov/protein/146297807 replicative DNA helicase TIGRFAM: PFAM: DnaB domain protein helicase, N-terminal protein C-terminal SMART: AAA ATPase	14.0
