#query	target	q_length	bitscore	bsr	expect	aln_length	identity	ec	product
chlorophyllmax_130m_554_0	sp|Q58696|BIOA_METJA	212	533	0.45246179966	0.0	212.0	100.0	2.6.1.62	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) GN=bioA PE=3 SV=2 # UNIPROT # Q58696 # DAPASYN-RXN # MJAN243232:MJ_1300-MONOMER # 2.6.1.62
chlorophyllmax_130m_554_0	sp|P22805|BIOA_LYSSH	205	487	0.413412563667	0.0	205.0	100.0	2.6.1.62	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase OS=Lysinibacillus sphaericus GN=bioA PE=1 SV=1 # UNIPROT # P22805 # DAPASYN-RXN # # 2.6.1.62
chlorophyllmax_130m_3604_0	tr|A2C879|A2C879_PROM3	235	1066	0.804528301887	0.0	235.0	100.0	6.3.5.9	Putative Cobyrinic acid a,c-diamide synthase OS=Prochlorococcus marinus (strain MIT 9303) GN=cobB PE=4 SV=1 # UNIPROT # A2C879 # R341-RXN # # 6.3.5.9
chlorophyllmax_130m_5526_0	tr|O54199|O54199_STRCL	218	674	0.578540772532	0.0	218.0	100.0		Piperideine-6-carboxilic acid dehydrogenase OS=Streptomyces clavuligerus GN=pcd PE=3 SV=1 # UNIPROT # O54199 # RXN-8162 # MetaCyc:MONOMER-12387 #
chlorophyllmax_130m_5526_0	sp|Q64057|AL7A1_RAT	213	536	0.46008583691	0.0	213.0	100.0	1.2.1.8	Alpha-aminoadipic semialdehyde dehydrogenase OS=Rattus norvegicus GN=Aldh7a1 PE=1 SV=2 # UNIPROT # Q64057 # BADH-RXN # # 1.2.1.8
chlorophyllmax_130m_4217_0	sp|O83833|GLMS_TREPA	210	476	0.412836079792	0.0	210.0	100.0	2.6.1.16	Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] OS=Treponema pallidum GN=glmS PE=3 SV=3 # UNIPROT # O83833 # L-GLN-FRUCT-6-P-AMINOTRANS-RXN # TPAL243276:TP_0861-MONOMER # 2.6.1.16
chlorophyllmax_130m_4217_0	sp|Q8D3J0|GLMS_WIGBR	186	468	0.405897658283	0.0	186.0	100.0	2.6.1.16	Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] OS=Wigglesworthia glossinidia brevipalpis GN=glmS PE=3 SV=3 # UNIPROT # Q8D3J0 # L-GLN-FRUCT-6-P-AMINOTRANS-RXN # # 2.6.1.16
chlorophyllmax_130m_4218_1	sp|A5WA09|SAHH_PSEP1	100	392	0.6735395189	0.0	100.0	100.0	3.3.1.1	Adenosylhomocysteinase OS=Pseudomonas putida (strain F1 / ATCC 700007) GN=ahcY PE=3 SV=1 # UNIPROT # A5WA09 # ADENOSYLHOMOCYSTEINASE-RXN # PPUT351746:PPUT_4849-MONOMER # 3.3.1.1
chlorophyllmax_130m_4218_2	sp|A5WA09|SAHH_PSEP1	84	321	0.685897435897	0.0	84.0	100.0	3.3.1.1	Adenosylhomocysteinase OS=Pseudomonas putida (strain F1 / ATCC 700007) GN=ahcY PE=3 SV=1 # UNIPROT # A5WA09 # ADENOSYLHOMOCYSTEINASE-RXN # PPUT351746:PPUT_4849-MONOMER # 3.3.1.1
chlorophyllmax_130m_4218_1	sp|Q6MNC0|SAHH_BDEBA	90	283	0.486254295533	0.0	90.0	100.0	3.3.1.1	Adenosylhomocysteinase OS=Bdellovibrio bacteriovorus GN=ahcY PE=3 SV=2 # UNIPROT # Q6MNC0 # ADENOSYLHOMOCYSTEINASE-RXN # BBAC264462:BD1339-MONOMER # 3.3.1.1
chlorophyllmax_130m_4218_1	sp|Q68FL4|SAHH3_MOUSE	92	275	0.472508591065	0.0	92.0	100.0	3.3.1.1	Putative adenosylhomocysteinase 3 OS=Mus musculus GN=Ahcyl2 PE=1 SV=1 # UNIPROT # Q68FL4 # ADENOSYLHOMOCYSTEINASE-RXN # # 3.3.1.1
chlorophyllmax_130m_4218_0	sp|A5WA09|SAHH_PSEP1	77	266	0.568376068376	0.0	77.0	100.0	3.3.1.1	Adenosylhomocysteinase OS=Pseudomonas putida (strain F1 / ATCC 700007) GN=ahcY PE=3 SV=1 # UNIPROT # A5WA09 # ADENOSYLHOMOCYSTEINASE-RXN # PPUT351746:PPUT_4849-MONOMER # 3.3.1.1
chlorophyllmax_130m_4218_0	sp|Q6MNC0|SAHH_BDEBA	76	252	0.538461538462	0.0	76.0	100.0	3.3.1.1	Adenosylhomocysteinase OS=Bdellovibrio bacteriovorus GN=ahcY PE=3 SV=2 # UNIPROT # Q6MNC0 # ADENOSYLHOMOCYSTEINASE-RXN # BBAC264462:BD1339-MONOMER # 3.3.1.1
chlorophyllmax_130m_4218_1	sp|Q73UK6|SAHH_MYCPA	76	251	0.431271477663	0.0	76.0	100.0	3.3.1.1	Adenosylhomocysteinase OS=Mycobacterium paratuberculosis GN=ahcY PE=3 SV=1 # UNIPROT # Q73UK6 # ADENOSYLHOMOCYSTEINASE-RXN # # 3.3.1.1
chlorophyllmax_130m_4218_0	sp|Q73UK6|SAHH_MYCPA	84	193	0.412393162393	0.0	84.0	100.0	3.3.1.1	Adenosylhomocysteinase OS=Mycobacterium paratuberculosis GN=ahcY PE=3 SV=1 # UNIPROT # Q73UK6 # ADENOSYLHOMOCYSTEINASE-RXN # # 3.3.1.1
chlorophyllmax_130m_3843_0	sp|P37941|ODBB_BACSU	165	476	0.534831460674	0.0	165.0	100.0	1.2.4.4	2-oxoisovalerate dehydrogenase subunit beta OS=Bacillus subtilis GN=bfmBAB PE=1 SV=1 # UNIPROT # P37941 # 1.2.4.4-RXN # MetaCyc:MONOMER-11684 # 1.2.4.4
chlorophyllmax_130m_3843_0	sp|O66113|ODPB_ZYMMO	166	414	0.465168539326	0.0	166.0	100.0	1.2.4.1	Pyruvate dehydrogenase E1 component subunit beta OS=Zymomonas mobilis GN=pdhB PE=3 SV=2 # UNIPROT # O66113 # RXN0-1134 # ZMOB264203:ZMO1605-MONOMER # 1.2.4.1
chlorophyllmax_130m_3843_0	sp|Q09171|ODPB_SCHPO	167	403	0.452808988764	0.0	167.0	100.0	1.2.4.1	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial OS=Schizosaccharomyces pombe (strain ATCC 38366 / 972) GN=pdb1 PE=2 SV=1 # UNIPROT # Q09171 # RXN0-1134 # SPOM-XXX-01:SPOM-XXX-01-004295-MONOMER # 1.2.4.1
chlorophyllmax_130m_3843_0	sp|P26269|ODPB_ASCSU	162	395	0.443820224719	0.0	162.0	100.0	1.2.4.1	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial OS=Ascaris suum PE=1 SV=1 # UNIPROT # P26269 # RXN0-1134 # # 1.2.4.1
chlorophyllmax_130m_3843_0	tr|A8Z2F0|A8Z2F0_STAAT	166	388	0.43595505618	0.0	166.0	100.0	1.2.1.25	2-oxoisovalerate dehydrogenase (Acylating) beta subunit OS=Staphylococcus aureus (strain USA300 / TCH1516) GN=USA300HOU_1518 PE=4 SV=1 # UNIPROT # A8Z2F0 # 1.2.1.25-RXN # # 1.2.1.25
chlorophyllmax_130m_1996_0	sp|Q7NQS9|KPRS_CHRVO	196	759	0.736893203883	0.0	196.0	100.0	2.7.6.1	Ribose-phosphate pyrophosphokinase OS=Chromobacterium violaceum GN=prs PE=3 SV=1 # UNIPROT # Q7NQS9 # PRPPSYN-RXN # CVIO243365:CV_4058-MONOMER # 2.7.6.1
chlorophyllmax_130m_6175_0	sp|Q8TKT6|PUR2_METAC	216	583	0.50872600349	0.0	216.0	100.0	6.3.4.13	Phosphoribosylamine--glycine ligase OS=Methanosarcina acetivorans (strain ATCC 35395 / DSM 2834 / JCM 12185 / C2A) GN=purD PE=3 SV=1 # UNIPROT # Q8TKT6 # GLYRIBONUCSYN-RXN # MACE188937:MA3309-MONOMER # 6.3.4.13
chlorophyllmax_130m_6175_0	sp|Q6M079|PUR2_METMP	223	543	0.473821989529	0.0	223.0	100.0	6.3.4.13	Phosphoribosylamine--glycine ligase OS=Methanococcus maripaludis (strain S2 / LL) GN=purD PE=3 SV=1 # UNIPROT # Q6M079 # GLYRIBONUCSYN-RXN # MMAR267377:MMP0392-MONOMER # 6.3.4.13
chlorophyllmax_130m_1996_0	sp|Q42581|KPRS1_ARATH	197	538	0.522330097087	0.0	197.0	100.0	2.7.6.1	Ribose-phosphate pyrophosphokinase 1, chloroplastic OS=Arabidopsis thaliana GN=PRS1 PE=2 SV=2 # UNIPROT # Q42581 # PRPPSYN-RXN # # 2.7.6.1
chlorophyllmax_130m_1996_0	sp|B9KPJ0|KPRS_RHOSK	196	526	0.51067961165	0.0	196.0	100.0	2.7.6.1	Ribose-phosphate pyrophosphokinase OS=Rhodobacter sphaeroides (strain KD131 / KCTC 12085) GN=prs PE=3 SV=1 # UNIPROT # B9KPJ0 # PRPPSYN-RXN # # 2.7.6.1
chlorophyllmax_130m_6175_0	sp|Q2NI86|PUR2_METST	213	517	0.451134380454	0.0	213.0	100.0	6.3.4.13	Phosphoribosylamine--glycine ligase OS=Methanosphaera stadtmanae (strain DSM 3091) GN=purD PE=3 SV=1 # UNIPROT # Q2NI86 # GLYRIBONUCSYN-RXN # MSTA339860:MSP_0030-MONOMER # 6.3.4.13
chlorophyllmax_130m_1996_0	sp|Q7UPM4|KPRS_RHOBA	197	515	0.5	0.0	197.0	100.0	2.7.6.1	Ribose-phosphate pyrophosphokinase OS=Rhodopirellula baltica GN=prs PE=3 SV=1 # UNIPROT # Q7UPM4 # PRPPSYN-RXN # PSP117:RB6844-MONOMER # 2.7.6.1
chlorophyllmax_130m_6175_0	sp|Q8U3N5|PUR2_PYRFU	214	514	0.448516579407	0.0	214.0	100.0	6.3.4.13	Phosphoribosylamine--glycine ligase OS=Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1) GN=purD PE=3 SV=1 # UNIPROT # Q8U3N5 # GLYRIBONUCSYN-RXN # # 6.3.4.13
chlorophyllmax_130m_1996_0	sp|Q69XQ6|KPRS2_ORYSJ	189	510	0.495145631068	0.0	189.0	100.0	2.7.6.1	Ribose-phosphate pyrophosphokinase 2, chloroplastic OS=Oryza sativa subsp. japonica GN=Os06g0617800 PE=2 SV=2 # UNIPROT # Q69XQ6 # PRPPSYN-RXN # # 2.7.6.1
chlorophyllmax_130m_6175_0	sp|Q8TWG3|PUR2_METKA	215	490	0.42757417103	0.0	215.0	100.0	6.3.4.13	Phosphoribosylamine--glycine ligase OS=Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938) GN=purD PE=3 SV=1 # UNIPROT # Q8TWG3 # GLYRIBONUCSYN-RXN # MKAN190192:MK1071-MONOMER # 6.3.4.13
chlorophyllmax_130m_1830_0	sp|P53607|THD1_BURM1	78	263	0.526	0.0	78.0	100.0	4.3.1.19	Threonine dehydratase biosynthetic OS=Burkholderia multivorans (strain ATCC 17616 / 249) GN=ilvA PE=3 SV=1 # UNIPROT # P53607 # THREDEHYD-RXN # # 4.3.1.19
