#query	target	q_length	bitscore	bsr	expect	aln_length	identity	ec	product
chlorophyllmax_130m_1915_0	gi|498505520|ref|WP_010806192.1|	319	1388	0.806507844277	0.0	319.0	100.0		bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase [Pandoraea sp. SD6-2]
chlorophyllmax_130m_5428_0	gi|489304251|ref|WP_003211698.1|	294	1366	0.81552238806	0.0	294.0	100.0		beta-agarase [Pseudomonas fluorescens]
chlorophyllmax_130m_1915_0	gi|497071241|ref|WP_009457718.1|	319	1360	0.790238233585	0.0	319.0	100.0		bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase [Alcaligenes sp. HPC1271]
chlorophyllmax_130m_1915_0	gi|491161703|ref|WP_005020090.1|	321	1352	0.785589773388	0.0	321.0	100.0		bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase [Bordetella holmesii]
chlorophyllmax_130m_1915_0	gi|491157684|ref|WP_005016071.1|	321	1350	0.784427658338	0.0	321.0	100.0		bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase [Bordetella holmesii]
chlorophyllmax_130m_1915_0	gi|495919562|ref|WP_008644141.1|	321	1337	0.776873910517	0.0	321.0	100.0		bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase [Cupriavidus sp. HMR-1]
chlorophyllmax_130m_5455_0	gi|496163911|ref|WP_008888418.1|	308	1329	0.817343173432	0.0	308.0	100.0		urease subunit alpha [Thalassospira profundimaris]
chlorophyllmax_130m_5455_0	gi|494149120|ref|WP_007088865.1|	307	1325	0.814883148831	0.0	307.0	100.0		urease subunit alpha [Thalassospira xiamenensis]
chlorophyllmax_130m_5461_0	gi|495594739|ref|WP_008319318.1|	293	1322	0.872607260726	0.0	293.0	100.0		DNA-directed RNA polymerase, gamma subunit [Leptolyngbya sp. PCC 6406]
chlorophyllmax_130m_5455_0	gi|497319342|ref|WP_009633555.1|	307	1318	0.810578105781	0.0	307.0	100.0		urease, alpha subunit [Synechocystis sp. PCC 7509]
chlorophyllmax_130m_5461_0	gi|497454045|ref|WP_009768243.1|	293	1315	0.86798679868	0.0	293.0	100.0		DNA-directed RNA polymerase gamma chain [Oscillatoriales cyanobacterium JSC-12]
chlorophyllmax_130m_5455_0	gi|497227728|ref|WP_009541990.1|	307	1313	0.807503075031	0.0	307.0	100.0		Urease alpha subunit [Caenispirillum salinarum]
chlorophyllmax_130m_5461_0	gi|493563216|ref|WP_006516603.1|	293	1312	0.86600660066	0.0	293.0	100.0		DNA-directed RNA polymerase gamma chain [Leptolyngbya sp. PCC 7375]
chlorophyllmax_130m_5455_0	gi|493564533|ref|WP_006517899.1|	306	1312	0.806888068881	0.0	306.0	100.0		urease [Leptolyngbya sp. PCC 7375]
