#query	target	q_length	bitscore	bsr	expect	aln_length	identity	ec	product
omz_770m_596_0	fig|1030145.6.peg.2949	306	1556	0.953431372549	0.0	306.0	100.0	6.4.1.1	Pyruvate carboxylase subunit A (EC 6.4.1.1) [Pseudomonas tolaasii PMS117]
omz_770m_596_0	fig|1037911.3.peg.5236	306	1556	0.953431372549	0.0	306.0	100.0	6.4.1.1	Pyruvate carboxylase subunit A (EC 6.4.1.1) [Pseudomonas fluorescens A506]
omz_770m_596_0	fig|1038924.3.peg.5247	306	1556	0.953431372549	0.0	306.0	100.0	6.4.1.1	Pyruvate carboxylase subunit A (EC 6.4.1.1) [Pseudomonas fluorescens SS101]
omz_770m_596_0	fig|1007656.5.peg.1608	306	1552	0.950980392157	0.0	306.0	100.0	6.4.1.1	Pyruvate carboxylase subunit A (EC 6.4.1.1) [Pseudomonas fluorescens Wayne1]
omz_770m_596_0	fig|1038922.3.peg.5591	306	1550	0.949754901961	0.0	306.0	100.0	6.4.1.1	Pyruvate carboxylase subunit A (EC 6.4.1.1) [Pseudomonas fluorescens Q2-87]
omz_770m_593_0	fig|1009420.3.peg.58	301	1506	0.966623876765	0.0	301.0	100.0	2.7.7.6	DNA-directed RNA polymerase subunit A (EC 2.7.7.6) [Verrucomicrobia bacterium SCGC AAA164-O14]
omz_770m_4645_0	fig|1038921.4.peg.2008	303	1446	0.858669833729	0.0	303.0	100.0		Decarboxylase family protein [Pseudomonas chlororaphis subsp. aureofaciens 30-84]
omz_770m_4645_0	fig|1037915.3.peg.249	303	1443	0.856888361045	0.0	303.0	100.0		Decarboxylase family protein [Pseudomonas chlororaphis O6]
omz_770m_4645_0	fig|1042876.5.peg.3244	303	1432	0.850356294537	0.0	303.0	100.0		Decarboxylase family protein [Pseudomonas putida S16]
omz_770m_4645_0	fig|1030145.6.peg.2705	303	1428	0.847980997625	0.0	303.0	100.0		Decarboxylase family protein [Pseudomonas tolaasii PMS117]
omz_770m_4645_0	fig|1038923.3.peg.3455	303	1427	0.847387173397	0.0	303.0	100.0		Decarboxylase family protein [Pseudomonas fluorescens Q8r1-96]
omz_770m_10064_0	fig|1009695.3.peg.6	294	1424	0.939933993399	0.0	294.0	100.0		Transcription initiation factor B [Verrucomicrobia bacterium SCGC AAA164-A21]
