#query	target	q_length	bitscore	bsr	expect	aln_length	identity	ec	product
upper_euphotic_10m_705_0	sp|Q9I2Q2|METH_PSEAE	290	961	0.65108401084	0.0	290.0	100.0	2.1.1.13	Methionine synthase OS=Pseudomonas aeruginosa GN=metH PE=3 SV=1 # UNIPROT # Q9I2Q2 # HOMOCYSMETB12-RXN # PAER208964:PA1843-MONOMER # 2.1.1.13
upper_euphotic_10m_872_0	sp|Q5NQQ7|SYI_ZYMMO	272	924	0.534722222222	0.0	272.0	100.0	6.1.1.5	Isoleucyl-tRNA synthetase OS=Zymomonas mobilis GN=ileS PE=3 SV=1 # UNIPROT # Q5NQQ7 # ISOLEUCINE--TRNA-LIGASE-RXN # ZMOB264203:ZMO0323-MONOMER # 6.1.1.5
upper_euphotic_10m_872_0	sp|Q9AAA5|SYI_CAUCR	271	888	0.513888888889	0.0	271.0	100.0	6.1.1.5	Isoleucyl-tRNA synthetase OS=Caulobacter crescentus GN=ileS PE=3 SV=1 # UNIPROT # Q9AAA5 # ISOLEUCINE--TRNA-LIGASE-RXN # # 6.1.1.5
upper_euphotic_10m_705_0	sp|Q4JIJ3|METH_BOVIN	304	888	0.60162601626	0.0	304.0	100.0	2.1.1.13	Methionine synthase OS=Bos taurus GN=MTR PE=2 SV=1 # UNIPROT # Q4JIJ3 # HOMOCYSMETB12-RXN # CATTLE:280869-MONOMER # 2.1.1.13
upper_euphotic_10m_872_0	sp|Q4FPA9|SYI_PELUB	274	882	0.510416666667	0.0	274.0	100.0	6.1.1.5	Isoleucyl-tRNA synthetase OS=Pelagibacter ubique GN=ileS PE=3 SV=1 # UNIPROT # Q4FPA9 # ISOLEUCINE--TRNA-LIGASE-RXN # CPEL335992:SAR11_0158-MONOMER # 6.1.1.5
upper_euphotic_10m_872_0	sp|Q5FRI6|SYI_GLUOX	271	829	0.47974537037	0.0	271.0	100.0	6.1.1.5	Isoleucyl-tRNA synthetase OS=Gluconobacter oxydans GN=ileS PE=3 SV=1 # UNIPROT # Q5FRI6 # ISOLEUCINE--TRNA-LIGASE-RXN # GOXY290633:GOX1249-MONOMER # 6.1.1.5
upper_euphotic_10m_872_0	sp|Q5LNR7|SYI_SILPO	295	826	0.478009259259	0.0	295.0	100.0	6.1.1.5	Isoleucyl-tRNA synthetase OS=Silicibacter pomeroyi GN=ileS PE=3 SV=1 # UNIPROT # Q5LNR7 # ISOLEUCINE--TRNA-LIGASE-RXN # RPOM246200:SPO_3136-MONOMER # 6.1.1.5
upper_euphotic_10m_5612_0	sp|Q51404|FUMC1_PSEAE	236	751	0.63482671175	0.0	236.0	100.0	4.2.1.2	Fumarate hydratase class II 1 OS=Pseudomonas aeruginosa GN=fumC1 PE=3 SV=1 # UNIPROT # Q51404 # FUMHYDR-RXN # PAER208964:PA4470-MONOMER # 4.2.1.2
upper_euphotic_10m_5612_0	sp|Q87DC2|FUMC_XYLFT	236	643	0.543533389687	0.0	236.0	100.0	4.2.1.2	Fumarate hydratase class II OS=Xylella fastidiosa (strain Temecula1 / ATCC 700964) GN=fumC PE=3 SV=1 # UNIPROT # Q87DC2 # FUMHYDR-RXN # XFAS183190:PD_0763-MONOMER # 4.2.1.2
upper_euphotic_10m_5612_0	sp|O53446|FUMC_MYCTU	235	547	0.462383770076	0.0	235.0	100.0	4.2.1.2	Fumarate hydratase class II OS=Mycobacterium tuberculosis GN=fumC PE=1 SV=1 # UNIPROT # O53446 # FUMHYDR-RXN # MetaCyc:MONOMER-11948 # 4.2.1.2
