#query	target	q_length	bitscore	bsr	expect	aln_length	identity	ec	product
below_euphotic_200m_2979_0	gi|194349921|gb|ACF53044.1|	63	315	1.0	0.0	63.0	100.0		Three-deoxy-D-manno-octulosonic-acid transferase domain protein [Stenotrophomonas maltophilia R551-3] (GT:30)
below_euphotic_200m_2979_0	gi|384079447|emb|CCH14047.1|	62	296	0.939682539683	0.0	62.0	100.0		3-deoxy-D-manno-octulosonic-acid transferase [Stenotrophomonas maltophilia D457] (GT:30)
below_euphotic_200m_2979_0	gi|343780143|gb|AEM52696.1|	62	296	0.939682539683	0.0	62.0	100.0		Three-deoxy-D-manno-octulosonic-acid transferase domain-containing protein [Stenotrophomonas maltophilia JV3] (GT:30)
below_euphotic_200m_2979_0	gi|190013698|emb|CAQ47333.1|	63	279	0.885714285714	0.0	63.0	100.0		putative 3-deoxy-D-manno-octulosonic-acid transferase [Stenotrophomonas maltophilia K279a] (GT:30)
below_euphotic_200m_2979_0	gi|283472759|emb|CBA15264.1|	60	176	0.55873015873	0.0	60.0	100.0		probable 3-deoxy-d-manno-octulosonic-acid transferase protein [Xanthomonas albilineans GPE PC73] (GT:30)
below_euphotic_200m_7048_1	gi|254044080|gb|ACT60874.1|	97	260	0.43844856661	0.0	97.0	100.0		glycosyl transferase family 2 [Hirschia baltica ATCC 49814] (GT:2)
below_euphotic_200m_7048_1	gi|169811695|gb|ACA86279.1|	97	253	0.426644182125	0.0	97.0	100.0		glycosyl transferase family 2 [Shewanella woodyi ATCC 51908] (GT:2)
below_euphotic_200m_7048_1	gi|356882938|emb|CCD03957.1|	94	248	0.418212478921	0.0	94.0	100.0		putative Glycosyl transferase family 2 [Azospirillum brasilense Sp245] (GT:2)
below_euphotic_200m_2564_0	gi|218762037|gb|ACL04503.1|	236	566	0.438080495356	0.0	236.0	100.0		glycosyl transferase family 2 [Desulfatibacillum alkenivorans AK-01] (GT:2)
below_euphotic_200m_2564_0	gi|328452430|gb|AEB08259.1|	237	565	0.437306501548	0.0	237.0	100.0		glycosyl transferase family 2 [Desulfobacca acetoxidans DSM 11109] (GT:2)
below_euphotic_200m_2564_0	gi|116125297|gb|ABJ76568.1|	226	549	0.424922600619	0.0	226.0	100.0		Glycosyltransferase [Leptospira borgpetersenii serovar Hardjo-bovis str. JB197] (GT:2)
below_euphotic_200m_2564_0	gi|116120474|gb|ABJ78517.1|	226	549	0.424922600619	0.0	226.0	100.0		Glycosyltransferase [Leptospira borgpetersenii serovar Hardjo-bovis str. L550] (GT:2)
below_euphotic_200m_2564_0	gi|223693534|gb|ACN16817.1|	238	532	0.411764705882	0.0	238.0	100.0		glycosyl transferase family protein [Desulfobacterium autotrophicum HRM2] (GT:2)
below_euphotic_200m_7529_0	gi|357424489|emb|CBS87368.1|	213	607	0.562557924004	0.0	213.0	100.0		UDP-3-O-acyl N-acetylglucosamine deacetylase [Azospirillum lipoferum 4B] (CE:11)
below_euphotic_200m_7529_0	gi|347591158|gb|AEP10200.1|	214	599	0.555143651529	0.0	214.0	100.0		UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase [Micavibrio aeruginosavorus ARL-13] (CE:11)
below_euphotic_200m_7529_0	gi|469928639|gb|AGH98604.1|	214	598	0.55421686747	0.0	214.0	100.0		UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase [Micavibrio aeruginosavorus EPB] (CE:11)
below_euphotic_200m_7529_0	gi|356878170|emb|CCC99040.1|	213	593	0.549582947173	0.0	213.0	100.0		UDP-3-O-acyl N-acetylglucosamine deacetylase [Azospirillum brasilense Sp245] (CE:11)
below_euphotic_200m_7529_0	gi|288911238|dbj|BAI72727.1|	213	591	0.547729379055	0.0	213.0	100.0		UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase [Azospirillum sp. B510] (CE:11)
below_euphotic_200m_844_0	gi|238663457|emb|CAZ34341.1|	99	239	0.419298245614	0.0	99.0	100.0		Mername-AA021 peptidase (M24 family) [Schistosoma mansoni] (GT:27)
below_euphotic_200m_5901_0	gi|329125852|gb|AEB75797.1|	68	203	0.486810551559	0.0	68.0	100.0		GlcNAc-PI de-N-acetylase family protein [Clostridium botulinum BKT015925] (CE:14)
below_euphotic_200m_5901_0	gi|83756842|gb|ABC44955.1|	65	194	0.465227817746	0.0	65.0	100.0		hypothetical conserved protein [Salinibacter ruber DSM 13855] (CE:14)
below_euphotic_200m_5901_0	gi|169811285|gb|ACA85869.1|	68	177	0.424460431655	0.0	68.0	100.0		LmbE family protein [Shewanella woodyi ATCC 51908] (CE:14)
below_euphotic_200m_5901_0	gi|295320015|gb|ADG00393.1|	68	173	0.414868105516	0.0	68.0	100.0		N-acetylglucosaminylphosphatidylinositol deacetylase family protein [Clostridium botulinum F str. 230613] (CE:14)
below_euphotic_200m_5901_0	gi|152937138|gb|ABS42636.1|	68	173	0.414868105516	0.0	68.0	100.0		N-acetylglucosaminylphosphatidylinositol deacetylase family protein [Clostridium botulinum F str. Langeland] (CE:14)
below_euphotic_200m_6104_0	gi|28854070|gb|AAO57135.1|	76	244	0.555808656036	0.0	76.0	100.0		polysaccharide deacetylase family protein [Pseudomonas syringae pv. tomato str. DC3000] (CE:4)
below_euphotic_200m_6104_0	gi|500244039|gb|AGL86197.1|	76	237	0.53986332574	0.0	76.0	100.0		polysaccharide deacetylase family protein [Pseudomonas protegens CHA0] (CE:4)
below_euphotic_200m_6104_0	gi|68346015|gb|AAY93621.1|	76	237	0.53986332574	0.0	76.0	100.0		putative urate catabolism protein [Pseudomonas protegens Pf-5] (CE:4)
below_euphotic_200m_6104_0	gi|332173278|gb|AEE22532.1|	68	236	0.537585421412	0.0	68.0	100.0		Chitin deacetylase [Glaciecola sp. 4H-3-7+YE-5] (CE:4)
below_euphotic_200m_6104_0	gi|109701310|gb|ABG41230.1|	68	233	0.530751708428	0.0	68.0	100.0		polysaccharide deacetylase [Pseudoalteromonas atlantica T6c] (CE:4)
below_euphotic_200m_2063_0	gi|161165711|emb|CAN97016.1|	178	540	0.539460539461	0.0	178.0	100.0		glycosyl hydrolase, family [Sorangium cellulosum So ce56] (GH:13)
below_euphotic_200m_2063_0	gi|441488844|gb|AGC45539.1|	169	469	0.468531468531	0.0	169.0	100.0		alpha amylase [Myxococcus stipitatus DSM 14675] (GH:13)
below_euphotic_200m_2063_0	gi|59744555|gb|AAW95970.1|	169	443	0.442557442557	0.0	169.0	100.0		Sequence 13533 from patent US 6833447 (GH:13)
below_euphotic_200m_2063_0	gi|108466964|gb|ABF92149.1|	169	443	0.442557442557	0.0	169.0	100.0		glycosyl hydrolase, family 13 [Myxococcus xanthus DK 1622] (GH:13)
below_euphotic_200m_2063_0	gi|337261061|gb|AEI67221.1|	169	439	0.438561438561	0.0	169.0	100.0		glucosyl hydrolase family protein [Myxococcus fulvus HW-1] (GH:13)
below_euphotic_200m_7569_1	gi|325180146|emb|CCA14548.1|	139	386	0.460071513707	0.0	139.0	100.0		proline iminopeptidase putative [Albugo laibachii Nc14] (GT:2)
