#query	target	q_length	bitscore	bsr	expect	aln_length	identity	ec	product
chlorophyllmax_130m_5060_0	gi|289533984|gb|ADD08331.1|	208	606	0.517948717949	0.0	208.0	100.0		glycosyl transferase family 2 [Aciduliprofundum boonei T469] (GT:2)
chlorophyllmax_130m_5060_0	gi|432135141|gb|AGB04410.1|	208	605	0.517094017094	0.0	208.0	100.0		glycosyl transferase [Aciduliprofundum sp. MAR08-339] (GT:2)
chlorophyllmax_130m_5060_0	gi|167042759|gb|ABZ07478.1|	212	468	0.4	0.0	212.0	100.0		putative glycosyl transferase [uncultured marine microorganism HF4000_ANIW137G21] (GT:2)
chlorophyllmax_130m_2851_0	gi|387160700|gb|AFJ55899.1|	104	502	0.87456445993	0.0	104.0	100.0		alginate lyase, putative [Pseudomonas fluorescens A506] (PL:7)
chlorophyllmax_130m_2851_0	gi|445202615|gb|AGE27824.1|	103	493	0.858885017422	0.0	103.0	100.0		alginate lyase [Pseudomonas poae RE*1-1-14] (PL:7)
chlorophyllmax_130m_2851_0	gi|359763373|gb|AEV65452.1|	104	440	0.766550522648	0.0	104.0	100.0		Alginate lyase precursor [Pseudomonas fluorescens F113] (PL:7)
chlorophyllmax_130m_2851_0	gi|327380402|gb|AEA71752.1|	104	436	0.759581881533	0.0	104.0	100.0		putative alginate lyase [Pseudomonas brassicacearum subsp. brassicacearum NFM421] (PL:7)
chlorophyllmax_130m_2851_0	gi|426270173|gb|AFY22250.1|	96	424	0.738675958188	0.0	96.0	100.0		alginate lyase [Pseudomonas sp. UW4] (PL:7)
chlorophyllmax_130m_3620_0	gi|147846684|emb|CAN80640.1|	88	217	0.420542635659	0.0	88.0	100.0		hypothetical protein VITISV_016911 [Vitis vinifera] (GT:47)
chlorophyllmax_130m_903_0	gi|339732360|emb|CAZ95628.1|	183	580	0.55822906641	0.0	183.0	100.0		Beta-glucosidase, family GH1 [Zobellia galactanivorans] (GH:1)
chlorophyllmax_130m_903_0	gi|319421016|gb|ADV48125.1|	183	557	0.536092396535	0.0	183.0	100.0		broad-specificity cellobiase [Cellulophaga algicola DSM 14237] (GH:1)
chlorophyllmax_130m_903_0	gi|294982509|gb|ADF52974.1|	183	551	0.53031761309	0.0	183.0	100.0		beta-glucosidase [Zunongwangia profunda SM-A87] (GH:1)
