ORF_ID	ORF_length	start	end	Contig_Name	Contig_length	strand	ec	taxonomy	product
chlorophyllmax_130m_558_0	440	1	441	chlorophyllmax_130m_558	442	+		all	hypothetical protein
chlorophyllmax_130m_559_0	752	2	754	chlorophyllmax_130m_559	755	+		Bacteria	protein unknown function DUF224 cysteine-rich region domain
chlorophyllmax_130m_2879_0	254	2	256	chlorophyllmax_130m_2879	257	-		all	hypothetical protein
chlorophyllmax_130m_550_0	470	1	471	chlorophyllmax_130m_550	570	-		all	hypothetical protein
chlorophyllmax_130m_551_0	77	2	79	chlorophyllmax_130m_551	784	-		all	hypothetical protein
chlorophyllmax_130m_551_1	602	116	718	chlorophyllmax_130m_551	784	-		all	hypothetical protein
chlorophyllmax_130m_552_0	770	2	772	chlorophyllmax_130m_552	773	-		all	hypothetical protein
chlorophyllmax_130m_553_0	140	65	205	chlorophyllmax_130m_553	748	-		all	hypothetical protein
chlorophyllmax_130m_553_1	227	202	429	chlorophyllmax_130m_553	748	-		all	hypothetical protein
chlorophyllmax_130m_553_2	125	426	551	chlorophyllmax_130m_553	748	-		all	hypothetical protein
chlorophyllmax_130m_554_0	656	2	658	chlorophyllmax_130m_554	763	-	2.6.1.62	Bacillus/Clostridium group	bioA adenosylmethionine-8-amino-7-oxononanoate transaminase (EC:2.6.1.62) K00833 aminotransferase
chlorophyllmax_130m_555_0	542	26	568	chlorophyllmax_130m_555	579	-		all	hypothetical protein
chlorophyllmax_130m_556_0	422	3	425	chlorophyllmax_130m_556	746	-		all	hypothetical protein
chlorophyllmax_130m_557_0	638	1	639	chlorophyllmax_130m_557	852	+		all	hypothetical protein
chlorophyllmax_130m_557_1	209	642	851	chlorophyllmax_130m_557	852	+		all	hypothetical protein
chlorophyllmax_130m_5068_0	68	460	528	chlorophyllmax_130m_5068	529	-		all	hypothetical protein
chlorophyllmax_130m_5069_0	125	3	128	chlorophyllmax_130m_5069	939	-		all	hypothetical protein
chlorophyllmax_130m_5069_1	467	168	635	chlorophyllmax_130m_5069	939	+		all	hypothetical protein
chlorophyllmax_130m_5062_0	767	2	769	chlorophyllmax_130m_5062	769	+		all	hypothetical protein
chlorophyllmax_130m_5063_0	356	1	357	chlorophyllmax_130m_5063	943	+		all	hypothetical protein
chlorophyllmax_130m_5060_0	659	2	661	chlorophyllmax_130m_5060	930	+		all	glycosyl transferase family 2
chlorophyllmax_130m_5060_1	251	662	913	chlorophyllmax_130m_5060	930	-		all	hypothetical protein
chlorophyllmax_130m_5061_0	554	248	802	chlorophyllmax_130m_5061	942	+		"Alphabacteria" Cavalier-Smith 1992	ABC-type transport system involved cytochrome c biogenesis, permease component K02195 heme exporter protein C
chlorophyllmax_130m_5066_0	596	1	597	chlorophyllmax_130m_5066	1028	+		all	hypothetical protein
chlorophyllmax_130m_5067_0	818	2	820	chlorophyllmax_130m_5067	954	+		all	hypothetical protein
chlorophyllmax_130m_5064_0	242	13	255	chlorophyllmax_130m_5064	914	+		Bacteria	Putative cytoplasmic protein
chlorophyllmax_130m_5064_1	662	252	914	chlorophyllmax_130m_5064	914	+		'Bradyrhizobiaceae'	fdrA putative FdrA
chlorophyllmax_130m_5065_0	653	1	654	chlorophyllmax_130m_5065	932	-		all	putative enoyl-CoA isomerase
chlorophyllmax_130m_5065_1	188	743	931	chlorophyllmax_130m_5065	932	+		all	hypothetical protein
chlorophyllmax_130m_2870_0	185	2	187	chlorophyllmax_130m_2870	468	-		all	hypothetical protein
chlorophyllmax_130m_2870_1	272	194	466	chlorophyllmax_130m_2870	468	-		all	hypothetical protein
chlorophyllmax_130m_2871_0	119	444	563	chlorophyllmax_130m_2871	579	-		all	hypothetical protein
chlorophyllmax_130m_2872_0	260	2	262	chlorophyllmax_130m_2872	602	-		all	hypothetical protein
chlorophyllmax_130m_2873_0	137	167	304	chlorophyllmax_130m_2873	305	+		all	hypothetical protein
chlorophyllmax_130m_2874_0	284	2	286	chlorophyllmax_130m_2874	301	-		ATCC 27126	RND family efflux transporter
chlorophyllmax_130m_2875_0	761	1	762	chlorophyllmax_130m_2875	956	+		all	hypothetical protein
chlorophyllmax_130m_2876_0	230	1	231	chlorophyllmax_130m_2876	232	+		all	hypothetical protein
chlorophyllmax_130m_1523_0	269	1	270	chlorophyllmax_130m_1523	615	-		all	hypothetical protein
chlorophyllmax_130m_1523_1	170	445	615	chlorophyllmax_130m_1523	615	-		all	hypothetical protein
chlorophyllmax_130m_1522_0	350	1	351	chlorophyllmax_130m_1522	351	+		all	hypothetical protein
chlorophyllmax_130m_1521_0	647	3	650	chlorophyllmax_130m_1521	650	-		all	hypothetical protein
chlorophyllmax_130m_1520_0	302	1	303	chlorophyllmax_130m_1520	303	+		all	hypothetical protein
chlorophyllmax_130m_1527_0	335	18	353	chlorophyllmax_130m_1527	975	+		all	hypothetical protein
chlorophyllmax_130m_1527_1	260	285	545	chlorophyllmax_130m_1527	975	-		all	hypothetical protein
chlorophyllmax_130m_1526_0	368	2	370	chlorophyllmax_130m_1526	660	-	3.1.26.4	Bacilli	rnhB ribonuclease HII (EC:3.1.26.4) K03470
chlorophyllmax_130m_1525_0	557	1	558	chlorophyllmax_130m_1525	558	-		all	hypothetical protein
chlorophyllmax_130m_1524_0	422	3	425	chlorophyllmax_130m_1524	425	+		all	hypothetical protein
chlorophyllmax_130m_1529_0	287	2	289	chlorophyllmax_130m_1529	515	+		Candidatus Nitrosopumilus maritimus SCM1	coiled coil protein K07220
chlorophyllmax_130m_1528_0	71	254	325	chlorophyllmax_130m_1528	326	+		all	hypothetical protein
