#query	target	q_length	bitscore	bsr	expect	aln_length	identity	ec	product
upper_euphotic_70m_8057_0	gi|292664173|gb|ADE39274.1|	273	940	0.591194968553	0.0	273.0	100.0		Membrane carboxypeptidase/penicillin-binding protein [Candidatus Puniceispirillum marinum IMCC1322] (GT:51)
upper_euphotic_70m_2367_0	gi|295149005|gb|ADF81003.1|	108	299	0.516407599309	0.0	108.0	100.0		glycosyltransferase group I [Vibrio cholerae] (GT:4)
upper_euphotic_70m_2367_0	gi|253783240|emb|CAQ86405.1|	107	290	0.500863557858	0.0	107.0	100.0		wbph (probable glycosyltransferase wbph) [Photorhabdus asymbiotica] (GT:4)
upper_euphotic_70m_2367_0	gi|211638565|emb|CAR67186.1|	107	290	0.500863557858	0.0	107.0	100.0		wbph (probable glycosyltransferase wbph) [Photorhabdus asymbiotica subsp. asymbiotica ATCC 43949] (GT:4)
upper_euphotic_70m_2367_0	gi|36788055|emb|CAE17175.1|	107	289	0.499136442142	0.0	107.0	100.0		WblG protein [Photorhabdus luminescens subsp. laumondii TTO1] (GT:4)
upper_euphotic_70m_2367_0	gi|20559975|gb|AAM27733.1|AF498412_15	100	283	0.488773747841	0.0	100.0	100.0		ORF_15; similar to Glycosyl transferases group 1 [Pseudomonas aeruginosa] (GT:4)
upper_euphotic_70m_7670_0	gi|57233159|gb|AAW48153.1|	171	472	0.494758909853	0.0	171.0	100.0		LPS? [Cyanophage P-SSM2] (GT:2)
upper_euphotic_70m_7670_0	gi|508552000|gb|AGN12333.1|	171	472	0.494758909853	0.0	171.0	100.0		hypothetical protein PRTG_00180 [Prochlorococcus phage P-SSM5] (GT:2)
upper_euphotic_70m_8486_0	gi|84787262|gb|ABC63444.1|	106	335	0.592920353982	0.0	106.0	100.0		membrane carboxypeptidase [Erythrobacter litoralis HTCC2594] (GT:51)
upper_euphotic_70m_8486_0	gi|333939684|emb|CCA93042.1|	101	260	0.46017699115	0.0	101.0	100.0		penicillin-binding protein 1A [Novosphingobium sp. PP1Y] (GT:51)
upper_euphotic_70m_8486_0	gi|87136011|gb|ABD26753.1|	107	253	0.447787610619	0.0	107.0	100.0		Peptidoglycan glycosyltransferase [Novosphingobium aromaticivorans DSM 12444] (GT:51)
upper_euphotic_70m_5074_0	gi|292664736|gb|ADE39837.1|	166	483	0.544532130778	0.0	166.0	100.0		Bax protein (hydrolyses peptidoglycan) [Candidatus Puniceispirillum marinum IMCC1322] (GH:73)
upper_euphotic_70m_1367_0	gi|169757571|gb|ACA70887.1|	125	298	0.470031545741	0.0	125.0	100.0		penicillin-binding protein, 1A family [Pseudomonas putida W619] (GT:51)
