orf_id	ref dbname	EC	product	value
chlorophyllmax_130m_559_0				
	EggNog_v3_2013_08_07		DIP2133 http://www.ncbi.nlm.nih.gov/protein/38234682  Similar to many eg. Mycobacterium tuberculosis 95.5 kDa protein Rv0338c or MT0352 MTCY279.05C TR:O33268 (EMBL:Z97991) (882 aa) fasta scores: E(): 2.4e-55, 43.1% id 877 aa. N-terminal region appears be possible membrane-spanning hydrophobic regions while C-terminal rich proline alanine.	39.0
	RefSeq_complete_nr_v62_dec2013		putative respiratory nitrate reductase, gamma subunit [Desulfitobacterium hafniense]	8.0
	COG_2013-12-27		COG0247 # C Energy production conversion Function: Fe-S oxidoreductase Organism: Deinococcus radiodurans (Dra)	13.0
	seed-2014-01-30		Fe-S oxidoreductase [Corallococcus coralloides DSM 2259]	6.0
	KEGG_pep_2013		protein unknown function DUF224 cysteine-rich region domain	6.0

chlorophyllmax_130m_554_0				
	EggNog_v3_2013_08_07		http://www.ncbi.nlm.nih.gov/protein/120601739 adenosylmethionine-8-amino-7-oxononanoate aminotransferase TIGRFAM: PFAM: aminotransferase class-III KEGG: dvu:DVU2559 adenosylmethionine--8-amino-7-oxononanoate	9.0
	RefSeq_complete_nr_v62_dec2013		adenosylmethionine-8-amino-7-oxononanoate transaminase [Veillonella atypica]	4.0
	COG_2013-12-27		COG0161 # H Coenzyme transport metabolism Function: Adenosylmethionine-8-amino-7-oxononanoate aminotransferase Organism: Staphylococcus aureus N315 (Sau)	14.0
	seed-2014-01-30	2.6.1.62	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62) [Acetonema longum DSM 6540]	18.0
	metacyc-v5-2011-10-21	2.6.1.62	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase OS Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 JAL-1 JCM 10045 NBRC 100440) GN bioA PE 3 SV 2 # UNIPROT Q58696 DAPASYN-RXN 2.6.1.62	37.0
	KEGG_pep_2013	2.6.1.62	bioA adenosylmethionine-8-amino-7-oxononanoate transaminase (EC:2.6.1.62) K00833 aminotransferase [EC:2.6.1.62]	17.0

chlorophyllmax_130m_5060_0	CAZy_2013-07-13		glycosyl transferase family 2 [Aciduliprofundum boonei T469] (GT:2)	8.0
	RefSeq_complete_nr_v62_dec2013		glycosyl transferase family 2 [Aciduliprofundum boonei]	6.0
