#query	target	q_length	bitscore	bsr	expect	aln_length	identity	ec	product
omz_770m_596_0	gi|497908636|ref|WP_010222792.1|	306	1547	0.947916666667	0.0	306.0	100.0		acetyl-CoA carboxylase subunit alpha [Pseudomonas sp. HYS]
omz_770m_596_0	gi|496899533|ref|WP_009402468.1|	306	1543	0.945465686275	0.0	306.0	100.0		pyruvate carboxylase subunit A [Pseudomonas putida]
omz_770m_596_0	gi|489322360|ref|WP_003229679.1|	306	1538	0.942401960784	0.0	306.0	100.0		acetyl-CoA carboxylase subunit alpha [Pseudomonas fluorescens]
omz_770m_596_0	gi|491830779|ref|WP_005621892.1|	306	1534	0.939950980392	0.0	306.0	100.0		hypothetical protein, partial [Pseudomonas avellanae]
omz_770m_596_0	gi|494462723|ref|WP_007252274.1|	306	1533	0.939338235294	0.0	306.0	100.0		pyruvate carboxylase subunit A, partial [Pseudomonas syringae group genomosp. 3]
omz_770m_1642_0	gi|498194829|ref|WP_010508985.1|	289	1454	0.982432432432	0.0	289.0	100.0		hypothetical protein [SAR324 cluster bacterium SCGC AAA001-C10]
omz_770m_9030_0	gi|498194891|ref|WP_010509047.1|	286	1452	0.897959183673	0.0	286.0	100.0		hypothetical protein [SAR324 cluster bacterium SCGC AAA001-C10]
omz_770m_10343_0	gi|498196832|ref|WP_010510988.1|	297	1447	0.935358758888	0.0	297.0	100.0		carbamoyl-phosphate synthase L chain, ATP-binding protein, partial [SAR324 cluster bacterium SCGC AAA001-C10]
omz_770m_5403_0	gi|498194829|ref|WP_010508985.1|	286	1446	0.953197099539	0.0	286.0	100.0		hypothetical protein [SAR324 cluster bacterium SCGC AAA001-C10]
omz_770m_4645_0	gi|497907613|ref|WP_010221769.1|	303	1435	0.852137767221	0.0	303.0	100.0		decarboxylase [Pseudomonas sp. HYS]
omz_770m_7915_0	gi|496225703|ref|WP_008939738.1|	292	1425	0.915221579961	0.0	292.0	100.0		DNA-dependent helicase II [Marinobacter santoriniensis]
