#query	target	q_length	bitscore	bsr	expect	aln_length	identity	ec	product
chlorophyllmax_130m_554_0	BS_bioA	211	563	0.477928692699	0.0	211.0	100.0		COG0161 # Func_class: H Coenzyme transport and metabolism # Function: Adenosylmethionine-8-amino-7-oxononanoate aminotransferase # Organism: Bacillus subtilis (Bsu)
chlorophyllmax_130m_559_0	DR2565	248	557	0.40716374269	0.0	248.0	100.0		COG0247 # Func_class: C Energy production and conversion # Function: Fe-S oxidoreductase # Organism: Deinococcus radiodurans (Dra)
chlorophyllmax_130m_554_0	SA2214	215	555	0.471137521222	0.0	215.0	100.0		COG0161 # Func_class: H Coenzyme transport and metabolism # Function: Adenosylmethionine-8-amino-7-oxononanoate aminotransferase # Organism: Staphylococcus aureus N315 (Sau)
chlorophyllmax_130m_554_0	BH0782	168	541	0.459252971138	0.0	168.0	100.0		COG0161 # Func_class: H Coenzyme transport and metabolism # Function: Adenosylmethionine-8-amino-7-oxononanoate aminotransferase # Organism: Bacillus halodurans (Bha)
chlorophyllmax_130m_554_0	aq_170	207	541	0.459252971138	0.0	207.0	100.0		COG0161 # Func_class: H Coenzyme transport and metabolism # Function: Adenosylmethionine-8-amino-7-oxononanoate aminotransferase # Organism: Aquifex aeolicus (Aae)
chlorophyllmax_130m_554_0	MJ1300	212	533	0.45246179966	0.0	212.0	100.0		COG0161 # Func_class: H Coenzyme transport and metabolism # Function: Adenosylmethionine-8-amino-7-oxononanoate aminotransferase # Organism: Methanococcus jannaschii (Mja)
chlorophyllmax_130m_1526_0	L0320	122	267	0.433441558442	0.0	122.0	100.0		COG0164 # Func_class: L Replication, recombination and repair # Function: Ribonuclease HII # Organism: Lactococcus lactis (Lla)
chlorophyllmax_130m_1526_0	BS_rnh	122	263	0.426948051948	0.0	122.0	100.0		COG0164 # Func_class: L Replication, recombination and repair # Function: Ribonuclease HII # Organism: Bacillus subtilis (Bsu)
chlorophyllmax_130m_5064_0	STM0530	80	260	0.629539951574	0.0	80.0	100.0		NULL # Func_class: C Energy production and conversion # Function: Succinyl-CoA synthetase, alpha subunit # Organism: Salmonella typhimurium LT2 (Sty)
chlorophyllmax_130m_5064_0	ECs0581	79	259	0.627118644068	0.0	79.0	100.0		NULL # Func_class: C Energy production and conversion # Function: Succinyl-CoA synthetase, alpha subunit # Organism: Escherichia coli O157:H7 (Ecs)
chlorophyllmax_130m_5064_0	ZylbE	79	259	0.627118644068	0.0	79.0	100.0		NULL # Func_class: C Energy production and conversion # Function: Malate/L-lactate dehydrogenases # Organism: Escherichia coli O157:H7 EDL933 (EcZ)
chlorophyllmax_130m_5064_0	ylbE	79	259	0.627118644068	0.0	79.0	100.0		NULL # Func_class: C Energy production and conversion # Function: Malate/L-lactate dehydrogenases # Organism: Escherichia coli K12 (Eco)
chlorophyllmax_130m_1526_0	SPy1162	125	256	0.415584415584	0.0	125.0	100.0		COG0164 # Func_class: L Replication, recombination and repair # Function: Ribonuclease HII # Organism: Streptococcus pyogenes M1 GAS (Spy)
chlorophyllmax_130m_4215_0	SMc03251	261	742	0.545989698308	0.0	261.0	100.0		COG3367 # Func_class: S Function unknown # Function: Uncharacterized conserved protein # Organism: Sinorhizobium meliloti (Sme)
chlorophyllmax_130m_5526_0	SMc04385	219	670	0.575107296137	0.0	219.0	100.0		COG1012 # Func_class: C Energy production and conversion # Function: NAD-dependent aldehyde dehydrogenases # Organism: Sinorhizobium meliloti (Sme)
chlorophyllmax_130m_5526_0	mll2867	220	649	0.557081545064	0.0	220.0	100.0		COG1012 # Func_class: C Energy production and conversion # Function: NAD-dependent aldehyde dehydrogenases # Organism: Mesorhizobium loti (Mlo)
chlorophyllmax_130m_5526_0	AGl1402	219	647	0.555364806867	0.0	219.0	100.0		COG1012 # Func_class: C Energy production and conversion # Function: NAD-dependent aldehyde dehydrogenases # Organism: Agrobacterium tumefaciens strain C58 (Cereon) (Atu)
chlorophyllmax_130m_5526_0	CC1216	219	647	0.555364806867	0.0	219.0	100.0		COG1012 # Func_class: C Energy production and conversion # Function: NAD-dependent aldehyde dehydrogenases # Organism: Caulobacter vibrioides (Ccr)
