orf_id	CAZy_2013-07-13(EC) 	CAZy_2013-07-13(product)	CAZy_2013-07-13(value)	EggNog_v3_2013_08_07(EC) 	EggNog_v3_2013_08_07(product)	EggNog_v3_2013_08_07(value)	RefSeq_complete_nr_v62_dec2013(EC) 	RefSeq_complete_nr_v62_dec2013(product)	RefSeq_complete_nr_v62_dec2013(value)	COG_2013-12-27(EC) 	COG_2013-12-27(product)	COG_2013-12-27(value)	seed-2014-01-30(EC) 	seed-2014-01-30(product)	seed-2014-01-30(value)	metacyc-v5-2011-10-21(EC) 	metacyc-v5-2011-10-21(product)	metacyc-v5-2011-10-21(value)	KEGG_pep_2013(EC) 	KEGG_pep_2013(product)	KEGG_pep_2013(value)
upper_euphotic_70m_1982_0					infB http://www.ncbi.nlm.nih.gov/protein/82700911 translation initiation factor IF-2 Protects formylmethionyl-tRNA from spontaneous hydrolysis promotes its binding to 30S ribosomal subunits during protein synthesis. Also involved GTP formation 70S complex	26.0		translation initiation factor IF-2 [Magnetospirillum sp. SO-1]	7.0		COG0532 # J Translation, ribosomal structure biogenesis Function: Translation initiation factor 2 (IF-2 GTPase) Organism: Agrobacterium tumefaciens strain C58 (Cereon) (Atu)	21.0		Translation initiation factor 2 [Acetobacter pasteurianus NBRC 101655]	8.0					mitochondrial translational initiation factor, putative K02519 translation factor IF-2	9.0
upper_euphotic_70m_1986_1								SAM-dependent methyltransferase PhcB [Erythrobacter sp. SD-21]	6.0					Bll2645 protein [Erythrobacter sp. SD-21]	4.0						
upper_euphotic_70m_1188_0					http://www.ncbi.nlm.nih.gov/protein/91790934 mandelate racemase/muconate lactonizing enzyme	5.0		mandelate racemase/muconate lactonizing enzyme [Methylobacterium mesophilicum]	6.0					mandelate racemase/muconate lactonizing enzyme [alpha proteobacterium BAL199]	7.0					mandelate racemase/muconate lactonizing enzyme	4.0
upper_euphotic_70m_1181_0					metG http://www.ncbi.nlm.nih.gov/protein/124023178 methionyl-tRNA synthetase methionine--tRNA ligase MetRS adds methionine to tRNA(Met) cleavage ATP AMP diphosphate some MetRS enzymes form dimers depending C-terminal domain that also found other proteins such as Trbp111 Aquifex aeolicus cold-shock protein CsaA from Bacillus subtilis while others do not four subfamilies exist based sequence motifs zinc content	49.0		methionyl-tRNA synthetase [Cyanobium sp. PCC 7001]	6.0				6.1.1.10	Methionyl-tRNA synthetase (EC 6.1.1.10) [Cyanobium sp. PCC 7001]	18.0				6.1.1.10	metG methionyl-tRNA synthetase (EC:6.1.1.10) K01874 [EC:6.1.1.10]	16.0
upper_euphotic_70m_1181_1					SYNW1221 http://www.ncbi.nlm.nih.gov/protein/33865755 	2.0		 [Synechococcus sp. WH 7803]	4.0				1.1.1.3	Homoserine dehydrogenase (EC 1.1.1.3) [Synechococcus sp. RS9917]	17.0			
upper_euphotic_70m_1185_0								Molybdopterin oxidoreductase [marine gamma proteobacterium HTCC2143]	6.0					Anaerobic dehydrogenases, typically selenocysteine-containing [gamma proteobacterium KT 71]	8.0						
upper_euphotic_70m_4809_0					RPA1708 http://www.ncbi.nlm.nih.gov/protein/39934778 putative acyl-CoA dehydrogenase observed proteomics Citation: Proteomics from VerBerkmoes et al. (2003) unpublished	15.0		acyl-CoA dehydrogenase [Bradyrhizobium sp. STM 3809]	6.0				1.3.8.1	Acyl-CoA dehydrogenase, short-chain specific (EC 1.3.8.1) [Rhodopseudomonas palustris CGA009]	19.0						
upper_euphotic_70m_4808_0								 [SAR324 cluster bacterium SCGC AAA001-C10]	5.0					 [SAR324 cluster bacterium SCGC AAA001-C10]	5.0						
upper_euphotic_70m_4808_1								 [SAR324 cluster bacterium JCVI-SC AAA005]	5.0					 [SAR324 cluster bacterium JCVI-SC AAA005]	5.0						
upper_euphotic_70m_4801_1								ribosomal protein L11 methylase [SAR116 cluster alpha proteobacterium HIMB100]	8.0					Ribosomal protein L11 methyltransferase (EC 2.1.1.-) [SAR116 cluster alpha proteobacterium HIMB100]	10.0					ribosomal L11 methyltransferase (EC:2.1.1.-) K02687 protein [EC:2.1.1.-]	6.0
upper_euphotic_70m_4800_0					CADAORAP00007967 ensembl.org:CADAORAP00007967 CADAORAG00008131 annotation not avaliable	6.0		D-alanyl-D-alanine carboxypeptidase [Bradyrhizobium sp. DFCI-1]	5.0				1.14.13.22	Cyclohexanone monooxygenase (EC 1.14.13.22) [Nocardia higoensis NBRC 100133]	18.0				1.14.13.92	Phenylacetone monooxygenase (EC:1.14.13.92)	13.0
upper_euphotic_70m_4806_1					pepck http://www.ncbi.nlm.nih.gov/protein/113869646 phosphoenolpyruvate carboxykinase catalyzes phosphorylation decarboxylation oxaloacetate to form using GTP	12.0		phosphoenolpyruvate carboxykinase PckG [Janthinobacterium sp. HH01]	6.0		COG1274 # C Energy production conversion Function: Phosphoenolpyruvate carboxykinase (GTP) Organism: Mycobacterium tuberculosis H37Rv (Mtu)	15.0	4.1.1.32	Phosphoenolpyruvate carboxykinase [GTP] (EC 4.1.1.32) [Azospirillum amazonense Y2]	18.0				4.1.1.32	phosphoenolpyruvate carboxykinase (EC:4.1.1.32) K01596 (GTP) [EC:4.1.1.32]	16.0
upper_euphotic_70m_9663_0								ABC transporter permease [Nitrococcus mobilis]	5.0					L-proline glycine betaine binding ABC transporter protein ProX (TC 3.A.1.12.1) / Osmotic adaptation [Nitrococcus mobilis Nb-231]	15.0						
upper_euphotic_70m_9664_0														 [Prochlorococcus marinus bv. HNLC2]	4.0						
upper_euphotic_70m_9669_0					TTHA0865 http://www.ncbi.nlm.nih.gov/protein/55980834 NAD-dependent aldehyde dehydrogenase similar to GB:AAS80861.1 percent identity 99 515 aa	13.0		NAD-dependent aldehyde dehydrogenase [Thermus oshimai]	5.0				1.2.1.22	Aldehyde dehydrogenase B (EC 1.2.1.22) [Saccharothrix espanaensis DSM 44229]	19.0				1.2.1.3	aldehyde dehydrogenase (EC:1.2.1.3) K00128 (NAD+) [EC:1.2.1.3]	16.0
upper_euphotic_70m_1325_0					http://www.ncbi.nlm.nih.gov/protein/89056265 monooxygenase, FAD-binding	3.0		FAD binding domain protein [Brevundimonas diminuta]	5.0					 [Jannaschia sp. CCS1]	3.0					monooxygenase, FAD-binding	2.0
upper_euphotic_70m_1322_0								phosphoglycolate phosphatase [Polymorphum gilvum]	4.0										3.1.3.18	phosphoglycolate phosphatase, bacterial K01091 phosphatase [EC:3.1.3.18]	16.0
upper_euphotic_70m_1458_0					BF2609 http://www.ncbi.nlm.nih.gov/protein/53713901 GNAT family acetyltransferase similar to [Bacteroides thetaiotaomicron VPI-5482], percent identity 80 165 aa, BLASTP E(): 5e-76	18.0		replicative DNA helicase [Parabacteroides merdae]	5.0					Replicative DNA helicase (EC 3.6.1.-) [Prevotella stercorea DSM 18206]	9.0				3.6.4.12	primary replicative DNA helicase (EC:3.6.1.-) K02314 [EC:3.6.4.12]	17.0
upper_euphotic_70m_1458_1					http://www.ncbi.nlm.nih.gov/protein/146297807 replicative DNA helicase TIGRFAM: PFAM: DnaB domain protein helicase, N-terminal protein C-terminal SMART: AAA ATPase	14.0		replicative DNA helicase [Capnocytophaga sp. oral taxon 326]	8.0		COG0305 # L Replication, recombination repair Function: Replicative DNA helicase Organism: Streptococcus pyogenes M1 GAS (Spy)	16.0		Replicative DNA helicase (EC 3.6.1.-) [Flavobacterium columnare ATCC 49512]	9.0				3.6.4.12	dnaB replicative DNA helicase (EC:3.6.1.-) K02314 [EC:3.6.4.12]	17.0
upper_euphotic_70m_1328_1					BB1669 http://www.ncbi.nlm.nih.gov/protein/33600654 putative methyltransferase Similar to Neisseria gonorrhoeae DNA N-4 cytosine methyltransferase m.ngomxv SWALL:Q9AKV2 (EMBL:AJ004687) (153 aa) fasta scores: E(): 8.2e-28, 47.68% id 151 aa, Salmonella typhi sty1026 SWALL:Q8Z7X6 (EMBL:AL627268) (157 1.2e-39, 60.25% 156 aa	34.0		 [Acinetobacter sp. ANC 3862]	4.0					putative methyltransferase [Salmonella enterica subsp. serovar Typhi str. P-stx-12]	9.0					DNA N-4 cytosine methyltransferase M.NgoMXV	5.0
