#query	target	q_length	bitscore	bsr	expect	aln_length	identity	ec	product
upper_euphotic_70m_8300_0	gi|504808478|ref|WP_014995580.1|	316	1647	0.967685076381	0.0	316.0	100.0		Ser/Thr protein phosphatase [Alcanivorax dieselolei]
upper_euphotic_70m_9927_0	gi|497259357|ref|WP_009573574.1|	308	1493	0.921604938272	0.0	308.0	100.0		transposase [Celeribacter baekdonensis]
upper_euphotic_70m_2414_0	gi|496449238|ref|WP_009158083.1|	285	1472	0.908081431215	0.0	285.0	100.0		selenium binding protein [Thalassiobium sp. R2A62]
upper_euphotic_70m_2414_0	gi|495820736|ref|WP_008545315.1|	285	1457	0.898827884022	0.0	285.0	100.0		selenium binding protein [Candidatus Pelagibacter sp. HTCC7211]
upper_euphotic_70m_10028_0	gi|504809601|ref|WP_014996703.1|	297	1456	0.831050228311	0.0	297.0	100.0		alkane 1-monooxygenase [Alcanivorax dieselolei]
upper_euphotic_70m_10109_0	gi|504793568|ref|WP_014980670.1|	299	1456	0.989802855201	0.0	299.0	100.0		molecular chaperone GroEL [Alteromonas macleodii]
upper_euphotic_70m_10109_0	gi|504790648|ref|WP_014977750.1|	299	1452	0.987083616587	0.0	299.0	100.0		molecular chaperone GroEL [Alteromonas macleodii]
upper_euphotic_70m_10109_0	gi|504812889|ref|WP_014999991.1|	299	1451	0.986403806934	0.0	299.0	100.0		molecular chaperone GroEL [Alteromonas macleodii]
upper_euphotic_70m_7882_0	gi|496502837|ref|WP_009211120.1|	293	1421	0.917366042608	0.0	293.0	100.0		possible signaling protein with EAL, GGDEF domains [Aurantimonas manganoxydans]
upper_euphotic_70m_4946_0	gi|504806254|ref|WP_014993356.1|	297	1420	0.873308733087	0.0	297.0	100.0		cytochrome O ubiquinol oxidase [Alcanivorax dieselolei]
upper_euphotic_70m_4946_0	gi|496009921|ref|WP_008734500.1|	297	1416	0.870848708487	0.0	297.0	100.0		cytochrome O ubiquinol oxidase [Alcanivorax pacificus]
upper_euphotic_70m_2414_0	gi|495311577|ref|WP_008036325.1|	286	1396	0.861196792104	0.0	286.0	100.0		selenium-binding protein, putative [Rhodobacterales bacterium HTCC2255]
upper_euphotic_70m_4946_0	gi|504718423|ref|WP_014905525.1|	297	1390	0.854858548585	0.0	297.0	100.0		cytochrome O ubiquinol oxidase [Bordetella pertussis]
upper_euphotic_70m_9922_0	gi|497259867|ref|WP_009574084.1|	316	1388	0.838164251208	0.0	316.0	100.0		type VI secretion protein [Celeribacter baekdonensis]
upper_euphotic_70m_2414_0	gi|498123757|ref|WP_010437913.1|	284	1384	0.853793954349	0.0	284.0	100.0		selenium-binding protein, putative [Ruegeria sp. TW15]
upper_euphotic_70m_8292_0	gi|504766373|ref|WP_014953475.1|	266	1376	0.926599326599	0.0	266.0	100.0		dimethylglycine dehydrogenase [alpha proteobacterium HIMB5]
upper_euphotic_70m_4946_0	gi|496212555|ref|WP_008928686.1|	298	1370	0.842558425584	0.0	298.0	100.0		cytochrome O ubiquinol oxidase [Alcanivorax hongdengensis]
upper_euphotic_70m_2414_0	gi|495459692|ref|WP_008184384.1|	283	1361	0.839605181986	0.0	283.0	100.0		selenium-binding protein, putative [Rhodobacteraceae bacterium HTCC2150]
upper_euphotic_70m_3276_0	gi|497289743|ref|WP_009603960.1|	296	1355	0.910006715917	0.0	296.0	100.0		hypothetical protein [SAR116 cluster alpha proteobacterium HIMB100]
upper_euphotic_70m_8030_0	gi|485692747|ref|WP_001326604.1|	265	1349	0.985390796202	0.0	265.0	100.0		hypothetical protein, partial [Escherichia coli]
upper_euphotic_70m_8030_0	gi|485700594|ref|WP_001333842.1|	265	1349	0.985390796202	0.0	265.0	100.0		hypothetical protein, partial [Escherichia coli]
upper_euphotic_70m_8030_0	gi|485747255|ref|WP_001373581.1|	265	1349	0.985390796202	0.0	265.0	100.0		hypothetical protein [Escherichia coli]
upper_euphotic_70m_8030_0	gi|485773432|ref|WP_001397262.1|	265	1349	0.985390796202	0.0	265.0	100.0		outer membrane autotransporter barrel domain protein [Escherichia coli]
upper_euphotic_70m_8030_0	gi|485791351|ref|WP_001413236.1|	265	1349	0.985390796202	0.0	265.0	100.0		outer membrane autotransporter barrel domain protein [Escherichia coli]
upper_euphotic_70m_4946_0	gi|494801183|ref|WP_007536591.1|	297	1348	0.829028290283	0.0	297.0	100.0		cytochrome O ubiquinol oxidase [Rhizobium mesoamericanum]
upper_euphotic_70m_2742_0	gi|496226299|ref|WP_008940334.1|	304	1337	0.821757836509	0.0	304.0	100.0		pyruvate carboxylase subunit B [Marinobacter santoriniensis]
upper_euphotic_70m_3424_0	gi|498136219|ref|WP_010450375.1|	250	1336	0.832398753894	0.0	250.0	100.0		pyruvate dehydrogenase [Pseudomonas fuscovaginae]
upper_euphotic_70m_10109_0	gi|496121676|ref|WP_008846183.1|	299	1333	0.906186267845	0.0	299.0	100.0		60 kDa chaperonin [Glaciecola lipolytica]
upper_euphotic_70m_3424_0	gi|498150150|ref|WP_010464306.1|	250	1331	0.829283489097	0.0	250.0	100.0		pyruvate dehydrogenase [Pseudomonas mandelii]
upper_euphotic_70m_1857_0	gi|504806254|ref|WP_014993356.1|	254	1327	0.982962962963	0.0	254.0	100.0		cytochrome O ubiquinol oxidase [Alcanivorax dieselolei]
upper_euphotic_70m_9585_0	gi|497838347|ref|WP_010152503.1|	291	1322	0.77445811365	0.0	291.0	100.0		tRNA synthetase class II (D K and N) [SAR324 cluster bacterium JCVI-SC AAA005]
upper_euphotic_70m_10109_0	gi|495577520|ref|WP_008302099.1|	299	1319	0.896668932699	0.0	299.0	100.0		60 kDa chaperonin 2 [Glaciecola agarilytica]
upper_euphotic_70m_3424_0	gi|495271838|ref|WP_007996593.1|	250	1314	0.818691588785	0.0	250.0	100.0		pyruvate dehydrogenase E1 component, homodimeric type, partial [Pseudomonas sp. GM49]
upper_euphotic_70m_6022_0	gi|497240272|ref|WP_009554523.1|	284	1311	0.828174352495	0.0	284.0	100.0		photosystem II DI subunit, Q(B) protein [Oscillatoriales cyanobacterium JSC-12]
upper_euphotic_70m_4722_0	gi|496225455|ref|WP_008939490.1|	296	1305	0.884745762712	0.0	296.0	100.0		molecular chaperone DnaK [Marinobacter santoriniensis]
