#query	target	q_length	bitscore	bsr	expect	aln_length	identity	ec	product
chlorophyllmax_130m_5455_0	NATL1_19261	307	1588	0.976629766298	0.0	307.0	100.0		ureC ncbi.nlm.nih.gov:NATL1_19261|ncbi.nlm.nih.gov:YP_001015746.1|ncbi.nlm.nih.gov:ureC http://www.ncbi.nlm.nih.gov/protein/124026631 urease subunit alpha; ureases catalyze the hydrolysis of urea into ammonia and carbon dioxide; in Helicobacter pylori the ammonia released plays a key role in bacterial survival by neutralizing acids when colonizing the gastric mucosa; the holoenzyme is composed of 3 ureC (alpha) and 3 ureAB (gamma/beta) subunits
chlorophyllmax_130m_1915_0	Rfer_1806	319	1530	0.889018012783	0.0	319.0	100.0		Rfer_1806 ncbi.nlm.nih.gov:YP_523066.1|ncbi.nlm.nih.gov:Rfer_1806 http://www.ncbi.nlm.nih.gov/protein/89900595 bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase; catalyzes the conversion of citrate to isocitrate and the conversion of 2-methylaconitate to 2-methylisocitrate
chlorophyllmax_130m_1625_0	Rfer_1170	300	1515	0.898576512456	0.0	300.0	100.0		Rfer_1170 ncbi.nlm.nih.gov:YP_522437.1|ncbi.nlm.nih.gov:Rfer_1170 http://www.ncbi.nlm.nih.gov/protein/89899966 transposase IS66
chlorophyllmax_130m_1625_0	Rfer_3059	300	1515	0.898576512456	0.0	300.0	100.0		Rfer_3059 ncbi.nlm.nih.gov:YP_524300.1|ncbi.nlm.nih.gov:Rfer_3059 http://www.ncbi.nlm.nih.gov/protein/89901829 transposase IS66
chlorophyllmax_130m_1706_0	Rfer_3729	293	1504	0.847801578354	0.0	293.0	100.0		Rfer_3729 ncbi.nlm.nih.gov:YP_524960.1|ncbi.nlm.nih.gov:Rfer_3729 http://www.ncbi.nlm.nih.gov/protein/89902489 aminotransferase, class I and II
chlorophyllmax_130m_5461_0	NATL1_18851	294	1500	0.990099009901	0.0	294.0	100.0		rpoC1 ncbi.nlm.nih.gov:NATL1_18851|ncbi.nlm.nih.gov:YP_001015705.1|ncbi.nlm.nih.gov:rpoC1 http://www.ncbi.nlm.nih.gov/protein/124026590 DNA-directed RNA polymerase subunit gamma; DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
chlorophyllmax_130m_1942_0	Rfer_3893	301	1488	0.932915360502	0.0	301.0	100.0		Rfer_3893 ncbi.nlm.nih.gov:YP_525123.1|ncbi.nlm.nih.gov:Rfer_3893 http://www.ncbi.nlm.nih.gov/protein/89902652 diguanylate cyclase/phosphodiesterase with PAS/PAC sensor(s)
chlorophyllmax_130m_5455_0	Syncc9902_2257	306	1471	0.90467404674	0.0	306.0	100.0		ureC ncbi.nlm.nih.gov:Syncc9902_2257|ncbi.nlm.nih.gov:YP_378258.1|ncbi.nlm.nih.gov:ureC http://www.ncbi.nlm.nih.gov/protein/78185824 urease subunit alpha; ureases catalyze the hydrolysis of urea into ammonia and carbon dioxide; in Helicobacter pylori the ammonia released plays a key role in bacterial survival by neutralizing acids when colonizing the gastric mucosa; the holoenzyme is composed of 3 ureC (alpha) and 3 ureAB (gamma/beta) subunits
chlorophyllmax_130m_1615_0	Rfer_2192	306	1468	0.869153345175	0.0	306.0	100.0		Rfer_2192 ncbi.nlm.nih.gov:YP_523447.1|ncbi.nlm.nih.gov:Rfer_2192 http://www.ncbi.nlm.nih.gov/protein/89900976 Na+/solute symporter
chlorophyllmax_130m_5455_0	Syncc9605_2627	306	1458	0.89667896679	0.0	306.0	100.0		ureC ncbi.nlm.nih.gov:Syncc9605_2627|ncbi.nlm.nih.gov:YP_382907.1|ncbi.nlm.nih.gov:ureC http://www.ncbi.nlm.nih.gov/protein/78214128 urease subunit alpha; ureases catalyze the hydrolysis of urea into ammonia and carbon dioxide; in Helicobacter pylori the ammonia released plays a key role in bacterial survival by neutralizing acids when colonizing the gastric mucosa; the holoenzyme is composed of 3 ureC (alpha) and 3 ureAB (gamma/beta) subunits
chlorophyllmax_130m_2056_0	Rfer_1708	300	1456	0.899320568252	0.0	300.0	100.0		Rfer_1708 ncbi.nlm.nih.gov:YP_522968.1|ncbi.nlm.nih.gov:Rfer_1708 http://www.ncbi.nlm.nih.gov/protein/89900497 thiamine biosynthesis protein ThiC; required for the synthesis of the hydromethylpyrimidine moiety of thiamine
chlorophyllmax_130m_1761_0	Rfer_1791	290	1456	0.92210259658	0.0	290.0	100.0		Rfer_1791 ncbi.nlm.nih.gov:YP_523051.1|ncbi.nlm.nih.gov:Rfer_1791 http://www.ncbi.nlm.nih.gov/protein/89900580 peptidoglycan-binding LysM
chlorophyllmax_130m_5461_0	SynWH7803_2061	294	1446	0.954455445545	0.0	294.0	100.0		rpoC1 ncbi.nlm.nih.gov:SynWH7803_2061|ncbi.nlm.nih.gov:YP_001225784.1|ncbi.nlm.nih.gov:rpoC1 http://www.ncbi.nlm.nih.gov/protein/148240397 DNA-directed RNA polymerase subunit gamma; DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
chlorophyllmax_130m_5461_0	Syncc9605_2066	294	1440	0.950495049505	0.0	294.0	100.0		Syncc9605_2066 ncbi.nlm.nih.gov:YP_382361.1|ncbi.nlm.nih.gov:Syncc9605_2066 http://www.ncbi.nlm.nih.gov/protein/78213582 DNA-directed RNA polymerase subunit gamma; DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
