orf_id	ref dbname	EC	product	value
upper_euphotic_10m_4305_0				
	RefSeq_complete_nr_v62_dec2013		enoyl-CoA hydratase [Cupriavidus basilensis]	4.0
	seed-2014-01-30	4.2.1.17	Enoyl-CoA hydratase (EC 4.2.1.17) [Cupriavidus basilensis OR16]	17.0

upper_euphotic_10m_4306_0				
	RefSeq_complete_nr_v62_dec2013		protein-(glutamine-N5) methyltransferase, release factor-specific [SAR116 cluster alpha proteobacterium HIMB100]	9.0
	seed-2014-01-30		Protein-N(5)-glutamine methyltransferase PrmC, methylates polypeptide chain release factors RF1 RF2 [SAR116 cluster alpha proteobacterium HIMB100]	15.0

upper_euphotic_10m_4306_1				
	EggNog_v3_2013_08_07		prfA http://www.ncbi.nlm.nih.gov/protein/86359340 peptide chain release factor 1 recognizes termination signals UAG UAA during protein translation specificity which dependent amino acid residues residing loops L-shaped tRNA-like molecule RF1 this similar to 2	30.0
	RefSeq_complete_nr_v62_dec2013		peptide chain release factor 1, partial [Rhizobium sp. Pop5]	9.0
	COG_2013-12-27		COG0216 # J Translation, ribosomal structure biogenesis Function: Protein chain release factor A Organism: Agrobacterium tumefaciens strain C58 (Cereon) (Atu)	20.0
	seed-2014-01-30		Peptide chain release factor 1 [Acetobacter pasteurianus NBRC 101655]	9.0
	KEGG_pep_2013		pco064740 LOC100274396 K02835 peptide chain release factor 1	8.0

upper_euphotic_10m_1774_0				
	EggNog_v3_2013_08_07		http://www.ncbi.nlm.nih.gov/protein/113867301 GTPase	2.0
	RefSeq_complete_nr_v62_dec2013		GTPase [Cupriavidus sp. UYPR2.512]	4.0
	seed-2014-01-30		GTP-binding protein RBG1/RBG2 [Singulisphaera acidiphila DSM 18658]	6.0
	KEGG_pep_2013		GTPase (EC:3.6.1.-)	2.0

upper_euphotic_10m_7512_0				
	EggNog_v3_2013_08_07		RPA0489 http://www.ncbi.nlm.nih.gov/protein/39933566 ferredoxin II observed proteomics Citation: Proteomics from VerBerkmoes et al. (2003) unpublished	14.0
	RefSeq_complete_nr_v62_dec2013		4Fe-4S ferredoxin [alpha proteobacterium HIMB5]	5.0
