#query	target	q_length	bitscore	bsr	expect	aln_length	identity	ec	product
omz_770m_596_0	PFLU6071	306	1562	0.957107843137	0.0	306.0	100.0		accC ncbi.nlm.nih.gov:PFLU6071|ncbi.nlm.nih.gov:YP_002875552.1|ncbi.nlm.nih.gov:accC http://www.ncbi.nlm.nih.gov/protein/229593433 biotin carboxylase
omz_770m_596_0	PFL_6158	306	1547	0.947916666667	0.0	306.0	100.0		accC ncbi.nlm.nih.gov:PFL_6158|ncbi.nlm.nih.gov:YP_263216.1|ncbi.nlm.nih.gov:accC http://www.ncbi.nlm.nih.gov/protein/70733441 acetyl-CoA carboxylase subunit A; biotin carboxylase; catalyses the carboxylation of the carrier protein which then transfers the carboxyl group to form malonyl-CoA, which in turn controls the rate of fatty acid metabolism
omz_770m_596_0	Psyr_5061	306	1538	0.942401960784	0.0	306.0	100.0		Psyr_5061 ncbi.nlm.nih.gov:YP_238126.1|ncbi.nlm.nih.gov:Psyr_5061 http://www.ncbi.nlm.nih.gov/protein/66048285 acetyl-CoA carboxylase subunit A; biotin carboxylase; catalyses the carboxylation of the carrier protein which then transfers the carboxyl group to form malonyl-CoA, which in turn controls the rate of fatty acid metabolism
omz_770m_8204_0	Csal_1820	304	1538	0.930992736077	0.0	304.0	100.0		Csal_1820 ncbi.nlm.nih.gov:YP_573871.1|ncbi.nlm.nih.gov:Csal_1820 http://www.ncbi.nlm.nih.gov/protein/92113943 acetoacetyl-CoA synthetase; AcsA; in Sinorhizobium meliloti this enzyme is required for acetoacetate activation; similar to acetyl-CoA synthase
omz_770m_596_0	Pfl01_5640	306	1537	0.941789215686	0.0	306.0	100.0		Pfl01_5640 ncbi.nlm.nih.gov:YP_351367.1|ncbi.nlm.nih.gov:Pfl01_5640 http://www.ncbi.nlm.nih.gov/protein/77461860 acetyl-CoA carboxylase subunit A; biotin carboxylase; catalyses the carboxylation of the carrier protein which then transfers the carboxyl group to form malonyl-CoA, which in turn controls the rate of fatty acid metabolism
omz_770m_596_0	PSPPH_5143	306	1537	0.941789215686	0.0	306.0	100.0		PSPPH_5143 ncbi.nlm.nih.gov:YP_277220.1|ncbi.nlm.nih.gov:PSPPH_5143 http://www.ncbi.nlm.nih.gov/protein/71734435 acetyl-CoA carboxylase subunit A; biotin carboxylase; catalyses the carboxylation of the carrier protein which then transfers the carboxyl group to form malonyl-CoA, which in turn controls the rate of fatty acid metabolism
omz_770m_4645_0	PSEEN2055	304	1434	0.851543942993	0.0	304.0	100.0		PSEEN2055 ncbi.nlm.nih.gov:YP_607690.1|ncbi.nlm.nih.gov:PSEEN2055 http://www.ncbi.nlm.nih.gov/protein/104781192 decarboxylase; Evidence 3 : Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type e : enzyme
omz_770m_4645_0	PputW619_2241	304	1434	0.851543942993	0.0	304.0	100.0		PputW619_2241 ncbi.nlm.nih.gov:YP_001749110.1|ncbi.nlm.nih.gov:PputW619_2241 http://www.ncbi.nlm.nih.gov/protein/170721422 hypothetical protein; PFAM: conserved hypothetical protein; KEGG: pen:PSEEN2055 decarboxylase
omz_770m_4645_0	PFLU1619	303	1428	0.847980997625	0.0	303.0	100.0		PFLU1619 ncbi.nlm.nih.gov:YP_002871260.1|ncbi.nlm.nih.gov:PFLU1619 http://www.ncbi.nlm.nih.gov/protein/229589141 putative decarboxylase
omz_770m_4645_0	PP_3662	303	1425	0.846199524941	0.0	303.0	100.0		PP_3662 ncbi.nlm.nih.gov:NP_745798.1|ncbi.nlm.nih.gov:PP_3662 http://www.ncbi.nlm.nih.gov/protein/26990373 decarboxylase family protein; similar to GP:9950318; identified by sequence similarity; putative
