#query	target	q_length	bitscore	bsr	expect	aln_length	identity	ec	product
upper_euphotic_10m_7542_0	gi|504766431|ref|WP_014953533.1|	289	1521	0.964489537096	0.0	289.0	100.0		ammonium transporter [alpha proteobacterium HIMB5]
upper_euphotic_10m_7424_0	gi|504766482|ref|WP_014953584.1|	292	1407	0.90598840953	0.0	292.0	100.0		branched-chain amino acid ABC transporter permease [alpha proteobacterium HIMB5]
upper_euphotic_10m_650_0	gi|490545132|ref|WP_004410256.1|	298	1379	0.892556634304	0.0	298.0	100.0		transcription-repair coupling factor [Pseudomonas syringae]
upper_euphotic_10m_650_0	gi|490553262|ref|WP_004418369.1|	298	1379	0.892556634304	0.0	298.0	100.0		Transcription-repair coupling factor [Pseudomonas syringae]
upper_euphotic_10m_650_0	gi|496904890|ref|WP_009404629.1|	298	1375	0.88996763754	0.0	298.0	100.0		transcription-repair coupling factor [Pseudomonas putida]
upper_euphotic_10m_650_0	gi|497889659|ref|WP_010203815.1|	298	1375	0.88996763754	0.0	298.0	100.0		transcription-repair coupling factor, partial [Pseudomonas amygdali]
upper_euphotic_10m_650_0	gi|498142175|ref|WP_010456331.1|	298	1374	0.88932038835	0.0	298.0	100.0		transcription-repair coupling factor [Pseudomonas mandelii]
upper_euphotic_10m_913_0	gi|496226685|ref|WP_008940720.1|	333	1365	0.761293920803	0.0	333.0	100.0		glutamine synthetase, type I [Marinobacter santoriniensis]
upper_euphotic_10m_913_0	gi|496209957|ref|WP_008927502.1|	333	1357	0.75683212493	0.0	333.0	100.0		glutamine synthetase [Alcanivorax hongdengensis]
upper_euphotic_10m_913_0	gi|495760169|ref|WP_008484748.1|	333	1352	0.75404350251	0.0	333.0	100.0		glutamine synthetase [Gallaecimonas xiamenensis]
upper_euphotic_10m_913_0	gi|497412173|ref|WP_009726371.1|	333	1350	0.752928053542	0.0	333.0	100.0		glutamine synthetase [Methylophaga lonarensis]
upper_euphotic_10m_913_0	gi|504805885|ref|WP_014992987.1|	333	1347	0.751254880089	0.0	333.0	100.0		glutamine synthetase [Alcanivorax dieselolei]
upper_euphotic_10m_7617_0	gi|495794145|ref|WP_008518724.1|	289	1345	0.838528678304	0.0	289.0	100.0		phosphomethylpyrimidine synthase ThiC [alpha proteobacterium IMCC14465]
upper_euphotic_10m_5199_0	gi|504765771|ref|WP_014952873.1|	286	1342	0.849367088608	0.0	286.0	100.0		serine/threonine protein kinase [alpha proteobacterium HIMB5]
upper_euphotic_10m_2497_0	gi|495766566|ref|WP_008491145.1|	307	1334	0.852941176471	0.0	307.0	100.0		DNA-directed RNA polymerase, beta' subunit [SAR86 cluster bacterium SAR86E]
upper_euphotic_10m_6338_0	gi|495793341|ref|WP_008517920.1|	282	1333	0.940056417489	0.0	282.0	100.0		acriflavin resistance protein [alpha proteobacterium IMCC14465]
upper_euphotic_10m_1315_0	gi|496213158|ref|WP_008928917.1|	301	1322	0.772647574518	0.0	301.0	100.0		isoleucyl-tRNA synthetase [Alcanivorax hongdengensis]
upper_euphotic_10m_6213_0	gi|494951738|ref|WP_007677766.1|	296	1303	0.866932801065	0.0	296.0	100.0		ATP synthase beta chain [Cronobacter condimenti]
upper_euphotic_10m_2397_0	gi|497837631|ref|WP_010151787.1|	275	1303	0.936063218391	0.0	275.0	100.0		fad-dependent pyridine nucleotide-disulfide oxidoreductase, partial [SAR324 cluster bacterium JCVI-SC AAA005]
upper_euphotic_10m_6213_0	gi|485778118|ref|WP_001401369.1|	296	1301	0.865602129075	0.0	296.0	100.0		ATP synthase F1, beta subunit [Escherichia coli]
upper_euphotic_10m_6213_0	gi|495072875|ref|WP_007797700.1|	296	1300	0.864936793081	0.0	296.0	100.0		ATP synthase beta chain [Cronobacter malonaticus]
upper_euphotic_10m_6213_0	gi|495166227|ref|WP_007891025.1|	296	1300	0.864936793081	0.0	296.0	100.0		ATP synthase beta chain [Cronobacter sakazakii]
upper_euphotic_10m_6228_0	gi|496121458|ref|WP_008845965.1|	283	1298	0.844502277163	0.0	283.0	100.0		elongation factor G 2 [Glaciecola lipolytica]
upper_euphotic_10m_6213_0	gi|490292383|ref|WP_004187965.1|	296	1298	0.863606121091	0.0	296.0	100.0		F0F1 ATP synthase subunit beta [Klebsiella pneumoniae]
upper_euphotic_10m_2497_0	gi|490507392|ref|WP_004373432.1|	307	1294	0.8273657289	0.0	307.0	100.0		DNA-directed RNA polymerase subunit beta' [Pseudomonas mendocina]
upper_euphotic_10m_6024_0	gi|498000503|ref|WP_010314659.1|	294	1294	0.744962579159	0.0	294.0	100.0		photosystem I P700 chlorophyll a apoprotein A1, partial [Synechococcus sp. CB0205]
upper_euphotic_10m_2497_0	gi|497302911|ref|WP_009617128.1|	307	1293	0.826726342711	0.0	307.0	100.0		DNA-directed RNA polymerase subunit beta' [Pseudomonas sp. M1]
upper_euphotic_10m_1285_0	gi|497840435|ref|WP_010154591.1|	243	1293	0.929547088426	0.0	243.0	100.0		ABC transporter substrate-binding protein, partial [SAR324 cluster bacterium JCVI-SC AAA005]
upper_euphotic_10m_2497_0	gi|495843025|ref|WP_008567604.1|	307	1292	0.826086956522	0.0	307.0	100.0		DNA-directed RNA polymerase subunit beta' [Pseudomonas sp. Chol1]
upper_euphotic_10m_2497_0	gi|497411870|ref|WP_009726068.1|	307	1292	0.826086956522	0.0	307.0	100.0		DNA-directed RNA polymerase subunit beta' [Methylophaga lonarensis]
upper_euphotic_10m_6451_0	gi|497837303|ref|WP_010151459.1|	275	1291	0.949963208241	0.0	275.0	100.0		mammalian cell entry domain-containing protein [SAR324 cluster bacterium JCVI-SC AAA005]
upper_euphotic_10m_956_0	gi|495873988|ref|WP_008598567.1|	289	1284	0.844181459566	0.0	289.0	100.0		formate--tetrahydrofolate ligase [Nitratireductor pacificus]
upper_euphotic_10m_6232_0	gi|497836653|ref|WP_010150809.1|	267	1283	0.939926739927	0.0	267.0	100.0		dehydrogenase/oxidase [SAR324 cluster bacterium JCVI-SC AAA005]
upper_euphotic_10m_6228_0	gi|504810882|ref|WP_014997984.1|	285	1278	0.83148991542	0.0	285.0	100.0		elongation factor P [Alteromonas macleodii]
upper_euphotic_10m_5727_0	gi|496223143|ref|WP_008937178.1|	323	1273	0.744880046811	0.0	323.0	100.0		cytochrome b/b6 domain-containing protein [Marinobacter santoriniensis]
upper_euphotic_10m_7548_0	gi|504766391|ref|WP_014953493.1|	271	1271	0.826397919376	0.0	271.0	100.0		glycine cleavage system protein T [alpha proteobacterium HIMB5]
upper_euphotic_10m_6228_0	gi|504791795|ref|WP_014978897.1|	285	1270	0.826284970722	0.0	285.0	100.0		elongation factor P [Alteromonas macleodii]
upper_euphotic_10m_956_0	gi|493777236|ref|WP_006725690.1|	289	1269	0.834319526627	0.0	289.0	100.0		formate--tetrahydrofolate ligase [Agrobacterium albertimagni]
upper_euphotic_10m_6228_0	gi|498292730|ref|WP_010606886.1|	285	1269	0.825634352635	0.0	285.0	100.0		elongation factor P [Pseudoalteromonas flavipulchra]
