#query	target	q_length	bitscore	bsr	expect	aln_length	identity	ec	product
deepabyss_4000m_8913_0	gi|496591224|ref|WP_009288268.1|	322	1527	0.915467625899	0.0	322.0	100.0		Homoserine dehydrogenase [Halomonas titanicae]
deepabyss_4000m_10811_0	gi|497500069|ref|WP_009814267.1|	312	1468	0.912935323383	0.0	312.0	100.0		protein-export membrane protein SecD [Roseovarius nubinhibens]
deepabyss_4000m_2837_0	gi|504808750|ref|WP_014995852.1|	325	1464	0.793066088841	0.0	325.0	100.0		FAD-dependent oxidoreductase [Alcanivorax dieselolei]
deepabyss_4000m_3371_0	gi|496212225|ref|WP_008928600.1|	318	1414	0.831275720165	0.0	318.0	100.0		acetyl-CoA acetyltransferase [Alcanivorax hongdengensis]
deepabyss_4000m_2737_0	gi|496588870|ref|WP_009287368.1|	301	1406	0.889873417722	0.0	301.0	100.0		Bordetella uptake protein [Halomonas titanicae]
deepabyss_4000m_1084_0	gi|496009834|ref|WP_008734413.1|	279	1392	0.875471698113	0.0	279.0	100.0		alkaline phosphatase [Alcanivorax pacificus]
deepabyss_4000m_11003_0	gi|496165077|ref|WP_008889584.1|	304	1389	0.901948051948	0.0	304.0	100.0		NAD-dependent DNA ligase LigA [Thalassospira profundimaris]
deepabyss_4000m_3143_0	gi|496106437|ref|WP_008830944.1|	315	1384	0.870988042794	0.0	315.0	100.0		ATP-dependent protease La, partial [Sphingomonas sp. LH128]
deepabyss_4000m_2270_0	gi|494253430|ref|WP_007148738.1|	267	1382	0.800695249131	0.0	267.0	100.0		transcriptional regulator, AraC family protein [Alcanivorax sp. DG881]
deepabyss_4000m_6160_0	gi|504809175|ref|WP_014996277.1|	266	1374	0.835258358663	0.0	266.0	100.0		glutamate synthase subunit beta [Alcanivorax dieselolei]
deepabyss_4000m_7098_0	gi|496215647|ref|WP_008929889.1|	290	1369	0.925625422583	0.0	290.0	100.0		cyclohexadienyl dehydrogenase [Alcanivorax hongdengensis]
deepabyss_4000m_6160_0	gi|496209922|ref|WP_008927467.1|	266	1368	0.831610942249	0.0	266.0	100.0		glutamate synthase subunit beta [Alcanivorax hongdengensis]
deepabyss_4000m_10947_1	gi|495070030|ref|WP_007794855.1|	297	1365	0.895081967213	0.0	297.0	100.0		hypothetical protein [Pelagibaca bermudensis]
deepabyss_4000m_3136_0	gi|496223898|ref|WP_008937933.1|	300	1364	0.874919820398	0.0	300.0	100.0		hypothetical protein [Marinobacter santoriniensis]
