orf_id	ref dbname	EC	product	value
below_euphotic_200m_7274_0				
	EggNog_v3_2013_08_07		http://www.ncbi.nlm.nih.gov/protein/163845911 ABC transporter related PFAM: SMART: AAA ATPase KEGG: related	9.0
	RefSeq_complete_nr_v62_dec2013		iron ABC transporter ATP-binding protein [Parabacteroides goldsteinii]	6.0
	COG_2013-12-27		COG1120 # PH Function: ABC-type cobalamin/Fe3+-siderophores transport systems, ATPase components Organism: Nostoc sp. PCC 7120 (Nos)	16.0
	seed-2014-01-30		iron(III) ABC transporter, ATP-binding protein, putative [Prevotella stercorea DSM 18206]	10.0
	KEGG_pep_2013	3.6.3.25	ABC transporter-like (EC:3.6.3.25) K02013 iron complex transport system ATP-binding protein [EC:3.6.3.34]	20.0

below_euphotic_200m_7276_0				
	EggNog_v3_2013_08_07		hemC http://www.ncbi.nlm.nih.gov/protein/56461658 porphobilinogen deaminase transformation to hydroxymethylbilane porphyrin biosynthesis	9.0
	RefSeq_complete_nr_v62_dec2013		porphobilinogen deaminase HemC [Desulfotignum phosphitoxidans]	5.0
	COG_2013-12-27		COG0181 # H Coenzyme transport metabolism Function: Porphobilinogen deaminase Organism: Escherichia coli O157:H7 EDL933 (EcZ)	15.0
	seed-2014-01-30	2.5.1.61	Porphobilinogen deaminase (EC 2.5.1.61) [Alteromonas macleodii str. 'Black Sea 11']	20.0
	metacyc-v5-2011-10-21	2.5.1.61	Porphobilinogen deaminase OS Pelobacter carbinolicus (strain DSM 2380 / Gra Bd 1) GN hemC PE 3 SV 1 # UNIPROT Q3A009 OHMETHYLBILANESYN-RXN 2.5.1.61	33.0
	KEGG_pep_2013	2.5.1.61	hmbsb, PBGD, hmbsl, id:ibd5004, im:7140060, zgc:110690 hydroxymethylbilane synthase, b K01749 synthase [EC:2.5.1.61]	22.0

below_euphotic_200m_7277_0				
	RefSeq_complete_nr_v62_dec2013		phytanoyl-CoA dioxygenase [SAR324 cluster bacterium JCVI-SC AAA005]	7.0
	seed-2014-01-30		 [SAR324 cluster bacterium JCVI-SC AAA005]	5.0

below_euphotic_200m_7270_0				
	RefSeq_complete_nr_v62_dec2013		 [Turneriella parva]	2.0
	seed-2014-01-30		 [Turneriella parva DSM 21527]	4.0

below_euphotic_200m_7273_0				
	RefSeq_complete_nr_v62_dec2013		 [Schlesneria paludicola]	2.0
	seed-2014-01-30		 [Schlesneria paludicola DSM 18645]	4.0

below_euphotic_200m_7279_0				
	RefSeq_complete_nr_v62_dec2013		Uncharacterized hydrolase/peptidase y4tM [Mesorhizobium sp. STM 4661]	7.0
	seed-2014-01-30		Xaa-Pro aminopeptidase [Desulfosporosinus meridiei DSM 13257]	6.0

below_euphotic_200m_324_0				
	RefSeq_complete_nr_v62_dec2013		 [SAR202 cluster bacterium SCGC AAA240-N13]	5.0

below_euphotic_200m_1999_0				
	RefSeq_complete_nr_v62_dec2013		exported  [Nitrospina gracilis]	3.0

below_euphotic_200m_1998_1				
	EggNog_v3_2013_08_07		http://www.ncbi.nlm.nih.gov/protein/222056528 single-stranded-DNA-specific exonuclease RecJ TIGRFAM: PFAM: phosphoesterase RecJ domain protein DHHA1 KEGG:	10.0
	RefSeq_complete_nr_v62_dec2013		single-stranded-DNA-specific exonuclease RecJ [SAR324 cluster bacterium JCVI-SC AAA005]	8.0
	COG_2013-12-27		COG0608 # L Replication, recombination repair Function: Single-stranded DNA-specific exonuclease Organism: Staphylococcus aureus N315 (Sau)	15.0
	seed-2014-01-30		Single-stranded-DNA-specific exonuclease RecJ (EC 3.1.-.-) [Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1632]	11.0
	KEGG_pep_2013		recJ single-stranded-DNA-specific exonuclease RecJ K07462 [EC:3.1.-.-]	6.0

below_euphotic_200m_1997_0				
	RefSeq_complete_nr_v62_dec2013		 [Candidatus Poribacteria sp. WGA-4E]	4.0

below_euphotic_200m_1996_1				
	EggNog_v3_2013_08_07		purD http://www.ncbi.nlm.nih.gov/protein/57234407 phosphoribosylamine--glycine ligase catalyzes formation N(1)-(5-phospho-D-ribosyl)glycinamide from 5-phospho-D-ribosylamine glycine purine biosynthesis	12.0
	RefSeq_complete_nr_v62_dec2013		phosphoribosylamine--glycine ligase [Halobacillus sp. BAB-2008]	5.0
	COG_2013-12-27		COG0151 # F Nucleotide transport metabolism Function: Phosphoribosylamine-glycine ligase Organism: Neisseria meningitidis MC58 (Nme)	14.0
	seed-2014-01-30	6.3.4.13	Phosphoribosylamine--glycine ligase (EC 6.3.4.13) [Brevibacillus laterosporus LMG 15441]	18.0
	metacyc-v5-2011-10-21	6.3.4.13	Phosphoribosylamine--glycine ligase OS Nostoc sp. (strain PCC 7120 / UTEX 2576) GN purD PE 3 SV 1 # UNIPROT Q8YRD8 GLYRIBONUCSYN-RXN NSP103690:ALR3510-MONOMER 6.3.4.13	33.0
	KEGG_pep_2013	6.3.4.13	bifunctional purine biosynthetic protein (phosphoribosylamine-glycine ligase/phosphoribosylformylglycinamidine cyclo-ligase), putative (EC:6.3.4.13) K11788 phosphoribosylamine--glycine ligase / phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.4.13 6.3.3.1]	26.0

below_euphotic_200m_1992_0				
