ORF_ID	ORF_length	start	end	Contig_Name	Contig_length	strand	ec	taxonomy	product
below_euphotic_200m_7274_0	569	136	705	below_euphotic_200m_7274	707	+	3.6.3.25	Anabaena 7120	ABC transporter-like (EC:3.6.3.25) K02013 iron complex transport system ATP-binding protein
below_euphotic_200m_7275_0	539	331	870	below_euphotic_200m_7275	981	+		all	hypothetical protein
below_euphotic_200m_7276_0	734	15	749	below_euphotic_200m_7276	1036	-	2.5.1.61	Gammaproteobacteria	hmbsb, PBGD, hmbsl, id:ibd5004, im:7140060, zgc:110690 hydroxymethylbilane synthase, b K01749 synthase
below_euphotic_200m_7276_1	278	756	1034	below_euphotic_200m_7276	1036	-		all	hypothetical protein
below_euphotic_200m_7277_0	473	2	475	below_euphotic_200m_7277	1002	+		SAR324 cluster bacterium JCVI-SC AAA005	
below_euphotic_200m_7270_0	752	41	793	below_euphotic_200m_7270	1041	-		"Turneria parva" (Hovind-Hougen et al. 1982) Hookey et al. 1993	
below_euphotic_200m_7271_0	302	2	304	below_euphotic_200m_7271	616	-		all	hypothetical protein
below_euphotic_200m_7271_1	236	378	614	below_euphotic_200m_7271	616	-		all	hypothetical protein
below_euphotic_200m_7272_0	782	63	845	below_euphotic_200m_7272	845	-		all	hypothetical protein
below_euphotic_200m_7273_0	332	3	335	below_euphotic_200m_7273	807	-		Schlesneria paludicola DSM 18645	
below_euphotic_200m_7278_0	929	16	945	below_euphotic_200m_7278	945	-		all	hypothetical protein
below_euphotic_200m_7279_0	908	18	926	below_euphotic_200m_7279	1004	+		Mesorhizobium alhagi CCNWXJ12-2	Xaa-Pro aminopeptidase
below_euphotic_200m_320_0	356	2	358	below_euphotic_200m_320	842	+		all	hypothetical protein
below_euphotic_200m_320_1	407	434	841	below_euphotic_200m_320	842	+		all	hypothetical protein
below_euphotic_200m_321_0	827	1	828	below_euphotic_200m_321	829	-		all	hypothetical protein
below_euphotic_200m_322_0	188	311	499	below_euphotic_200m_322	804	-		all	hypothetical protein
below_euphotic_200m_323_0	695	55	750	below_euphotic_200m_323	857	+		all	hypothetical protein
below_euphotic_200m_324_0	275	1	276	below_euphotic_200m_324	812	+		all	
below_euphotic_200m_324_1	95	716	811	below_euphotic_200m_324	812	+		all	hypothetical protein
below_euphotic_200m_325_0	401	135	536	below_euphotic_200m_325	793	+		all	hypothetical protein
below_euphotic_200m_325_1	164	629	793	below_euphotic_200m_325	793	+		all	hypothetical protein
below_euphotic_200m_326_0	407	175	582	below_euphotic_200m_326	838	+		Proteobacteria	CoA-binding domain-containing protein K06929
below_euphotic_200m_326_1	173	651	824	below_euphotic_200m_326	838	+		all	hypothetical protein
below_euphotic_200m_327_0	791	2	793	below_euphotic_200m_327	793	+		all	
below_euphotic_200m_328_0	281	3	284	below_euphotic_200m_328	819	-		all	hypothetical protein
below_euphotic_200m_328_1	254	382	636	below_euphotic_200m_328	819	+		all	hypothetical protein
below_euphotic_200m_329_0	374	1	375	below_euphotic_200m_329	837	+		all	hypothetical protein
below_euphotic_200m_1995_0	473	3	476	below_euphotic_200m_1995	696	-		all	hypothetical protein
below_euphotic_200m_1995_1	215	418	633	below_euphotic_200m_1995	696	-		all	hypothetical protein
below_euphotic_200m_1994_0	83	1	84	below_euphotic_200m_1994	617	+		all	hypothetical protein
below_euphotic_200m_1994_1	434	86	520	below_euphotic_200m_1994	617	+		all	hypothetical protein
below_euphotic_200m_1993_0	197	2	199	below_euphotic_200m_1993	826	-		all	hypothetical protein
below_euphotic_200m_1993_1	545	279	824	below_euphotic_200m_1993	826	+		all	hypothetical protein
below_euphotic_200m_1992_0	677	1	678	below_euphotic_200m_1992	943	+		Acidobacteria	selenocysteine synthase (seryl-tRNASer selenium transferase)-like protein
below_euphotic_200m_1991_0	425	57	482	below_euphotic_200m_1991	978	-		Actinomycetales	FAD-dependent pyridine nucleotide-disulphide oxidoreductase
below_euphotic_200m_1990_0	308	2	310	below_euphotic_200m_1990	627	+	6.3.2.10	'Actinobacteria'	UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate--D-alanyl-D-alanine ligase (EC 6.3.2.10)
below_euphotic_200m_3706_0	107	3	110	below_euphotic_200m_3706	1041	-		all	hypothetical protein
below_euphotic_200m_3706_1	419	258	677	below_euphotic_200m_3706	1041	-		Clostridiales incertae sedis	LSU ribosomal protein L21p
below_euphotic_200m_3706_2	173	866	1039	below_euphotic_200m_3706	1041	+		all	hypothetical protein
below_euphotic_200m_3259_0	86	2	88	below_euphotic_200m_3259	433	-		all	hypothetical protein
below_euphotic_200m_3259_1	314	119	433	below_euphotic_200m_3259	433	-		Candidatus Nitrosopumilus maritimus SCM1	translation elongation factor P (EF-P)/translation initiation 5A K03263 5A
below_euphotic_200m_3708_0	188	510	698	below_euphotic_200m_3708	822	-		all	hypothetical protein
below_euphotic_200m_3257_0	509	86	595	below_euphotic_200m_3257	873	+		"Alphabacteria" Cavalier-Smith 1992	GUF1 GUF1 GTPase homolog (S. cerevisiae)
below_euphotic_200m_498_0	761	2	763	below_euphotic_200m_498	805	+		all	
below_euphotic_200m_499_0	728	2	730	below_euphotic_200m_499	814	-		Candidatus Nitrosopumilus maritimus SCM1	diphthamide biosynthesis protein K07561 synthase subunit DPH2
below_euphotic_200m_492_0	824	1	825	below_euphotic_200m_492	827	+		all	hypothetical protein
below_euphotic_200m_493_0	722	1	723	below_euphotic_200m_493	835	-	3.4.24.57	"Archaea" Woese et al. 1990	O-sialoglycoprotein endopeptidase, putative (EC:3.4.24.57) K01409 endopeptidase
below_euphotic_200m_490_0	110	3	113	below_euphotic_200m_490	800	-		all	hypothetical protein
below_euphotic_200m_490_1	419	274	693	below_euphotic_200m_490	800	-	1.14.11.17	Reyranella massiliensis 521	Alpha-ketoglutarate-dependent taurine dioxygenase (EC 1.14.11.17)
below_euphotic_200m_491_0	788	2	790	below_euphotic_200m_491	792	+		all	hypothetical protein
below_euphotic_200m_496_0	281	2	283	below_euphotic_200m_496	840	+		all	
below_euphotic_200m_496_1	335	300	635	below_euphotic_200m_496	840	+	6.1.1.10	Rhodospirillales	methionyl-tRNA synthetase (EC:6.1.1.10) K01874
below_euphotic_200m_497_0	482	2	484	below_euphotic_200m_497	804	+		SAR324 cluster bacterium JCVI-SC AAA005	sulfatase family protein
below_euphotic_200m_497_1	134	670	804	below_euphotic_200m_497	804	+		all	hypothetical protein
below_euphotic_200m_494_0	401	1	402	below_euphotic_200m_494	791	-		all	
below_euphotic_200m_494_1	266	413	679	below_euphotic_200m_494	791	-		all	
below_euphotic_200m_494_2	155	636	791	below_euphotic_200m_494	791	-		all	hypothetical protein
below_euphotic_200m_495_0	722	3	725	below_euphotic_200m_495	826	-		Bacteria	peptidase U62 modulator DNA gyrase K03568 TldD protein
below_euphotic_200m_3599_0	278	1	279	below_euphotic_200m_3599	846	-		all	hypothetical protein
below_euphotic_200m_3599_1	359	486	845	below_euphotic_200m_3599	846	+		all	hypothetical protein
