#query	target	q_length	bitscore	bsr	expect	aln_length	identity	ec	product
upper_euphotic_70m_6022_0	cme:CMV047C	272	1255	0.792798483891	0.0	272.0	100.0		photosystem II Q(b) protein (D1); K02703 photosystem II P680 reaction center D1 protein
upper_euphotic_70m_6022_0	cre:ChreCp021	273	1246	0.787113076437	0.0	273.0	100.0		psbA; photosystem II protein D1; K02703 photosystem II P680 reaction center D1 protein
upper_euphotic_70m_6022_0	cre:ChreCp057	273	1246	0.787113076437	0.0	273.0	100.0		psbA; photosystem II protein D1; K02703 photosystem II P680 reaction center D1 protein
upper_euphotic_70m_6022_0	sbi:SobiCp002	273	1234	0.779532533165	0.0	273.0	100.0		psbA; photosystem II protein D1; K02703 photosystem II P680 reaction center D1 protein
upper_euphotic_70m_6022_0	zma:845199	273	1234	0.779532533165	0.0	273.0	100.0		psbA; photosystem II protein D1; K02703 photosystem II P680 reaction center D1 protein
upper_euphotic_70m_447_0	cme:CMV047C	261	1225	0.870028409091	0.0	261.0	100.0		photosystem II Q(b) protein (D1); K02703 photosystem II P680 reaction center D1 protein
upper_euphotic_70m_447_0	ota:OstapCp30	262	1215	0.862926136364	0.0	262.0	100.0		psbA; photosystem II protein D1; K02703 photosystem II P680 reaction center D1 protein
upper_euphotic_70m_447_0	ota:OstapCp61	262	1215	0.862926136364	0.0	262.0	100.0		psbA; photosystem II protein D1; K02703 photosystem II P680 reaction center D1 protein
upper_euphotic_70m_447_0	ppp:PhpapaCp046	262	1208	0.857954545455	0.0	262.0	100.0		psbA; PSII D1-protein; K02703 photosystem II P680 reaction center D1 protein
upper_euphotic_70m_447_0	cre:ChreCp021	262	1205	0.855823863636	0.0	262.0	100.0		psbA; photosystem II protein D1; K02703 photosystem II P680 reaction center D1 protein
upper_euphotic_70m_2445_0	hmg:100197114	292	1181	0.779537953795	0.0	292.0	100.0		similar to Translation elongation factor, mitochondrial
upper_euphotic_70m_5721_0	xtr:100487436	280	1178	0.823776223776	0.0	280.0	100.0		DNA gyrase subunit B-like
upper_euphotic_70m_2445_0	ota:Ot05g04960	288	1139	0.751815181518	0.0	288.0	100.0		elongation factor Tu (ISS); K02358 elongation factor Tu
upper_euphotic_70m_2445_0	olu:OSTLU_12576	291	1128	0.744554455446	0.0	291.0	100.0		TufM; Translation elongation factor, mitochondrial; K02358 elongation factor Tu
upper_euphotic_70m_2445_0	isc:IscW_ISCW020780	290	1118	0.73795379538	0.0	290.0	100.0	2.7.7.4	translation elongation factor, putative (EC:2.7.7.4)
upper_euphotic_70m_2445_0	bfo:BRAFLDRAFT_206351	293	1111	0.733333333333	0.0	293.0	100.0		hypothetical protein
upper_euphotic_70m_10109_0	xtr:100488495	299	1106	0.751869476547	0.0	299.0	100.0		60 kDa chaperonin-like
upper_euphotic_70m_2744_0	nve:NEMVE_v1g110807	292	1103	0.716699155296	0.0	292.0	100.0	1.6.5.3	hypothetical protein ; K03935 NADH dehydrogenase (ubiquinone) Fe-S protein 2 [EC:1.6.5.3 1.6.99.3]
upper_euphotic_70m_2744_0	ota:OstapMp15	291	1087	0.706302794022	0.0	291.0	100.0	1.6.5.3	nad7, ndhH; nad7; K03935 NADH dehydrogenase (ubiquinone) Fe-S protein 2 [EC:1.6.5.3 1.6.99.3]
