#query	target	q_length	bitscore	bsr	expect	aln_length	identity	ec	product
deepabyss_4000m_8907_0	fig|1004786.3.peg.1753	305	1433	0.929312581064	0.0	305.0	100.0		Transcription-repair coupling factor [Alteromonas macleodii AltDE1]
deepabyss_4000m_8907_0	fig|1004785.3.peg.1573	305	1431	0.928015564202	0.0	305.0	100.0		Transcription-repair coupling factor [Alteromonas macleodii str. 'Black Sea 11']
deepabyss_4000m_8907_0	fig|1004787.3.peg.1696	305	1431	0.928015564202	0.0	305.0	100.0		Transcription-repair coupling factor [Alteromonas macleodii str. 'Balearic Sea AD45']
deepabyss_4000m_8907_0	fig|1004788.3.peg.1563	305	1427	0.92542153048	0.0	305.0	100.0		Transcription-repair coupling factor [Alteromonas macleodii str. 'English Channel 673']
deepabyss_4000m_2907_0	fig|1026882.3.peg.270	297	1369	0.906022501655	0.0	297.0	100.0	3.6.3.14	ATP synthase alpha chain (EC 3.6.3.14) [Methylophaga aminisulfidivorans MP]
deepabyss_4000m_6209_0	fig|1042378.3.peg.1081	306	1365	0.839483394834	0.0	306.0	100.0	2.3.1.41	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41) [Oceanicola sp. S124]
deepabyss_4000m_3348_0	fig|1004786.3.peg.4306	319	1356	0.813437312537	0.0	319.0	100.0	3.6.3.14	ATP synthase beta chain (EC 3.6.3.14) [Alteromonas macleodii AltDE1]
deepabyss_4000m_3348_0	fig|1004785.3.peg.3947	319	1353	0.811637672466	0.0	319.0	100.0	3.6.3.14	ATP synthase beta chain (EC 3.6.3.14) [Alteromonas macleodii str. 'Black Sea 11']
deepabyss_4000m_3348_0	fig|1004788.3.peg.4039	319	1352	0.811037792442	0.0	319.0	100.0	3.6.3.14	ATP synthase beta chain (EC 3.6.3.14) [Alteromonas macleodii str. 'English Channel 673']
deepabyss_4000m_3348_0	fig|1028803.3.peg.1330	319	1352	0.811037792442	0.0	319.0	100.0	3.6.3.14	ATP synthase beta chain (EC 3.6.3.14) [Haemophilus haemolyticus M19501]
deepabyss_4000m_3348_0	fig|1026882.3.peg.268	319	1351	0.810437912418	0.0	319.0	100.0	3.6.3.14	ATP synthase beta chain (EC 3.6.3.14) [Methylophaga aminisulfidivorans MP]
deepabyss_4000m_6209_0	fig|1002340.3.peg.2891	306	1349	0.829643296433	0.0	306.0	100.0	2.3.1.41	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41) [Phaeobacter gallaeciensis ANG1]
deepabyss_4000m_791_0	fig|1038924.3.peg.3409	266	1329	0.994016454749	0.0	266.0	100.0	1.1.1.85	3-isopropylmalate dehydrogenase (EC 1.1.1.85) [Pseudomonas fluorescens SS101]
deepabyss_4000m_791_0	fig|1030145.6.peg.2166	266	1326	0.99177262528	0.0	266.0	100.0	1.1.1.85	3-isopropylmalate dehydrogenase (EC 1.1.1.85) [Pseudomonas tolaasii PMS117]
deepabyss_4000m_791_0	fig|1037911.3.peg.3404	266	1326	0.99177262528	0.0	266.0	100.0	1.1.1.85	3-isopropylmalate dehydrogenase (EC 1.1.1.85) [Pseudomonas fluorescens A506]
deepabyss_4000m_2907_0	fig|1048808.3.peg.321	297	1322	0.874917273329	0.0	297.0	100.0	3.6.3.14	ATP synthase alpha chain (EC 3.6.3.14) [endosymbiont of Riftia pachyptila (vent Ph05)]
deepabyss_4000m_2907_0	fig|1049564.3.peg.2014	297	1322	0.874917273329	0.0	297.0	100.0	3.6.3.14	ATP synthase alpha chain (EC 3.6.3.14) [endosymbiont of Tevnia jerichonana (vent Tica)]
deepabyss_4000m_2907_0	fig|1031711.3.peg.123	297	1310	0.866975512905	0.0	297.0	100.0	3.6.3.14	ATP synthase alpha chain (EC 3.6.3.14) [Ralstonia solanacearum Po82]
deepabyss_4000m_2907_0	fig|1007105.3.peg.2400	297	1305	0.863666446062	0.0	297.0	100.0	3.6.3.14	ATP synthase alpha chain (EC 3.6.3.14) [Pusillimonas sp. T7-7]
deepabyss_4000m_791_0	fig|1038922.3.peg.3797	266	1301	0.973074046372	0.0	266.0	100.0	1.1.1.85	3-isopropylmalate dehydrogenase (EC 1.1.1.85) [Pseudomonas fluorescens Q2-87]
deepabyss_4000m_791_0	fig|1007656.5.peg.4651	266	1299	0.97157816006	0.0	266.0	100.0	1.1.1.85	3-isopropylmalate dehydrogenase (EC 1.1.1.85) [Pseudomonas fluorescens Wayne1]
deepabyss_4000m_2155_0	fig|1042375.3.peg.3953	309	1274	0.795255930087	0.0	309.0	100.0	2.7.7.6	DNA-directed RNA polymerase beta subunit (EC 2.7.7.6) [Marinobacterium stanieri S30]
deepabyss_4000m_2155_0	fig|1042377.3.peg.159	308	1266	0.790262172285	0.0	308.0	100.0	2.7.7.6	DNA-directed RNA polymerase beta subunit (EC 2.7.7.6) [Alteromonas sp. S89]
deepabyss_4000m_2155_0	fig|1048808.3.peg.2680	309	1265	0.789637952559	0.0	309.0	100.0	2.7.7.6	DNA-directed RNA polymerase beta subunit (EC 2.7.7.6) [endosymbiont of Riftia pachyptila (vent Ph05)]
deepabyss_4000m_2155_0	fig|1049564.3.peg.3129	309	1265	0.789637952559	0.0	309.0	100.0	2.7.7.6	DNA-directed RNA polymerase beta subunit (EC 2.7.7.6) [endosymbiont of Tevnia jerichonana (vent Tica)]
deepabyss_4000m_1371_0	fig|1009852.3.peg.3286	255	1264	0.911976911977	0.0	255.0	100.0	4.2.1.17	Enoyl-CoA hydratase (EC 4.2.1.17) [Comamonas testosteroni ATCC 11996]
deepabyss_4000m_10638_0	fig|1001585.3.peg.737	328	1256	0.697003329634	0.0	328.0	100.0		Fe-S OXIDOREDUCTASE (1.8.-.-) [Pseudomonas mendocina NK-01]
deepabyss_4000m_2155_0	fig|1051004.3.peg.4808	305	1256	0.784019975031	0.0	305.0	100.0	2.7.7.6	DNA-directed RNA polymerase beta subunit (EC 2.7.7.6) [Pseudomonas aeruginosa 213BR]
deepabyss_4000m_8461_0	fig|1046627.3.peg.2000	296	1255	0.790302267003	0.0	296.0	100.0		putative auxin-regulated protein [Bizionia argentinensis JUB59]
deepabyss_4000m_437_0	fig|1026882.3.peg.1607	278	1254	0.866620594333	0.0	278.0	100.0		Iron-sulfur cluster assembly protein SufB [Methylophaga aminisulfidivorans MP]
deepabyss_4000m_4209_0	fig|1042878.5.peg.4553	287	1254	0.766035430666	0.0	287.0	100.0	6.2.1.1	Acetyl-coenzyme A synthetase (EC 6.2.1.1) [Cupriavidus necator N-1]
deepabyss_4000m_10638_0	fig|1046625.3.peg.1104	330	1254	0.69589345172	0.0	330.0	100.0		Fe-S OXIDOREDUCTASE (1.8.-.-) [Acinetobacter lwoffii WJ10621]
deepabyss_4000m_4202_0	fig|1031710.3.peg.1414	283	1252	0.835223482322	0.0	283.0	100.0	2.3.3.15	Sulfoacetaldehyde acetyltransferase (EC 2.3.3.15) [Oligotropha carboxidovorans OM4]
deepabyss_4000m_8967_0	fig|1007104.3.peg.2272	321	1250	0.72505800464	0.0	321.0	100.0		Phytoene dehydrogenase (EC 1.14.99.-) [Sphingomonas sp. S17]
deepabyss_4000m_10638_0	fig|1029823.3.peg.3439	330	1250	0.693673695893	0.0	330.0	100.0		Fe-S OXIDOREDUCTASE (1.8.-.-) [Acinetobacter sp. P8-3-8]
deepabyss_4000m_437_0	fig|1034944.4.peg.4445	278	1243	0.859018659295	0.0	278.0	100.0		Iron-sulfur cluster assembly protein SufB [Legionella sp. LegM]
deepabyss_4000m_10638_0	fig|1038921.4.peg.4403	328	1243	0.689789123196	0.0	328.0	100.0		Fe-S OXIDOREDUCTASE (1.8.-.-) [Pseudomonas chlororaphis subsp. aureofaciens 30-84]
deepabyss_4000m_7180_0	fig|1001585.3.peg.4620	304	1241	0.790445859873	0.0	304.0	100.0		HSR1-like GTP-binding protein [Pseudomonas mendocina NK-01]
deepabyss_4000m_7242_0	fig|1004788.3.peg.2051	254	1238	0.881138790036	0.0	254.0	100.0	4.1.99.3	Deoxyribodipyrimidine photolyase (EC 4.1.99.3) [Alteromonas macleodii str. 'English Channel 673']
deepabyss_4000m_4209_0	fig|102997.3.peg.809	287	1237	0.75565058033	0.0	287.0	100.0	6.2.1.1	Acetyl-coenzyme A synthetase (EC 6.2.1.1) [Burkholderia ubonensis Bu]
deepabyss_4000m_8967_0	fig|1030157.3.peg.2488	324	1235	0.716357308585	0.0	324.0	100.0		Phytoene dehydrogenase (EC 1.14.99.-) [Sphingomonas sp. KC8]
deepabyss_4000m_436_0	fig|1026882.3.peg.3060	295	1234	0.808650065531	0.0	295.0	100.0		Cell division protein FtsK [Methylophaga aminisulfidivorans MP]
deepabyss_4000m_7180_0	fig|1038922.3.peg.5157	304	1234	0.785987261146	0.0	304.0	100.0		probable integral membrane protein NMA1898 [Pseudomonas fluorescens Q2-87]
deepabyss_4000m_7242_0	fig|1004787.3.peg.2154	254	1233	0.877580071174	0.0	254.0	100.0	4.1.99.3	Deoxyribodipyrimidine photolyase (EC 4.1.99.3) [Alteromonas macleodii str. 'Balearic Sea AD45']
deepabyss_4000m_3201_0	fig|1049790.3.peg.2676	312	1233	0.740985576923	0.0	312.0	100.0		Chaperone protein DnaK [Leptospira inadai serovar Lyme str. 10]
deepabyss_4000m_4608_0	fig|1007104.3.peg.941	311	1232	0.751219512195	0.0	311.0	100.0		RNA polymerase sigma factor RpoD [Sphingomonas sp. S17]
deepabyss_4000m_3201_0	fig|1049971.3.peg.248	312	1231	0.739783653846	0.0	312.0	100.0		Chaperone protein DnaK [Leptospira licerasiae str. MMD4847]
deepabyss_4000m_3201_0	fig|1049972.3.peg.919	312	1231	0.739783653846	0.0	312.0	100.0		Chaperone protein DnaK [Leptospira licerasiae serovar Varillal str. VAR 010]
deepabyss_4000m_3201_0	fig|1008457.3.peg.1832	312	1229	0.738581730769	0.0	312.0	100.0		Chaperone protein DnaK [Myroides injenensis M09-0166]
deepabyss_4000m_10638_0	fig|1026882.3.peg.1490	328	1228	0.681465038846	0.0	328.0	100.0		Fe-S OXIDOREDUCTASE (1.8.-.-) [Methylophaga aminisulfidivorans MP]
deepabyss_4000m_3201_0	fig|1049789.4.peg.3763	312	1228	0.737980769231	0.0	312.0	100.0		Chaperone protein DnaK [Leptospira broomii str. 5399]
deepabyss_4000m_7242_0	fig|1004785.3.peg.1977	254	1227	0.873309608541	0.0	254.0	100.0	4.1.99.3	Deoxyribodipyrimidine photolyase (EC 4.1.99.3) [Alteromonas macleodii str. 'Black Sea 11']
deepabyss_4000m_7180_0	fig|1038923.3.peg.5470	304	1227	0.78152866242	0.0	304.0	100.0		probable integral membrane protein NMA1898 [Pseudomonas fluorescens Q8r1-96]
deepabyss_4000m_437_0	fig|1042878.5.peg.1535	278	1226	0.847270214236	0.0	278.0	100.0		Iron-sulfur cluster assembly protein SufB [Cupriavidus necator N-1]
deepabyss_4000m_9399_0	fig|1009423.3.peg.1583	247	1225	0.952566096423	0.0	247.0	100.0		3',5'-cyclic-nucleotide phosphodiesterase [Verrucomicrobia bacterium SCGC AAA168-F10]
deepabyss_4000m_7180_0	fig|1007656.5.peg.1555	304	1221	0.777707006369	0.0	304.0	100.0		probable integral membrane protein NMA1898 [Pseudomonas fluorescens Wayne1]
deepabyss_4000m_7180_0	fig|1038921.4.peg.5914	304	1216	0.774522292994	0.0	304.0	100.0		probable integral membrane protein NMA1898 [Pseudomonas chlororaphis subsp. aureofaciens 30-84]
deepabyss_4000m_7242_0	fig|1004786.3.peg.2276	254	1215	0.864768683274	0.0	254.0	100.0	4.1.99.3	Deoxyribodipyrimidine photolyase (EC 4.1.99.3) [Alteromonas macleodii AltDE1]
deepabyss_4000m_7056_0	fig|1009420.3.peg.1561	272	1215	0.869098712446	0.0	272.0	100.0	3.5.4.2	Adenine deaminase (EC 3.5.4.2) [Verrucomicrobia bacterium SCGC AAA164-O14]
deepabyss_4000m_4608_0	fig|1030157.3.peg.251	311	1214	0.740243902439	0.0	311.0	100.0		RNA polymerase sigma factor RpoD [Sphingomonas sp. KC8]
deepabyss_4000m_10159_0	fig|1037911.3.peg.4136	259	1214	0.921791951405	0.0	259.0	100.0		C4-dicarboxylate transport sensor protein [Pseudomonas fluorescens A506]
deepabyss_4000m_10490_0	fig|1042375.3.peg.156	303	1214	0.773248407643	0.0	303.0	100.0	1.2.1.27	Methylmalonate-semialdehyde dehydrogenase (EC 1.2.1.27) [Marinobacterium stanieri S30]
deepabyss_4000m_437_0	fig|1003237.3.peg.2655	278	1213	0.838286109191	0.0	278.0	100.0		Iron-sulfur cluster assembly protein SufB [Azospirillum amazonense Y2]
deepabyss_4000m_8461_0	fig|1041826.3.peg.1801	296	1213	0.763853904282	0.0	296.0	100.0		putative auxin-regulated protein [Flavobacterium columnare ATCC 49512]
deepabyss_4000m_9598_0	fig|1043205.3.peg.607	287	1213	0.804910418049	0.0	287.0	100.0	1.7.99.4	Respiratory nitrate reductase alpha chain (EC 1.7.99.4) [Serinicoccus profundi MCCC 1A05965]
