ORF_ID	ORF_length	start	end	Contig_Name	Contig_length	strand	ec	taxonomy	product
uppermesopelagic_500m_8603_0	890	8	898	uppermesopelagic_500m_8603	1000	+		"Planctomycetaceae" Schlesner and Stackebrandt 1987 emend. Ward 2011	protein translocase subunit SecY/sec61 alpha K03076 preprotein SecY
uppermesopelagic_500m_8602_0	467	2	469	uppermesopelagic_500m_8602	1034	-		all	hypothetical protein
uppermesopelagic_500m_8602_1	200	582	782	uppermesopelagic_500m_8602	1034	-		Actinomycetales	UspA domain-containing protein
uppermesopelagic_500m_8601_0	182	1	183	uppermesopelagic_500m_8601	720	-		all	hypothetical protein
uppermesopelagic_500m_8601_1	344	374	718	uppermesopelagic_500m_8601	720	+		all	hypothetical protein
uppermesopelagic_500m_8600_0	716	2	718	uppermesopelagic_500m_8600	962	-		all	hypothetical protein
uppermesopelagic_500m_8607_0	695	3	698	uppermesopelagic_500m_8607	980	-		Alcanivorax	
uppermesopelagic_500m_8606_0	251	1	252	uppermesopelagic_500m_8606	852	-		all	hypothetical protein
uppermesopelagic_500m_8606_1	230	455	685	uppermesopelagic_500m_8606	852	-		all	hypothetical protein
uppermesopelagic_500m_8606_2	143	707	850	uppermesopelagic_500m_8606	852	-		all	hypothetical protein
uppermesopelagic_500m_4034_0	200	1	201	uppermesopelagic_500m_4034	1005	-		all	hypothetical protein
uppermesopelagic_500m_4034_1	422	456	878	uppermesopelagic_500m_4034	1005	+	3.5.1.88	Planctomyces maris DSM 8797	peptide deformylase (EC:3.5.1.88) K01462
uppermesopelagic_500m_3149_0	638	30	668	uppermesopelagic_500m_3149	933	+		all	hypothetical protein
uppermesopelagic_500m_3149_1	122	811	933	uppermesopelagic_500m_3149	933	+		all	hypothetical protein
uppermesopelagic_500m_3148_0	1118	2	1120	uppermesopelagic_500m_3148	1298	+		all	hypothetical protein
uppermesopelagic_500m_4035_0	581	207	788	uppermesopelagic_500m_4035	1024	+		Magnetococcus marinus MC-1	transposase IS4 family protein
uppermesopelagic_500m_3145_0	371	3	374	uppermesopelagic_500m_3145	474	+		all	hypothetical protein
uppermesopelagic_500m_3144_0	566	1	567	uppermesopelagic_500m_3144	899	-		all	hypothetical protein
uppermesopelagic_500m_3147_0	839	56	895	uppermesopelagic_500m_3147	1046	-		all	hypothetical protein
uppermesopelagic_500m_3147_1	179	865	1044	uppermesopelagic_500m_3147	1046	-		all	hypothetical protein
uppermesopelagic_500m_3146_0	398	3	401	uppermesopelagic_500m_3146	931	-	6.3.1.2	Rhodospirillum rubrum F11	putative glutamine synthetase, catalytic region K01915 synthetase
uppermesopelagic_500m_3146_1	290	520	810	uppermesopelagic_500m_3146	931	+		all	hypothetical protein
uppermesopelagic_500m_3141_0	935	3	938	uppermesopelagic_500m_3141	962	-		Pseudomonas aeruginosa group	acdA putative acyl-CoA dehydrogenase K00257
uppermesopelagic_500m_3140_0	272	3	275	uppermesopelagic_500m_3140	924	+		all	hypothetical protein
uppermesopelagic_500m_3140_1	662	260	922	uppermesopelagic_500m_3140	924	+		all	hypothetical protein
uppermesopelagic_500m_3143_0	230	509	739	uppermesopelagic_500m_3143	993	-		all	hypothetical protein
uppermesopelagic_500m_3143_1	89	904	993	uppermesopelagic_500m_3143	993	-		all	hypothetical protein
uppermesopelagic_500m_3142_0	221	2	223	uppermesopelagic_500m_3142	691	+	6.2.1.1	Proteobacteria	ACS2 acetyl CoA synthetase (EC:6.2.1.1) K01895 acetyl-CoA
uppermesopelagic_500m_3142_1	257	432	689	uppermesopelagic_500m_3142	691	-		"Alphabacteria" Cavalier-Smith 1992	nuclease (SNase domain protein)
uppermesopelagic_500m_3025_0	614	3	617	uppermesopelagic_500m_3025	1029	-	1.1.99.1	Sorangium cellulosum 'So ce 56'	Choline dehydrogenase (EC 1.1.99.1)
uppermesopelagic_500m_3022_0	71	1	72	uppermesopelagic_500m_3022	1008	-		all	hypothetical protein
uppermesopelagic_500m_3022_1	401	399	800	uppermesopelagic_500m_3022	1008	+		Bacillales	luciferase family oxidoreductase, group 1
uppermesopelagic_500m_8609_0	158	3	161	uppermesopelagic_500m_8609	962	+		all	hypothetical protein
uppermesopelagic_500m_8609_1	737	224	961	uppermesopelagic_500m_8609	962	+	3.3.1.1	Bacteroidetes/Chlorobi group	ahcY S-adenosyl-L-homocysteine hydrolase (EC:3.3.1.1) K01251 adenosylhomocysteinase
uppermesopelagic_500m_3023_0	83	2	85	uppermesopelagic_500m_3023	982	-		all	hypothetical protein
uppermesopelagic_500m_3023_1	311	166	477	uppermesopelagic_500m_3023	982	-		all	hypothetical protein
uppermesopelagic_500m_3023_2	242	522	764	uppermesopelagic_500m_3023	982	-	2.3.1.16	Bacteria	ACAA2, DSAEC, FLJ35992, FLJ95265 acetyl-CoA acyltransferase 2 (EC:2.3.1.16) K07508
uppermesopelagic_500m_3023_3	263	719	982	uppermesopelagic_500m_3023	982	-		all	hypothetical protein
uppermesopelagic_500m_8608_0	404	141	545	uppermesopelagic_500m_8608	546	+		all	hypothetical protein
uppermesopelagic_500m_3020_0	371	43	414	uppermesopelagic_500m_3020	939	+		all	hypothetical protein
uppermesopelagic_500m_3020_1	281	443	724	uppermesopelagic_500m_3020	939	+	1.8.1.2	Bacteria	sulfite reductase (NADPH) flavoprotein, alpha chain K00380 flavoprotein alpha-component
uppermesopelagic_500m_3021_0	743	97	840	uppermesopelagic_500m_3021	979	-		unclassified Verrucomicrobia (miscellaneous)	lipase/acylhydrolase family protein
uppermesopelagic_500m_7747_0	590	2	592	uppermesopelagic_500m_7747	862	-		all	hypothetical protein
uppermesopelagic_500m_7747_1	209	651	860	uppermesopelagic_500m_7747	862	-		all	hypothetical protein
uppermesopelagic_500m_7746_0	200	1	201	uppermesopelagic_500m_7746	672	-		all	hypothetical protein
uppermesopelagic_500m_7746_1	137	333	470	uppermesopelagic_500m_7746	672	+		all	hypothetical protein
uppermesopelagic_500m_7746_2	200	472	672	uppermesopelagic_500m_7746	672	+		all	hypothetical protein
uppermesopelagic_500m_7745_0	734	1	735	uppermesopelagic_500m_7745	1039	-		Bacillus/Clostridium group	mismatch repair ATPase K07456 DNA protein MutS2
uppermesopelagic_500m_7745_1	248	790	1038	uppermesopelagic_500m_7745	1039	-		all	hypothetical protein
uppermesopelagic_500m_7032_0	389	3	392	uppermesopelagic_500m_7032	915	-		Gammaproteobacteria	DNA helicase
uppermesopelagic_500m_7032_1	383	420	803	uppermesopelagic_500m_7032	915	-		all	hypothetical protein
uppermesopelagic_500m_7743_0	338	1	339	uppermesopelagic_500m_7743	801	+		all	hypothetical protein
uppermesopelagic_500m_7743_1	266	336	602	uppermesopelagic_500m_7743	801	+		all	hypothetical protein
uppermesopelagic_500m_7743_2	86	713	799	uppermesopelagic_500m_7743	801	+		all	hypothetical protein
uppermesopelagic_500m_7742_0	899	1	900	uppermesopelagic_500m_7742	902	+	1.1.1.23	Proteobacteria	histidinol dehydrogenase (EC:1.1.1.23) K00013
uppermesopelagic_500m_7741_0	590	3	593	uppermesopelagic_500m_7741	704	-		all	hypothetical protein
uppermesopelagic_500m_7740_0	341	3	344	uppermesopelagic_500m_7740	949	-		Proteobacteria	aminotransferase, class III (EC:2.6.1.-)
uppermesopelagic_500m_7740_1	482	458	940	uppermesopelagic_500m_7740	949	+		"Microspira" Schroeter 1886	LysR family transcriptional regulator
uppermesopelagic_500m_2768_0	404	17	421	uppermesopelagic_500m_2768	728	+	1.1.1.35	Pseudomonaceae/Moraxellaceae group	3-hydroxyacyl-CoA dehydrogenase / short chain enoyl-CoA hydratase (EC:1.1.1.35 4.2.1.17) K01782 3-hydroxybutyryl-CoA epimerase
uppermesopelagic_500m_2768_1	305	421	726	uppermesopelagic_500m_2768	728	+		"Chlorobacterium" Guillebeau 1890, nom. rejic. Opin. 6 (not "Chlorobacterium" Lauterborn 1916)	atuA expressed protein apparent function citronellol catabolism
uppermesopelagic_500m_2769_0	737	2	739	uppermesopelagic_500m_2769	740	-		all	hypothetical protein
uppermesopelagic_500m_2762_0	527	1	528	uppermesopelagic_500m_2762	940	-		all	hypothetical protein
uppermesopelagic_500m_2763_0	296	660	956	uppermesopelagic_500m_2763	958	+		Devosia sp. B2	peptidase, M23 family
uppermesopelagic_500m_2760_0	956	18	974	uppermesopelagic_500m_2760	974	+		all	hypothetical protein
uppermesopelagic_500m_2761_0	506	2	508	uppermesopelagic_500m_2761	932	+		all	hypothetical protein
uppermesopelagic_500m_2761_1	290	642	932	uppermesopelagic_500m_2761	932	-		all	hypothetical protein
uppermesopelagic_500m_2766_0	764	2	766	uppermesopelagic_500m_2766	766	+		all	hypothetical protein
uppermesopelagic_500m_2767_0	176	2	178	uppermesopelagic_500m_2767	976	-		all	hypothetical protein
uppermesopelagic_500m_2767_1	488	249	737	uppermesopelagic_500m_2767	976	-	1.1.1.60	Bacteria	putative 2-hydroxy-3-oxopropionate reductase (EC:1.1.1.60) K00042
uppermesopelagic_500m_2764_0	62	2	64	uppermesopelagic_500m_2764	1030	-		all	hypothetical protein
uppermesopelagic_500m_2764_1	635	61	696	uppermesopelagic_500m_2764	1030	-		Proteobacteria	ABC transporter
uppermesopelagic_500m_2765_0	710	52	762	uppermesopelagic_500m_2765	1014	+		all	, partial
uppermesopelagic_500m_1222_0	818	1	819	uppermesopelagic_500m_1222	819	-		all	hypothetical protein
uppermesopelagic_500m_1223_0	254	37	291	uppermesopelagic_500m_1223	875	-		Bacillales	aminoglycoside phosphotransferase K06979
uppermesopelagic_500m_1223_1	317	307	624	uppermesopelagic_500m_1223	875	-	2.3.1.16	Proteobacteria	K00632 acetyl-CoA acyltransferase
uppermesopelagic_500m_1223_2	143	732	875	uppermesopelagic_500m_1223	875	-		all	hypothetical protein
uppermesopelagic_500m_1220_0	305	1	306	uppermesopelagic_500m_1220	842	-	3.6.4.12	Bacillus/Clostridium group	dnaC replicative DNA helicase (EC:3.6.1.-) K02314
uppermesopelagic_500m_1221_0	155	286	441	uppermesopelagic_500m_1221	788	+		all	hypothetical protein
uppermesopelagic_500m_1221_1	341	446	787	uppermesopelagic_500m_1221	788	+		all	hypothetical protein
uppermesopelagic_500m_1226_0	602	1	603	uppermesopelagic_500m_1226	784	+	3.1.11.6	"Planctomycetaceae" Schlesner and Stackebrandt 1987 emend. Ward 2011	exodeoxyribonuclease VII, large subunit (EC:3.1.11.6) K03601 VII
uppermesopelagic_500m_1226_1	200	548	748	uppermesopelagic_500m_1226	784	+	3.1.11.6	Bacteria	exodeoxyribonuclease VII large subunit (EC:3.1.11.6) K03601
uppermesopelagic_500m_1227_0	614	98	712	uppermesopelagic_500m_1227	812	+	2.7.7.4	'Rhodobacteraceae'	aps sulfate adenylyltransferase aps-Penicillium chrysogenum K00958
uppermesopelagic_500m_1224_0	116	96	212	uppermesopelagic_500m_1224	829	+		all	hypothetical protein
uppermesopelagic_500m_1224_1	158	227	385	uppermesopelagic_500m_1224	829	+		all	hypothetical protein
uppermesopelagic_500m_1224_2	395	433	828	uppermesopelagic_500m_1224	829	+		all	hypothetical protein
uppermesopelagic_500m_1225_0	719	3	722	uppermesopelagic_500m_1225	845	+		all	hypothetical protein
uppermesopelagic_500m_1228_0	293	3	296	uppermesopelagic_500m_1228	882	-		all	hypothetical protein
uppermesopelagic_500m_1228_1	296	584	880	uppermesopelagic_500m_1228	882	+		all	hypothetical protein
uppermesopelagic_500m_1229_0	113	3	116	uppermesopelagic_500m_1229	789	+		all	hypothetical protein
uppermesopelagic_500m_1229_1	89	188	277	uppermesopelagic_500m_1229	789	-		all	hypothetical protein
uppermesopelagic_500m_1229_2	389	277	666	uppermesopelagic_500m_1229	789	-		Gammaproteobacteria	OsmC/Ohr family protein K07397 putative redox protein
uppermesopelagic_500m_4089_0	605	2	607	uppermesopelagic_500m_4089	994	-		all	
uppermesopelagic_500m_4088_0	497	1	498	uppermesopelagic_500m_4088	1002	-		all	
uppermesopelagic_500m_4088_1	506	495	1001	uppermesopelagic_500m_4088	1002	-		all	hypothetical protein
uppermesopelagic_500m_4081_0	176	2	178	uppermesopelagic_500m_4081	1000	+		all	hypothetical protein
uppermesopelagic_500m_4081_1	467	293	760	uppermesopelagic_500m_4081	1000	+	1.2.99.2	Rhodospirillales	Aerobic-type carbon monoxide dehydrogenase, small subunit CoxS/CutS-like protein K03518 carbon-monoxide dehydrogenase
uppermesopelagic_500m_4080_0	368	22	390	uppermesopelagic_500m_4080	1005	-		gamma proteobacterium SCGC AAA007-O20	Glycine/D-amino acid oxidase deaminating
uppermesopelagic_500m_4080_1	395	398	793	uppermesopelagic_500m_4080	1005	-	1.5.1.10	'Rhodobacteraceae'	saccharopine dehydrogenase (NADP+, L-glutamate forming) (EC:1.5.1.10) K00293
uppermesopelagic_500m_4083_0	131	705	836	uppermesopelagic_500m_4083	1048	-		all	hypothetical protein
uppermesopelagic_500m_4083_1	176	872	1048	uppermesopelagic_500m_4083	1048	-		all	hypothetical protein
uppermesopelagic_500m_4082_0	527	2	529	uppermesopelagic_500m_4082	790	+		all	hypothetical protein
uppermesopelagic_500m_4085_0	644	171	815	uppermesopelagic_500m_4085	1080	-	3.2.1.4	Gammaproteobacteria	cel5B endo-1,4-beta glucanase (EC:3.2.1.4) K01179 endoglucanase
uppermesopelagic_500m_4084_0	368	666	1034	uppermesopelagic_500m_4084	1036	-		all	hypothetical protein
uppermesopelagic_500m_4087_0	602	1	603	uppermesopelagic_500m_4087	1069	+		all	
uppermesopelagic_500m_4087_1	80	988	1068	uppermesopelagic_500m_4087	1069	-		all	hypothetical protein
uppermesopelagic_500m_4086_0	299	3	302	uppermesopelagic_500m_4086	1031	+		all	hypothetical protein
uppermesopelagic_500m_7682_0	311	2	313	uppermesopelagic_500m_7682	945	-		all	hypothetical protein
uppermesopelagic_500m_7682_1	437	351	788	uppermesopelagic_500m_7682	945	+	1.3.99.1	Bacteria	succinate dehydrogenase or fumarate reductase, flavoprotein subunit (EC:1.3.99.1) K00239
uppermesopelagic_500m_7683_0	725	137	862	uppermesopelagic_500m_7683	1013	+	6.1.1.9	BCF group	EMB2247 (embryo defective 2247) ATP binding / aminoacyl-tRNA ligase/ nucleotide valine-tRNA ligase (EC:6.1.1.9) K01873 valyl-tRNA synthetase
uppermesopelagic_500m_7683_1	143	868	1011	uppermesopelagic_500m_7683	1013	+		all	hypothetical protein
uppermesopelagic_500m_7680_0	890	2	892	uppermesopelagic_500m_7680	893	-	2.7.7.8	Cyanobacteria	polynucleotide phosphorylase/polyadenylase (EC:2.7.7.8) K00962 polyribonucleotide nucleotidyltransferase
uppermesopelagic_500m_7681_0	191	2	193	uppermesopelagic_500m_7681	194	+		all	hypothetical protein
uppermesopelagic_500m_7686_0	518	2	520	uppermesopelagic_500m_7686	923	-		all	hypothetical protein
uppermesopelagic_500m_7686_1	206	603	809	uppermesopelagic_500m_7686	923	-		all	hypothetical protein
uppermesopelagic_500m_7687_0	731	8	739	uppermesopelagic_500m_7687	950	-		Caldithrix abyssi DSM 13497	tolB protein precursor, periplasmic involved tonb-independent uptake group A colicins
