#query	target	q_length	bitscore	bsr	expect	aln_length	identity	ec	product
omz_770m_2153_0	sp|Q0VRM0|SAT_ALCBS	236	743	0.60064672595	0.0	236.0	100.0	2.7.7.4	Sulfate adenylyltransferase OS=Alcanivorax borkumensis (strain SK2 / ATCC 700651 / DSM 11573) GN=sat PE=3 SV=1 # UNIPROT # Q0VRM0 # SULFATE-ADENYLYLTRANS-RXN # ABOR393595:ABO_0730-MONOMER # 2.7.7.4
omz_770m_2153_0	sp|Q54506|SAT_RIFPS	234	641	0.51818916734	0.0	234.0	100.0	2.7.7.4	Sulfate adenylyltransferase OS=Riftia pachyptila sulfur-oxidizing endosymbiont GN=sat PE=1 SV=1 # UNIPROT # Q54506 # SULFATE-ADENYLYLTRANS-RXN # MetaCyc:MONOMER-12450 # 2.7.7.4
omz_770m_5465_1	sp|Q31EG9|HEMH_THICR	166	543	0.590859630033	0.0	166.0	100.0	4.99.1.1	Ferrochelatase OS=Thiomicrospira crunogena (strain XCL-2) GN=hemH PE=3 SV=1 # UNIPROT # Q31EG9 # PROTOHEMEFERROCHELAT-RXN # TCRU317025:TCR_1864-MONOMER # 4.99.1.1
omz_770m_481_1	sp|Q7ULU1|ISPH_RHOBA	188	504	0.45	0.0	188.0	100.0	1.17.1.2	4-hydroxy-3-methylbut-2-enyl diphosphate reductase OS=Rhodopirellula baltica GN=ispH PE=3 SV=1 # UNIPROT # Q7ULU1 # RXN0-884 # PSP117:RB9288-MONOMER # 1.17.1.2 1.17.1.2
omz_770m_481_1	sp|A0LW20|ISPH_ACIC1	163	473	0.422321428571	0.0	163.0	100.0	1.17.1.2	4-hydroxy-3-methylbut-2-enyl diphosphate reductase OS=Acidothermus cellulolyticus (strain ATCC 43068 / 11B) GN=ispH PE=3 SV=1 # UNIPROT # A0LW20 # ISPH2-RXN # ACEL351607:ACEL_1858-MONOMER # 1.17.1.2
omz_770m_5465_1	sp|A1U0R2|HEMH_MARAV	159	456	0.496191512514	0.0	159.0	100.0	4.99.1.1	Ferrochelatase OS=Marinobacter aquaeolei (strain ATCC 700491 / DSM 11845 / VT8) GN=hemH PE=3 SV=1 # UNIPROT # A1U0R2 # PROTOHEMEFERROCHELAT-RXN # MAQU351348:MAQU_1496-MONOMER # 4.99.1.1
omz_770m_5465_1	sp|C5BIF4|HEMH_TERTT	163	437	0.475516866159	0.0	163.0	100.0	4.99.1.1	Ferrochelatase OS=Teredinibacter turnerae (strain ATCC 39867 / T7901) GN=hemH PE=3 SV=1 # UNIPROT # C5BIF4 # PROTOHEMEFERROCHELAT-RXN # # 4.99.1.1
omz_770m_2155_0	sp|Q01103|PCAI_PSEPU	191	419	0.414441147379	0.0	191.0	100.0	2.8.3.6	3-oxoadipate CoA-transferase subunit A OS=Pseudomonas putida GN=pcaI PE=1 SV=2 # UNIPROT # Q01103 # 3-OXOADIPATE-COA-TRANSFERASE-RXN # MetaCyc:MONOMER-3190 # 2.8.3.6
omz_770m_5465_1	sp|B8GU82|HEMH_THISH	162	414	0.450489662677	0.0	162.0	100.0	4.99.1.1	Ferrochelatase OS=Thioalkalivibrio sp. (strain HL-EbGR7) GN=hemH PE=3 SV=1 # UNIPROT # B8GU82 # PROTOHEMEFERROCHELAT-RXN # # 4.99.1.1
omz_770m_2152_0	sp|P76085|PAAK_ECOLI	191	414	0.424180327869	0.0	191.0	100.0	6.2.1.30	Phenylacetate-coenzyme A ligase OS=Escherichia coli (strain K12) GN=paaK PE=1 SV=1 # UNIPROT # P76085 # PHENYLACETATE--COA-LIGASE-RXN # MetaCyc:G6719-MONOMER # 6.2.1.30
omz_770m_5465_1	sp|Q6F7N0|HEMH_ACIAD	161	404	0.439608269859	0.0	161.0	100.0	4.99.1.1	Ferrochelatase OS=Acinetobacter sp. (strain ADP1) GN=hemH PE=3 SV=1 # UNIPROT # Q6F7N0 # PROTOHEMEFERROCHELAT-RXN # ASP62977:ACIAD3255-MONOMER # 4.99.1.1
omz_770m_2152_0	tr|Q9L9C1|Q9L9C1_AZOEV	191	399	0.40881147541	0.0	191.0	100.0	6.2.1.30	Aerobic phenylacetate-CoA ligase OS=Azoarcus evansii GN=paaK PE=4 SV=1 # UNIPROT # Q9L9C1 # PHENYLACETATE--COA-LIGASE-RXN # MetaCyc:MONOMER-12132 # 6.2.1.30
omz_770m_6830_0	sp|Q4FPK2|MRAY_PELUB	210	800	0.747663551402	0.0	210.0	100.0	2.7.8.13	Phospho-N-acetylmuramoyl-pentapeptide-transferase OS=Pelagibacter ubique GN=mraY PE=3 SV=1 # UNIPROT # Q4FPK2 # RXN-8975 # CPEL335992:SAR11_0027-MONOMER # 2.7.8.13
omz_770m_6830_0	sp|Q5FUJ8|MRAY_GLUOX	201	744	0.695327102804	0.0	201.0	100.0	2.7.8.13	Phospho-N-acetylmuramoyl-pentapeptide-transferase OS=Gluconobacter oxydans GN=mraY PE=3 SV=1 # UNIPROT # Q5FUJ8 # RXN-8975 # GOXY290633:GOX0155-MONOMER # 2.7.8.13
omz_770m_6830_0	sp|B0T834|MRAY_CAUSK	202	727	0.679439252336	0.0	202.0	100.0	2.7.8.13	Phospho-N-acetylmuramoyl-pentapeptide-transferase OS=Caulobacter sp. (strain K31) GN=mraY PE=3 SV=1 # UNIPROT # B0T834 # RXN-8975 # CSP78:CAUL_3670-MONOMER # 2.7.8.13
omz_770m_6830_0	sp|B9JH54|MRAY_AGRRK	209	720	0.672897196262	0.0	209.0	100.0	2.7.8.13	Phospho-N-acetylmuramoyl-pentapeptide-transferase OS=Agrobacterium radiobacter (strain K84 / ATCC BAA-868) GN=mraY PE=3 SV=1 # UNIPROT # B9JH54 # RXN-8975 # # 2.7.8.13
omz_770m_6830_0	sp|A8GP69|MRAY_RICAH	202	702	0.656074766355	0.0	202.0	100.0	2.7.8.13	Phospho-N-acetylmuramoyl-pentapeptide-transferase OS=Rickettsia akari (strain Hartford) GN=mraY PE=3 SV=2 # UNIPROT # A8GP69 # RXN-8975 # RAKA293614:A1C_04660-MONOMER # 2.7.8.13
omz_770m_3205_0	tr|E1V9F7|E1V9F7_HALED	250	641	0.465504720407	0.0	250.0	100.0	6.3.5.7	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B OS=Halomonas elongata (strain ATCC 33173 / DSM 2581 / NBRC 15536 / NCIMB 2198 / 1H9) GN=gatB PE=3 SV=1 # UNIPROT # E1V9F7 # 6.3.5.7-RXN # # 6.3.5.7
omz_770m_3205_0	tr|D9I359|D9I359_9RICK	255	579	0.420479302832	0.0	255.0	100.0	6.3.5.7	Aspartyl/glutamyl-tRNA amidotransferase subunit b (Fragment) OS=Candidatus Odyssella thessalonicensis PE=3 SV=1 # UNIPROT # D9I359 # 6.3.5.7-RXN # # 6.3.5.6 6.3.5.7
omz_770m_3206_0	sp|Q9AP33|ECTC_BACPA	124	414	0.586402266289	0.0	124.0	100.0	4.2.1.108	L-ectoine synthase OS=Bacillus pasteurii GN=ectC PE=2 SV=1 # UNIPROT # Q9AP33 # R103-RXN # # 4.2.1.108
omz_770m_3206_0	sp|Q5WL77|ECTC_BACSK	123	362	0.512747875354	0.0	123.0	100.0	4.2.1.108	L-ectoine synthase OS=Bacillus clausii (strain KSM-K16) GN=ectC PE=3 SV=1 # UNIPROT # Q5WL77 # R103-RXN # BCLA66692:ABC0336-MONOMER # 4.2.1.108
omz_770m_3206_0	sp|Q1GNW6|ECTC_SPHAL	126	344	0.487252124646	0.0	126.0	100.0	4.2.1.108	L-ectoine synthase OS=Sphingopyxis alaskensis GN=ectC PE=3 SV=1 # UNIPROT # Q1GNW6 # R103-RXN # SALA317655:SALA_2951-MONOMER # 4.2.1.108
omz_770m_3206_0	sp|A4F710|ECTC_SACEN	123	336	0.475920679887	0.0	123.0	100.0	4.2.1.108	L-ectoine synthase OS=Saccharopolyspora erythraea (strain NRRL 23338) GN=ectC PE=3 SV=1 # UNIPROT # A4F710 # R103-RXN # SERY405948:SACE_0485-MONOMER # 4.2.1.108
omz_770m_3206_0	sp|A5F0H9|ECTC_VIBC3	118	295	0.417847025496	0.0	118.0	100.0	4.2.1.108	L-ectoine synthase OS=Vibrio cholerae serotype O1 (strain ATCC 39541 / Ogawa 395 / O395) GN=ectC PE=3 SV=1 # UNIPROT # A5F0H9 # R103-RXN # VCHO345073:VC0395_0411-MONOMER # 4.2.1.108
