orf_id	CAZy_2013-07-13(EC) 	CAZy_2013-07-13(product)	CAZy_2013-07-13(value)	EggNog_v3_2013_08_07(EC) 	EggNog_v3_2013_08_07(product)	EggNog_v3_2013_08_07(value)	RefSeq_complete_nr_v62_dec2013(EC) 	RefSeq_complete_nr_v62_dec2013(product)	RefSeq_complete_nr_v62_dec2013(value)	COG_2013-12-27(EC) 	COG_2013-12-27(product)	COG_2013-12-27(value)	seed-2014-01-30(EC) 	seed-2014-01-30(product)	seed-2014-01-30(value)	metacyc-v5-2011-10-21(EC) 	metacyc-v5-2011-10-21(product)	metacyc-v5-2011-10-21(value)	KEGG_pep_2013(EC) 	KEGG_pep_2013(product)	KEGG_pep_2013(value)
omz_770m_9884_0					rpsE http://www.ncbi.nlm.nih.gov/protein/124026692 30S ribosomal protein S5 located back subunit body where it stabilizes conformation head respect to body contacts S4 S8 S12 plays role translational accuracy mutations this gene result spectinomycin resistance	30.0		30S ribosomal protein S5 [Gillisia sp. CBA3202]	6.0		COG0098 # J Translation, ribosomal structure biogenesis Function: Ribosomal protein S5 Organism: Nostoc sp. PCC 7120 (Nos)	16.0		SSU ribosomal protein S5p (S2e) [Nostoc sp. PCC 7120]	8.0					30S ribosomal protein S5, putative K02988 small subunit S5	8.0
omz_770m_9884_1								50S ribosomal protein L15 [Sandarakinorhabdus sp. AAP62]	6.0												
omz_770m_9882_0								 [SAR406 cluster bacterium SCGC AAA298-D23]	5.0												
omz_770m_2158_1					http://www.ncbi.nlm.nih.gov/protein/186473935  PFAM: alpha/beta hydrolase fold KEGG: homoserine O-acetyltransferase	8.0		Alpha/beta hydrolase fold protein [Rhodococcus sp. AW25M09]	6.0				2.3.1.31	Homoserine O-acetyltransferase (EC 2.3.1.31) [Gordonia otitidis NBRC 100426]	18.0				2.3.1.31	homoserine O-acetyltransferase (EC:2.3.1.31) K00641 [EC:2.3.1.31]	15.0
omz_770m_9881_0					gyrB http://www.ncbi.nlm.nih.gov/protein/56551307 DNA topoisomerase IV subunit B decatenates newly replicated chromosomal relaxes positive negative supercoiling	15.0		DNA topoisomerase IV subunit B [Acidocella sp. MX-AZ02]	8.0		COG0187 # L Replication, recombination repair Function: Type IIA topoisomerase (DNA gyrase/topo II, IV), B subunit Organism: Sinorhizobium meliloti (Sme)	20.0		Topoisomerase IV subunit B (EC 5.99.1.-) [Acetobacter pasteurianus NBRC 101655]	10.0				5.99.1.2	DNA topoisomerase IV subunit B (EC:5.99.1.2) K02622 [EC:5.99.1.-]	18.0
omz_770m_2153_0					sopT http://www.ncbi.nlm.nih.gov/protein/110833591 sulfate adenylyltransferase (sopT SAT) (Sulfate adenylatetransferase) (ATP-sulfurylase). identified Glimmer2 InterPro: ATP-sulfurylase Pfam: ATP-sulfurylase High confidence function specificity	18.0		sulfate adenylyltransferase [Thioalkalivibrio sp. ALE9]	5.0				2.7.7.4	Sulfate adenylyltransferase (EC 2.7.7.4) [endosymbiont Tevnia jerichonana (vent Tica)]	19.0	2.7.7.4	Sulfate adenylyltransferase OS Alcanivorax borkumensis (strain SK2 / ATCC 700651 DSM 11573) GN sat PE 3 SV 1 # UNIPROT Q0VRM0 SULFATE-ADENYLYLTRANS-RXN 2.7.7.4	33.0	2.7.7.4	sopT sulfate adenylyltransferase (EC:2.7.7.4) K00958 [EC:2.7.7.4]	16.0
omz_770m_2155_0					catI http://www.ncbi.nlm.nih.gov/protein/38638049 oxoadipate CoA transferase alpha subunit Pfam entry PF01144 similar to Ralstonia solanacearum gi:17546973	15.0		3-oxoadipate CoA-transferase subunit A [Serratia plymuthica]	6.0		COG1788 # I Lipid transport metabolism Function: Acyl CoA:acetate/3-ketoacid CoA transferase, alpha subunit Organism: Agrobacterium tumefaciens strain C58 (Cereon) (Atu)	20.0	2.8.3.5	Succinyl-CoA:3-ketoacid-coenzyme A transferase subunit (EC 2.8.3.5) [Helicobacter bizzozeronii CCUG 35545]	20.0	2.8.3.6	3-oxoadipate CoA-transferase subunit A OS Pseudomonas putida GN pcaI PE 1 SV 2 # UNIPROT Q01103 3-OXOADIPATE-COA-TRANSFERASE-RXN MetaCyc:MONOMER-3190 2.8.3.6	29.0	2.8.3.5	oxct1, MGC69180 3-oxoacid CoA transferase 1 (EC:2.8.3.5) K01027 CoA-transferase [EC:2.8.3.5]	20.0
omz_770m_7436_0					http://www.ncbi.nlm.nih.gov/protein/229916159 RNA binding metal dependent phosphohydrolase KEGG: bha:BH2378 phosphodiesterase TIGRFAM: YmdA/YtgF protein phophohydrolase PFAM: metal-dependent phosphohydrolase HD sub domain KH type 1 domain SMART: region protein	22.0		predicted HD superfamily hydrolase [Paenibacillus popilliae]	5.0		COG1418 # R General function prediction only Function: Predicted HD superfamily hydrolase Organism: Staphylococcus aureus N315 (Sau)	17.0		FIG002344: Hydrolase (HAD superfamily) [Paenibacillus polymyxa ATCC 842]	8.0				3.1.4.16	metal dependent phosphohydrolase (EC:3.1.4.16) K06950 uncharacterized protein	16.0
omz_770m_2157_0				6.2.1.3	bll7928 http://www.ncbi.nlm.nih.gov/protein/27383039 putative fatty-acid--CoA ligase bll7928 ligase (EC 6.2.1.3)	17.0		AMP-dependent synthetase ligase [Plesiocystis pacifica]	5.0		COG1022 # I Lipid transport metabolism Function: Long-chain acyl-CoA synthetases (AMP-forming) Organism: Aeropyrum pernix (Ape)	15.0	6.2.1.3	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3) [Bradyrhizobium japonicum USDA 6]	18.0				6.2.1.3	fatty-acid--CoA ligase (EC:6.2.1.3) K01897 long-chain acyl-CoA synthetase [EC:6.2.1.3]	18.0
omz_770m_5465_1					hemH http://www.ncbi.nlm.nih.gov/protein/120554417 ferrochelatase protoheme ferro-lyase catalyzes insertion ferrous ion into protoporphyrin IX to form protoheme involved biosynthesis some organisms this protein membrane-associated while others it cytosolic	24.0		ferrochelatase [Glaciecola mesophila]	3.0		COG0276 # H Coenzyme transport metabolism Function: Protoheme ferro-lyase (ferrochelatase) Organism: Escherichia coli O157:H7 EDL933 (EcZ)	16.0	4.99.1.1	Ferrochelatase, protoheme ferro-lyase (EC 4.99.1.1) [Alteromonas macleodii str. 'English Channel 673']	21.0	4.99.1.1	Ferrochelatase OS Marinobacter aquaeolei (strain ATCC 700491 / DSM 11845 VT8) GN hemH PE 3 SV 1 # UNIPROT A1U0R2 PROTOHEMEFERROCHELAT-RXN 4.99.1.1	32.0	4.99.1.1	ferrochelatase (EC:4.99.1.1) K01772 [EC:4.99.1.1]	14.0
