#query	target	q_length	bitscore	bsr	expect	aln_length	identity	ec	product
below_euphotic_200m_7276_0	sp|Q3A009|HEM3_PELCD	230	599	0.494632535095	0.0	230.0	100.0	2.5.1.61	Porphobilinogen deaminase OS=Pelobacter carbinolicus (strain DSM 2380 / Gra Bd 1) GN=hemC PE=3 SV=1 # UNIPROT # Q3A009 # OHMETHYLBILANESYN-RXN # PCAR338963:PCAR_3063-MONOMER # 2.5.1.61
below_euphotic_200m_7276_0	sp|B0UWZ8|HEM3_HAES2	227	597	0.492981007432	0.0	227.0	100.0	2.5.1.61	Porphobilinogen deaminase OS=Haemophilus somnus (strain 2336) GN=hemC PE=3 SV=1 # UNIPROT # B0UWZ8 # OHMETHYLBILANESYN-RXN # HSOM228400:HSM_1937-MONOMER # 2.5.1.61
below_euphotic_200m_7276_0	sp|Q602K3|HEM3_METCA	227	596	0.4921552436	0.0	227.0	100.0	2.5.1.61	Porphobilinogen deaminase OS=Methylococcus capsulatus GN=hemC PE=3 SV=2 # UNIPROT # Q602K3 # OHMETHYLBILANESYN-RXN # MCAP243233:MCA_3060-MONOMER # 2.5.1.61
below_euphotic_200m_7276_0	sp|B5ERN6|HEM3_ACIF5	229	590	0.487200660611	0.0	229.0	100.0	2.5.1.61	Porphobilinogen deaminase OS=Acidithiobacillus ferrooxidans (strain ATCC 53993) GN=hemC PE=3 SV=1 # UNIPROT # B5ERN6 # OHMETHYLBILANESYN-RXN # # 2.5.1.61
below_euphotic_200m_7276_0	sp|B8DKW2|HEM3_DESVM	230	570	0.47068538398	0.0	230.0	100.0	2.5.1.61	Porphobilinogen deaminase OS=Desulfovibrio vulgaris (strain Miyazaki F / DSM 19637) GN=hemC PE=3 SV=1 # UNIPROT # B8DKW2 # OHMETHYLBILANESYN-RXN # # 2.5.1.61
below_euphotic_200m_496_1	sp|Q4UMX2|SYM_RICFE	108	396	0.670050761421	0.0	108.0	100.0	6.1.1.10	Methionyl-tRNA synthetase OS=Rickettsia felis GN=metG PE=3 SV=1 # UNIPROT # Q4UMX2 # METHIONINE--TRNA-LIGASE-RXN # RFEL315456:RF_0235-MONOMER # 6.1.1.10
below_euphotic_200m_496_1	sp|Q8RE57|SYM_FUSNN	102	321	0.543147208122	0.0	102.0	100.0	6.1.1.10	Methionyl-tRNA synthetase OS=Fusobacterium nucleatum subsp. nucleatum GN=metG PE=3 SV=1 # UNIPROT # Q8RE57 # METHIONINE--TRNA-LIGASE-RXN # FNUC190304:FN1268-MONOMER # 6.1.1.10
below_euphotic_200m_496_1	sp|O33925|SYM_THEMA	101	320	0.541455160745	0.0	101.0	100.0	6.1.1.10	Methionyl-tRNA synthetase OS=Thermotoga maritima GN=metG PE=3 SV=1 # UNIPROT # O33925 # METHIONINE--TRNA-LIGASE-RXN # TMAR243274:TM_1085-MONOMER # 6.1.1.10
below_euphotic_200m_496_1	sp|P23395|SYM_THET8	104	315	0.532994923858	0.0	104.0	100.0	6.1.1.10	Methionyl-tRNA synthetase OS=Thermus thermophilus (strain HB8 / ATCC 27634 / DSM 579) GN=metG PE=1 SV=2 # UNIPROT # P23395 # METHIONINE--TRNA-LIGASE-RXN # TTHE300852:TTHA1298-MONOMER # 6.1.1.10
below_euphotic_200m_496_1	sp|Q88Z97|SYM_LACPL	105	307	0.519458544839	0.0	105.0	100.0	6.1.1.10	Methionyl-tRNA synthetase OS=Lactobacillus plantarum GN=metG PE=3 SV=1 # UNIPROT # Q88Z97 # METHIONINE--TRNA-LIGASE-RXN # LPLA220668:LP_0454-MONOMER # 6.1.1.10
below_euphotic_200m_2977_0	sp|Q8KCW4|IMDH_CHLTE	253	832	0.617210682493	0.0	253.0	100.0	1.1.1.205	Inosine-5'-monophosphate dehydrogenase OS=Chlorobium tepidum GN=guaB PE=3 SV=1 # UNIPROT # Q8KCW4 # IMP-DEHYDROG-RXN # CTEP194439:CT_1293-MONOMER # 1.1.1.205
below_euphotic_200m_2977_0	sp|Q9KH33|IMDH_RHITR	250	787	0.583827893175	0.0	250.0	100.0	1.1.1.205	Inosine-5'-monophosphate dehydrogenase OS=Rhizobium tropici GN=guaB PE=3 SV=1 # UNIPROT # Q9KH33 # IMP-DEHYDROG-RXN # # 1.1.1.205
below_euphotic_200m_2977_0	sp|P0ADG7|IMDH_ECOLI	250	785	0.58234421365	0.0	250.0	100.0	1.1.1.205	Inosine-5'-monophosphate dehydrogenase OS=Escherichia coli (strain K12) GN=guaB PE=1 SV=1 # UNIPROT # P0ADG7 # IMP-DEHYDROG-RXN # MetaCyc:IMP-DEHYDROG-MONOMER # 1.1.1.205
below_euphotic_200m_2977_0	sp|P65167|IMDH_MYCTU	262	736	0.545994065282	0.0	262.0	100.0	1.1.1.205	Inosine-5'-monophosphate dehydrogenase OS=Mycobacterium tuberculosis GN=guaB PE=3 SV=1 # UNIPROT # P65167 # IMP-DEHYDROG-RXN # # 1.1.1.205
below_euphotic_200m_1746_0	sp|Q4FLJ4|PURL_PELUB	214	716	0.629173989455	0.0	214.0	100.0	6.3.5.3	Phosphoribosylformylglycinamidine synthase 2 OS=Pelagibacter ubique GN=purL PE=3 SV=1 # UNIPROT # Q4FLJ4 # FGAMSYN-RXN # CPEL335992:SAR11_1141-MONOMER # 6.3.5.3
below_euphotic_200m_2977_0	sp|Q59011|IMDH_METJA	259	713	0.528931750742	0.0	259.0	100.0	1.1.1.205	Inosine-5'-monophosphate dehydrogenase OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) GN=guaB PE=3 SV=1 # UNIPROT # Q59011 # IMP-DEHYDROG-RXN # MJAN243232:MJ_1616-MONOMER # 1.1.1.205
below_euphotic_200m_44_0	sp|Q2YCK3|GCSPB_NITMU	197	646	0.583559168925	0.0	197.0	100.0	1.4.4.2	Probable glycine dehydrogenase [decarboxylating] subunit 2 OS=Nitrosospira multiformis (strain ATCC 25196 / NCIMB 11849) GN=gcvPB PE=3 SV=1 # UNIPROT # Q2YCK3 # GCVP-RXN # NMUL323848:NMUL_A0210-MONOMER # 1.4.4.2
below_euphotic_200m_44_0	sp|Q818M5|GCSPB_BACCR	195	572	0.516711833785	0.0	195.0	100.0	1.4.4.2	Probable glycine dehydrogenase [decarboxylating] subunit 2 OS=Bacillus cereus (strain ATCC 14579 / DSM 31) GN=gcvPB PE=3 SV=1 # UNIPROT # Q818M5 # GCVP-RXN # BCER226900:BC_4224-MONOMER # 1.4.4.2
below_euphotic_200m_44_0	sp|O67740|GCSPB_AQUAE	195	551	0.497741644083	0.0	195.0	100.0	1.4.4.2	Probable glycine dehydrogenase [decarboxylating] subunit 2 OS=Aquifex aeolicus GN=gcvPB PE=3 SV=1 # UNIPROT # O67740 # GCVP-RXN # AAEO224324:AQ_1903-MONOMER # 1.4.4.2
below_euphotic_200m_44_0	sp|A3DNK0|GCSPB_STAMF	189	547	0.494128274616	0.0	189.0	100.0	1.4.4.2	Probable glycine dehydrogenase [decarboxylating] subunit 2 OS=Staphylothermus marinus (strain ATCC 43588 / DSM 3639 / F1) GN=gcvPB PE=3 SV=1 # UNIPROT # A3DNK0 # GCVP-RXN # SMAR399550:SMAR_1114-MONOMER # 1.4.4.2
below_euphotic_200m_44_0	sp|Q9HPK0|GCSPB_HALSA	210	547	0.494128274616	0.0	210.0	100.0	1.4.4.2	Probable glycine dehydrogenase [decarboxylating] subunit 2 OS=Halobacterium salinarium (strain ATCC 700922 / JCM 11081 / NRC-1) GN=gcvPB PE=3 SV=1 # UNIPROT # Q9HPK0 # GCVP-RXN # HSP64091:VNG1601G-MONOMER # 1.4.4.2
